Date,DEEPIND
2017-01-02,284.55
2017-01-03,284.0
2017-01-04,289.2
2017-01-05,296.1
2017-01-06,294.75
2017-01-09,288.45
2017-01-10,300.9
2017-01-11,299.05
2017-01-12,292.65
2017-01-13,291.65
2017-01-16,298.55
2017-01-17,296.25
2017-01-18,306.45
2017-01-19,295.95
2017-01-20,293.45
2017-01-23,300.4
2017-01-24,299.45
2017-01-25,299.45
2017-01-27,307.2
2017-01-30,312.85
2017-01-31,305.7
2017-02-01,314.45
2017-02-02,323.25
2017-02-03,325.95
2017-02-06,319.55
2017-02-07,313.7
2017-02-08,308.85
2017-02-09,305.65
2017-02-10,308.35
2017-02-13,314.9
2017-02-14,311.25
2017-02-15,304.6
2017-02-16,311.2
2017-02-17,311.15
2017-02-20,309.25
2017-02-21,306.35
2017-02-22,308.1
2017-02-23,307.5
2017-02-27,310.1
2017-02-28,308.0
2017-03-01,308.8
2017-03-02,303.95
2017-03-03,302.2
2017-03-06,306.3
2017-03-07,302.6
2017-03-08,297.1
2017-03-09,304.2
2017-03-10,310.65
2017-03-14,313.05
2017-03-15,316.85
2017-03-16,318.05
2017-03-17,319.55
2017-03-20,317.0
2017-03-21,329.55
2017-03-22,327.35
2017-03-23,329.85
2017-03-24,325.9
2017-03-27,325.6
2017-03-28,322.15
2017-03-29,324.35
2017-03-30,325.05
2017-03-31,329.3
2017-04-03,327.8
2017-04-05,326.25
2017-04-06,322.3
2017-04-07,319.1
2017-04-10,316.5
2017-04-11,316.4
2017-04-12,311.0
2017-04-13,321.15
2017-04-17,329.85
2017-04-18,320.25
2017-04-19,321.25
2017-04-20,328.2
2017-04-21,320.8
2017-04-24,320.95
2017-04-25,319.65
2017-04-26,314.45
2017-04-27,313.35
2017-04-28,314.15
2017-05-02,331.4
2017-05-03,321.65
2017-05-04,323.5
2017-05-05,325.2
2017-05-08,324.5
2017-05-09,322.05
2017-05-10,319.0
2017-05-11,318.0
2017-05-12,320.75
2017-05-15,320.8
2017-05-16,318.8
2017-05-17,320.95
2017-05-18,318.05
2017-05-19,305.95
2017-05-22,304.95
2017-05-23,302.3
2017-05-24,297.9
2017-05-25,304.85
2017-05-26,313.05
2017-05-29,301.85
2017-05-30,312.5
2017-05-31,317.6
2017-06-01,313.75
2017-06-02,309.25
2017-06-05,309.3
2017-06-06,310.7
2017-06-07,303.7
2017-06-08,269.45
2017-06-09,271.5
2017-06-12,275.5
2017-06-13,274.75
2017-06-14,273.85
2017-06-15,294.25
2017-06-16,305.35
2017-06-19,299.35
2017-06-20,288.4
2017-06-21,288.1
2017-06-22,278.25
2017-06-23,278.65
2017-06-27,272.85
2017-06-28,278.55
2017-06-29,285.6
2017-06-30,278.4
2017-07-03,278.2
2017-07-04,278.3
2017-07-05,299.0
2017-07-06,291.1
2017-07-07,289.4
2017-07-10,289.9
2017-07-11,283.4
2017-07-12,284.1
2017-07-13,280.65
2017-07-14,276.05
2017-07-17,276.3
2017-07-18,274.6
2017-07-19,277.9
2017-07-20,274.9
2017-07-21,277.2
2017-07-24,274.7
2017-07-25,271.25
2017-07-26,276.45
2017-07-27,272.75
2017-07-28,269.25
2017-07-31,242.6
2017-08-01,221.95
2017-08-02,225.65
2017-08-03,230.6
2017-08-04,233.95
2017-08-07,231.15
2017-08-08,227.2
2017-08-09,222.75
2017-08-10,208.6
2017-08-11,200.15
2017-08-14,209.95
2017-08-16,208.1
2017-08-17,221.4
2017-08-18,215.7
2017-08-21,210.45
2017-08-22,209.65
2017-08-23,215.25
2017-08-24,218.15
2017-08-28,219.05
2017-08-29,213.15
2017-08-30,216.15
2017-08-31,217.8
2017-09-01,216.75
2017-09-04,214.5
2017-09-05,215.0
2017-09-06,211.1
2017-09-07,214.75
2017-09-08,210.3
2017-09-11,215.0
2017-09-12,211.35
2017-09-13,205.6
2017-09-14,214.15
2017-09-15,220.1
2017-09-18,230.05
2017-09-19,235.5
2017-09-20,232.05
2017-09-21,227.4
2017-09-22,217.5
2017-09-25,212.75
2017-09-26,229.1
2017-09-27,215.1
2017-09-28,220.1
2017-09-29,219.85
2017-10-03,220.2
2017-10-04,219.9
2017-10-05,221.1
2017-10-06,220.4
2017-10-09,221.1
2017-10-10,236.15
2017-10-11,221.6
2017-10-12,219.2
2017-10-13,218.9
2017-10-16,216.6
2017-10-17,218.4
2017-10-18,218.8
2017-10-19,219.05
2017-10-23,215.25
2017-10-24,216.75
2017-10-25,214.85
2017-10-26,215.15
2017-10-27,213.1
2017-10-30,213.7
2017-10-31,213.95
2017-11-01,216.1
2017-11-02,222.1
2017-11-03,224.05
2017-11-06,226.75
2017-11-07,229.9
2017-11-08,226.75
2017-11-09,227.2
2017-11-10,224.55
2017-11-13,221.25
2017-11-14,218.2
2017-11-15,208.6
2017-11-16,209.0
2017-11-17,211.05
2017-11-20,212.8
2017-11-21,210.4
2017-11-22,209.35
2017-11-23,208.4
2017-11-24,207.05
2017-11-27,218.35
2017-11-28,219.95
2017-11-29,217.2
2017-11-30,212.5
2017-12-01,212.85
2017-12-04,211.5
2017-12-05,209.0
2017-12-06,208.25
2017-12-07,208.75
2017-12-08,210.9
2017-12-11,211.05
2017-12-12,211.65
2017-12-13,204.85
2017-12-14,205.35
2017-12-15,207.75
2017-12-18,207.95
2017-12-19,208.9
2017-12-20,207.3
2017-12-21,208.25
2017-12-22,209.65
2017-12-26,205.35
2017-12-27,206.2
2017-12-28,205.3
2017-12-29,205.6
