Date,DUCON
2017-01-02,58.8
2017-01-03,61.7
2017-01-04,64.75
2017-01-05,67.95
2017-01-06,71.3
2017-01-09,74.85
2017-01-10,78.55
2017-01-11,77.6
2017-01-12,78.5
2017-01-13,79.15
2017-01-16,77.6
2017-01-17,76.45
2017-01-18,72.9
2017-01-19,69.35
2017-01-20,65.9
2017-01-23,68.95
2017-01-24,67.65
2017-01-25,66.7
2017-01-27,63.7
2017-01-30,61.15
2017-01-31,63.05
2017-02-01,64.1
2017-02-02,64.9
2017-02-03,68.1
2017-02-06,71.35
2017-02-07,69.65
2017-02-08,66.95
2017-02-09,65.7
2017-02-10,64.65
2017-02-13,64.8
2017-02-14,62.45
2017-02-15,62.95
2017-02-16,59.9
2017-02-17,62.35
2017-02-20,65.45
2017-02-21,68.7
2017-02-22,68.65
2017-02-23,65.25
2017-02-27,62.0
2017-02-28,58.9
2017-03-01,56.55
2017-03-02,53.75
2017-03-03,51.1
2017-03-06,48.55
2017-03-07,50.95
2017-03-08,53.45
2017-03-09,51.5
2017-03-10,48.95
2017-03-14,46.55
2017-03-15,44.3
2017-03-16,44.9
2017-03-17,42.75
2017-03-20,41.0
2017-03-21,39.95
2017-03-22,38.0
2017-03-23,36.1
2017-03-24,37.9
2017-03-27,39.75
2017-03-28,41.7
2017-03-29,43.75
2017-03-30,41.95
2017-03-31,39.95
2017-04-03,38.1
2017-04-05,40.0
2017-04-06,42.0
2017-04-07,40.1
2017-04-10,40.05
2017-04-11,39.75
2017-04-12,38.2
2017-04-13,38.45
2017-04-17,42.15
2017-04-18,39.95
2017-04-19,40.5
2017-04-20,40.55
2017-04-21,40.75
2017-04-24,39.7
2017-04-25,38.85
2017-04-26,38.1
2017-04-27,36.4
2017-04-28,35.8
2017-05-02,37.3
2017-05-03,36.6
2017-05-04,38.5
2017-05-05,37.3
2017-05-08,37.6
2017-05-09,38.85
2017-05-10,42.7
2017-05-11,46.95
2017-05-12,48.75
2017-05-15,46.35
2017-05-16,44.05
2017-05-17,41.85
2017-05-18,39.8
2017-05-19,38.3
2017-05-22,38.25
2017-05-23,37.4
2017-05-24,35.85
2017-05-25,37.0
2017-05-26,38.35
2017-05-29,37.05
2017-05-30,38.05
2017-05-31,37.4
2017-06-01,36.05
2017-06-02,35.6
2017-06-05,35.7
2017-06-06,35.85
2017-06-07,37.6
2017-06-08,35.9
2017-06-09,35.0
2017-06-12,35.15
2017-06-13,34.65
2017-06-14,34.2
2017-06-15,32.55
2017-06-16,30.95
2017-06-19,29.45
2017-06-20,28.4
2017-06-21,29.8
2017-06-22,31.25
2017-06-23,32.65
2017-06-27,34.25
2017-06-28,35.95
2017-06-29,37.6
2017-06-30,35.95
2017-07-03,37.7
2017-07-04,36.65
2017-07-05,36.8
2017-07-06,37.05
2017-07-07,36.45
2017-07-10,37.2
2017-07-11,37.4
2017-07-12,36.9
2017-07-13,36.45
2017-07-14,35.15
2017-07-17,35.15
2017-07-18,35.25
2017-07-19,34.9
2017-07-20,36.6
2017-07-21,37.4
2017-07-24,36.15
2017-07-25,34.8
2017-07-26,33.65
2017-07-27,32.6
2017-07-28,32.3
2017-07-31,32.0
2017-08-01,33.6
2017-08-02,35.25
2017-08-03,33.9
2017-08-04,32.75
2017-08-07,32.45
2017-08-08,31.35
2017-08-09,30.4
2017-08-10,30.0
2017-08-11,29.05
2017-08-14,31.1
2017-08-16,34.2
2017-08-17,33.95
2017-08-18,32.1
2017-08-21,31.4
2017-08-22,31.85
2017-08-23,31.8
2017-08-24,31.75
2017-08-28,33.05
2017-08-29,32.6
2017-08-30,32.45
2017-08-31,32.7
2017-09-01,35.95
2017-09-04,39.5
2017-09-05,37.45
2017-09-06,36.7
2017-09-07,38.75
2017-09-08,38.0
2017-09-11,37.3
2017-09-12,41.0
2017-09-13,41.45
2017-09-14,38.6
2017-09-15,39.65
2017-09-18,40.0
2017-09-19,39.15
2017-09-20,38.15
2017-09-21,38.15
2017-09-22,35.65
2017-09-25,34.15
2017-09-26,34.2
2017-09-27,33.3
2017-09-28,35.25
2017-09-29,34.5
2017-10-03,34.1
2017-10-04,37.5
2017-10-05,39.75
2017-10-06,37.25
2017-10-09,38.05
2017-10-10,38.85
2017-10-11,37.85
2017-10-12,36.9
2017-10-13,36.1
2017-10-16,35.95
2017-10-17,35.7
2017-10-18,35.8
2017-10-19,36.0
2017-10-23,35.1
2017-10-24,35.15
2017-10-25,34.9
2017-10-26,34.45
2017-10-27,34.2
2017-10-30,34.25
2017-10-31,34.75
2017-11-01,34.8
2017-11-02,34.0
2017-11-03,35.4
2017-11-06,35.2
2017-11-07,34.95
2017-11-08,34.85
2017-11-09,34.25
2017-11-10,34.0
2017-11-13,33.95
2017-11-14,33.75
2017-11-15,33.45
2017-11-16,33.3
2017-11-17,33.55
2017-11-20,33.55
2017-11-21,33.95
2017-11-22,33.7
2017-11-23,34.3
2017-11-24,41.15
2017-11-27,47.3
2017-11-28,44.05
2017-11-29,41.25
2017-11-30,40.35
2017-12-01,39.15
2017-12-04,38.4
2017-12-05,42.2
2017-12-06,43.7
2017-12-07,43.8
2017-12-08,43.0
2017-12-11,44.2
2017-12-12,45.05
2017-12-13,41.95
2017-12-14,39.15
2017-12-15,39.25
2017-12-18,39.35
2017-12-19,39.55
2017-12-20,39.85
2017-12-21,40.3
2017-12-22,40.05
2017-12-26,44.05
2017-12-27,44.2
2017-12-28,43.9
2017-12-29,43.75
