Date,GODREJPROP
2017-01-02,313.7
2017-01-03,321.2
2017-01-04,323.65
2017-01-05,325.0
2017-01-06,316.15
2017-01-09,322.75
2017-01-10,321.7
2017-01-11,326.15
2017-01-12,335.05
2017-01-13,331.7
2017-01-16,335.25
2017-01-17,336.55
2017-01-18,335.6
2017-01-19,330.35
2017-01-20,328.0
2017-01-23,325.35
2017-01-24,323.55
2017-01-25,323.45
2017-01-27,335.5
2017-01-30,329.75
2017-01-31,330.65
2017-02-01,348.75
2017-02-02,372.3
2017-02-03,373.5
2017-02-06,386.6
2017-02-07,375.15
2017-02-08,372.95
2017-02-09,366.2
2017-02-10,363.4
2017-02-13,363.25
2017-02-14,361.0
2017-02-15,355.05
2017-02-16,359.75
2017-02-17,355.4
2017-02-20,354.45
2017-02-21,355.65
2017-02-22,366.85
2017-02-23,369.75
2017-02-27,365.35
2017-02-28,364.1
2017-03-01,373.35
2017-03-02,369.1
2017-03-03,367.05
2017-03-06,366.1
2017-03-07,368.05
2017-03-08,361.45
2017-03-09,358.55
2017-03-10,361.5
2017-03-14,374.85
2017-03-15,375.4
2017-03-16,376.0
2017-03-17,392.3
2017-03-20,394.45
2017-03-21,388.35
2017-03-22,395.35
2017-03-23,395.8
2017-03-24,400.1
2017-03-27,391.6
2017-03-28,377.55
2017-03-29,380.15
2017-03-30,384.55
2017-03-31,385.05
2017-04-03,403.05
2017-04-05,436.2
2017-04-06,443.35
2017-04-07,437.4
2017-04-10,428.9
2017-04-11,429.85
2017-04-12,425.3
2017-04-13,429.8
2017-04-17,458.1
2017-04-18,438.3
2017-04-19,448.65
2017-04-20,466.85
2017-04-21,469.15
2017-04-24,473.85
2017-04-25,470.4
2017-04-26,455.25
2017-04-27,458.55
2017-04-28,464.3
2017-05-02,506.3
2017-05-03,541.95
2017-05-04,531.0
2017-05-05,525.3
2017-05-08,532.6
2017-05-09,530.25
2017-05-10,528.1
2017-05-11,513.5
2017-05-12,509.6
2017-05-15,514.1
2017-05-16,514.4
2017-05-17,527.05
2017-05-18,515.65
2017-05-19,513.5
2017-05-22,501.4
2017-05-23,501.4
2017-05-24,484.8
2017-05-25,495.65
2017-05-26,498.45
2017-05-29,486.7
2017-05-30,492.05
2017-05-31,490.65
2017-06-01,489.55
2017-06-02,520.5
2017-06-05,528.75
2017-06-06,513.75
2017-06-07,515.75
2017-06-08,517.1
2017-06-09,518.05
2017-06-12,508.7
2017-06-13,533.2
2017-06-14,551.5
2017-06-15,553.55
2017-06-16,559.0
2017-06-19,556.9
2017-06-20,550.7
2017-06-21,543.6
2017-06-22,552.75
2017-06-23,533.3
2017-06-27,515.0
2017-06-28,509.25
2017-06-29,514.35
2017-06-30,520.0
2017-07-03,524.15
2017-07-04,511.0
2017-07-05,514.05
2017-07-06,517.6
2017-07-07,516.25
2017-07-10,518.35
2017-07-11,513.6
2017-07-12,509.5
2017-07-13,509.25
2017-07-14,503.2
2017-07-17,511.2
2017-07-18,506.35
2017-07-19,510.25
2017-07-20,512.0
2017-07-21,524.6
2017-07-24,512.6
2017-07-25,512.15
2017-07-26,514.3
2017-07-27,515.6
2017-07-28,521.75
2017-07-31,522.15
2017-08-01,515.05
2017-08-02,505.1
2017-08-03,499.9
2017-08-04,494.4
2017-08-07,504.4
2017-08-08,504.05
2017-08-09,500.0
2017-08-10,498.6
2017-08-11,498.55
2017-08-14,509.85
2017-08-16,514.8
2017-08-17,510.5
2017-08-18,510.7
2017-08-21,510.05
2017-08-22,510.05
2017-08-23,510.35
2017-08-24,519.6
2017-08-28,540.55
2017-08-29,540.6
2017-08-30,568.6
2017-08-31,579.5
2017-09-01,597.3
2017-09-04,600.85
2017-09-05,607.35
2017-09-06,606.4
2017-09-07,608.95
2017-09-08,593.75
2017-09-11,603.5
2017-09-12,653.3
2017-09-13,632.9
2017-09-14,626.1
2017-09-15,616.8
2017-09-18,616.7
2017-09-19,610.1
2017-09-20,609.45
2017-09-21,600.4
2017-09-22,601.1
2017-09-25,596.4
2017-09-26,617.3
2017-09-27,593.5
2017-09-28,609.7
2017-09-29,619.75
2017-10-03,614.55
2017-10-04,643.6
2017-10-05,624.35
2017-10-06,635.5
2017-10-09,647.8
2017-10-10,639.15
2017-10-11,629.55
2017-10-12,640.3
2017-10-13,634.9
2017-10-16,640.55
2017-10-17,635.6
2017-10-18,648.5
2017-10-19,642.9
2017-10-23,661.5
2017-10-24,676.4
2017-10-25,674.45
2017-10-26,676.95
2017-10-27,657.5
2017-10-30,673.1
2017-10-31,679.3
2017-11-01,702.1
2017-11-02,723.15
2017-11-03,718.1
2017-11-06,719.9
2017-11-07,708.2
2017-11-08,698.7
2017-11-09,694.55
2017-11-10,702.5
2017-11-13,693.85
2017-11-14,696.1
2017-11-15,672.65
2017-11-16,669.2
2017-11-17,686.6
2017-11-20,699.05
2017-11-21,707.0
2017-11-22,727.5
2017-11-23,720.8
2017-11-24,712.85
2017-11-27,715.8
2017-11-28,716.15
2017-11-29,725.7
2017-11-30,728.2
2017-12-01,721.15
2017-12-04,718.6
2017-12-05,709.15
2017-12-06,705.85
2017-12-07,708.65
2017-12-08,713.85
2017-12-11,714.65
2017-12-12,713.25
2017-12-13,704.4
2017-12-14,701.3
2017-12-15,708.1
2017-12-18,697.7
2017-12-19,709.6
2017-12-20,709.75
2017-12-21,705.65
2017-12-22,700.7
2017-12-26,703.95
2017-12-27,698.0
2017-12-28,698.8
2017-12-29,692.55
