Date,HCG
2017-01-02,243.65
2017-01-03,238.95
2017-01-04,246.95
2017-01-05,246.7
2017-01-06,245.5
2017-01-09,242.5
2017-01-10,238.25
2017-01-11,239.85
2017-01-12,241.45
2017-01-13,241.75
2017-01-16,244.9
2017-01-17,243.4
2017-01-18,241.95
2017-01-19,240.35
2017-01-20,238.95
2017-01-23,240.25
2017-01-24,236.5
2017-01-25,238.7
2017-01-27,233.3
2017-01-30,237.5
2017-01-31,243.25
2017-02-01,242.95
2017-02-02,241.25
2017-02-03,243.4
2017-02-06,240.6
2017-02-07,238.8
2017-02-08,237.75
2017-02-09,241.45
2017-02-10,242.9
2017-02-13,242.65
2017-02-14,242.65
2017-02-15,236.1
2017-02-16,240.8
2017-02-17,237.65
2017-02-20,239.8
2017-02-21,240.65
2017-02-22,237.9
2017-02-23,237.9
2017-02-27,236.2
2017-02-28,236.3
2017-03-01,232.7
2017-03-02,235.6
2017-03-03,238.45
2017-03-06,240.15
2017-03-07,239.3
2017-03-08,238.7
2017-03-09,240.0
2017-03-10,236.6
2017-03-14,240.1
2017-03-15,236.45
2017-03-16,239.65
2017-03-17,235.6
2017-03-20,235.6
2017-03-21,227.2
2017-03-22,220.15
2017-03-23,220.7
2017-03-24,222.1
2017-03-27,230.4
2017-03-28,228.25
2017-03-29,229.15
2017-03-30,225.05
2017-03-31,229.45
2017-04-03,237.5
2017-04-05,241.7
2017-04-06,240.95
2017-04-07,240.45
2017-04-10,238.4
2017-04-11,238.15
2017-04-12,237.15
2017-04-13,260.0
2017-04-17,272.9
2017-04-18,267.3
2017-04-19,268.85
2017-04-20,274.05
2017-04-21,274.9
2017-04-24,274.9
2017-04-25,268.85
2017-04-26,269.0
2017-04-27,264.85
2017-04-28,264.35
2017-05-02,260.25
2017-05-03,259.6
2017-05-04,265.1
2017-05-05,254.55
2017-05-08,260.8
2017-05-09,259.3
2017-05-10,258.4
2017-05-11,261.05
2017-05-12,254.5
2017-05-15,257.85
2017-05-16,261.8
2017-05-17,260.5
2017-05-18,259.85
2017-05-19,254.95
2017-05-22,255.1
2017-05-23,255.0
2017-05-24,254.8
2017-05-25,252.65
2017-05-26,253.0
2017-05-29,245.9
2017-05-30,246.95
2017-05-31,246.95
2017-06-01,244.95
2017-06-02,239.95
2017-06-05,254.65
2017-06-06,253.25
2017-06-07,254.15
2017-06-08,256.0
2017-06-09,250.5
2017-06-12,250.25
2017-06-13,252.75
2017-06-14,247.85
2017-06-15,251.25
2017-06-16,251.05
2017-06-19,251.15
2017-06-20,247.65
2017-06-21,247.65
2017-06-22,242.45
2017-06-23,247.9
2017-06-27,244.9
2017-06-28,248.65
2017-06-29,250.1
2017-06-30,252.1
2017-07-03,252.2
2017-07-04,257.55
2017-07-05,255.8
2017-07-06,258.25
2017-07-07,255.5
2017-07-10,259.2
2017-07-11,260.15
2017-07-12,264.5
2017-07-13,265.2
2017-07-14,263.85
2017-07-17,263.65
2017-07-18,261.25
2017-07-19,264.9
2017-07-20,273.0
2017-07-21,270.0
2017-07-24,270.75
2017-07-25,270.5
2017-07-26,271.95
2017-07-27,274.7
2017-07-28,275.15
2017-07-31,272.2
2017-08-01,271.55
2017-08-02,271.5
2017-08-03,270.15
2017-08-04,270.1
2017-08-07,274.05
2017-08-08,269.8
2017-08-09,270.7
2017-08-10,269.75
2017-08-11,269.35
2017-08-14,271.05
2017-08-16,273.35
2017-08-17,271.25
2017-08-18,272.8
2017-08-21,271.35
2017-08-22,274.65
2017-08-23,270.8
2017-08-24,271.95
2017-08-28,270.15
2017-08-29,270.3
2017-08-30,270.85
2017-08-31,272.1
2017-09-01,271.3
2017-09-04,269.8
2017-09-05,270.95
2017-09-06,274.2
2017-09-07,271.55
2017-09-08,269.8
2017-09-11,264.2
2017-09-12,264.4
2017-09-13,261.15
2017-09-14,262.3
2017-09-15,269.7
2017-09-18,265.1
2017-09-19,263.95
2017-09-20,267.45
2017-09-21,270.65
2017-09-22,271.9
2017-09-25,271.15
2017-09-26,269.9
2017-09-27,267.85
2017-09-28,272.15
2017-09-29,276.1
2017-10-03,278.65
2017-10-04,273.2
2017-10-05,274.35
2017-10-06,273.75
2017-10-09,268.05
2017-10-10,266.05
2017-10-11,266.05
2017-10-12,265.15
2017-10-13,265.0
2017-10-16,265.2
2017-10-17,267.7
2017-10-18,271.1
2017-10-19,269.95
2017-10-23,270.4
2017-10-24,269.55
2017-10-25,269.0
2017-10-26,269.25
2017-10-27,270.75
2017-10-30,267.95
2017-10-31,282.2
2017-11-01,277.7
2017-11-02,276.45
2017-11-03,276.95
2017-11-06,282.05
2017-11-07,282.55
2017-11-08,282.2
2017-11-09,281.85
2017-11-10,281.1
2017-11-13,281.55
2017-11-14,281.15
2017-11-15,282.1
2017-11-16,284.2
2017-11-17,287.15
2017-11-20,286.15
2017-11-21,290.65
2017-11-22,291.45
2017-11-23,298.4
2017-11-24,296.5
2017-11-27,297.1
2017-11-28,286.7
2017-11-29,282.85
2017-11-30,293.55
2017-12-01,294.6
2017-12-04,295.55
2017-12-05,291.05
2017-12-06,289.9
2017-12-07,287.4
2017-12-08,287.6
2017-12-11,284.5
2017-12-12,277.9
2017-12-13,275.6
2017-12-14,272.1
2017-12-15,279.7
2017-12-18,284.95
2017-12-19,280.85
2017-12-20,285.15
2017-12-21,285.1
2017-12-22,293.15
2017-12-26,282.7
2017-12-27,274.0
2017-12-28,279.95
2017-12-29,279.8
