Date,STINDIA
2017-01-02,10.7
2017-01-03,12.0
2017-01-04,14.4
2017-01-05,17.25
2017-01-06,18.95
2017-01-09,20.8
2017-01-10,22.85
2017-01-11,23.95
2017-01-12,25.1
2017-01-13,26.35
2017-01-16,27.65
2017-01-17,29.0
2017-01-18,30.45
2017-03-07,18.0
2017-03-08,17.85
2017-03-09,18.0
2017-03-10,17.3
2017-03-14,16.8
2017-03-15,16.0
2017-03-16,15.2
2017-03-17,15.8
2017-03-20,15.05
2017-03-21,14.65
2017-03-22,14.8
2017-03-23,15.25
2017-03-24,14.7
2017-03-27,14.5
2017-03-28,14.1
2017-03-29,14.8
2017-03-30,15.5
2017-03-31,15.9
2017-04-03,15.2
2017-04-05,15.0
2017-04-06,14.95
2017-04-07,15.5
2017-04-10,15.4
2017-04-11,15.75
2017-04-12,15.0
2017-04-13,15.25
2017-04-17,15.3
2017-04-18,15.4
2017-04-19,15.5
2017-04-20,14.95
2017-04-21,15.45
2017-04-24,16.95
2017-04-25,18.6
2017-04-26,19.5
2017-04-27,20.45
2017-04-28,21.0
2017-05-02,19.95
2017-05-03,19.0
2017-05-04,18.05
2017-05-05,17.15
2017-05-08,16.8
2017-05-09,16.05
2017-05-10,16.7
2017-05-11,16.45
2017-05-12,16.5
2017-05-15,16.15
2017-05-16,16.0
2017-05-17,16.75
2017-05-18,16.5
2017-05-19,16.5
2017-05-22,15.7
2017-05-23,15.0
2017-05-24,15.45
2017-05-25,14.7
2017-05-26,15.4
2017-05-29,15.8
2017-05-30,16.4
2017-05-31,16.2
2017-06-01,15.4
2017-06-02,14.95
2017-06-05,15.0
2017-06-06,15.75
2017-06-07,16.0
2017-06-08,16.35
2017-06-09,16.0
2017-06-12,15.2
2017-06-13,15.05
2017-06-14,15.0
2017-06-15,15.2
2017-06-16,14.5
2017-06-19,14.35
2017-06-20,15.0
2017-06-21,14.9
2017-06-22,15.45
2017-06-23,14.95
2017-06-28,14.75
2017-06-29,15.35
2017-06-30,14.85
2017-07-03,15.35
2017-07-04,14.95
2017-07-05,14.35
2017-07-07,15.05
2017-07-11,14.65
2017-07-12,14.75
2017-07-13,14.75
2017-07-14,14.8
2017-07-17,15.15
2017-07-18,14.95
2017-07-19,15.3
2017-07-20,14.7
2017-07-21,14.7
2017-07-24,14.95
2017-07-25,14.7
2017-07-26,14.5
2017-07-27,14.25
2017-07-28,14.55
2017-07-31,14.65
2017-08-01,14.65
2017-08-03,15.0
2017-08-04,14.3
2017-08-07,13.0
2017-08-08,11.7
2017-08-09,10.55
2017-08-10,10.2
2017-08-11,10.7
2017-08-14,11.2
2017-08-16,11.75
2017-08-17,12.3
2017-08-18,12.85
2017-08-21,12.25
2017-08-22,12.5
2017-08-23,12.45
2017-08-24,12.6
2017-08-28,12.3
2017-08-29,12.7
2017-08-30,12.2
2017-08-31,12.75
2017-09-01,12.95
2017-09-04,13.45
2017-09-05,14.1
2017-09-06,14.4
2017-09-07,14.35
2017-09-08,13.65
2017-09-11,14.2
2017-09-12,14.8
2017-09-13,15.45
2017-09-14,16.2
2017-09-15,16.8
2017-09-18,17.15
2017-09-19,16.3
2017-09-20,15.6
2017-09-21,14.9
2017-09-22,14.2
2017-09-25,13.7
2017-09-26,14.2
2017-09-27,14.4
2017-09-28,13.7
2017-09-29,13.05
2017-10-03,12.5
2017-10-04,12.15
2017-10-05,12.1
2017-10-06,12.7
2017-10-09,12.7
2017-10-10,12.7
2017-10-12,13.1
2017-10-13,12.6
2017-10-16,13.0
2017-10-17,13.0
2017-10-18,13.5
2017-10-19,13.05
2017-10-23,13.7
2017-10-24,14.35
2017-10-25,14.6
2017-10-26,15.3
2017-10-27,14.55
2017-10-30,13.85
2017-10-31,14.5
2017-11-01,13.85
2017-11-02,13.4
2017-11-03,13.85
2017-11-06,14.0
2017-11-07,13.5
2017-11-08,13.25
2017-11-09,13.85
2017-11-10,14.0
2017-11-13,13.95
2017-11-14,14.0
2017-11-15,13.8
2017-11-16,13.65
2017-11-17,14.3
2017-11-20,14.25
2017-11-21,14.8
2017-11-22,15.5
2017-11-23,15.65
2017-11-24,15.85
2017-11-27,15.15
2017-11-28,15.6
2017-11-29,15.75
2017-11-30,15.5
2017-12-01,15.9
2017-12-04,15.35
2017-12-05,15.5
2017-12-06,16.1
2017-12-07,16.4
2017-12-08,16.0
2017-12-11,17.1
2017-12-12,17.1
2017-12-13,18.15
2017-12-14,17.65
2017-12-15,18.8
2017-12-18,20.65
2017-12-19,22.7
2017-12-20,23.8
2017-12-21,24.95
2017-12-22,26.15
2017-12-26,25.9
2017-12-27,26.25
2017-12-28,26.4
2017-12-29,26.05
