Date,MONNETISPA
2017-01-02,23.55
2017-01-03,23.9
2017-01-04,24.75
2017-01-05,24.55
2017-01-06,24.85
2017-01-09,26.6
2017-01-10,25.55
2017-01-11,26.15
2017-01-12,25.05
2017-01-13,24.8
2017-01-16,24.15
2017-01-17,24.6
2017-01-18,24.6
2017-01-19,27.95
2017-01-20,25.85
2017-01-23,27.7
2017-01-24,26.55
2017-01-25,26.9
2017-01-27,26.0
2017-01-30,27.85
2017-01-31,28.85
2017-02-01,29.35
2017-02-02,30.7
2017-02-03,34.9
2017-02-06,34.7
2017-02-07,33.9
2017-02-08,35.05
2017-02-09,36.35
2017-02-10,37.85
2017-02-13,37.2
2017-02-14,36.35
2017-02-15,35.8
2017-02-16,36.2
2017-02-17,37.45
2017-02-20,38.2
2017-02-21,36.7
2017-02-22,35.0
2017-02-23,33.8
2017-02-27,31.95
2017-02-28,33.8
2017-03-01,36.25
2017-03-02,35.75
2017-03-03,35.45
2017-03-06,34.65
2017-03-07,36.6
2017-03-08,35.8
2017-03-09,35.55
2017-03-10,34.6
2017-03-14,34.25
2017-03-15,34.25
2017-03-16,34.75
2017-03-17,34.15
2017-03-20,33.7
2017-03-21,33.2
2017-03-22,32.15
2017-03-23,33.65
2017-03-24,33.35
2017-03-27,33.0
2017-03-28,32.9
2017-03-29,33.2
2017-03-30,33.45
2017-03-31,34.1
2017-04-03,34.75
2017-04-05,36.95
2017-04-06,36.65
2017-04-07,36.2
2017-04-10,37.4
2017-04-11,37.1
2017-04-12,36.65
2017-04-13,36.15
2017-04-17,36.1
2017-04-18,36.15
2017-04-19,35.85
2017-04-20,37.25
2017-04-21,37.5
2017-04-24,39.4
2017-04-25,39.05
2017-04-26,37.95
2017-04-27,38.1
2017-04-28,37.65
2017-05-02,38.0
2017-05-03,40.5
2017-05-04,39.5
2017-05-05,38.05
2017-05-08,40.45
2017-05-09,41.9
2017-05-10,41.35
2017-05-11,42.35
2017-05-12,41.55
2017-05-15,42.5
2017-05-16,43.55
2017-05-17,43.25
2017-05-18,41.3
2017-05-19,41.0
2017-05-22,38.9
2017-05-23,36.65
2017-05-24,35.5
2017-05-25,37.4
2017-05-26,38.65
2017-05-29,36.75
2017-05-30,37.45
2017-05-31,36.0
2017-06-01,36.7
2017-06-02,36.25
2017-06-05,36.05
2017-06-06,35.1
2017-06-07,35.45
2017-06-08,36.4
2017-06-09,36.2
2017-06-12,35.5
2017-06-13,37.75
2017-06-14,37.15
2017-06-15,36.45
2017-06-16,34.35
2017-06-19,30.4
2017-06-20,35.4
2017-06-21,41.4
2017-06-22,38.0
2017-06-23,36.1
2017-06-27,34.4
2017-06-28,34.2
2017-06-29,35.0
2017-06-30,35.3
2017-07-03,34.45
2017-07-04,34.4
2017-07-05,34.05
2017-07-06,34.15
2017-07-07,34.15
2017-07-10,34.35
2017-07-11,33.7
2017-07-12,33.2
2017-07-13,32.35
2017-07-14,31.1
2017-07-17,33.0
2017-07-18,32.95
2017-07-19,33.45
2017-07-20,33.6
2017-07-21,33.55
2017-07-24,33.8
2017-07-25,33.45
2017-07-26,34.05
2017-07-27,32.8
2017-07-28,32.35
2017-07-31,32.0
2017-08-01,31.95
2017-08-02,31.85
2017-08-03,30.15
2017-08-04,31.2
2017-08-07,31.85
2017-08-08,30.85
2017-08-09,29.5
2017-08-10,27.8
2017-08-11,29.15
2017-08-14,29.8
2017-08-16,33.2
2017-08-17,31.7
2017-08-18,30.75
2017-08-21,31.0
2017-08-22,30.45
2017-08-23,30.9
2017-08-24,31.75
2017-08-28,32.1
2017-08-29,30.45
2017-08-30,29.9
2017-08-31,29.8
2017-09-01,30.15
2017-09-04,29.2
2017-09-05,29.6
2017-09-06,29.25
2017-09-07,29.15
2017-09-08,28.9
2017-09-11,29.2
2017-09-12,28.95
2017-09-13,28.25
2017-09-14,27.95
2017-09-15,27.95
2017-09-18,31.0
2017-09-19,31.6
2017-09-20,31.4
2017-09-21,31.3
2017-09-22,29.9
2017-09-25,28.95
2017-09-26,29.1
2017-09-27,29.2
2017-09-28,30.05
2017-09-29,30.0
2017-10-03,29.75
2017-10-04,29.9
2017-10-05,29.45
2017-10-06,29.9
2017-10-09,29.6
2017-10-10,29.85
2017-10-11,29.75
2017-10-12,29.55
2017-10-13,29.7
2017-10-16,30.15
2017-10-17,30.35
2017-10-18,30.25
2017-10-19,30.15
2017-10-23,32.8
2017-10-24,33.25
2017-10-25,31.75
2017-10-26,32.4
2017-10-27,33.6
2017-10-30,32.95
2017-10-31,34.15
2017-11-01,33.5
2017-11-02,32.6
2017-11-03,34.05
2017-11-06,34.45
2017-11-07,33.1
2017-11-08,33.0
2017-11-09,32.95
2017-11-10,32.6
2017-11-13,32.45
2017-11-14,32.65
2017-11-15,31.4
2017-11-16,31.25
2017-11-17,31.45
2017-11-20,33.85
2017-11-21,33.25
2017-11-22,33.8
2017-11-23,34.1
2017-11-24,33.4
2017-11-27,33.0
2017-11-28,33.45
2017-11-29,34.2
2017-11-30,33.9
2017-12-01,32.95
2017-12-04,32.25
2017-12-05,32.7
2017-12-06,32.85
2017-12-07,32.8
2017-12-08,32.2
2017-12-11,32.15
2017-12-12,33.1
2017-12-13,33.85
2017-12-14,33.35
2017-12-15,33.15
2017-12-18,31.9
2017-12-19,30.85
2017-12-20,29.9
2017-12-21,29.95
2017-12-22,30.0
2017-12-26,30.0
2017-12-27,30.8
2017-12-28,33.9
2017-12-29,35.25
