Date,RAJSREESUG
2017-01-02,68.55
2017-01-03,65.1
2017-01-04,65.5
2017-01-05,64.75
2017-01-06,64.75
2017-01-09,68.75
2017-01-10,71.5
2017-01-11,69.05
2017-01-12,68.4
2017-01-13,68.9
2017-01-16,69.5
2017-01-17,69.85
2017-01-18,69.3
2017-01-19,69.4
2017-01-20,67.45
2017-01-23,68.4
2017-01-24,69.65
2017-01-25,69.0
2017-01-27,70.75
2017-01-30,69.25
2017-01-31,66.6
2017-02-01,70.6
2017-02-02,68.4
2017-02-03,65.1
2017-02-06,65.75
2017-02-07,65.75
2017-02-08,64.65
2017-02-09,63.65
2017-02-10,63.05
2017-02-13,62.25
2017-02-14,60.4
2017-02-15,60.05
2017-02-16,61.8
2017-02-17,61.2
2017-02-20,63.3
2017-02-21,62.2
2017-02-22,62.15
2017-02-23,61.5
2017-02-27,61.15
2017-02-28,62.2
2017-03-01,62.2
2017-03-02,61.4
2017-03-03,62.75
2017-03-06,64.85
2017-03-07,63.75
2017-03-08,62.4
2017-03-09,61.55
2017-03-10,63.1
2017-03-14,62.9
2017-03-15,62.15
2017-03-16,62.4
2017-03-17,62.0
2017-03-20,65.2
2017-03-21,63.25
2017-03-22,62.55
2017-03-23,63.25
2017-03-24,63.1
2017-03-27,62.4
2017-03-28,61.85
2017-03-29,61.9
2017-03-30,61.65
2017-03-31,61.6
2017-04-03,62.25
2017-04-05,62.4
2017-04-06,62.15
2017-04-07,62.05
2017-04-10,60.45
2017-04-11,57.9
2017-04-12,65.1
2017-04-13,64.15
2017-04-17,63.6
2017-04-18,61.25
2017-04-19,61.75
2017-04-20,63.8
2017-04-21,65.0
2017-04-24,66.5
2017-04-25,65.8
2017-04-26,64.9
2017-04-27,63.15
2017-04-28,63.7
2017-05-02,63.4
2017-05-03,62.35
2017-05-04,62.1
2017-05-05,61.15
2017-05-08,61.75
2017-05-09,62.95
2017-05-10,63.95
2017-05-11,63.5
2017-05-12,62.6
2017-05-15,62.6
2017-05-16,62.3
2017-05-17,61.65
2017-05-18,61.05
2017-05-19,61.4
2017-05-22,61.2
2017-05-23,59.4
2017-05-24,58.55
2017-05-25,60.65
2017-05-26,62.65
2017-05-29,64.0
2017-05-30,60.8
2017-05-31,60.65
2017-06-01,59.2
2017-06-02,60.25
2017-06-05,59.15
2017-06-06,57.85
2017-06-07,58.25
2017-06-08,56.8
2017-06-09,55.9
2017-06-12,54.85
2017-06-13,56.85
2017-06-14,53.8
2017-06-15,53.8
2017-06-16,53.9
2017-06-19,52.25
2017-06-20,52.6
2017-06-21,53.0
2017-06-22,52.1
2017-06-23,50.95
2017-06-27,50.45
2017-06-28,51.35
2017-06-29,52.0
2017-06-30,51.9
2017-07-03,53.05
2017-07-04,51.65
2017-07-05,51.85
2017-07-06,52.1
2017-07-07,57.2
2017-07-10,55.65
2017-07-11,58.0
2017-07-12,55.8
2017-07-13,55.05
2017-07-14,54.8
2017-07-17,53.5
2017-07-18,52.6
2017-07-19,53.4
2017-07-20,56.35
2017-07-21,57.7
2017-07-24,56.75
2017-07-25,57.55
2017-07-26,55.95
2017-07-27,53.65
2017-07-28,53.6
2017-07-31,54.25
2017-08-01,53.9
2017-08-02,55.35
2017-08-03,55.9
2017-08-04,56.3
2017-08-07,62.35
2017-08-08,56.6
2017-08-09,55.45
2017-08-10,53.8
2017-08-11,52.65
2017-08-14,54.2
2017-08-16,54.85
2017-08-17,54.4
2017-08-18,54.1
2017-08-21,52.35
2017-08-22,50.65
2017-08-23,50.3
2017-08-24,51.45
2017-08-28,52.5
2017-08-29,57.95
2017-08-30,58.0
2017-08-31,57.45
2017-09-01,56.7
2017-09-04,56.8
2017-09-05,57.3
2017-09-06,56.9
2017-09-07,56.8
2017-09-08,56.4
2017-09-11,55.5
2017-09-12,56.8
2017-09-13,57.0
2017-09-14,56.35
2017-09-15,54.8
2017-09-18,56.25
2017-09-19,56.8
2017-09-20,59.25
2017-09-21,58.3
2017-09-22,55.6
2017-09-25,54.75
2017-09-26,55.0
2017-09-27,54.1
2017-09-28,54.95
2017-09-29,55.1
2017-10-03,55.55
2017-10-04,55.4
2017-10-05,56.15
2017-10-06,57.2
2017-10-09,56.4
2017-10-10,64.35
2017-10-11,60.85
2017-10-12,67.8
2017-10-13,64.2
2017-10-16,62.45
2017-10-17,62.0
2017-10-18,62.25
2017-10-19,62.15
2017-10-23,66.55
2017-10-24,66.45
2017-10-25,65.65
2017-10-26,64.9
2017-10-27,64.85
2017-10-30,64.95
2017-10-31,64.9
2017-11-01,66.95
2017-11-02,67.5
2017-11-03,71.4
2017-11-06,70.75
2017-11-07,69.05
2017-11-08,68.75
2017-11-09,67.95
2017-11-10,68.5
2017-11-13,66.7
2017-11-14,66.15
2017-11-15,65.15
2017-11-16,65.85
2017-11-17,66.9
2017-11-20,67.4
2017-11-21,65.5
2017-11-22,65.85
2017-11-23,67.45
2017-11-24,62.25
2017-11-27,61.85
2017-11-28,60.1
2017-11-29,59.4
2017-11-30,58.7
2017-12-01,57.85
2017-12-04,58.0
2017-12-05,58.65
2017-12-06,58.0
2017-12-07,58.0
2017-12-08,58.9
2017-12-11,57.05
2017-12-12,56.0
2017-12-13,54.1
2017-12-14,53.15
2017-12-15,51.75
2017-12-18,53.4
2017-12-19,56.7
2017-12-20,56.25
2017-12-21,55.35
2017-12-22,56.55
2017-12-26,56.75
2017-12-27,56.5
2017-12-28,58.95
2017-12-29,56.45
