Date,TECHNO
2017-01-02,303.1
2017-01-03,303.25
2017-01-04,317.0
2017-01-05,320.0
2017-01-06,325.65
2017-01-09,325.05
2017-01-10,339.55
2017-01-11,340.3
2017-01-12,345.5
2017-01-13,344.4
2017-01-16,340.75
2017-01-17,342.05
2017-01-18,342.15
2017-01-19,342.2
2017-01-20,346.6
2017-01-23,340.85
2017-01-24,349.1
2017-01-25,350.0
2017-01-27,347.4
2017-01-30,353.05
2017-01-31,353.95
2017-02-01,350.85
2017-02-02,350.15
2017-02-03,370.9
2017-02-06,375.75
2017-02-07,364.8
2017-02-08,371.15
2017-02-09,368.05
2017-02-10,370.2
2017-02-13,373.65
2017-02-14,376.15
2017-02-15,372.85
2017-02-16,369.7
2017-02-17,368.55
2017-02-20,370.6
2017-02-21,368.3
2017-02-22,369.0
2017-02-23,369.75
2017-02-27,369.25
2017-02-28,372.55
2017-03-01,376.8
2017-03-02,368.45
2017-03-03,371.05
2017-03-06,367.3
2017-03-07,368.0
2017-03-08,363.35
2017-03-09,360.6
2017-03-10,357.6
2017-03-14,366.05
2017-03-15,366.85
2017-03-16,364.05
2017-03-17,362.0
2017-03-20,359.75
2017-03-21,360.2
2017-03-22,350.55
2017-03-23,346.75
2017-03-24,346.8
2017-03-27,350.85
2017-03-28,382.7
2017-03-29,389.15
2017-03-30,398.0
2017-03-31,400.55
2017-04-03,408.95
2017-04-05,395.4
2017-04-06,392.25
2017-04-07,394.6
2017-04-10,391.8
2017-04-11,389.35
2017-04-12,386.55
2017-04-13,381.35
2017-04-17,380.05
2017-04-18,382.1
2017-04-19,380.25
2017-04-20,376.95
2017-04-21,391.7
2017-04-24,394.1
2017-04-25,391.95
2017-04-26,390.7
2017-04-27,384.4
2017-04-28,390.4
2017-05-02,401.55
2017-05-03,401.8
2017-05-04,403.1
2017-05-05,402.5
2017-05-08,406.0
2017-05-09,408.65
2017-05-10,407.75
2017-05-11,404.35
2017-05-12,406.0
2017-05-15,407.8
2017-05-16,406.4
2017-05-17,407.95
2017-05-18,401.5
2017-05-19,387.15
2017-05-22,397.85
2017-05-23,395.2
2017-05-24,391.15
2017-05-25,396.55
2017-05-26,409.2
2017-05-29,396.45
2017-05-30,392.15
2017-05-31,399.6
2017-06-01,402.5
2017-06-02,423.5
2017-06-05,422.2
2017-06-06,421.15
2017-06-07,420.95
2017-06-08,432.75
2017-06-09,430.9
2017-06-12,423.65
2017-06-13,418.6
2017-06-14,413.45
2017-06-15,406.65
2017-06-16,415.85
2017-06-19,415.1
2017-06-20,404.05
2017-06-21,394.95
2017-06-22,384.3
2017-06-23,374.3
2017-06-27,368.85
2017-06-28,381.15
2017-06-29,377.35
2017-06-30,375.15
2017-07-03,383.95
2017-07-04,383.9
2017-07-05,383.15
2017-07-06,385.2
2017-07-07,384.35
2017-07-10,383.3
2017-07-11,378.45
2017-07-12,374.1
2017-07-13,373.8
2017-07-14,372.85
2017-07-17,378.05
2017-07-18,377.1
2017-07-19,389.75
2017-07-20,377.85
2017-07-21,378.45
2017-07-24,374.1
2017-07-25,373.4
2017-07-26,372.15
2017-07-27,368.85
2017-07-28,370.25
2017-07-31,367.55
2017-08-01,369.5
2017-08-02,373.45
2017-08-03,373.7
2017-08-04,366.3
2017-08-07,368.65
2017-08-08,367.35
2017-08-09,365.6
2017-08-10,355.95
2017-08-11,346.45
2017-08-14,372.8
2017-08-16,383.65
2017-08-17,374.15
2017-08-18,366.9
2017-08-21,362.95
2017-08-22,356.9
2017-08-23,361.25
2017-08-24,363.3
2017-08-28,356.25
2017-08-29,350.1
2017-08-30,359.4
2017-08-31,364.2
2017-09-01,363.85
2017-09-04,361.2
2017-09-05,361.45
2017-09-06,358.7
2017-09-07,356.25
2017-09-08,354.75
2017-09-11,357.65
2017-09-12,363.75
2017-09-13,355.95
2017-09-14,367.8
2017-09-15,367.9
2017-09-18,373.4
2017-09-19,371.3
2017-09-20,360.75
2017-09-21,353.7
2017-09-22,338.35
2017-09-25,335.55
2017-09-26,329.2
2017-09-27,321.6
2017-09-28,321.7
2017-09-29,325.75
2017-10-03,325.65
2017-10-04,319.5
2017-10-05,326.3
2017-10-06,330.4
2017-10-09,348.05
2017-10-10,348.25
2017-10-11,345.6
2017-10-12,350.4
2017-10-13,350.1
2017-10-16,350.8
2017-10-17,349.8
2017-10-18,350.9
2017-10-19,353.15
2017-10-23,348.25
2017-10-24,348.0
2017-10-25,343.35
2017-10-26,340.45
2017-10-27,341.3
2017-10-30,352.75
2017-10-31,361.85
2017-11-01,360.75
2017-11-02,360.5
2017-11-03,361.6
2017-11-06,370.4
2017-11-07,371.65
2017-11-08,376.0
2017-11-09,371.6
2017-11-10,380.55
2017-11-13,366.4
2017-11-14,383.15
2017-11-15,378.0
2017-11-16,382.5
2017-11-17,379.7
2017-11-20,384.9
2017-11-21,394.55
2017-11-22,396.25
2017-11-23,397.9
2017-11-24,398.25
2017-11-27,406.25
2017-11-28,398.15
2017-11-29,389.6
2017-11-30,408.25
2017-12-01,388.4
2017-12-04,385.8
2017-12-05,380.0
2017-12-06,383.75
2017-12-07,393.15
2017-12-08,410.05
2017-12-11,397.05
2017-12-12,401.45
2017-12-13,396.95
2017-12-14,387.75
2017-12-15,395.0
2017-12-18,392.1
2017-12-19,400.55
2017-12-20,400.95
2017-12-21,401.2
2017-12-22,404.5
2017-12-26,401.25
2017-12-27,402.15
2017-12-28,404.2
2017-12-29,411.85
