Date,ADVANIHOTR
2017-01-02,51.6
2017-01-03,51.9
2017-01-04,51.55
2017-01-05,51.9
2017-01-06,50.9
2017-01-09,51.75
2017-01-10,53.0
2017-01-11,52.05
2017-01-12,51.95
2017-01-13,51.8
2017-01-16,51.35
2017-01-17,52.0
2017-01-18,51.6
2017-01-19,53.85
2017-01-20,53.7
2017-01-23,54.65
2017-01-24,55.95
2017-01-25,53.4
2017-01-27,60.15
2017-01-30,58.45
2017-01-31,56.15
2017-02-01,57.25
2017-02-02,54.6
2017-02-03,55.45
2017-02-06,55.8
2017-02-07,55.3
2017-02-08,56.45
2017-02-09,56.25
2017-02-10,56.45
2017-02-13,54.4
2017-02-14,52.7
2017-02-15,52.25
2017-02-16,53.3
2017-02-17,52.4
2017-02-20,53.8
2017-02-21,53.75
2017-02-22,53.9
2017-02-23,53.75
2017-02-27,52.45
2017-02-28,52.0
2017-03-01,52.8
2017-03-02,52.45
2017-03-03,51.7
2017-03-06,51.85
2017-03-07,52.45
2017-03-08,52.1
2017-03-09,52.1
2017-03-10,59.85
2017-03-14,56.0
2017-03-15,56.2
2017-03-16,55.65
2017-03-17,57.0
2017-03-20,56.7
2017-03-21,56.05
2017-03-22,56.15
2017-03-23,56.35
2017-03-24,56.55
2017-03-27,55.65
2017-03-28,56.85
2017-03-29,55.8
2017-03-30,56.65
2017-03-31,56.85
2017-04-03,67.55
2017-04-05,63.35
2017-04-06,65.75
2017-04-07,64.75
2017-04-10,62.55
2017-04-11,63.1
2017-04-12,62.2
2017-04-13,61.7
2017-04-17,62.8
2017-04-18,63.5
2017-04-19,64.2
2017-04-20,63.25
2017-04-21,63.35
2017-04-24,63.7
2017-04-25,63.35
2017-04-26,62.9
2017-04-27,62.2
2017-04-28,62.55
2017-05-02,61.35
2017-05-03,61.1
2017-05-04,61.55
2017-05-05,60.9
2017-05-08,60.0
2017-05-09,57.95
2017-05-10,60.9
2017-05-11,62.25
2017-05-12,62.0
2017-05-15,61.4
2017-05-16,61.25
2017-05-17,60.7
2017-05-18,59.65
2017-05-19,59.1
2017-05-22,58.05
2017-05-23,55.4
2017-05-24,53.0
2017-05-25,53.1
2017-05-26,54.35
2017-05-29,54.15
2017-05-30,53.05
2017-05-31,53.95
2017-06-01,54.2
2017-06-02,54.5
2017-06-05,61.0
2017-06-06,58.95
2017-06-07,58.85
2017-06-08,57.0
2017-06-09,57.85
2017-06-12,56.6
2017-06-13,57.0
2017-06-14,57.0
2017-06-15,57.25
2017-06-16,58.9
2017-06-19,63.15
2017-06-20,60.9
2017-06-21,64.4
2017-06-22,60.8
2017-06-23,58.8
2017-06-27,56.8
2017-06-28,56.55
2017-06-29,56.45
2017-06-30,57.0
2017-07-03,60.05
2017-07-04,60.05
2017-07-05,61.0
2017-07-06,59.5
2017-07-07,63.9
2017-07-10,63.0
2017-07-11,61.35
2017-07-12,59.7
2017-07-13,61.6
2017-07-14,60.8
2017-07-17,60.3
2017-07-18,59.75
2017-07-19,59.75
2017-07-20,62.1
2017-07-21,64.15
2017-07-24,68.95
2017-07-25,68.55
2017-07-26,66.9
2017-07-27,66.25
2017-07-28,63.65
2017-07-31,63.65
2017-08-01,62.9
2017-08-02,62.25
2017-08-03,60.45
2017-08-04,61.85
2017-08-07,62.1
2017-08-08,59.3
2017-08-09,57.9
2017-08-10,56.75
2017-08-11,54.9
2017-08-14,58.85
2017-08-16,56.5
2017-08-17,57.1
2017-08-18,55.95
2017-08-21,54.65
2017-08-22,53.1
2017-08-23,55.35
2017-08-24,53.3
2017-08-28,54.6
2017-08-29,54.0
2017-08-30,55.05
2017-08-31,57.05
2017-09-01,57.0
2017-09-04,56.75
2017-09-05,56.45
2017-09-06,59.95
2017-09-07,58.65
2017-09-08,60.0
2017-09-11,60.0
2017-09-12,59.95
2017-09-13,60.25
2017-09-14,58.8
2017-09-15,58.05
2017-09-18,58.4
2017-09-19,58.0
2017-09-20,59.1
2017-09-21,61.1
2017-09-22,58.05
2017-09-25,56.5
2017-09-26,57.5
2017-09-27,55.55
2017-09-28,53.85
2017-09-29,56.25
2017-10-03,56.4
2017-10-04,56.7
2017-10-05,55.9
2017-10-06,58.9
2017-10-09,59.45
2017-10-10,58.35
2017-10-11,57.3
2017-10-12,58.0
2017-10-13,58.85
2017-10-16,56.55
2017-10-17,67.15
2017-10-18,62.75
2017-10-19,62.7
2017-10-23,61.7
2017-10-24,64.9
2017-10-25,62.2
2017-10-26,63.2
2017-10-27,62.6
2017-10-30,63.25
2017-10-31,64.15
2017-11-01,64.2
2017-11-02,63.95
2017-11-03,62.85
2017-11-06,62.65
2017-11-07,61.9
2017-11-08,62.75
2017-11-09,61.85
2017-11-10,63.05
2017-11-13,64.65
2017-11-14,64.3
2017-11-15,61.95
2017-11-16,62.5
2017-11-17,68.65
2017-11-20,67.25
2017-11-21,63.95
2017-11-22,65.0
2017-11-23,65.7
2017-11-24,70.15
2017-11-27,77.1
2017-11-28,78.0
2017-11-29,77.55
2017-11-30,73.4
2017-12-01,70.2
2017-12-04,71.8
2017-12-05,72.15
2017-12-06,70.4
2017-12-07,72.6
2017-12-08,72.35
2017-12-11,78.55
2017-12-12,76.7
2017-12-13,76.2
2017-12-14,74.2
2017-12-15,80.85
2017-12-18,78.05
2017-12-19,85.3
2017-12-20,82.9
2017-12-21,81.1
2017-12-22,80.95
2017-12-26,82.2
2017-12-27,80.4
2017-12-28,78.8
2017-12-29,79.15
