Date,BEARDSELL
2017-01-02,384.05
2017-01-03,400.0
2017-01-04,391.0
2017-01-05,392.05
2017-01-06,398.75
2017-01-09,396.7
2017-01-10,407.55
2017-01-11,395.3
2017-01-12,383.3
2017-01-13,376.4
2017-01-16,388.0
2017-01-17,376.1
2017-01-18,384.95
2017-01-19,373.5
2017-01-20,365.45
2017-01-23,363.45
2017-01-24,345.65
2017-01-25,328.55
2017-01-27,344.95
2017-01-30,338.95
2017-01-31,328.7
2017-02-01,319.0
2017-02-02,324.1
2017-02-03,340.3
2017-02-06,357.2
2017-02-07,350.25
2017-02-08,351.1
2017-02-09,368.1
2017-02-10,380.0
2017-02-13,386.6
2017-02-14,378.95
2017-02-15,360.05
2017-02-16,342.05
2017-02-17,333.8
2017-02-20,335.55
2017-02-21,352.3
2017-02-22,367.1
2017-02-23,349.15
2017-02-27,356.35
2017-02-28,374.15
2017-03-01,392.85
2017-03-02,412.45
2017-03-03,433.05
2017-03-06,419.15
2017-03-07,398.2
2017-03-08,386.2
2017-03-09,389.7
2017-03-10,394.25
2017-03-14,397.0
2017-03-15,416.85
2017-03-16,437.65
2017-03-17,459.5
2017-03-20,482.45
2017-03-21,506.55
2017-03-22,530.3
2017-03-23,556.8
2017-03-24,529.0
2017-03-27,502.55
2017-03-28,477.45
2017-03-29,466.25
2017-05-30,64.0
2017-05-31,60.8
2017-06-01,57.8
2017-06-02,60.4
2017-06-05,57.95
2017-06-06,57.45
2017-06-07,60.15
2017-06-08,60.45
2017-06-09,61.6
2017-06-12,58.55
2017-06-13,56.8
2017-06-14,56.0
2017-06-15,58.8
2017-06-16,58.95
2017-06-19,56.05
2017-06-20,55.15
2017-06-21,55.15
2017-06-22,55.3
2017-06-23,55.4
2017-06-27,53.05
2017-06-28,54.5
2017-06-29,53.4
2017-06-30,53.35
2017-07-03,52.75
2017-07-04,52.0
2017-07-05,53.35
2017-07-06,56.0
2017-07-07,55.4
2017-07-10,56.15
2017-07-11,57.4
2017-07-12,56.65
2017-07-13,58.3
2017-07-14,58.9
2017-07-17,57.95
2017-07-18,57.7
2017-07-19,57.75
2017-07-20,58.5
2017-07-21,56.05
2017-07-24,55.0
2017-07-25,56.75
2017-07-26,55.0
2017-07-27,53.25
2017-07-28,51.25
2017-07-31,50.85
2017-08-01,52.0
2017-08-02,50.3
2017-08-03,52.7
2017-08-04,52.85
2017-08-07,54.95
2017-08-08,54.7
2017-08-09,53.9
2017-08-10,51.25
2017-08-11,50.5
2017-08-14,52.35
2017-08-16,53.65
2017-08-17,53.4
2017-08-18,52.85
2017-08-21,53.25
2017-08-22,52.25
2017-08-23,53.0
2017-08-24,52.95
2017-08-28,53.4
2017-08-29,52.05
2017-08-30,52.2
2017-08-31,53.0
2017-09-01,52.1
2017-09-04,55.9
2017-09-05,55.85
2017-09-06,55.0
2017-09-07,59.65
2017-09-08,65.6
2017-09-11,67.2
2017-09-12,66.95
2017-09-13,63.9
2017-09-14,60.75
2017-09-15,58.0
2017-09-18,60.9
2017-09-19,63.9
2017-09-20,67.05
2017-09-21,70.4
2017-09-22,73.5
2017-09-25,76.05
2017-09-26,74.25
2017-09-27,73.2
2017-09-28,70.8
2017-09-29,70.3
2017-10-03,68.55
2017-10-04,70.35
2017-10-05,70.35
2017-10-06,69.75
2017-10-09,72.15
2017-10-10,72.0
2017-10-11,70.2
2017-10-12,72.05
2017-10-13,71.75
2017-10-16,68.0
2017-10-17,63.45
2017-10-18,66.9
2017-10-19,67.75
2017-10-23,66.8
2017-10-24,67.55
2017-10-25,67.3
2017-10-26,70.35
2017-10-27,71.2
2017-10-30,69.25
2017-10-31,68.4
2017-11-01,69.7
2017-11-02,68.65
2017-11-03,68.45
2017-11-06,69.3
2017-11-07,68.4
2017-11-08,68.3
2017-11-09,66.0
2017-11-10,61.75
2017-11-13,61.6
2017-11-14,61.65
2017-11-15,59.35
2017-11-16,59.25
2017-11-17,65.15
2017-11-20,68.1
2017-11-21,67.4
2017-11-22,68.0
2017-11-23,66.95
2017-11-24,66.4
2017-11-27,65.9
2017-11-28,66.95
2017-11-29,66.85
2017-11-30,65.6
2017-12-01,65.15
2017-12-04,65.1
2017-12-05,64.2
2017-12-06,63.5
2017-12-07,64.8
2017-12-08,64.05
2017-12-11,63.6
2017-12-12,62.3
2017-12-13,64.05
2017-12-14,65.4
2017-12-15,62.55
2017-12-18,62.1
2017-12-19,62.65
2017-12-20,63.1
2017-12-21,64.55
2017-12-22,64.95
2017-12-26,66.45
2017-12-27,65.75
2017-12-28,66.15
2017-12-29,66.85
