Date,GUJFLUORO
2017-01-02,471.65
2017-01-03,479.7
2017-01-04,472.15
2017-01-05,480.75
2017-01-06,475.95
2017-01-09,477.25
2017-01-10,477.7
2017-01-11,478.7
2017-01-12,478.45
2017-01-13,477.6
2017-01-16,474.85
2017-01-17,478.75
2017-01-18,474.8
2017-01-19,482.55
2017-01-20,476.75
2017-01-23,481.45
2017-01-24,477.8
2017-01-25,473.15
2017-01-27,490.2
2017-01-30,489.75
2017-01-31,478.15
2017-02-01,489.1
2017-02-02,481.55
2017-02-03,483.9
2017-02-06,485.35
2017-02-07,475.4
2017-02-08,467.75
2017-02-09,495.35
2017-02-10,486.55
2017-02-13,500.9
2017-02-14,501.9
2017-02-15,485.6
2017-02-16,484.8
2017-02-17,488.15
2017-02-20,500.35
2017-02-21,509.85
2017-02-22,514.55
2017-02-23,508.65
2017-02-27,509.0
2017-02-28,525.65
2017-03-01,533.75
2017-03-02,522.9
2017-03-03,536.65
2017-03-06,531.5
2017-03-07,527.75
2017-03-08,557.7
2017-03-09,588.6
2017-03-10,589.7
2017-03-14,592.3
2017-03-15,590.1
2017-03-16,611.6
2017-03-17,617.1
2017-03-20,610.35
2017-03-21,608.9
2017-03-22,602.15
2017-03-23,606.25
2017-03-24,634.65
2017-03-27,666.05
2017-03-28,708.85
2017-03-29,694.75
2017-03-30,749.15
2017-03-31,760.05
2017-04-03,769.45
2017-04-05,754.1
2017-04-06,734.75
2017-04-07,726.85
2017-04-10,739.55
2017-04-11,727.1
2017-04-12,720.25
2017-04-13,730.0
2017-04-17,711.05
2017-04-18,675.65
2017-04-19,716.0
2017-04-20,719.85
2017-04-21,713.5
2017-04-24,712.35
2017-04-25,715.8
2017-04-26,710.15
2017-04-27,717.45
2017-04-28,774.65
2017-05-02,770.25
2017-05-03,759.55
2017-05-04,784.05
2017-05-05,768.3
2017-05-08,751.35
2017-05-09,753.6
2017-05-10,742.65
2017-05-11,727.0
2017-05-12,715.75
2017-05-15,717.8
2017-05-16,707.0
2017-05-17,697.75
2017-05-18,686.05
2017-05-19,677.85
2017-05-22,668.85
2017-05-23,654.0
2017-05-24,646.0
2017-05-25,678.35
2017-05-26,693.8
2017-05-29,682.0
2017-05-30,697.3
2017-05-31,669.1
2017-06-01,665.2
2017-06-02,658.95
2017-06-05,655.5
2017-06-06,663.95
2017-06-07,700.15
2017-06-08,699.0
2017-06-09,717.4
2017-06-12,707.05
2017-06-13,715.75
2017-06-14,701.25
2017-06-15,691.1
2017-06-16,686.4
2017-06-19,700.35
2017-06-20,689.65
2017-06-21,740.1
2017-06-22,739.85
2017-06-23,716.15
2017-06-27,698.0
2017-06-28,683.05
2017-06-29,691.9
2017-06-30,739.1
2017-07-03,754.35
2017-07-04,732.65
2017-07-05,739.45
2017-07-06,782.65
2017-07-07,837.65
2017-07-10,852.45
2017-07-11,826.7
2017-07-12,829.0
2017-07-13,819.2
2017-07-14,805.6
2017-07-17,804.0
2017-07-18,795.05
2017-07-19,807.5
2017-07-20,796.15
2017-07-21,786.3
2017-07-24,791.95
2017-07-25,779.7
2017-07-26,777.95
2017-07-27,792.2
2017-07-28,786.65
2017-07-31,777.55
2017-08-01,765.75
2017-08-02,792.65
2017-08-03,779.2
2017-08-04,786.55
2017-08-07,813.35
2017-08-08,781.15
2017-08-09,782.65
2017-08-10,753.65
2017-08-11,744.55
2017-08-14,748.0
2017-08-16,752.65
2017-08-17,746.7
2017-08-18,747.55
2017-08-21,736.55
2017-08-22,751.2
2017-08-23,752.0
2017-08-24,734.6
2017-08-28,739.05
2017-08-29,739.3
2017-08-30,737.0
2017-08-31,715.75
2017-09-01,725.65
2017-09-04,720.15
2017-09-05,714.45
2017-09-06,719.75
2017-09-07,713.85
2017-09-08,711.3
2017-09-11,718.25
2017-09-12,717.25
2017-09-13,708.3
2017-09-14,714.15
2017-09-15,710.5
2017-09-18,709.7
2017-09-19,710.25
2017-09-20,710.6
2017-09-21,719.25
2017-09-22,702.05
2017-09-25,687.6
2017-09-26,696.95
2017-09-27,683.0
2017-09-28,680.35
2017-09-29,675.7
2017-10-03,677.05
2017-10-04,686.1
2017-10-05,737.9
2017-10-06,722.25
2017-10-09,721.15
2017-10-10,713.35
2017-10-11,704.1
2017-10-12,703.55
2017-10-13,723.9
2017-10-16,708.6
2017-10-17,699.05
2017-10-18,714.35
2017-10-19,714.8
2017-10-23,698.0
2017-10-24,735.45
2017-10-25,773.35
2017-10-26,891.55
2017-10-27,867.25
2017-10-30,888.45
2017-10-31,929.8
2017-11-01,919.2
2017-11-02,903.85
2017-11-03,894.45
2017-11-06,884.5
2017-11-07,887.35
2017-11-08,869.1
2017-11-09,882.85
2017-11-10,881.05
2017-11-13,880.45
2017-11-14,881.4
2017-11-15,876.2
2017-11-16,869.35
2017-11-17,879.7
2017-11-20,869.75
2017-11-21,860.6
2017-11-22,845.8
2017-11-23,849.35
2017-11-24,847.75
2017-11-27,872.65
2017-11-28,871.8
2017-11-29,896.5
2017-11-30,874.15
2017-12-01,877.45
2017-12-04,907.05
2017-12-05,900.1
2017-12-06,879.4
2017-12-07,892.95
2017-12-08,900.3
2017-12-11,897.65
2017-12-12,881.7
2017-12-13,885.25
2017-12-14,874.05
2017-12-15,878.85
2017-12-18,878.2
2017-12-19,878.05
2017-12-20,875.65
2017-12-21,871.5
2017-12-22,899.35
2017-12-26,899.45
2017-12-27,895.75
2017-12-28,912.95
2017-12-29,911.3
