Date,LYKALABS
2017-01-02,52.9
2017-01-03,53.95
2017-01-04,54.1
2017-01-05,54.35
2017-01-06,60.3
2017-01-09,60.7
2017-01-10,61.1
2017-01-11,60.7
2017-01-12,57.95
2017-01-13,60.0
2017-01-16,60.45
2017-01-17,59.6
2017-01-18,60.9
2017-01-19,62.1
2017-01-20,60.3
2017-01-23,62.35
2017-01-24,62.45
2017-01-25,63.65
2017-01-27,62.2
2017-01-30,63.65
2017-01-31,61.2
2017-02-01,61.55
2017-02-02,61.9
2017-02-03,61.0
2017-02-06,60.45
2017-02-07,60.25
2017-02-08,60.75
2017-02-09,60.2
2017-02-10,59.6
2017-02-13,58.05
2017-02-14,59.1
2017-02-15,56.55
2017-02-16,58.05
2017-02-17,58.55
2017-02-20,59.3
2017-02-21,59.45
2017-02-22,59.05
2017-02-23,58.3
2017-02-27,57.7
2017-02-28,57.75
2017-03-01,62.35
2017-03-02,60.15
2017-03-03,60.75
2017-03-06,59.6
2017-03-07,59.25
2017-03-08,58.75
2017-03-09,57.95
2017-03-10,57.3
2017-03-14,58.0
2017-03-15,58.1
2017-03-16,58.6
2017-03-17,57.8
2017-03-20,58.0
2017-03-21,57.75
2017-03-22,56.7
2017-03-23,56.85
2017-03-24,56.25
2017-03-27,56.0
2017-03-28,56.25
2017-03-29,54.25
2017-03-30,54.45
2017-03-31,54.6
2017-04-03,56.75
2017-04-05,55.75
2017-04-06,55.7
2017-04-07,54.8
2017-04-10,55.5
2017-04-11,55.85
2017-04-12,55.75
2017-04-13,55.7
2017-04-17,54.1
2017-04-18,51.25
2017-04-19,51.15
2017-04-20,51.95
2017-04-21,51.6
2017-04-24,55.05
2017-04-25,53.15
2017-04-26,52.05
2017-04-27,51.65
2017-04-28,51.1
2017-05-02,50.8
2017-05-03,50.65
2017-05-04,50.35
2017-05-05,49.75
2017-05-08,49.7
2017-05-09,50.0
2017-05-10,52.15
2017-05-11,50.95
2017-05-12,51.75
2017-05-15,51.2
2017-05-16,51.35
2017-05-17,50.05
2017-05-18,49.1
2017-05-19,49.15
2017-05-22,49.2
2017-05-23,47.85
2017-05-24,47.45
2017-05-25,49.15
2017-05-26,51.25
2017-05-29,50.5
2017-05-30,51.8
2017-05-31,50.25
2017-06-01,49.2
2017-06-02,49.05
2017-06-05,47.7
2017-06-06,46.5
2017-06-07,47.05
2017-06-08,48.2
2017-06-09,47.45
2017-06-12,46.4
2017-06-13,46.35
2017-06-14,46.4
2017-06-15,46.35
2017-06-16,46.1
2017-06-19,45.9
2017-06-20,46.35
2017-06-21,45.35
2017-06-22,44.9
2017-06-23,44.2
2017-06-27,41.25
2017-06-28,46.0
2017-06-29,48.75
2017-06-30,51.1
2017-07-03,53.55
2017-07-04,51.8
2017-07-05,51.9
2017-07-06,50.65
2017-07-07,50.25
2017-07-10,49.95
2017-07-11,47.95
2017-07-12,46.3
2017-07-13,47.05
2017-07-14,48.6
2017-07-17,51.6
2017-07-18,52.2
2017-07-19,52.65
2017-07-20,53.1
2017-07-21,61.25
2017-07-24,58.1
2017-07-25,61.35
2017-07-26,60.75
2017-07-27,58.9
2017-07-28,57.95
2017-07-31,60.05
2017-08-01,61.5
2017-08-02,59.25
2017-08-03,61.55
2017-08-04,60.45
2017-08-07,58.75
2017-08-08,56.95
2017-08-09,54.75
2017-08-10,51.15
2017-08-11,50.65
2017-08-14,52.95
2017-08-16,54.35
2017-08-17,55.2
2017-08-18,54.0
2017-08-21,53.3
2017-08-22,50.5
2017-08-23,52.35
2017-08-24,52.0
2017-08-28,51.5
2017-08-29,53.05
2017-08-30,54.8
2017-08-31,53.15
2017-09-01,53.5
2017-09-04,52.95
2017-09-05,50.85
2017-09-06,51.75
2017-09-07,51.75
2017-09-08,50.9
2017-09-11,50.7
2017-09-12,50.6
2017-09-13,49.8
2017-09-14,49.25
2017-09-15,49.2
2017-09-18,49.2
2017-09-19,48.9
2017-09-20,48.75
2017-09-21,51.55
2017-09-22,49.65
2017-09-25,48.4
2017-09-26,48.7
2017-09-27,46.45
2017-09-28,47.1
2017-09-29,47.75
2017-10-03,49.8
2017-10-04,51.45
2017-10-05,50.5
2017-10-06,51.45
2017-10-09,53.05
2017-10-10,52.8
2017-10-11,50.85
2017-10-12,52.9
2017-10-13,53.2
2017-10-16,51.8
2017-10-17,51.95
2017-10-18,51.1
2017-10-19,50.95
2017-10-23,53.95
2017-10-24,54.55
2017-10-25,52.75
2017-10-26,51.95
2017-10-27,52.3
2017-10-30,53.8
2017-10-31,53.1
2017-11-01,55.05
2017-11-02,55.5
2017-11-03,59.55
2017-11-06,66.0
2017-11-07,63.35
2017-11-08,62.45
2017-11-09,66.45
2017-11-10,67.1
2017-11-13,63.8
2017-11-14,65.15
2017-11-15,63.15
2017-11-16,64.05
2017-11-17,67.35
2017-11-20,67.45
2017-11-21,65.8
2017-11-22,63.9
2017-11-23,63.65
2017-11-24,64.45
2017-11-27,62.7
2017-11-28,62.15
2017-11-29,61.85
2017-11-30,62.3
2017-12-01,61.55
2017-12-04,60.35
2017-12-05,58.65
2017-12-06,58.65
2017-12-07,59.7
2017-12-08,60.45
2017-12-11,59.55
2017-12-12,59.45
2017-12-13,57.95
2017-12-14,57.65
2017-12-15,57.55
2017-12-18,57.1
2017-12-19,59.0
2017-12-20,60.45
2017-12-21,61.7
2017-12-22,61.1
2017-12-26,60.2
2017-12-27,65.75
2017-12-28,65.8
2017-12-29,64.4
