Date,KARMAENG
2017-01-02,50.3
2017-01-03,51.0
2017-01-04,56.1
2017-01-05,54.6
2017-01-06,53.1
2017-01-09,53.35
2017-01-10,51.7
2017-01-11,52.85
2017-01-12,51.45
2017-01-13,51.25
2017-01-16,52.15
2017-01-17,52.35
2017-01-18,51.95
2017-01-19,54.15
2017-01-20,52.25
2017-01-23,52.4
2017-01-24,51.95
2017-01-25,50.35
2017-01-27,51.1
2017-01-30,48.65
2017-01-31,49.9
2017-02-01,49.85
2017-02-02,49.15
2017-02-03,49.05
2017-02-06,50.25
2017-02-07,60.3
2017-02-08,71.9
2017-02-09,65.05
2017-02-10,58.55
2017-02-13,52.7
2017-02-14,50.1
2017-02-15,47.6
2017-02-16,45.25
2017-02-17,47.5
2017-02-20,49.85
2017-02-21,47.4
2017-02-22,45.35
2017-02-23,44.25
2017-02-27,45.7
2017-02-28,44.7
2017-03-01,43.7
2017-03-02,43.55
2017-03-03,43.4
2017-03-06,42.9
2017-03-07,41.15
2017-03-08,41.1
2017-03-09,41.75
2017-03-10,41.2
2017-03-14,41.9
2017-03-15,42.55
2017-03-16,42.3
2017-03-17,41.95
2017-03-20,41.25
2017-03-21,40.25
2017-03-22,40.7
2017-03-23,41.0
2017-03-24,42.5
2017-03-27,41.3
2017-03-28,43.35
2017-03-29,42.15
2017-03-30,43.9
2017-03-31,43.4
2017-04-03,42.75
2017-04-05,42.85
2017-04-06,44.3
2017-04-07,44.25
2017-04-10,44.9
2017-04-11,45.8
2017-04-12,46.75
2017-04-13,45.6
2017-04-17,45.25
2017-04-18,46.1
2017-04-19,45.7
2017-04-20,48.2
2017-04-21,50.7
2017-04-24,50.45
2017-04-25,50.85
2017-04-26,48.15
2017-04-27,48.8
2017-04-28,47.4
2017-05-02,46.25
2017-05-03,45.8
2017-05-04,48.35
2017-05-05,45.85
2017-05-08,46.2
2017-05-09,45.6
2017-05-10,45.6
2017-05-11,45.55
2017-05-12,44.25
2017-05-15,43.65
2017-05-16,44.3
2017-05-17,45.5
2017-05-18,44.5
2017-05-19,44.35
2017-05-22,42.9
2017-05-23,42.2
2017-05-24,38.25
2017-05-25,38.65
2017-05-26,41.7
2017-05-29,37.8
2017-05-30,35.2
2017-05-31,34.5
2017-06-01,34.5
2017-06-02,36.6
2017-06-05,38.5
2017-06-06,38.85
2017-06-07,37.8
2017-06-08,37.45
2017-06-09,37.8
2017-06-12,36.85
2017-06-13,37.15
2017-06-14,36.35
2017-06-15,35.45
2017-06-16,35.5
2017-06-19,35.55
2017-06-20,36.6
2017-06-21,36.9
2017-06-22,39.15
2017-06-23,46.95
2017-06-27,55.2
2017-06-28,49.7
2017-06-29,45.6
2017-06-30,44.3
2017-07-03,44.15
2017-07-04,42.45
2017-07-05,42.85
2017-07-06,42.55
2017-07-07,41.7
2017-07-10,42.95
2017-07-11,42.15
2017-07-12,42.0
2017-07-13,41.25
2017-07-14,39.55
2017-07-17,39.7
2017-07-18,40.95
2017-07-19,41.1
2017-07-20,40.65
2017-07-21,41.6
2017-07-24,41.8
2017-07-25,40.55
2017-07-26,40.0
2017-07-27,39.45
2017-07-28,39.25
2017-07-31,38.3
2017-08-01,37.5
2017-08-02,37.7
2017-08-03,38.05
2017-08-04,38.45
2017-08-07,39.25
2017-08-08,37.8
2017-08-09,37.6
2017-08-10,36.9
2017-08-11,36.5
2017-08-14,37.35
2017-08-16,36.45
2017-08-17,38.3
2017-08-18,38.9
2017-08-21,35.9
2017-08-22,36.0
2017-08-23,37.7
2017-08-24,37.8
2017-08-28,36.85
2017-08-29,36.1
2017-08-30,36.25
2017-08-31,35.45
2017-09-01,36.35
2017-09-04,36.35
2017-09-05,36.0
2017-09-06,37.75
2017-09-07,37.2
2017-09-08,37.7
2017-09-11,38.55
2017-09-12,38.2
2017-09-13,38.2
2017-09-14,36.6
2017-09-15,38.25
2017-09-18,37.75
2017-09-19,36.2
2017-09-20,36.25
2017-09-21,37.35
2017-09-22,35.35
2017-09-25,35.35
2017-09-26,35.1
2017-09-27,35.65
2017-09-28,34.75
2017-09-29,34.75
2017-10-03,34.55
2017-10-04,34.85
2017-10-05,35.0
2017-10-06,34.4
2017-10-09,35.9
2017-10-10,35.5
2017-10-11,36.55
2017-10-12,36.6
2017-10-13,36.35
2017-10-16,36.05
2017-10-17,35.8
2017-10-18,42.95
2017-10-19,51.2
2017-10-23,53.5
2017-10-24,48.15
2017-10-25,43.5
