Date,DSSL
2017-01-02,13.95
2017-01-03,14.6
2017-01-05,15.3
2017-01-06,16.05
2017-01-09,16.85
2017-01-10,16.85
2017-01-11,17.65
2017-01-12,18.4
2017-01-13,18.0
2017-01-17,18.9
2017-01-18,19.75
2017-01-19,20.5
2017-01-20,19.5
2017-01-23,19.5
2017-01-24,18.55
2017-01-25,18.55
2017-01-27,19.0
2017-01-30,18.05
2017-01-31,17.2
2017-02-01,18.05
2017-02-02,17.85
2017-02-03,17.9
2017-02-06,17.85
2017-02-07,18.0
2017-02-08,17.4
2017-02-09,18.3
2017-02-14,17.5
2017-02-15,17.9
2017-02-16,17.2
2017-02-17,18.7
2017-02-21,18.6
2017-02-22,19.6
2017-02-23,19.55
2017-02-27,18.0
2017-02-28,18.5
2017-03-01,18.2
2017-03-02,18.6
2017-03-03,18.8
2017-03-06,18.65
2017-03-07,19.55
2017-03-08,17.95
2017-03-09,18.4
2017-03-10,18.05
2017-03-14,18.4
2017-03-15,18.0
2017-03-16,17.5
2017-03-17,17.15
2017-03-20,17.5
2017-03-21,16.65
2017-03-22,17.0
2017-03-23,16.85
2017-03-24,16.7
2017-03-27,17.85
2017-03-29,17.45
2017-03-30,18.5
2017-03-31,19.1
2017-04-03,20.45
2017-04-05,22.45
2017-04-06,23.55
2017-04-07,23.7
2017-04-11,22.55
2017-04-12,21.45
2017-04-13,20.4
2017-04-17,20.4
2017-04-18,20.05
2017-04-19,19.9
2017-04-20,19.65
2017-04-21,19.7
2017-04-24,19.1
2017-04-25,18.65
2017-04-26,18.65
2017-04-27,18.65
2017-04-28,18.5
2017-05-02,18.5
2017-05-03,18.5
2017-05-04,19.3
2017-05-05,19.3
2017-05-10,19.5
2017-05-11,19.6
2017-05-12,20.55
2017-05-15,21.55
2017-05-16,22.6
2017-05-17,22.3
2017-05-18,21.5
2017-05-19,21.65
2017-05-22,20.8
2017-05-24,21.65
2017-05-25,21.95
2017-05-26,22.8
2017-05-29,23.9
2017-05-30,24.9
2017-05-31,26.0
2017-06-01,26.7
2017-06-02,26.95
2017-06-05,25.65
2017-06-06,24.4
2017-06-07,23.5
2017-06-08,22.35
2017-06-09,21.5
2017-06-12,20.65
2017-06-13,20.8
2017-06-14,20.5
2017-06-15,21.5
2017-06-16,22.0
2017-06-19,21.9
2017-06-20,21.05
2017-06-21,21.25
2017-06-22,20.8
2017-06-23,21.0
2017-06-27,20.75
2017-06-28,19.75
2017-06-29,19.9
2017-06-30,20.0
2017-07-03,20.9
2017-07-04,20.0
2017-07-05,21.0
2017-07-06,21.3
2017-07-07,21.0
2017-07-10,20.35
2017-07-11,21.35
2017-07-12,22.2
2017-07-13,23.3
2017-07-14,24.45
2017-07-17,25.65
2017-07-18,26.9
2017-07-19,26.65
2017-07-20,27.95
2017-07-21,29.3
2017-07-24,30.75
2017-07-25,32.25
2017-07-26,30.65
2017-07-27,29.15
2017-07-28,27.7
2017-07-31,27.2
2017-08-01,26.6
2017-08-02,26.3
2017-08-03,25.35
2017-08-04,26.3
2017-08-07,26.25
2017-08-08,27.5
2017-08-09,26.65
2017-08-10,25.4
2017-08-11,26.25
2017-08-14,27.5
2017-08-16,28.8
2017-08-17,30.1
2017-08-18,31.55
2017-08-21,33.1
2017-08-22,32.95
2017-08-23,32.25
2017-08-24,33.85
2017-08-28,35.5
2017-08-29,36.55
2017-08-30,38.35
2017-08-31,40.25
2017-09-01,42.25
2017-09-04,44.35
2017-09-05,46.55
2017-09-06,44.25
2017-09-07,42.05
2017-09-08,39.95
2017-09-11,38.0
2017-09-12,39.9
2017-09-13,38.65
2017-09-14,40.55
2017-09-15,42.55
2017-09-18,41.3
2017-09-19,39.5
2017-09-20,40.0
2017-09-21,38.4
2017-09-22,38.9
2017-09-25,37.0
2017-09-26,36.55
2017-09-27,37.25
2017-09-28,36.75
2017-09-29,35.3
2017-10-03,35.65
2017-10-04,35.0
2017-10-05,36.75
2017-10-06,35.9
2017-10-09,35.7
2017-10-10,36.8
2017-10-11,35.4
2017-10-12,35.6
2017-10-13,35.65
2017-10-16,35.1
2017-10-17,36.75
2017-10-18,37.6
2017-10-19,37.95
2017-10-23,37.1
2017-10-24,38.9
2017-10-25,37.85
2017-10-26,35.8
2017-10-27,35.6
2017-10-30,35.1
2017-10-31,35.45
2017-11-01,34.7
2017-11-02,34.05
2017-11-03,34.8
2017-11-06,34.8
2017-11-07,33.8
2017-11-08,33.05
2017-11-09,32.25
2017-11-10,33.2
2017-11-13,31.75
2017-11-14,31.65
2017-11-15,32.1
2017-11-16,32.4
2017-11-17,31.15
2017-11-20,30.65
2017-11-21,30.95
2017-11-22,31.6
2017-11-23,31.1
2017-11-24,31.8
2017-11-27,33.45
2017-11-28,36.75
2017-11-29,37.7
2017-11-30,36.4
2017-12-01,36.65
2017-12-04,35.9
2017-12-05,35.65
2017-12-06,35.2
2017-12-07,37.55
2017-12-08,37.15
2017-12-11,39.9
2017-12-12,42.8
2017-12-13,40.35
2017-12-14,39.95
2017-12-15,38.55
2017-12-18,37.95
2017-12-19,38.45
2017-12-20,38.0
2017-12-21,37.9
2017-12-22,38.2
2017-12-26,39.0
2017-12-27,37.65
2017-12-28,42.7
2017-12-29,51.2
