Date,UGARSUGAR
2017-01-02,26.5
2017-01-03,27.8
2017-01-04,29.15
2017-01-05,30.6
2017-01-06,32.1
2017-01-09,33.7
2017-01-10,35.35
2017-01-11,37.1
2017-01-12,36.3
2017-01-13,36.85
2017-01-16,35.25
2017-01-17,34.2
2017-01-18,34.1
2017-01-19,34.5
2017-01-20,33.25
2017-01-23,33.15
2017-01-24,33.05
2017-01-25,31.9
2017-01-27,33.25
2017-01-30,33.75
2017-01-31,32.75
2017-02-01,34.35
2017-02-02,36.0
2017-02-03,36.85
2017-02-06,38.55
2017-02-07,41.0
2017-02-08,39.95
2017-02-09,37.95
2017-02-10,36.9
2017-02-13,36.4
2017-02-14,35.2
2017-02-15,32.8
2017-02-16,34.7
2017-02-17,35.3
2017-02-20,36.05
2017-02-21,34.85
2017-02-22,34.2
2017-02-23,34.45
2017-02-27,34.9
2017-02-28,34.8
2017-03-01,34.75
2017-03-02,34.2
2017-03-03,36.05
2017-03-06,36.95
2017-03-07,35.4
2017-03-08,34.6
2017-03-09,34.45
2017-03-10,34.55
2017-03-14,34.9
2017-03-15,34.2
2017-03-16,34.4
2017-03-17,34.75
2017-03-20,34.3
2017-03-21,33.75
2017-03-22,32.95
2017-03-23,32.85
2017-03-24,32.3
2017-03-27,31.45
2017-03-28,31.35
2017-03-29,30.4
2017-03-30,31.95
2017-03-31,32.35
2017-04-03,33.8
2017-04-05,33.7
2017-04-06,33.3
2017-04-07,32.8
2017-04-10,32.7
2017-04-11,32.65
2017-04-12,34.2
2017-04-13,33.05
2017-04-17,34.25
2017-04-18,33.4
2017-04-19,34.2
2017-04-20,34.65
2017-04-21,35.45
2017-04-24,34.95
2017-04-25,34.35
2017-04-26,33.65
2017-04-27,33.3
2017-04-28,33.35
2017-05-02,32.85
2017-05-03,32.4
2017-05-04,32.8
2017-05-05,32.55
2017-05-08,32.45
2017-05-09,33.15
2017-05-10,33.1
2017-05-11,32.75
2017-05-12,32.6
2017-05-15,31.95
2017-05-16,32.2
2017-05-17,32.25
2017-05-18,30.4
2017-05-19,31.15
2017-05-22,30.7
2017-05-23,28.65
2017-05-24,27.8
2017-05-25,32.1
2017-05-26,31.5
2017-05-29,32.4
2017-05-30,27.8
2017-05-31,27.8
2017-06-01,28.0
2017-06-02,27.9
2017-06-05,26.65
2017-06-06,26.1
2017-06-07,26.7
2017-06-08,26.25
2017-06-09,26.05
2017-06-12,26.2
2017-06-13,27.85
2017-06-14,26.85
2017-06-15,26.55
2017-06-16,26.1
2017-06-19,25.95
2017-06-20,25.6
2017-06-21,26.65
2017-06-22,26.4
2017-06-23,25.8
2017-06-27,24.85
2017-06-28,24.2
2017-06-29,24.65
2017-06-30,24.8
2017-07-03,25.9
2017-07-04,25.35
2017-07-05,25.25
2017-07-06,25.55
2017-07-07,27.8
2017-07-10,27.05
2017-07-11,28.25
2017-07-12,27.75
2017-07-13,27.5
2017-07-14,27.35
2017-07-17,26.6
2017-07-18,26.9
2017-07-19,26.85
2017-07-20,27.8
2017-07-21,28.2
2017-07-24,28.75
2017-07-25,29.8
2017-07-26,29.25
2017-07-27,27.95
2017-07-28,27.4
2017-07-31,27.6
2017-08-01,26.9
2017-08-02,27.75
2017-08-03,27.5
2017-08-04,27.35
2017-08-07,28.7
2017-08-08,26.6
2017-08-09,26.4
2017-08-10,24.65
2017-08-11,23.4
2017-08-14,22.95
2017-08-16,23.0
2017-08-17,23.0
2017-08-18,22.4
2017-08-21,22.95
2017-08-22,23.1
2017-08-23,22.85
2017-08-24,23.25
2017-08-28,23.2
2017-08-29,22.8
2017-08-30,23.1
2017-08-31,23.1
2017-09-01,23.1
2017-09-04,22.8
2017-09-05,22.8
2017-09-06,22.9
2017-09-07,22.6
2017-09-08,22.65
2017-09-11,23.0
2017-09-12,23.35
2017-09-13,23.9
2017-09-14,24.1
2017-09-15,23.65
2017-09-18,23.5
2017-09-19,24.05
2017-09-20,24.1
2017-09-21,24.1
2017-09-22,23.35
2017-09-25,22.9
2017-09-26,23.0
2017-09-27,23.1
2017-09-28,23.25
2017-09-29,23.3
2017-10-03,23.05
2017-10-04,22.85
2017-10-05,22.95
2017-10-06,23.3
2017-10-09,22.95
2017-10-10,24.4
2017-10-11,23.95
2017-10-12,24.1
2017-10-13,23.6
2017-10-16,23.35
2017-10-17,23.0
2017-10-18,22.85
2017-10-19,22.95
2017-10-23,23.4
2017-10-24,23.15
2017-10-25,22.9
2017-10-26,22.85
2017-10-27,22.9
2017-10-30,23.0
2017-10-31,23.0
2017-11-01,24.0
2017-11-02,23.85
2017-11-03,23.95
2017-11-06,24.5
2017-11-07,24.55
2017-11-08,26.3
2017-11-09,26.7
2017-11-10,26.65
2017-11-13,23.65
2017-11-14,23.25
2017-11-15,22.9
2017-11-16,23.1
2017-11-17,23.1
2017-11-20,23.55
2017-11-21,24.5
2017-11-22,24.15
2017-11-23,27.2
2017-11-24,26.5
2017-11-27,27.0
2017-11-28,27.15
2017-11-29,28.2
2017-11-30,27.35
2017-12-01,26.85
2017-12-04,27.95
2017-12-05,29.35
2017-12-06,29.4
2017-12-07,29.25
2017-12-08,31.55
2017-12-11,30.9
2017-12-12,30.3
2017-12-13,28.45
2017-12-14,27.75
2017-12-15,28.4
2017-12-18,28.15
2017-12-19,29.15
2017-12-20,29.4
2017-12-21,27.95
2017-12-22,27.85
2017-12-26,28.55
2017-12-27,27.8
2017-12-28,27.45
2017-12-29,27.15
