Date,MAZDA
2017-01-02,339.6
2017-01-03,337.35
2017-01-04,334.35
2017-01-05,337.95
2017-01-06,330.1
2017-01-09,335.35
2017-01-10,331.9
2017-01-11,348.65
2017-01-12,335.9
2017-01-13,329.3
2017-01-17,334.8
2017-01-18,340.05
2017-01-19,342.0
2017-01-20,339.65
2017-01-23,333.0
2017-01-24,341.05
2017-01-25,336.35
2017-01-27,335.0
2017-01-30,339.9
2017-01-31,340.8
2017-02-01,340.2
2017-02-02,339.5
2017-02-03,339.85
2017-02-06,327.05
2017-02-07,323.3
2017-02-08,323.0
2017-02-09,332.3
2017-02-10,332.95
2017-02-13,328.75
2017-02-14,323.25
2017-02-15,320.15
2017-02-16,318.1
2017-02-17,319.4
2017-02-20,320.5
2017-02-21,319.15
2017-02-22,318.85
2017-02-23,317.0
2017-02-27,315.0
2017-02-28,315.05
2017-03-01,318.6
2017-03-02,321.95
2017-03-03,314.15
2017-03-06,315.9
2017-03-07,314.3
2017-03-08,313.55
2017-03-09,310.45
2017-03-10,319.25
2017-03-14,323.65
2017-03-15,325.5
2017-03-16,332.8
2017-03-17,325.6
2017-03-20,326.6
2017-03-21,325.75
2017-03-22,330.5
2017-03-23,323.3
2017-03-24,321.35
2017-03-27,315.95
2017-03-28,315.0
2017-03-29,315.9
2017-03-30,316.6
2017-03-31,317.45
2017-04-03,321.95
2017-04-05,337.65
2017-04-06,332.6
2017-04-07,328.45
2017-04-10,341.5
2017-04-11,343.65
2017-04-12,352.1
2017-04-13,362.0
2017-04-17,353.8
2017-04-18,342.0
2017-04-19,348.8
2017-04-20,341.0
2017-04-21,337.6
2017-04-24,342.45
2017-04-25,340.15
2017-04-26,332.0
2017-04-27,337.65
2017-04-28,343.4
2017-05-02,340.0
2017-05-03,340.0
2017-05-04,343.55
2017-05-05,342.25
2017-05-08,344.0
2017-05-09,341.05
2017-05-10,342.95
2017-05-11,344.9
2017-05-12,338.8
2017-05-15,340.2
2017-05-16,342.25
2017-05-17,338.6
2017-05-18,337.25
2017-05-19,331.7
2017-05-22,338.85
2017-05-23,334.0
2017-05-24,327.05
2017-05-25,328.75
2017-05-26,334.15
2017-05-29,331.95
2017-05-30,330.7
2017-05-31,327.75
2017-06-01,332.1
2017-06-02,330.6
2017-06-05,332.45
2017-06-06,325.2
2017-06-07,326.3
2017-06-08,326.65
2017-06-09,324.9
2017-06-12,320.35
2017-06-13,323.1
2017-06-14,325.2
2017-06-15,339.85
2017-06-16,338.5
2017-06-19,340.0
2017-06-20,345.45
2017-06-21,341.15
2017-06-22,339.75
2017-06-23,336.05
2017-06-27,337.9
2017-06-28,331.0
2017-06-29,326.35
2017-06-30,336.3
2017-07-03,333.8
2017-07-04,330.0
2017-07-05,332.85
2017-07-06,339.75
2017-07-07,339.55
2017-07-10,335.3
2017-07-11,350.35
2017-07-12,420.4
2017-07-13,467.8
2017-07-14,444.3
2017-07-17,425.35
2017-07-18,434.55
2017-07-19,431.65
2017-07-20,419.05
2017-07-21,418.7
2017-07-24,423.8
2017-07-25,416.95
2017-07-26,406.65
2017-07-27,402.4
2017-07-28,402.35
2017-07-31,396.4
2017-08-01,405.65
2017-08-02,399.35
2017-08-03,396.9
2017-08-04,393.55
2017-08-07,388.45
2017-08-08,384.9
2017-08-09,366.2
2017-08-10,352.25
2017-08-11,345.0
2017-08-14,349.35
2017-08-16,353.05
2017-08-17,367.4
2017-08-18,370.6
2017-08-21,366.7
2017-08-22,362.3
2017-08-23,357.3
2017-08-24,357.8
2017-08-28,363.85
2017-08-29,354.95
2017-08-30,356.5
2017-08-31,377.05
2017-09-01,375.1
2017-09-04,367.85
2017-09-05,386.55
2017-09-06,378.4
2017-09-07,380.9
2017-09-08,371.55
2017-09-11,362.45
2017-09-12,365.65
2017-09-13,360.15
2017-09-14,359.7
2017-09-15,357.9
2017-09-18,350.7
2017-09-19,347.45
2017-09-20,359.0
2017-09-21,350.4
2017-09-22,346.4
2017-09-25,340.2
2017-09-26,345.0
2017-09-27,342.05
2017-09-28,342.5
2017-09-29,347.0
2017-10-03,344.65
2017-10-04,348.0
2017-10-05,347.3
2017-10-06,353.1
2017-10-09,356.25
2017-10-10,356.65
2017-10-11,356.85
2017-10-12,428.2
2017-10-13,411.1
2017-10-16,412.3
2017-10-17,411.35
2017-10-18,402.65
2017-10-19,397.2
2017-10-23,387.6
2017-10-24,385.95
2017-10-25,407.35
2017-10-26,406.35
2017-10-27,403.45
2017-10-30,397.9
2017-10-31,418.2
2017-11-01,413.0
2017-11-02,406.9
2017-11-03,411.2
2017-11-06,404.6
2017-11-07,391.2
2017-11-08,383.75
2017-11-09,381.55
2017-11-10,376.8
2017-11-13,376.9
2017-11-14,373.7
2017-11-15,368.25
2017-11-16,372.0
2017-11-17,378.2
2017-11-20,380.9
2017-11-21,378.8
2017-11-22,380.0
2017-11-23,383.3
2017-11-24,393.85
2017-11-27,392.2
2017-11-28,396.25
2017-11-29,391.0
2017-11-30,386.1
2017-12-01,403.3
2017-12-04,376.85
2017-12-05,376.4
2017-12-06,368.5
2017-12-07,372.0
2017-12-08,374.05
2017-12-11,369.8
2017-12-12,371.15
2017-12-13,369.5
2017-12-14,366.9
2017-12-15,376.5
2017-12-18,375.5
2017-12-19,383.75
2017-12-20,382.0
2017-12-21,381.05
2017-12-22,380.35
2017-12-26,414.45
2017-12-27,416.45
2017-12-28,417.0
2017-12-29,416.25
