Date,DBL
2017-01-02,228.25
2017-01-03,228.9
2017-01-04,228.25
2017-01-05,232.05
2017-01-06,229.55
2017-01-09,226.65
2017-01-10,227.95
2017-01-11,242.65
2017-01-12,242.45
2017-01-13,243.5
2017-01-16,242.45
2017-01-17,241.95
2017-01-18,240.65
2017-01-19,240.15
2017-01-20,236.1
2017-01-23,238.9
2017-01-24,237.15
2017-01-25,238.4
2017-01-27,242.95
2017-01-30,242.05
2017-01-31,238.1
2017-02-01,243.65
2017-02-02,249.45
2017-02-03,247.7
2017-02-06,267.45
2017-02-07,263.55
2017-02-08,283.65
2017-02-09,278.9
2017-02-10,273.35
2017-02-13,270.6
2017-02-14,266.6
2017-02-15,261.3
2017-02-16,262.1
2017-02-17,274.2
2017-02-20,291.8
2017-02-21,287.0
2017-02-22,283.8
2017-02-23,286.1
2017-02-27,299.25
2017-02-28,306.65
2017-03-01,328.1
2017-03-02,324.05
2017-03-03,319.05
2017-03-06,308.1
2017-03-07,319.25
2017-03-08,315.8
2017-03-09,319.2
2017-03-10,319.3
2017-03-14,322.5
2017-03-15,335.05
2017-03-16,343.45
2017-03-17,345.25
2017-03-20,359.7
2017-03-21,357.6
2017-03-22,348.9
2017-03-23,353.55
2017-03-24,348.95
2017-03-27,343.1
2017-03-28,341.95
2017-03-29,341.55
2017-03-30,352.65
2017-03-31,349.75
2017-04-03,366.65
2017-04-05,359.5
2017-04-06,358.25
2017-04-07,355.3
2017-04-10,361.8
2017-04-11,364.6
2017-04-12,370.25
2017-04-13,371.25
2017-04-17,400.35
2017-04-18,392.75
2017-04-19,403.25
2017-04-20,405.3
2017-04-21,410.85
2017-04-24,434.75
2017-04-25,433.9
2017-04-26,428.1
2017-04-27,420.9
2017-04-28,422.5
2017-05-02,422.1
2017-05-03,420.45
2017-05-04,427.25
2017-05-05,459.7
2017-05-08,478.65
2017-05-09,472.15
2017-05-10,468.8
2017-05-11,467.95
2017-05-12,447.35
2017-05-15,469.2
2017-05-16,474.5
2017-05-17,492.55
2017-05-18,500.9
2017-05-19,474.65
2017-05-22,452.05
2017-05-23,435.0
2017-05-24,426.9
2017-05-25,440.75
2017-05-26,440.3
2017-05-29,438.85
2017-05-30,442.8
2017-05-31,441.0
2017-06-01,432.8
2017-06-02,433.15
2017-06-05,429.7
2017-06-06,435.3
2017-06-07,438.6
2017-06-08,442.8
2017-06-09,448.3
2017-06-12,446.4
2017-06-13,450.2
2017-06-14,448.25
2017-06-15,449.8
2017-06-16,444.5
2017-06-19,442.55
2017-06-20,445.75
2017-06-21,443.0
2017-06-22,435.3
2017-06-23,427.8
2017-06-27,409.9
2017-06-28,421.75
2017-06-29,439.4
2017-06-30,447.5
2017-07-03,471.4
2017-07-04,463.15
2017-07-05,458.35
2017-07-06,453.95
2017-07-07,476.8
2017-07-10,488.7
2017-07-11,496.85
2017-07-12,521.75
2017-07-13,544.75
2017-07-14,543.35
2017-07-17,540.2
2017-07-18,518.45
2017-07-19,525.2
2017-07-20,516.65
2017-07-21,516.7
2017-07-24,521.5
2017-07-25,512.15
2017-07-26,527.45
2017-07-27,517.45
2017-07-28,506.55
2017-07-31,502.45
2017-08-01,527.8
2017-08-02,526.3
2017-08-03,528.8
2017-08-04,526.3
2017-08-07,539.05
2017-08-08,579.2
2017-08-09,562.65
2017-08-10,514.2
2017-08-11,521.45
2017-08-14,523.55
2017-08-16,526.95
2017-08-17,563.85
2017-08-18,571.2
2017-08-21,565.15
2017-08-22,570.2
2017-08-23,576.75
2017-08-24,592.9
2017-08-28,622.5
2017-08-29,622.5
2017-08-30,617.55
2017-08-31,604.05
2017-09-01,592.2
2017-09-04,574.6
2017-09-05,575.7
2017-09-06,574.6
2017-09-07,568.85
2017-09-08,593.65
2017-09-11,612.25
2017-09-12,608.2
2017-09-13,600.05
2017-09-14,602.05
2017-09-15,591.7
2017-09-18,604.15
2017-09-19,616.55
2017-09-20,604.0
2017-09-21,598.8
2017-09-22,578.1
2017-09-25,592.35
2017-09-26,599.1
2017-09-27,590.45
2017-09-28,585.5
2017-09-29,599.35
2017-10-03,609.0
2017-10-04,627.35
2017-10-05,681.3
2017-10-06,679.6
2017-10-09,689.2
2017-10-10,694.65
2017-10-11,699.1
2017-10-12,722.4
2017-10-13,716.65
2017-10-16,744.4
2017-10-17,798.7
2017-10-18,769.0
2017-10-19,786.5
2017-10-23,769.9
2017-10-24,774.15
2017-10-25,809.4
2017-10-26,903.4
2017-10-27,884.3
2017-10-30,869.3
2017-10-31,853.1
2017-11-01,890.2
2017-11-02,897.5
2017-11-03,894.45
2017-11-06,894.2
2017-11-07,892.55
2017-11-08,884.15
2017-11-09,869.4
2017-11-10,870.0
2017-11-13,869.95
2017-11-14,854.75
2017-11-15,836.4
2017-11-16,844.25
2017-11-17,850.0
2017-11-20,861.35
2017-11-21,852.8
2017-11-22,887.4
2017-11-23,928.4
2017-11-24,926.35
2017-11-27,950.45
2017-11-28,983.45
2017-11-29,988.3
2017-11-30,975.45
2017-12-01,950.3
2017-12-04,921.9
2017-12-05,914.05
2017-12-06,887.25
2017-12-07,881.7
2017-12-08,904.75
2017-12-11,904.5
2017-12-12,910.3
2017-12-13,898.45
2017-12-14,889.25
2017-12-15,907.1
2017-12-18,900.05
2017-12-19,924.55
2017-12-20,919.5
2017-12-21,929.9
2017-12-22,993.85
2017-12-26,1031.95
2017-12-27,1005.4
2017-12-28,1002.15
2017-12-29,989.8
