Date,KINGFA
2017-01-02,868.65
2017-01-03,881.15
2017-01-04,879.15
2017-01-05,898.0
2017-01-06,902.4
2017-01-09,893.15
2017-01-10,881.55
2017-01-11,872.45
2017-01-12,879.75
2017-01-13,876.75
2017-01-16,879.4
2017-01-17,862.9
2017-01-18,864.75
2017-01-19,859.8
2017-01-20,853.4
2017-01-23,858.7
2017-01-24,858.1
2017-01-25,859.7
2017-01-27,862.8
2017-01-30,861.35
2017-01-31,844.2
2017-02-01,844.15
2017-02-02,840.2
2017-02-03,845.5
2017-02-06,848.65
2017-02-07,847.75
2017-02-08,846.35
2017-02-09,859.7
2017-02-10,859.35
2017-02-13,854.7
2017-02-14,810.4
2017-02-15,786.8
2017-02-16,797.45
2017-02-17,800.05
2017-02-20,808.6
2017-02-21,864.35
2017-02-22,874.05
2017-02-23,877.2
2017-02-27,867.65
2017-02-28,840.65
2017-03-01,852.35
2017-03-02,844.4
2017-03-03,848.65
2017-03-06,865.0
2017-03-07,866.8
2017-03-08,863.85
2017-03-09,815.6
2017-03-10,810.8
2017-03-14,797.15
2017-03-15,792.3
2017-03-16,797.6
2017-03-17,787.05
2017-03-20,787.7
2017-03-21,794.1
2017-03-22,775.4
2017-03-23,772.6
2017-03-24,775.15
2017-03-27,776.7
2017-03-28,772.45
2017-03-29,770.25
2017-03-30,774.75
2017-03-31,771.8
2017-04-03,826.15
2017-04-05,817.45
2017-04-06,840.0
2017-04-07,832.0
2017-04-10,852.9
2017-04-11,840.2
2017-04-12,834.8
2017-04-13,841.8
2017-04-17,861.25
2017-04-18,869.4
2017-04-19,852.8
2017-04-20,854.3
2017-04-21,866.0
2017-04-24,875.25
2017-04-25,880.8
2017-04-26,870.8
2017-04-27,845.0
2017-04-28,861.85
2017-05-02,859.05
2017-05-03,880.25
2017-05-04,880.0
2017-05-05,863.95
2017-05-08,853.9
2017-05-09,845.3
2017-05-10,824.7
2017-05-11,815.4
2017-05-12,823.15
2017-05-15,809.05
2017-05-16,811.35
2017-05-17,795.85
2017-05-18,793.25
2017-05-19,784.95
2017-05-22,778.6
2017-05-23,758.35
2017-05-24,745.2
2017-05-25,756.45
2017-05-26,715.5
2017-05-29,701.15
2017-05-30,692.15
2017-05-31,709.6
2017-06-01,768.65
2017-06-02,778.45
2017-06-05,776.1
2017-06-06,758.75
2017-06-07,764.35
2017-06-08,733.6
2017-06-09,728.15
2017-06-12,732.2
2017-06-13,752.4
2017-06-14,766.45
2017-06-15,749.1
2017-06-16,745.7
2017-06-19,743.2
2017-06-20,737.25
2017-06-21,765.8
2017-06-22,771.2
2017-06-23,750.4
2017-06-27,724.1
2017-06-28,722.4
2017-06-29,747.15
2017-06-30,732.9
2017-07-03,762.25
2017-07-04,756.95
2017-07-05,750.4
2017-07-06,777.65
2017-07-07,773.8
2017-07-10,769.15
2017-07-11,759.2
2017-07-12,770.0
2017-07-13,770.15
2017-07-14,762.65
2017-07-17,757.55
2017-07-18,751.8
2017-07-19,755.4
2017-07-20,754.65
2017-07-21,751.15
2017-07-24,764.75
2017-07-25,765.0
2017-07-26,764.85
2017-07-27,759.4
2017-07-28,765.95
2017-07-31,763.2
2017-08-01,727.2
2017-08-02,727.8
2017-08-03,717.2
2017-08-04,703.6
2017-08-07,691.0
2017-08-08,685.5
2017-08-09,676.0
2017-08-10,647.7
2017-08-11,647.85
2017-08-14,647.15
2017-08-16,684.15
2017-08-17,671.55
2017-08-18,657.4
2017-08-21,635.9
2017-08-22,632.65
2017-08-23,642.8
2017-08-24,662.4
2017-08-28,724.5
2017-08-29,709.2
2017-08-30,720.6
2017-08-31,732.0
2017-09-01,735.3
2017-09-04,738.7
2017-09-05,755.85
2017-09-06,766.2
2017-09-07,741.1
2017-09-08,743.7
2017-09-11,742.15
2017-09-12,744.4
2017-09-13,735.8
2017-09-14,742.6
2017-09-15,735.45
2017-09-18,737.6
2017-09-19,729.05
2017-09-20,723.25
2017-09-21,720.4
2017-09-22,709.1
2017-09-25,679.05
2017-09-26,671.0
2017-09-27,661.4
2017-09-28,676.65
2017-09-29,660.15
2017-10-03,672.5
2017-10-04,672.75
2017-10-05,675.5
2017-10-06,715.65
2017-10-09,787.8
2017-10-10,823.5
2017-10-11,775.15
2017-10-12,802.05
2017-10-13,783.1
2017-10-16,782.4
2017-10-17,791.5
2017-10-18,779.8
2017-10-19,771.1
2017-10-23,753.7
2017-10-24,769.85
2017-10-25,757.85
2017-10-26,744.5
2017-10-27,747.95
2017-10-30,767.55
2017-10-31,761.05
2017-11-01,773.6
2017-11-02,766.85
2017-11-03,758.55
2017-11-06,757.9
2017-11-07,751.4
2017-11-08,750.35
2017-11-09,761.8
2017-11-10,749.9
2017-11-13,737.6
2017-11-14,728.65
2017-11-15,741.8
2017-11-16,776.35
2017-11-17,785.75
2017-11-20,845.65
2017-11-21,832.05
2017-11-22,844.25
2017-11-23,838.55
2017-11-24,839.7
2017-11-27,854.05
2017-11-28,848.05
2017-11-29,840.2
2017-11-30,837.05
2017-12-01,841.75
2017-12-04,860.15
2017-12-05,864.6
2017-12-06,843.0
2017-12-07,850.75
2017-12-08,843.25
2017-12-11,844.9
2017-12-12,844.35
2017-12-13,818.25
2017-12-14,807.95
2017-12-15,821.05
2017-12-18,842.15
2017-12-19,826.0
2017-12-20,825.15
2017-12-21,829.05
2017-12-22,827.85
2017-12-26,823.35
2017-12-27,814.9
2017-12-28,820.75
2017-12-29,810.55
