Date,BHARATGEAR
2017-01-02,102.45
2017-01-03,101.4
2017-01-04,104.1
2017-01-05,109.3
2017-01-06,109.45
2017-01-09,107.9
2017-01-10,107.0
2017-01-11,112.35
2017-01-12,110.5
2017-01-13,109.7
2017-01-16,110.1
2017-01-17,111.1
2017-01-18,111.75
2017-01-19,111.3
2017-01-20,109.8
2017-01-23,109.05
2017-01-24,108.5
2017-01-25,110.75
2017-01-27,107.45
2017-01-30,106.2
2017-01-31,107.45
2017-02-01,112.8
2017-02-02,118.4
2017-02-03,124.3
2017-02-06,120.3
2017-02-07,118.65
2017-02-08,117.2
2017-02-09,115.05
2017-02-10,118.25
2017-02-13,117.1
2017-02-14,114.95
2017-02-15,111.2
2017-02-16,113.85
2017-02-17,114.95
2017-02-20,114.0
2017-02-21,113.55
2017-02-22,112.25
2017-02-23,111.8
2017-02-27,110.95
2017-02-28,111.35
2017-03-01,112.35
2017-03-02,109.45
2017-03-03,110.95
2017-03-06,109.95
2017-03-07,109.1
2017-03-08,108.85
2017-03-09,107.85
2017-03-10,106.9
2017-03-14,107.15
2017-03-15,108.7
2017-03-16,112.3
2017-03-17,110.5
2017-03-20,108.05
2017-03-21,107.7
2017-03-22,107.7
2017-03-23,108.15
2017-03-24,114.9
2017-03-27,116.4
2017-03-28,115.0
2017-03-29,113.65
2017-03-30,117.05
2017-03-31,115.65
2017-04-03,117.75
2017-04-05,122.1
2017-04-06,127.9
2017-04-07,128.95
2017-04-10,129.4
2017-04-11,130.9
2017-04-12,128.4
2017-04-13,127.6
2017-04-17,124.55
2017-04-18,122.5
2017-04-19,120.45
2017-04-20,124.65
2017-04-21,130.95
2017-04-24,131.7
2017-04-25,131.55
2017-04-26,127.85
2017-04-27,127.3
2017-04-28,125.35
2017-05-02,122.5
2017-05-03,123.35
2017-05-04,122.4
2017-05-05,120.15
2017-05-08,123.85
2017-05-09,129.7
2017-05-10,133.0
2017-05-11,130.75
2017-05-12,129.95
2017-05-15,126.65
2017-05-16,126.8
2017-05-17,125.4
2017-05-18,124.5
2017-05-19,120.65
2017-05-22,122.95
2017-05-23,122.85
2017-05-24,118.25
2017-05-25,117.65
2017-05-26,117.9
2017-05-29,117.85
2017-05-30,130.8
2017-05-31,130.6
2017-06-01,136.4
2017-06-02,140.45
2017-06-05,136.35
2017-06-06,130.25
2017-06-07,132.9
2017-06-08,133.25
2017-06-09,130.45
2017-06-12,137.0
2017-06-13,134.2
2017-06-14,129.9
2017-06-15,131.8
2017-06-16,130.4
2017-06-19,131.7
2017-06-20,129.9
2017-06-21,138.1
2017-06-22,142.85
2017-06-23,134.25
2017-06-27,131.2
2017-06-28,139.15
2017-06-29,139.35
2017-06-30,139.2
2017-07-03,144.8
2017-07-04,142.05
2017-07-05,161.9
2017-07-06,160.4
2017-07-07,160.35
2017-07-10,159.65
2017-07-11,179.5
2017-07-12,181.35
2017-07-13,172.35
2017-07-14,173.65
2017-07-17,178.35
2017-07-18,180.15
2017-07-19,179.35
2017-07-20,174.8
2017-07-21,178.5
2017-07-24,175.45
2017-07-25,172.2
2017-07-26,169.6
2017-07-27,169.95
2017-07-28,168.5
2017-07-31,166.15
2017-08-01,161.7
2017-08-02,164.8
2017-08-03,164.0
2017-08-04,169.7
2017-08-07,171.8
2017-08-08,167.85
2017-08-09,150.6
2017-08-10,140.15
2017-08-11,133.65
2017-08-14,139.05
2017-08-16,146.25
2017-08-17,148.35
2017-08-18,145.25
2017-08-21,146.1
2017-08-22,140.7
2017-08-23,143.35
2017-08-24,141.5
2017-08-28,141.45
2017-08-29,140.75
2017-08-30,139.85
2017-08-31,140.35
2017-09-01,142.7
2017-09-04,143.6
2017-09-05,150.55
2017-09-06,151.15
2017-09-07,147.75
2017-09-08,146.9
2017-09-11,147.2
2017-09-12,152.5
2017-09-13,158.4
2017-09-14,162.5
2017-09-15,155.05
2017-09-18,160.3
2017-09-19,167.15
2017-09-20,162.6
2017-09-21,157.55
2017-09-22,149.35
2017-09-25,144.2
2017-09-26,148.75
2017-09-27,142.8
2017-09-28,142.75
2017-09-29,142.55
2017-10-03,144.9
2017-10-04,145.8
2017-10-05,146.8
2017-10-06,148.1
2017-10-09,160.45
2017-10-10,155.2
2017-10-11,149.0
2017-10-12,148.0
2017-10-13,145.8
2017-10-16,146.8
2017-10-17,144.6
2017-10-18,142.4
2017-10-19,143.6
2017-10-23,142.3
2017-10-24,141.1
2017-10-25,141.6
2017-10-26,143.9
2017-10-27,143.0
2017-10-30,143.15
2017-10-31,155.95
2017-11-01,155.85
2017-11-02,155.35
2017-11-03,173.05
2017-11-06,176.85
2017-11-07,171.6
2017-11-08,170.15
2017-11-09,169.25
2017-11-10,168.85
2017-11-13,170.05
2017-11-14,173.4
2017-11-15,165.75
2017-11-16,165.9
2017-11-17,168.75
2017-11-20,176.75
2017-11-21,195.3
2017-11-22,192.0
2017-11-23,192.9
2017-11-24,192.1
2017-11-27,193.8
2017-11-28,191.9
2017-11-29,191.6
2017-11-30,191.05
2017-12-01,188.0
2017-12-04,188.45
2017-12-05,185.05
2017-12-06,184.4
2017-12-07,187.3
2017-12-08,189.0
2017-12-11,185.25
2017-12-12,183.8
2017-12-13,179.25
2017-12-14,179.4
2017-12-15,187.55
2017-12-18,186.6
2017-12-19,200.25
2017-12-20,209.4
2017-12-21,207.3
2017-12-22,204.55
2017-12-26,204.25
2017-12-27,206.1
2017-12-28,205.4
2017-12-29,206.65
