Date,RESPONIND
2017-01-02,65.5
2017-01-03,65.5
2017-01-04,66.5
2017-01-05,66.9
2017-01-06,67.65
2017-01-09,66.65
2017-01-10,64.05
2017-01-11,63.2
2017-01-12,61.7
2017-01-13,64.5
2017-01-16,65.1
2017-01-17,63.45
2017-01-18,64.2
2017-01-19,65.45
2017-01-20,63.4
2017-01-23,66.1
2017-01-24,62.9
2017-01-25,62.3
2017-01-27,64.3
2017-01-30,61.8
2017-01-31,63.0
2017-02-01,62.0
2017-02-02,62.1
2017-02-03,63.85
2017-02-06,64.5
2017-02-07,64.95
2017-02-08,64.1
2017-02-09,64.5
2017-02-10,67.35
2017-02-13,70.8
2017-02-14,72.55
2017-02-15,81.5
2017-02-16,84.25
2017-02-17,85.35
2017-02-20,94.3
2017-02-21,92.4
2017-02-22,89.5
2017-02-23,87.45
2017-02-27,102.75
2017-02-28,98.3
2017-03-01,102.1
2017-03-02,100.95
2017-03-03,99.0
2017-03-06,96.15
2017-03-07,100.25
2017-03-08,100.5
2017-03-09,101.7
2017-03-10,99.85
2017-03-14,93.65
2017-03-15,90.25
2017-03-16,96.1
2017-03-17,93.85
2017-03-20,96.45
2017-03-21,98.75
2017-03-22,98.45
2017-03-23,96.9
2017-03-24,96.65
2017-03-27,92.6
2017-03-28,95.7
2017-03-29,86.75
2017-03-30,89.9
2017-03-31,86.6
2017-04-03,90.25
2017-04-05,90.35
2017-04-06,88.6
2017-04-07,89.4
2017-04-10,88.3
2017-04-11,87.8
2017-04-12,85.7
2017-04-13,87.55
2017-04-17,83.85
2017-04-18,86.35
2017-04-19,88.75
2017-04-20,90.05
2017-04-21,89.4
2017-04-24,85.55
2017-04-25,85.25
2017-04-26,86.75
2017-04-27,86.0
2017-04-28,87.0
2017-05-02,86.7
2017-05-03,88.85
2017-05-04,89.0
2017-05-05,88.9
2017-05-08,88.65
2017-05-09,88.95
2017-05-10,88.7
2017-05-11,88.5
2017-05-12,88.55
2017-05-15,88.25
2017-05-16,88.65
2017-05-17,88.6
2017-05-18,89.2
2017-05-19,88.85
2017-05-22,89.4
2017-05-23,89.3
2017-05-24,88.05
2017-05-25,88.35
2017-05-26,89.4
2017-05-29,86.1
2017-05-30,88.25
2017-05-31,88.5
2017-06-01,88.0
2017-06-02,87.6
2017-06-05,88.9
2017-06-06,88.5
2017-06-07,88.5
2017-06-08,88.0
2017-06-09,87.25
2017-06-12,86.1
2017-06-13,87.05
2017-06-14,89.4
2017-06-15,88.8
2017-06-16,85.45
2017-06-19,86.6
2017-06-20,85.5
2017-06-21,84.9
2017-06-22,83.8
2017-06-23,82.05
2017-06-27,84.4
2017-06-28,85.1
2017-06-29,83.5
2017-06-30,82.2
2017-07-03,83.35
2017-07-04,82.55
2017-07-05,82.5
2017-07-06,82.5
2017-07-07,81.6
2017-07-10,79.1
2017-07-11,76.85
2017-07-12,76.2
2017-07-13,77.0
2017-07-14,76.0
2017-07-17,71.25
2017-07-18,74.85
2017-07-19,76.1
2017-07-20,74.2
2017-07-21,76.25
2017-07-24,75.2
2017-07-25,66.2
2017-07-26,61.8
2017-07-27,63.7
2017-07-28,58.65
2017-07-31,69.7
2017-08-01,68.65
2017-08-02,69.05
2017-08-03,67.65
2017-08-04,71.95
2017-08-07,70.9
2017-08-08,68.05
2017-08-09,67.5
2017-08-10,62.05
2017-08-11,52.65
2017-08-14,51.7
2017-08-16,47.9
2017-08-17,46.55
2017-08-18,48.0
2017-08-21,47.0
2017-08-22,44.3
2017-08-23,43.05
2017-08-24,39.95
2017-08-28,42.05
2017-08-29,43.4
2017-08-30,44.2
2017-08-31,44.4
2017-09-01,44.0
2017-09-04,43.8
2017-09-05,42.55
2017-09-06,44.75
2017-09-07,46.5
2017-09-08,48.5
2017-09-11,48.5
2017-09-12,48.1
2017-09-13,47.75
2017-09-14,44.8
2017-09-15,42.2
2017-09-18,41.2
2017-09-19,40.5
2017-09-20,39.1
2017-09-21,40.85
2017-09-22,40.45
2017-09-25,38.05
2017-09-26,37.4
2017-09-27,35.85
2017-09-28,36.1
2017-09-29,37.55
2017-10-03,36.15
2017-10-04,35.5
2017-10-05,35.2
2017-10-06,35.3
2017-10-09,35.0
2017-10-10,38.5
2017-10-11,40.05
2017-10-12,39.2
2017-10-13,39.15
2017-10-16,38.8
2017-10-17,40.05
2017-10-18,40.05
2017-10-19,39.5
2017-10-23,37.25
2017-10-24,36.9
2017-10-25,36.75
2017-10-26,36.85
2017-10-27,37.4
2017-10-30,39.15
2017-10-31,37.15
2017-11-01,39.45
2017-11-02,38.7
2017-11-03,38.0
2017-11-06,39.4
2017-11-07,42.9
2017-11-08,44.9
2017-11-09,44.5
2017-11-10,44.05
2017-11-13,44.1
2017-11-14,44.65
2017-11-15,40.2
2017-11-16,41.95
2017-11-17,40.95
2017-11-20,40.4
2017-11-21,40.05
2017-11-22,39.05
2017-11-23,39.1
2017-11-24,39.2
2017-11-27,39.2
2017-11-28,39.6
2017-11-29,39.75
2017-11-30,39.6
2017-12-01,39.4
2017-12-04,39.25
2017-12-05,38.8
2017-12-06,38.9
2017-12-07,38.85
2017-12-08,38.65
2017-12-11,39.75
2017-12-12,42.1
2017-12-13,40.25
2017-12-14,39.1
2017-12-15,39.35
2017-12-18,40.15
2017-12-19,39.75
2017-12-20,41.9
2017-12-21,42.2
2017-12-22,42.0
2017-12-26,41.85
2017-12-27,43.6
2017-12-28,40.9
2017-12-29,39.8
