Date,STAR
2017-01-02,1068.45
2017-01-03,1048.5
2017-01-04,1073.5
2017-01-05,1094.8
2017-01-06,1098.85
2017-01-09,1157.4
2017-01-10,1167.35
2017-01-11,1176.0
2017-01-12,1155.35
2017-01-13,1148.85
2017-01-16,1147.65
2017-01-17,1139.6
2017-01-18,1125.85
2017-01-19,1120.95
2017-01-20,1104.95
2017-01-23,1106.05
2017-01-24,1127.25
2017-01-25,1136.25
2017-01-27,1125.05
2017-01-30,1113.25
2017-01-31,1096.05
2017-02-01,1084.15
2017-02-02,1083.95
2017-02-03,1194.65
2017-02-06,1189.65
2017-02-07,1206.6
2017-02-08,1198.05
2017-02-09,1205.35
2017-02-10,1189.15
2017-02-13,1180.6
2017-02-14,1173.6
2017-02-15,1163.95
2017-02-16,1188.95
2017-02-17,1184.2
2017-02-20,1193.65
2017-02-21,1182.5
2017-02-22,1152.0
2017-02-23,1168.25
2017-02-27,1172.5
2017-02-28,1162.65
2017-03-01,1168.65
2017-03-02,1142.05
2017-03-03,1150.35
2017-03-06,1168.4
2017-03-07,1145.65
2017-03-08,1146.55
2017-03-09,1140.35
2017-03-10,1134.8
2017-03-14,1152.8
2017-03-15,1148.5
2017-03-16,1143.7
2017-03-17,1131.2
2017-03-20,1159.4
2017-03-21,1153.05
2017-03-22,1149.55
2017-03-23,1149.25
2017-03-24,1139.65
2017-03-27,1118.35
2017-03-28,1129.6
2017-03-29,1115.5
2017-03-30,1103.8
2017-03-31,1098.5
2017-04-03,1129.1
2017-04-05,1127.5
2017-04-06,1120.7
2017-04-07,1104.65
2017-04-10,1098.7
2017-04-11,1092.5
2017-04-12,1101.1
2017-04-13,1104.95
2017-04-17,1106.1
2017-04-18,1096.95
2017-04-19,1077.75
2017-04-20,1089.75
2017-04-21,1084.85
2017-04-24,1103.4
2017-04-25,1099.9
2017-04-26,1091.8
2017-04-27,1076.35
2017-04-28,1072.85
2017-05-02,1063.85
2017-05-03,1041.35
2017-05-04,1040.95
2017-05-05,1048.0
2017-05-08,1058.05
2017-05-09,1058.5
2017-05-10,1073.6
2017-05-11,1072.45
2017-05-12,1043.25
2017-05-15,1038.0
2017-05-16,1048.9
2017-05-17,1056.6
2017-05-18,1027.6
2017-05-19,990.5
2017-05-22,937.85
2017-05-23,907.5
2017-05-24,883.2
2017-05-25,897.3
2017-05-26,916.2
2017-05-29,879.2
2017-05-30,908.1
2017-05-31,905.1
2017-06-01,945.8
2017-06-02,956.0
2017-06-05,956.95
2017-06-06,936.25
2017-06-07,936.5
2017-06-08,943.4
2017-06-09,941.2
2017-06-12,918.4
2017-06-13,936.1
2017-06-14,930.8
2017-06-15,951.3
2017-06-16,945.0
2017-06-19,936.75
2017-06-20,939.0
2017-06-21,943.05
2017-06-22,943.05
2017-06-23,943.0
2017-06-27,929.3
2017-06-28,939.7
2017-06-29,968.5
2017-06-30,1000.55
2017-07-03,990.45
2017-07-04,982.25
2017-07-05,977.2
2017-07-06,971.6
2017-07-07,973.7
2017-07-10,982.1
2017-07-11,979.05
2017-07-12,979.6
2017-07-13,1002.9
2017-07-14,1045.65
2017-07-17,1046.25
2017-07-18,1033.15
2017-07-19,1047.95
2017-07-20,1039.2
2017-07-21,1080.5
2017-07-24,1083.2
2017-07-25,1084.2
2017-07-26,1088.6
2017-07-27,1079.4
2017-07-28,1083.9
2017-07-31,1058.9
2017-08-01,1053.2
2017-08-02,1048.55
2017-08-03,1016.05
2017-08-04,1011.25
2017-08-07,1045.85
2017-08-08,1033.25
2017-08-09,978.55
2017-08-10,941.95
2017-08-11,874.8
2017-08-14,910.35
2017-08-16,914.75
2017-08-17,916.35
2017-08-18,906.6
2017-08-21,902.1
2017-08-22,912.7
2017-08-23,913.55
2017-08-24,938.45
2017-08-28,934.55
2017-08-29,906.85
2017-08-30,911.1
2017-08-31,905.2
2017-09-01,919.6
2017-09-04,916.35
2017-09-05,931.35
2017-09-06,917.55
2017-09-07,923.2
2017-09-08,924.25
2017-09-11,940.9
2017-09-12,949.3
2017-09-13,957.6
2017-09-14,980.45
2017-09-15,987.4
2017-09-18,1002.75
2017-09-19,1009.3
2017-09-20,1016.75
2017-09-21,980.9
2017-09-22,949.65
2017-09-25,904.75
2017-09-26,908.25
2017-09-27,879.75
2017-09-28,885.7
2017-09-29,885.5
2017-10-03,852.75
2017-10-04,855.2
2017-10-05,855.1
2017-10-06,837.75
2017-10-09,847.4
2017-10-10,884.45
2017-10-11,864.9
2017-10-12,864.15
2017-10-13,867.35
2017-10-16,881.2
2017-10-17,883.0
2017-10-18,874.55
2017-10-19,867.65
2017-10-23,850.7
2017-10-24,847.65
2017-10-25,841.15
2017-10-26,835.05
2017-10-27,841.7
2017-10-30,840.7
2017-10-31,828.8
2017-11-01,826.4
2017-11-02,819.6
2017-11-03,827.75
2017-11-06,818.45
2017-11-07,785.5
2017-11-08,775.65
2017-11-09,790.55
2017-11-10,798.85
2017-11-13,779.85
2017-11-14,783.1
2017-11-15,762.1
2017-11-16,767.45
2017-11-17,787.05
2017-11-20,818.0
2017-11-21,826.65
2017-11-22,829.05
2017-11-23,823.6
2017-11-24,821.25
2017-11-27,820.7
2017-11-28,818.15
2017-11-29,819.3
2017-11-30,798.85
2017-12-01,802.95
2017-12-04,818.75
2017-12-05,814.95
2017-12-06,800.2
2017-12-07,796.8
2017-12-08,801.35
2017-12-11,808.5
2017-12-12,802.65
2017-12-13,799.5
2017-12-14,781.45
2017-12-15,791.95
2017-12-18,798.1
2017-12-19,794.9
2017-12-20,814.15
2017-12-21,828.4
2017-12-22,836.55
2017-12-26,838.7
2017-12-27,833.7
2017-12-28,828.55
2017-12-29,822.95
