Date,PEL
2017-01-02,1594.3
2017-01-03,1578.0
2017-01-04,1598.4
2017-01-05,1658.15
2017-01-06,1678.8
2017-01-09,1672.0
2017-01-10,1734.75
2017-01-11,1749.0
2017-01-12,1782.65
2017-01-13,1792.55
2017-01-16,1786.95
2017-01-17,1791.55
2017-01-18,1844.2
2017-01-19,1836.55
2017-01-20,1768.05
2017-01-23,1696.6
2017-01-24,1729.7
2017-01-25,1711.65
2017-01-27,1718.7
2017-01-30,1718.65
2017-01-31,1687.7
2017-02-01,1713.95
2017-02-02,1674.9
2017-02-03,1692.05
2017-02-06,1766.5
2017-02-07,1743.2
2017-02-08,1761.5
2017-02-09,1765.8
2017-02-10,1776.65
2017-02-13,1811.1
2017-02-14,1832.1
2017-02-15,1857.4
2017-02-16,1845.4
2017-02-17,1883.45
2017-02-20,1890.85
2017-02-21,1899.2
2017-02-22,1899.85
2017-02-23,1869.8
2017-02-27,1849.7
2017-02-28,1844.8
2017-03-01,1838.7
2017-03-02,1835.6
2017-03-03,1822.95
2017-03-06,1870.65
2017-03-07,1891.3
2017-03-08,1909.8
2017-03-09,1888.45
2017-03-10,1868.85
2017-03-14,1867.75
2017-03-15,1859.05
2017-03-16,1901.85
2017-03-17,1858.25
2017-03-20,1861.55
2017-03-21,1856.2
2017-03-22,1858.65
2017-03-23,1880.1
2017-03-24,1860.35
2017-03-27,1853.0
2017-03-28,1868.05
2017-03-29,1876.85
2017-03-30,1868.0
2017-03-31,1903.05
2017-04-03,1936.05
2017-04-05,1961.75
2017-04-06,1933.75
2017-04-07,1922.35
2017-04-10,1962.6
2017-04-11,2038.85
2017-04-12,2071.55
2017-04-13,2241.1
2017-04-17,2273.1
2017-04-18,2233.65
2017-04-19,2254.0
2017-04-20,2265.95
2017-04-21,2351.1
2017-04-24,2445.8
2017-04-25,2517.5
2017-04-26,2449.5
2017-04-27,2475.5
2017-04-28,2496.35
2017-05-02,2547.0
2017-05-03,2581.85
2017-05-04,2563.3
2017-05-05,2503.8
2017-05-08,2499.4
2017-05-09,2490.9
2017-05-10,2526.75
2017-05-11,2544.15
2017-05-12,2599.45
2017-05-15,2866.25
2017-05-16,2800.0
2017-05-17,2830.75
2017-05-18,2799.0
2017-05-19,2833.75
2017-05-22,2761.4
2017-05-23,2727.65
2017-05-24,2655.85
2017-05-25,2695.1
2017-05-26,2728.0
2017-05-29,2645.25
2017-05-30,2717.95
2017-05-31,2734.8
2017-06-01,2816.45
2017-06-02,2816.8
2017-06-05,2806.45
2017-06-06,2798.65
2017-06-07,2802.15
2017-06-08,2804.8
2017-06-09,2947.1
2017-06-12,3054.1
2017-06-13,3017.2
2017-06-14,2992.8
2017-06-15,2987.9
2017-06-16,2959.65
2017-06-19,2910.1
2017-06-20,2902.15
2017-06-21,2870.35
2017-06-22,2890.15
2017-06-23,2820.5
2017-06-27,2805.25
2017-06-28,2801.35
2017-06-29,2771.5
2017-06-30,2796.6
2017-07-03,2873.5
2017-07-04,2818.25
2017-07-05,2820.3
2017-07-06,2934.5
2017-07-07,2946.15
2017-07-10,2901.45
2017-07-11,2860.5
2017-07-12,2923.15
2017-07-13,2917.65
2017-07-14,2903.5
2017-07-17,2927.05
2017-07-18,2925.2
2017-07-19,2956.2
2017-07-20,2948.8
2017-07-21,2918.05
2017-07-24,2922.4
2017-07-25,2906.2
2017-07-26,2905.95
2017-07-27,2840.8
2017-07-28,2930.7
2017-07-31,2952.5
2017-08-01,2957.9
2017-08-02,2912.05
2017-08-03,2902.1
2017-08-04,2940.05
2017-08-07,2963.5
2017-08-08,2919.15
2017-08-09,2851.55
2017-08-10,2731.1
2017-08-11,2701.85
2017-08-14,2759.55
2017-08-16,2748.85
2017-08-17,2713.85
2017-08-18,2695.0
2017-08-21,2617.0
2017-08-22,2579.35
2017-08-23,2625.2
2017-08-24,2676.75
2017-08-28,2690.65
2017-08-29,2657.15
2017-08-30,2716.5
2017-08-31,2713.7
2017-09-01,2767.4
2017-09-04,2691.8
2017-09-05,2698.35
2017-09-06,2701.9
2017-09-07,2702.2
2017-09-08,2696.8
2017-09-11,2690.65
2017-09-12,2751.35
2017-09-13,2757.8
2017-09-14,2907.1
2017-09-15,2881.55
2017-09-18,2842.6
2017-09-19,2776.35
2017-09-20,2807.65
2017-09-21,2832.35
2017-09-22,2748.4
2017-09-25,2701.55
2017-09-26,2682.35
2017-09-27,2608.7
2017-09-28,2567.55
2017-09-29,2622.35
2017-10-03,2712.25
2017-10-04,2699.8
2017-10-05,2699.4
2017-10-06,2703.55
2017-10-09,2766.2
2017-10-10,2774.2
2017-10-11,2743.45
2017-10-12,2742.45
2017-10-13,2742.35
2017-10-16,2747.95
2017-10-17,2761.5
2017-10-18,2754.3
2017-10-19,2768.95
2017-10-23,2731.9
2017-10-24,2738.4
2017-10-25,2625.95
2017-10-26,2629.7
2017-10-27,2706.5
2017-10-30,2762.55
2017-10-31,2748.45
2017-11-01,2724.7
2017-11-02,2716.25
2017-11-03,2684.4
2017-11-06,2757.35
2017-11-07,2707.15
2017-11-08,2642.2
2017-11-09,2640.05
2017-11-10,2639.0
2017-11-13,2626.6
2017-11-14,2628.05
2017-11-15,2566.4
2017-11-16,2575.85
2017-11-17,2598.15
2017-11-20,2610.5
2017-11-21,2621.95
2017-11-22,2603.25
2017-11-23,2591.1
2017-11-24,2661.95
2017-11-27,2658.45
2017-11-28,2759.4
2017-11-29,2811.8
2017-11-30,2773.85
2017-12-01,2732.7
2017-12-04,2731.0
2017-12-05,2759.4
2017-12-06,2733.0
2017-12-07,2751.15
2017-12-08,2879.95
2017-12-11,2895.0
2017-12-12,2816.05
2017-12-13,2726.45
2017-12-14,2758.75
2017-12-15,2771.05
2017-12-18,2796.8
2017-12-19,2871.0
2017-12-20,2852.9
2017-12-21,2874.3
