Date,ECLERX
2017-01-02,1416.7
2017-01-03,1397.55
2017-01-04,1416.15
2017-01-05,1426.5
2017-01-06,1415.2
2017-01-09,1419.05
2017-01-10,1422.75
2017-01-11,1441.9
2017-01-12,1432.25
2017-01-13,1427.4
2017-01-16,1434.45
2017-01-17,1431.5
2017-01-18,1456.75
2017-01-19,1481.35
2017-01-20,1489.6
2017-01-23,1499.45
2017-01-24,1500.4
2017-01-25,1508.75
2017-01-27,1502.75
2017-01-30,1517.85
2017-01-31,1511.5
2017-02-01,1500.2
2017-02-02,1519.95
2017-02-03,1490.15
2017-02-06,1505.05
2017-02-07,1486.55
2017-02-08,1469.55
2017-02-09,1413.25
2017-02-10,1412.35
2017-02-13,1409.15
2017-02-14,1393.8
2017-02-15,1399.4
2017-02-16,1364.6
2017-02-17,1374.4
2017-02-20,1384.0
2017-02-21,1386.95
2017-02-22,1365.15
2017-02-23,1350.1
2017-02-27,1361.6
2017-02-28,1348.05
2017-03-01,1350.5
2017-03-02,1323.9
2017-03-03,1326.25
2017-03-06,1324.55
2017-03-07,1329.1
2017-03-08,1346.35
2017-03-09,1387.25
2017-03-10,1380.25
2017-03-14,1393.75
2017-03-15,1380.0
2017-03-16,1390.55
2017-03-17,1404.0
2017-03-20,1392.4
2017-03-21,1402.6
2017-03-22,1374.45
2017-03-23,1400.1
2017-03-24,1374.15
2017-03-27,1365.1
2017-03-28,1376.4
2017-03-29,1384.4
2017-03-30,1377.4
2017-03-31,1410.5
2017-04-03,1407.65
2017-04-05,1395.65
2017-04-06,1391.9
2017-04-07,1395.95
2017-04-10,1379.5
2017-04-11,1396.7
2017-04-12,1375.55
2017-04-13,1370.75
2017-04-17,1354.85
2017-04-18,1324.65
2017-04-19,1329.35
2017-04-20,1322.45
2017-04-21,1314.05
2017-04-24,1313.0
2017-04-25,1320.65
2017-04-26,1303.85
2017-04-27,1297.55
2017-04-28,1300.25
2017-05-02,1287.25
2017-05-03,1300.5
2017-05-04,1318.1
2017-05-05,1302.9
2017-05-08,1312.4
2017-05-09,1330.65
2017-05-10,1347.25
2017-05-11,1333.65
2017-05-12,1319.0
2017-05-15,1336.85
2017-05-16,1325.05
2017-05-17,1323.2
2017-05-18,1301.2
2017-05-19,1298.95
2017-05-22,1301.05
2017-05-23,1293.75
2017-05-24,1278.75
2017-05-25,1272.75
2017-05-26,1324.0
2017-05-29,1294.0
2017-05-30,1327.65
2017-05-31,1304.55
2017-06-01,1286.25
2017-06-02,1289.45
2017-06-05,1281.4
2017-06-06,1316.75
2017-06-07,1312.1
2017-06-08,1337.95
2017-06-09,1328.15
2017-06-12,1319.6
2017-06-13,1331.35
2017-06-14,1325.8
2017-06-15,1317.5
2017-06-16,1341.6
2017-06-19,1332.7
2017-06-20,1334.05
2017-06-21,1310.5
2017-06-22,1305.05
2017-06-23,1309.35
2017-06-27,1317.65
2017-06-28,1301.05
2017-06-29,1299.95
2017-06-30,1321.85
2017-07-03,1306.5
2017-07-04,1307.15
2017-07-05,1307.3
2017-07-06,1302.25
2017-07-07,1298.85
2017-07-10,1308.25
2017-07-11,1314.5
2017-07-12,1327.1
2017-07-13,1324.55
2017-07-14,1369.8
2017-07-17,1342.3
2017-07-18,1319.55
2017-07-19,1329.85
2017-07-20,1318.8
2017-07-21,1312.9
2017-07-24,1297.45
2017-07-25,1296.4
2017-07-26,1287.4
2017-07-27,1294.35
2017-07-28,1282.75
2017-07-31,1298.05
2017-08-01,1280.45
2017-08-02,1282.25
2017-08-03,1271.1
2017-08-04,1263.85
2017-08-07,1288.05
2017-08-08,1288.8
2017-08-09,1285.25
2017-08-10,1248.8
2017-08-11,1252.3
2017-08-14,1279.6
2017-08-16,1281.0
2017-08-17,1278.6
2017-08-18,1275.15
2017-08-21,1277.85
2017-08-22,1254.4
2017-08-23,1278.3
2017-08-24,1261.05
2017-08-28,1268.4
2017-08-29,1264.05
2017-08-30,1264.95
2017-08-31,1264.05
2017-09-01,1262.6
2017-09-04,1254.1
2017-09-05,1245.35
2017-09-06,1238.85
2017-09-07,1253.15
2017-09-08,1246.65
2017-09-11,1239.5
2017-09-12,1242.6
2017-09-13,1227.55
2017-09-14,1200.3
2017-09-15,1171.4
2017-09-18,1167.95
2017-09-19,1202.2
2017-09-20,1193.35
2017-09-21,1210.95
2017-09-22,1194.05
2017-09-25,1199.1
2017-09-26,1223.5
2017-09-27,1226.7
2017-09-28,1213.65
2017-09-29,1247.55
2017-10-03,1258.2
2017-10-04,1253.65
2017-10-05,1241.3
2017-10-06,1236.5
2017-10-09,1219.45
2017-10-10,1216.0
2017-10-11,1234.7
2017-10-12,1225.6
2017-10-13,1256.15
2017-10-16,1257.85
2017-10-17,1299.65
2017-10-18,1304.1
2017-10-19,1282.15
2017-10-23,1261.7
2017-10-24,1252.65
2017-10-25,1246.55
2017-10-26,1235.65
2017-10-27,1243.75
2017-10-30,1265.25
2017-10-31,1280.05
2017-11-01,1280.85
2017-11-02,1290.15
2017-11-03,1282.0
2017-11-06,1274.2
2017-11-07,1274.3
2017-11-08,1280.4
2017-11-09,1291.05
2017-11-10,1284.45
2017-11-13,1269.5
2017-11-14,1273.6
2017-11-15,1270.1
2017-11-16,1284.85
2017-11-17,1273.45
2017-11-20,1301.85
2017-11-21,1304.3
2017-11-22,1310.3
2017-11-23,1311.55
2017-11-24,1343.7
2017-11-27,1382.7
2017-11-28,1377.95
2017-11-29,1347.4
2017-11-30,1374.9
2017-12-01,1379.3
2017-12-04,1384.15
2017-12-05,1366.2
2017-12-06,1379.2
2017-12-07,1391.15
2017-12-08,1390.1
2017-12-11,1384.25
2017-12-12,1380.3
2017-12-13,1354.7
2017-12-14,1323.85
2017-12-15,1282.7
2017-12-18,1346.1
2017-12-19,1357.75
2017-12-20,1356.95
2017-12-21,1367.6
2017-12-22,1494.1
2017-12-26,1532.4
2017-12-27,1549.2
2017-12-28,1560.1
2017-12-29,1571.6
