Date,CHROMATIC
2017-01-02,2.8
2017-01-03,2.85
2017-01-04,2.9
2017-01-05,2.9
2017-01-06,2.85
2017-01-09,2.9
2017-01-10,2.85
2017-01-11,2.9
2017-01-12,2.9
2017-01-13,2.85
2017-01-16,2.85
2017-01-17,2.85
2017-01-18,2.85
2017-01-19,2.85
2017-01-20,2.85
2017-01-23,2.8
2017-01-24,2.8
2017-01-25,2.75
2017-01-27,2.8
2017-01-30,2.75
2017-01-31,2.75
2017-02-01,2.8
2017-02-02,2.75
2017-02-03,2.7
2017-02-06,2.75
2017-02-07,3.3
2017-02-08,3.15
2017-02-09,3.15
2017-02-10,2.85
2017-02-13,3.15
2017-02-14,3.0
2017-02-15,2.85
2017-02-16,2.9
2017-02-17,2.95
2017-02-20,3.0
2017-02-21,3.05
2017-02-22,3.05
2017-02-23,3.2
2017-02-27,3.15
2017-02-28,3.15
2017-03-01,3.15
2017-03-02,3.05
2017-03-03,3.0
2017-03-06,3.05
2017-03-07,3.0
2017-03-08,2.95
2017-03-09,2.95
2017-03-10,2.95
2017-03-14,3.0
2017-03-15,2.9
2017-03-16,2.95
2017-03-17,2.95
2017-03-20,2.9
2017-03-21,2.85
2017-03-22,2.8
2017-03-23,2.8
2017-03-24,2.8
2017-03-27,2.8
2017-03-28,2.8
2017-03-29,2.7
2017-03-30,2.8
2017-03-31,2.8
2017-04-03,2.8
2017-04-05,2.9
2017-04-06,2.85
2017-04-07,2.85
2017-04-10,2.8
2017-04-11,2.85
2017-04-12,3.15
2017-04-13,3.05
2017-04-17,2.95
2017-04-18,2.9
2017-04-19,3.1
2017-04-20,3.1
2017-04-21,3.0
2017-04-24,3.05
2017-04-25,3.05
2017-04-26,2.9
2017-04-27,2.95
2017-04-28,2.95
2017-05-02,3.0
2017-05-03,2.95
2017-05-04,2.95
2017-05-05,2.9
2017-05-08,2.9
2017-05-09,2.9
2017-05-10,2.85
2017-05-11,2.9
2017-05-12,2.9
2017-05-15,2.85
2017-05-16,2.9
2017-05-17,2.9
2017-05-18,2.7
2017-05-19,2.6
2017-05-22,2.65
2017-05-23,2.55
2017-05-24,2.5
2017-05-25,2.5
2017-05-26,2.5
2017-05-29,2.35
2017-05-30,2.2
2017-05-31,2.2
2017-06-01,2.2
2017-06-02,2.4
2017-06-05,2.5
2017-06-06,2.35
2017-06-07,2.3
2017-06-08,2.25
2017-06-09,2.65
2017-06-12,2.45
2017-06-13,2.3
2017-06-14,2.25
2017-06-15,2.25
2017-06-16,2.25
2017-06-19,2.15
2017-06-20,2.1
2017-06-21,2.15
2017-06-22,2.15
2017-06-23,2.15
2017-06-27,2.0
2017-06-28,1.95
2017-06-29,1.95
2017-06-30,2.0
2017-07-03,2.0
2017-07-04,2.0
2017-07-05,2.0
2017-07-06,2.0
2017-07-07,1.95
2017-07-10,1.95
2017-07-11,1.95
2017-07-12,1.95
2017-07-13,2.3
2017-07-14,2.75
2017-07-17,2.65
2017-07-18,2.7
2017-07-19,2.7
2017-08-23,1.95
2017-08-24,1.9
2017-08-28,1.95
2017-08-29,2.0
2017-08-30,2.1
2017-08-31,2.2
2017-09-01,2.3
2017-09-04,2.4
2017-09-05,2.5
2017-09-06,2.4
2017-09-07,2.3
2017-09-08,2.4
2017-09-11,2.3
2017-09-12,2.2
2017-09-13,2.1
2017-09-14,2.15
2017-09-15,2.25
2017-09-18,2.2
2017-09-19,2.25
2017-09-20,2.25
2017-09-21,2.2
2017-09-22,2.1
2017-09-25,2.1
2017-09-26,2.1
2017-09-27,2.15
2017-09-28,2.05
2017-09-29,2.05
2017-10-03,2.15
2017-10-04,2.25
2017-10-05,2.15
2017-10-06,2.05
2017-10-09,2.1
2017-10-10,2.15
2017-10-11,2.15
2017-10-12,2.1
2017-10-13,2.1
2017-10-16,2.15
2017-10-17,2.05
2017-10-18,2.0
2017-10-19,2.05
2017-10-23,2.05
2017-10-24,2.0
2017-10-25,2.1
2017-10-26,2.05
2017-10-27,2.05
2017-10-30,2.05
2017-10-31,2.05
2017-11-01,2.1
2017-11-02,2.3
2017-11-03,2.25
2017-11-06,2.25
2017-11-07,2.2
2017-11-08,2.1
2017-11-09,2.3
2017-11-10,2.2
2017-11-13,2.2
2017-11-14,2.15
2017-11-15,2.15
2017-11-16,2.15
2017-11-17,2.2
2017-11-20,2.15
2017-11-21,2.25
2017-11-22,2.2
2017-11-23,2.1
2017-11-24,2.3
2017-11-27,2.25
2017-11-28,2.2
2017-11-29,2.25
2017-11-30,2.15
2017-12-01,2.15
2017-12-04,2.15
2017-12-05,2.3
2017-12-06,2.45
2017-12-07,2.9
2017-12-08,3.45
2017-12-11,3.15
2017-12-12,2.85
2017-12-13,2.75
2017-12-14,2.85
2017-12-15,2.95
2017-12-18,3.0
2017-12-19,2.85
2017-12-20,2.75
