Date,BASML
2017-01-02,283.4
2017-01-03,280.65
2017-01-04,311.25
2017-01-05,320.0
2017-01-06,307.05
2017-01-09,313.35
2017-01-10,298.95
2017-01-11,297.4
2017-01-12,290.35
2017-01-13,290.0
2017-01-16,287.35
2017-01-17,287.2
2017-01-18,289.2
2017-01-19,288.65
2017-01-20,287.1
2017-01-23,281.05
2017-01-24,284.05
2017-01-25,287.2
2017-01-27,283.9
2017-01-30,283.0
2017-01-31,282.4
2017-02-01,281.05
2017-02-02,283.5
2017-02-03,302.95
2017-02-06,298.0
2017-02-07,292.2
2017-02-08,299.0
2017-02-09,299.85
2017-02-10,295.35
2017-02-13,288.65
2017-02-14,288.0
2017-02-15,281.6
2017-02-16,285.25
2017-02-20,288.95
2017-02-21,290.05
2017-02-22,279.6
2017-02-23,280.35
2017-02-27,286.35
2017-02-28,283.0
2017-03-01,296.95
2017-03-02,342.45
2017-03-03,327.0
2017-03-06,326.65
2017-03-07,319.0
2017-03-08,315.9
2017-03-09,321.75
2017-03-10,320.9
2017-03-14,312.5
2017-03-15,313.9
2017-03-16,311.0
2017-03-17,319.8
2017-03-20,332.0
2017-03-21,329.45
2017-03-22,321.3
2017-03-23,319.8
2017-03-24,325.1
2017-03-27,324.55
2017-03-28,350.45
2017-03-29,350.35
2017-03-30,350.05
2017-03-31,350.0
2017-04-03,350.0
2017-04-05,342.75
2017-04-06,347.7
2017-04-07,336.85
2017-04-10,338.0
2017-04-11,337.5
2017-04-12,331.25
2017-04-13,333.05
2017-04-17,329.75
2017-04-18,332.0
2017-04-19,329.35
2017-04-20,324.05
2017-04-21,322.7
2017-04-24,326.75
2017-04-25,335.7
2017-04-26,322.6
2017-04-27,325.05
2017-04-28,322.0
2017-05-02,311.15
2017-05-03,301.75
2017-05-04,309.0
2017-05-05,310.15
2017-05-08,313.0
2017-05-09,311.0
2017-05-10,316.25
2017-05-11,315.0
2017-05-12,314.1
2017-05-15,310.4
2017-05-16,314.95
2017-05-17,310.05
2017-05-18,301.15
2017-05-19,303.9
2017-05-22,299.95
2017-05-23,301.2
2017-05-24,299.3
2017-05-25,300.0
2017-05-26,300.0
2017-05-29,305.4
2017-05-30,312.7
2017-05-31,309.3
2017-06-01,302.5
2017-06-02,316.0
2017-06-05,315.0
2017-06-06,308.8
2017-06-07,317.95
2017-06-08,321.55
2017-06-09,312.55
2017-06-12,308.0
2017-06-13,308.25
2017-06-14,310.0
2017-06-15,316.4
2017-06-16,318.5
2017-06-19,313.2
2017-06-20,320.9
2017-06-21,311.45
2017-06-22,315.95
2017-06-23,302.05
2017-06-27,298.7
2017-06-28,297.45
2017-06-29,300.0
2017-06-30,293.1
2017-07-03,298.25
2017-07-04,297.1
2017-07-05,296.95
2017-07-06,308.35
2017-07-07,329.55
2017-07-10,338.5
2017-07-11,346.3
2017-07-12,339.3
2017-07-13,339.95
2017-07-14,336.0
2017-07-17,324.45
2017-07-18,317.55
2017-07-19,327.95
2017-07-20,340.0
2017-07-21,332.05
2017-07-24,326.35
2017-07-25,314.7
2017-07-26,312.05
2017-07-27,308.15
2017-07-28,314.0
2017-07-31,313.8
2017-08-01,315.0
2017-08-02,314.75
2017-08-03,304.15
2017-08-04,308.45
2017-08-07,304.95
2017-08-08,302.1
2017-08-09,302.2
2017-08-10,299.25
2017-08-11,295.7
2017-08-14,303.05
2017-08-16,304.0
2017-08-17,304.9
2017-08-18,305.05
2017-08-21,307.0
2017-08-22,300.6
2017-08-23,304.2
2017-08-24,301.3
2017-08-28,304.0
2017-08-29,307.0
2017-08-30,307.2
2017-08-31,313.0
2017-09-01,313.35
2017-09-04,298.2
2017-09-05,308.3
2017-09-06,304.9
2017-09-07,330.7
2017-09-08,322.65
2017-09-11,315.25
2017-09-12,319.95
2017-09-13,311.0
2017-09-14,340.5
2017-09-15,334.15
2017-09-18,326.75
2017-09-19,321.9
2017-09-20,325.0
2017-09-21,321.7
2017-09-22,315.0
2017-09-25,315.65
2017-09-26,314.15
2017-09-27,310.45
2017-09-28,310.25
2017-09-29,315.0
2017-10-03,311.35
2017-10-04,310.1
2017-10-05,309.65
2017-10-06,308.7
2017-10-09,312.7
2017-10-10,315.0
2017-10-11,307.65
2017-10-12,310.0
2017-10-13,306.1
2017-10-16,305.7
2017-10-17,306.0
2017-10-18,309.25
2017-10-19,306.7
2017-10-23,304.25
2017-10-24,309.25
2017-10-25,313.85
2017-10-26,304.2
2017-10-27,308.0
2017-10-30,319.25
2017-10-31,329.7
2017-11-01,328.15
2017-11-02,323.65
2017-11-03,330.1
2017-11-06,327.2
2017-11-07,315.4
2017-11-08,306.65
2017-11-09,319.4
2017-11-10,333.3
2017-11-13,330.65
2017-11-14,324.15
2017-11-15,321.95
2017-11-16,326.95
2017-11-17,322.7
2017-11-20,324.0
2017-11-21,320.0
2017-11-22,322.0
2017-11-23,322.5
2017-11-24,314.75
2017-11-27,315.3
2017-11-28,324.45
2017-11-29,317.2
2017-11-30,319.65
2017-12-01,323.9
2017-12-04,321.9
2017-12-05,319.9
2017-12-06,315.0
2017-12-07,317.9
2017-12-08,312.8
2017-12-11,318.1
2017-12-12,314.1
2017-12-13,311.1
2017-12-14,308.4
2017-12-15,316.55
2017-12-18,315.1
2017-12-19,315.5
2017-12-20,317.7
2017-12-21,319.95
2017-12-22,321.0
2017-12-26,324.05
2017-12-27,319.25
2017-12-28,323.2
2017-12-29,327.9
