Date,JMCPROJECT
2017-01-02,219.4
2017-01-03,220.25
2017-01-04,220.85
2017-01-05,221.75
2017-01-06,221.35
2017-01-09,220.75
2017-01-10,218.9
2017-01-11,218.8
2017-01-12,223.1
2017-01-13,222.15
2017-01-16,222.1
2017-01-17,218.9
2017-01-18,220.15
2017-01-19,218.55
2017-01-20,216.2
2017-01-23,217.4
2017-01-24,219.25
2017-01-25,223.75
2017-01-27,222.4
2017-01-30,222.5
2017-01-31,215.7
2017-02-01,221.4
2017-02-02,221.35
2017-02-03,229.0
2017-02-06,233.75
2017-02-07,234.3
2017-02-08,229.7
2017-02-09,228.4
2017-02-10,230.95
2017-02-13,227.35
2017-02-14,233.2
2017-02-15,233.15
2017-02-16,231.95
2017-02-17,229.5
2017-02-20,230.8
2017-02-21,231.15
2017-02-22,225.25
2017-02-23,220.75
2017-02-27,218.8
2017-02-28,220.25
2017-03-01,224.4
2017-03-02,231.9
2017-03-03,227.2
2017-03-06,223.35
2017-03-07,227.1
2017-03-08,222.7
2017-03-09,221.1
2017-03-10,216.9
2017-03-14,218.55
2017-03-15,217.0
2017-03-16,233.45
2017-03-17,231.95
2017-03-20,230.7
2017-03-21,235.45
2017-03-22,238.3
2017-03-23,243.2
2017-03-24,249.3
2017-03-27,245.05
2017-03-28,252.1
2017-03-29,254.55
2017-03-30,260.85
2017-03-31,265.55
2017-04-03,264.55
2017-04-05,274.4
2017-04-06,276.65
2017-04-07,277.75
2017-04-10,280.2
2017-04-11,289.1
2017-04-12,289.75
2017-04-13,285.5
2017-04-17,294.1
2017-04-18,293.0
2017-04-19,301.4
2017-04-20,305.95
2017-04-21,300.0
2017-04-24,287.15
2017-04-25,285.0
2017-04-26,271.3
2017-04-27,266.6
2017-04-28,270.75
2017-05-02,275.4
2017-05-03,272.7
2017-05-04,274.65
2017-05-05,275.05
2017-05-08,279.2
2017-05-09,282.8
2017-05-10,278.9
2017-05-11,280.85
2017-05-12,279.2
2017-05-15,277.25
2017-05-16,285.85
2017-05-17,288.95
2017-05-18,275.45
2017-05-19,272.05
2017-05-22,265.2
2017-05-23,262.9
2017-05-24,265.95
2017-05-25,265.5
2017-05-26,273.45
2017-05-29,268.4
2017-05-30,269.9
2017-05-31,271.1
2017-06-01,279.5
2017-06-02,277.3
2017-06-05,281.95
2017-06-06,273.3
2017-06-07,278.15
2017-06-08,276.0
2017-06-09,274.25
2017-06-12,267.4
2017-06-13,275.25
2017-06-14,275.1
2017-06-15,278.85
2017-06-16,287.2
2017-06-19,278.6
2017-06-20,277.3
2017-06-21,283.55
2017-06-22,279.95
2017-06-23,275.85
2017-06-27,274.55
2017-06-28,271.7
2017-06-29,274.85
2017-06-30,269.6
2017-07-03,281.85
2017-07-04,298.8
2017-07-05,299.75
2017-07-06,297.2
2017-07-07,297.5
2017-07-10,298.35
2017-07-11,291.85
2017-07-12,301.85
2017-07-13,335.85
2017-07-14,329.3
2017-07-17,343.85
2017-07-18,329.4
2017-07-19,340.0
2017-07-20,336.35
2017-07-21,331.15
2017-07-24,326.6
2017-07-25,341.55
2017-07-26,351.95
2017-07-27,346.9
2017-07-28,349.3
2017-07-31,353.9
2017-08-01,351.55
2017-08-02,351.75
2017-08-03,349.8
2017-08-04,351.4
2017-08-07,353.7
2017-08-08,352.7
2017-08-09,349.2
2017-08-10,340.0
2017-08-11,336.65
2017-08-14,346.7
2017-08-16,349.15
2017-08-17,346.2
2017-08-18,346.05
2017-08-21,350.7
2017-08-22,366.15
2017-08-23,371.55
2017-08-24,366.3
2017-08-28,366.15
2017-08-29,365.0
2017-08-30,370.15
2017-08-31,387.6
2017-09-01,380.65
2017-09-04,384.3
2017-09-05,380.1
2017-09-06,388.0
2017-09-07,392.7
2017-09-08,391.0
2017-09-11,410.85
2017-09-12,416.5
2017-09-13,411.7
2017-09-14,406.1
2017-09-15,422.2
2017-09-18,440.45
2017-09-19,437.4
2017-09-20,429.35
2017-09-21,419.95
2017-09-22,414.15
2017-09-25,393.45
2017-09-26,386.9
2017-09-27,384.35
2017-09-28,383.2
2017-09-29,377.9
2017-10-03,370.15
2017-10-04,384.25
2017-10-05,384.95
2017-10-06,385.7
2017-10-09,400.1
2017-10-10,455.15
2017-10-11,441.95
2017-10-12,458.4
2017-10-13,441.85
2017-10-16,432.45
2017-10-17,420.65
2017-10-18,417.05
2017-10-19,422.05
2017-10-23,414.05
2017-10-24,424.25
2017-10-25,429.75
2017-10-26,450.2
2017-10-27,450.0
2017-10-30,452.25
2017-10-31,441.1
2017-11-01,451.2
2017-11-02,437.55
2017-11-03,445.35
2017-11-06,478.75
2017-11-07,462.55
2017-11-08,452.7
2017-11-09,463.45
2017-11-10,464.15
2017-11-13,472.9
2017-11-14,475.95
2017-11-15,470.7
2017-11-16,491.65
2017-11-17,500.95
2017-11-20,507.6
2017-11-21,515.7
2017-11-22,545.7
2017-11-23,561.7
2017-11-24,549.85
2017-11-27,570.55
2017-11-28,547.95
2017-11-29,553.95
2017-11-30,571.3
2017-12-01,566.4
2017-12-04,590.75
2017-12-05,590.35
2017-12-06,570.5
2017-12-07,579.65
2017-12-08,580.3
2017-12-11,593.75
2017-12-12,619.25
2017-12-13,597.0
2017-12-14,576.9
2017-12-15,576.4
2017-12-18,598.5
2017-12-19,602.2
2017-12-20,618.0
2017-12-21,620.8
2017-12-22,634.6
2017-12-26,631.85
2017-12-27,635.1
2017-12-28,635.1
2017-12-29,626.8
