Date,RENUKA
2017-01-02,14.7
2017-01-03,14.75
2017-01-04,14.75
2017-01-05,15.0
2017-01-06,14.95
2017-01-09,15.25
2017-01-10,16.0
2017-01-11,15.45
2017-01-12,15.05
2017-01-13,15.2
2017-01-16,15.1
2017-01-17,15.6
2017-01-18,15.4
2017-01-19,15.4
2017-01-20,15.0
2017-01-23,15.15
2017-01-24,15.25
2017-01-25,15.3
2017-01-27,15.35
2017-01-30,15.25
2017-01-31,15.25
2017-02-01,15.5
2017-02-02,15.3
2017-02-03,15.15
2017-02-06,17.1
2017-02-07,16.5
2017-02-08,16.1
2017-02-09,16.0
2017-02-10,15.9
2017-02-13,15.8
2017-02-14,15.65
2017-02-15,15.0
2017-02-16,15.25
2017-02-17,15.55
2017-02-20,16.35
2017-02-21,15.9
2017-02-22,15.85
2017-02-23,15.5
2017-02-27,15.45
2017-02-28,15.55
2017-03-01,15.45
2017-03-02,15.1
2017-03-03,15.7
2017-03-06,15.75
2017-03-07,15.45
2017-03-08,15.25
2017-03-09,15.6
2017-03-10,15.45
2017-03-14,15.35
2017-03-15,15.15
2017-03-16,15.35
2017-03-17,15.4
2017-03-20,15.35
2017-03-21,15.1
2017-03-22,14.85
2017-03-23,14.8
2017-03-24,14.6
2017-03-27,14.85
2017-03-28,14.6
2017-03-29,14.3
2017-03-30,14.55
2017-03-31,14.55
2017-04-03,14.75
2017-04-05,15.3
2017-04-06,15.45
2017-04-07,15.0
2017-04-10,14.8
2017-04-11,14.8
2017-04-12,14.7
2017-04-13,14.65
2017-04-17,14.5
2017-04-18,14.3
2017-04-19,14.45
2017-04-20,15.0
2017-04-21,15.45
2017-04-24,15.35
2017-04-25,15.05
2017-04-26,14.85
2017-04-27,14.75
2017-04-28,14.75
2017-05-02,14.65
2017-05-03,14.55
2017-05-04,14.45
2017-05-05,14.2
2017-05-08,14.25
2017-05-09,14.6
2017-05-10,14.55
2017-05-11,14.5
2017-05-12,14.45
2017-05-15,14.25
2017-05-16,14.3
2017-05-17,14.45
2017-05-18,14.2
2017-05-19,14.1
2017-05-22,14.0
2017-05-23,13.6
2017-05-24,13.2
2017-05-25,13.7
2017-05-26,14.05
2017-05-29,13.75
2017-05-30,13.1
2017-05-31,12.9
2017-06-01,13.05
2017-06-02,13.15
2017-06-05,12.9
2017-06-06,12.85
2017-06-07,12.75
2017-06-08,12.7
2017-06-09,12.6
2017-06-12,12.5
2017-06-13,13.0
2017-06-14,12.95
2017-06-15,13.0
2017-06-16,13.05
2017-06-19,12.65
2017-06-20,12.7
2017-06-21,12.9
2017-06-22,12.7
2017-06-23,12.55
2017-06-27,12.45
2017-06-28,12.5
2017-06-29,12.6
2017-06-30,12.55
2017-07-03,12.75
2017-07-04,12.7
2017-07-05,12.9
2017-07-06,13.05
2017-07-07,15.65
2017-07-10,15.1
2017-07-11,14.75
2017-07-12,15.05
2017-07-13,14.65
2017-07-14,14.8
2017-07-17,14.95
2017-07-18,14.55
2017-07-19,15.0
2017-07-20,16.55
2017-07-21,19.4
2017-07-24,19.5
2017-07-25,21.75
2017-07-26,20.25
2017-07-27,19.1
2017-07-28,18.55
2017-07-31,18.15
2017-08-01,17.8
2017-08-02,18.75
2017-08-03,18.6
2017-08-04,18.85
2017-08-07,19.3
2017-08-08,18.6
2017-08-09,17.8
2017-08-10,16.85
2017-08-11,16.65
2017-08-14,16.7
2017-08-16,16.7
2017-08-17,17.15
2017-08-18,16.9
2017-08-21,16.9
2017-08-22,17.3
2017-08-23,17.4
2017-08-24,17.35
2017-08-28,17.35
2017-08-29,16.9
2017-08-30,17.05
2017-08-31,17.1
2017-09-01,17.05
2017-09-04,16.85
2017-09-05,16.75
2017-09-06,16.65
2017-09-07,16.55
2017-09-08,16.25
2017-09-11,15.75
2017-09-12,15.65
2017-09-13,15.75
2017-09-14,15.7
2017-09-15,15.4
2017-09-18,15.1
2017-09-19,14.8
2017-09-20,14.8
2017-09-21,14.6
2017-09-22,14.3
2017-09-25,13.8
2017-09-26,13.8
2017-09-27,13.65
2017-09-28,13.9
2017-09-29,13.85
2017-10-03,13.8
2017-10-04,13.75
2017-10-05,13.65
2017-10-06,13.9
2017-10-09,14.25
2017-10-10,14.85
2017-10-11,14.5
2017-10-12,14.55
2017-10-13,14.85
2017-10-16,14.7
2017-10-17,14.45
2017-10-18,14.2
2017-10-19,14.1
2017-10-23,14.35
2017-10-24,14.25
2017-10-25,14.5
2017-10-26,14.25
2017-10-27,14.3
2017-10-30,14.4
2017-10-31,14.4
2017-11-01,15.5
2017-11-02,15.1
2017-11-03,15.25
2017-11-06,15.3
2017-11-07,14.8
2017-11-08,14.75
2017-11-09,15.15
2017-11-10,15.5
2017-11-13,15.15
2017-11-14,15.75
2017-11-15,15.65
2017-11-16,15.4
2017-11-17,17.55
2017-11-20,17.95
2017-11-21,16.8
2017-11-22,16.55
2017-11-23,17.95
2017-11-24,17.75
2017-11-27,18.15
2017-11-28,18.3
2017-11-29,17.95
2017-11-30,18.0
2017-12-01,17.75
2017-12-04,17.9
2017-12-05,17.85
2017-12-06,17.75
2017-12-07,17.55
2017-12-08,17.25
2017-12-11,17.0
2017-12-12,16.95
2017-12-13,16.25
2017-12-14,16.0
2017-12-15,15.9
2017-12-18,15.95
2017-12-19,17.1
2017-12-20,16.9
2017-12-21,16.65
2017-12-22,16.7
2017-12-26,16.75
2017-12-27,16.35
2017-12-28,16.1
2017-12-29,16.35
