Date,MINDACORP
2017-01-02,90.0
2017-01-03,88.95
2017-01-04,88.3
2017-01-05,90.0
2017-01-06,89.1
2017-01-09,89.05
2017-01-10,88.95
2017-01-11,89.05
2017-01-12,89.0
2017-01-13,90.7
2017-01-16,90.45
2017-01-17,93.8
2017-01-18,95.55
2017-01-19,97.5
2017-01-20,94.15
2017-01-23,94.55
2017-01-24,92.85
2017-01-25,94.15
2017-01-27,93.25
2017-01-30,90.1
2017-01-31,89.0
2017-02-01,90.0
2017-02-02,89.35
2017-02-03,89.15
2017-02-06,89.5
2017-02-07,90.35
2017-02-08,91.55
2017-02-09,96.5
2017-02-10,98.6
2017-02-13,97.95
2017-02-14,93.0
2017-02-15,91.45
2017-02-16,93.45
2017-02-17,93.85
2017-02-20,93.65
2017-02-21,93.8
2017-02-22,93.45
2017-02-23,93.65
2017-02-27,93.7
2017-02-28,96.2
2017-03-01,95.75
2017-03-02,93.7
2017-03-03,93.4
2017-03-06,92.9
2017-03-07,92.6
2017-03-08,92.85
2017-03-09,92.4
2017-03-10,91.95
2017-03-14,92.1
2017-03-15,91.85
2017-03-16,92.9
2017-03-17,92.05
2017-03-20,92.5
2017-03-21,92.15
2017-03-22,91.25
2017-03-23,91.25
2017-03-24,91.65
2017-03-27,90.85
2017-03-28,91.35
2017-03-29,94.6
2017-03-30,94.2
2017-03-31,93.85
2017-04-03,95.55
2017-04-05,102.25
2017-04-06,105.35
2017-04-07,102.35
2017-04-10,103.15
2017-04-11,107.25
2017-04-12,111.25
2017-04-13,113.5
2017-04-17,114.1
2017-04-18,112.35
2017-04-19,112.95
2017-04-20,120.25
2017-04-21,120.25
2017-04-24,121.2
2017-04-25,118.85
2017-04-26,113.85
2017-04-27,114.4
2017-04-28,112.25
2017-05-02,113.5
2017-05-03,117.3
2017-05-04,114.25
2017-05-05,110.6
2017-05-08,111.8
2017-05-09,114.1
2017-05-10,113.6
2017-05-11,114.05
2017-05-12,112.65
2017-05-15,114.9
2017-05-16,115.2
2017-05-17,116.8
2017-05-18,114.3
2017-05-19,110.85
2017-05-22,109.4
2017-05-23,104.25
2017-05-24,103.15
2017-05-25,101.65
2017-05-26,103.25
2017-05-29,100.35
2017-05-30,101.15
2017-05-31,101.7
2017-06-01,101.75
2017-06-02,101.65
2017-06-05,103.4
2017-06-06,101.35
2017-06-07,101.8
2017-06-08,109.4
2017-06-09,108.5
2017-06-12,105.85
2017-06-13,107.25
2017-06-14,106.55
2017-06-15,107.45
2017-06-16,106.7
2017-06-19,106.3
2017-06-20,107.1
2017-06-21,107.4
2017-06-22,108.25
2017-06-23,109.55
2017-06-27,107.75
2017-06-28,107.25
2017-06-29,108.5
2017-06-30,109.25
2017-07-03,112.55
2017-07-04,110.85
2017-07-05,114.25
2017-07-06,118.5
2017-07-07,118.2
2017-07-10,118.0
2017-07-11,118.75
2017-07-12,121.85
2017-07-13,123.7
2017-07-14,113.05
2017-07-17,110.3
2017-07-18,112.2
2017-07-19,111.8
2017-07-20,110.55
2017-07-21,110.7
2017-07-24,109.4
2017-07-25,109.7
2017-07-26,109.05
2017-07-27,106.75
2017-07-28,107.2
2017-07-31,105.35
2017-08-01,106.4
2017-08-02,104.3
2017-08-03,103.7
2017-08-04,108.55
2017-08-07,107.9
2017-08-08,105.8
2017-08-09,104.0
2017-08-10,103.45
2017-08-11,103.15
2017-08-14,106.75
2017-08-16,106.2
2017-08-17,108.0
2017-08-18,109.8
2017-08-21,110.7
2017-08-22,109.45
2017-08-23,109.3
2017-08-24,108.25
2017-08-28,108.75
2017-08-29,106.7
2017-08-30,107.1
2017-08-31,109.0
2017-09-01,108.4
2017-09-04,111.25
2017-09-05,111.85
2017-09-06,114.15
2017-09-07,113.9
2017-09-08,113.95
2017-09-11,135.55
2017-09-12,135.0
2017-09-13,132.55
2017-09-14,134.05
2017-09-15,132.0
2017-09-18,140.0
2017-09-19,137.9
2017-09-20,135.45
2017-09-21,134.8
2017-09-22,127.85
2017-09-25,125.3
2017-09-26,128.1
2017-09-27,122.35
2017-09-28,123.25
2017-09-29,125.05
2017-10-03,125.15
2017-10-04,129.75
2017-10-05,130.05
2017-10-06,146.4
2017-10-09,147.0
2017-10-10,145.85
2017-10-11,138.35
2017-10-12,140.3
2017-10-13,140.95
2017-10-16,143.85
2017-10-17,145.35
2017-10-18,144.85
2017-10-19,148.35
2017-10-23,144.2
2017-10-24,141.1
2017-10-25,140.05
2017-10-26,141.6
2017-10-27,143.25
2017-10-30,143.5
2017-10-31,142.35
2017-11-01,142.5
2017-11-02,140.6
2017-11-03,141.2
2017-11-06,145.05
2017-11-07,145.05
2017-11-08,141.45
2017-11-09,145.8
2017-11-10,143.7
2017-11-13,155.25
2017-11-14,163.7
2017-11-15,167.3
2017-11-16,170.3
2017-11-17,183.9
2017-11-20,202.2
2017-11-21,201.65
2017-11-22,194.75
2017-11-23,199.35
2017-11-24,197.45
2017-11-27,196.65
2017-11-28,192.9
2017-11-29,192.9
2017-11-30,195.4
2017-12-01,193.0
2017-12-04,187.35
2017-12-05,184.1
2017-12-06,182.7
2017-12-07,183.2
2017-12-08,182.45
2017-12-11,194.9
2017-12-12,190.95
2017-12-13,185.8
2017-12-14,188.5
2017-12-15,191.35
2017-12-18,193.05
2017-12-19,192.1
2017-12-20,190.5
2017-12-21,189.85
2017-12-22,197.95
2017-12-26,218.8
2017-12-27,216.35
2017-12-28,219.35
2017-12-29,214.35
