Date,CARERATING
2017-01-02,1321.4
2017-01-03,1318.25
2017-01-04,1314.25
2017-01-05,1310.45
2017-01-06,1305.85
2017-01-09,1302.5
2017-01-10,1357.8
2017-01-11,1377.1
2017-01-12,1377.0
2017-01-13,1383.2
2017-01-16,1403.8
2017-01-17,1405.05
2017-01-18,1413.6
2017-01-19,1427.6
2017-01-20,1388.15
2017-01-23,1374.55
2017-01-24,1429.05
2017-01-25,1426.8
2017-01-27,1424.0
2017-01-30,1419.5
2017-01-31,1390.75
2017-02-01,1399.7
2017-02-02,1382.9
2017-02-03,1408.5
2017-02-06,1382.75
2017-02-07,1389.65
2017-02-08,1380.7
2017-02-09,1387.35
2017-02-10,1386.65
2017-02-13,1370.45
2017-02-14,1372.6
2017-02-15,1371.4
2017-02-16,1369.75
2017-02-17,1363.0
2017-02-20,1395.1
2017-02-21,1396.25
2017-02-22,1370.95
2017-02-23,1389.75
2017-02-27,1373.1
2017-02-28,1396.1
2017-03-01,1402.35
2017-03-02,1400.25
2017-03-03,1405.9
2017-03-06,1408.1
2017-03-07,1418.4
2017-03-08,1454.55
2017-03-09,1459.05
2017-03-10,1476.05
2017-03-14,1487.5
2017-03-15,1495.8
2017-03-16,1484.0
2017-03-17,1486.25
2017-03-20,1475.2
2017-03-21,1481.05
2017-03-22,1478.8
2017-03-23,1477.2
2017-03-24,1490.75
2017-03-27,1479.2
2017-03-28,1500.65
2017-03-29,1582.65
2017-03-30,1619.95
2017-03-31,1692.7
2017-04-03,1598.05
2017-04-05,1597.4
2017-04-06,1620.85
2017-04-07,1585.45
2017-04-10,1558.1
2017-04-11,1560.35
2017-04-12,1576.05
2017-04-13,1564.6
2017-04-17,1539.15
2017-04-18,1545.85
2017-04-19,1565.85
2017-04-20,1546.6
2017-04-21,1567.45
2017-04-24,1560.75
2017-04-25,1571.6
2017-04-26,1575.75
2017-04-27,1560.65
2017-04-28,1578.95
2017-05-02,1590.95
2017-05-03,1572.75
2017-05-04,1549.95
2017-05-05,1515.3
2017-05-08,1532.75
2017-05-09,1571.15
2017-05-10,1565.05
2017-05-11,1594.7
2017-05-12,1603.65
2017-05-15,1582.15
2017-05-16,1604.3
2017-05-17,1536.45
2017-05-18,1493.8
2017-05-19,1466.65
2017-05-22,1475.1
2017-05-23,1437.3
2017-05-24,1413.75
2017-05-25,1422.95
2017-05-26,1459.45
2017-05-29,1426.55
2017-05-30,1385.45
2017-05-31,1432.25
2017-06-01,1447.3
2017-06-02,1444.8
2017-06-05,1495.85
2017-06-06,1498.05
2017-06-07,1526.6
2017-06-08,1513.4
2017-06-09,1522.2
2017-06-12,1510.85
2017-06-13,1490.2
2017-06-14,1457.3
2017-06-15,1486.15
2017-06-16,1490.15
2017-06-19,1487.1
2017-06-20,1447.7
2017-06-21,1491.35
2017-06-22,1491.7
2017-06-23,1496.15
2017-06-27,1438.05
2017-06-28,1422.2
2017-06-29,1597.45
2017-06-30,1603.35
2017-07-03,1606.9
2017-07-04,1621.6
2017-07-05,1602.9
2017-07-06,1599.55
2017-07-07,1586.05
2017-07-10,1693.15
2017-07-11,1676.95
2017-07-12,1676.2
2017-07-13,1671.0
