Date,REVATHI
2017-01-02,565.1
2017-01-03,566.3
2017-01-04,584.6
2017-01-05,589.0
2017-01-06,573.15
2017-01-09,581.0
2017-01-10,585.0
2017-01-11,600.0
2017-01-12,572.9
2017-01-13,597.95
2017-01-16,599.2
2017-01-17,582.1
2017-01-18,580.0
2017-01-19,603.8
2017-01-20,578.0
2017-01-23,572.85
2017-01-24,595.15
2017-01-25,712.25
2017-01-27,668.35
2017-01-30,645.95
2017-01-31,650.9
2017-02-01,643.0
2017-02-02,681.5
2017-02-03,722.95
2017-02-06,715.0
2017-02-07,686.65
2017-02-08,705.15
2017-02-09,706.6
2017-02-10,696.5
2017-02-13,835.8
2017-02-14,805.75
2017-02-15,784.45
2017-02-16,810.7
2017-02-17,803.7
2017-02-20,798.7
2017-02-21,833.75
2017-02-22,816.15
2017-02-23,787.65
2017-02-27,793.1
2017-02-28,798.85
2017-03-01,816.1
2017-03-02,826.45
2017-03-03,828.15
2017-03-06,811.4
2017-03-07,819.0
2017-03-08,789.15
2017-03-09,775.95
2017-03-10,771.4
2017-03-14,771.0
2017-03-15,760.05
2017-03-16,775.1
2017-03-17,783.45
2017-03-20,795.6
2017-03-21,799.25
2017-03-22,786.6
2017-03-23,774.9
2017-03-24,788.9
2017-03-27,780.1
2017-03-28,771.9
2017-03-29,772.4
2017-03-30,777.0
2017-03-31,797.1
2017-04-03,827.75
2017-04-05,828.0
2017-04-06,829.85
2017-04-07,799.0
2017-04-10,826.6
2017-04-11,821.0
2017-04-12,822.95
2017-04-13,824.0
2017-04-17,825.9
2017-04-18,825.85
2017-04-19,831.1
2017-04-20,830.15
2017-04-21,876.25
2017-04-24,1007.3
2017-04-25,983.3
2017-04-26,947.9
2017-04-27,1012.65
2017-04-28,1009.2
2017-05-02,1004.6
2017-05-03,985.4
2017-05-04,1001.4
2017-05-05,976.8
2017-05-08,973.45
2017-05-09,961.2
2017-05-10,947.15
2017-05-11,915.45
2017-05-12,905.5
2017-05-15,899.65
2017-05-16,896.6
2017-05-17,920.15
2017-05-18,906.2
2017-05-19,902.0
2017-05-22,892.75
2017-05-23,882.8
2017-05-24,872.95
2017-05-25,870.6
2017-05-26,899.2
2017-05-29,869.15
2017-05-30,759.2
2017-05-31,766.65
2017-06-01,745.6
2017-06-02,745.05
2017-06-05,766.65
2017-06-06,771.75
2017-06-07,772.55
2017-06-08,761.45
2017-06-09,760.0
2017-06-12,757.5
2017-06-13,745.45
2017-06-14,746.95
2017-06-15,777.9
2017-06-16,772.45
2017-06-19,766.65
2017-06-20,764.75
2017-06-21,762.05
2017-06-22,794.45
2017-06-23,771.3
2017-06-27,767.35
2017-06-28,757.45
2017-06-29,758.6
2017-06-30,762.2
2017-07-03,762.25
2017-07-04,769.2
2017-07-05,764.95
2017-07-06,762.0
2017-07-07,769.2
2017-07-10,775.85
2017-07-11,772.6
2017-07-12,784.75
2017-07-13,823.8
2017-07-14,811.8
2017-07-17,793.25
2017-07-18,788.75
2017-07-19,769.8
2017-07-20,767.6
2017-07-21,765.2
2017-07-24,769.85
2017-07-25,770.3
2017-07-26,756.2
2017-07-27,754.2
2017-07-28,750.85
2017-07-31,743.7
2017-08-01,747.95
2017-08-02,735.5
2017-08-03,734.4
2017-08-04,718.15
2017-08-07,725.0
2017-08-08,726.75
2017-08-09,701.3
2017-08-10,676.15
2017-08-11,683.0
2017-08-14,705.05
2017-08-16,704.85
2017-08-17,709.35
2017-08-18,678.0
2017-08-21,692.45
2017-08-22,685.5
2017-08-23,664.1
2017-08-24,673.25
2017-08-28,669.5
2017-08-29,671.75
2017-08-30,688.25
2017-08-31,689.6
2017-09-01,682.15
2017-09-04,670.3
2017-09-05,692.35
2017-09-06,668.65
2017-09-07,658.9
2017-09-08,655.35
2017-09-11,647.65
2017-09-12,637.95
2017-09-13,648.25
2017-09-14,648.15
2017-09-15,646.15
2017-09-18,656.35
2017-09-19,660.35
2017-09-20,644.85
2017-09-21,647.25
2017-09-22,638.6
2017-09-25,645.4
2017-09-26,623.6
2017-09-27,609.4
2017-09-28,612.05
2017-09-29,617.15
2017-10-03,618.4
2017-10-04,617.5
2017-10-05,606.5
2017-10-06,606.2
2017-10-09,637.5
2017-10-10,644.8
2017-10-11,626.0
2017-10-12,631.0
2017-10-13,632.15
2017-10-16,621.65
2017-10-17,621.25
2017-10-18,620.8
2017-10-19,620.9
2017-10-23,608.35
2017-10-24,623.65
2017-10-25,613.0
2017-10-26,627.0
2017-10-27,625.8
2017-10-30,703.45
2017-10-31,665.35
2017-11-01,692.9
2017-11-02,709.75
2017-11-03,695.7
2017-11-06,698.05
2017-11-07,677.75
2017-11-08,659.8
2017-11-09,667.6
2017-11-10,662.65
2017-11-13,664.2
2017-11-14,663.0
2017-11-15,670.0
2017-11-16,658.15
2017-11-17,671.75
2017-11-20,657.9
2017-11-21,660.1
2017-11-22,665.55
2017-11-23,672.0
2017-11-24,670.15
2017-11-27,654.0
2017-11-28,658.1
2017-11-29,689.8
2017-11-30,679.85
2017-12-01,670.8
2017-12-04,656.2
2017-12-05,660.5
2017-12-06,645.5
2017-12-07,658.65
2017-12-08,655.95
2017-12-11,673.65
2017-12-12,672.8
2017-12-13,659.1
2017-12-14,659.55
2017-12-15,656.95
2017-12-18,673.9
2017-12-19,681.05
2017-12-20,706.55
2017-12-21,714.7
2017-12-22,718.0
2017-12-26,736.4
2017-12-27,736.95
2017-12-28,737.15
2017-12-29,744.2
