Date,ISMTLTD
2017-01-02,8.8
2017-01-03,9.05
2017-01-04,9.25
2017-01-05,10.1
2017-01-06,9.5
2017-01-09,9.8
2017-01-10,10.05
2017-01-11,10.0
2017-01-12,9.85
2017-01-13,9.7
2017-01-16,9.8
2017-01-17,9.8
2017-01-18,9.9
2017-01-19,10.05
2017-01-20,9.95
2017-01-23,10.3
2017-01-24,10.7
2017-01-25,12.8
2017-01-27,11.9
2017-01-30,13.0
2017-01-31,13.3
2017-02-01,13.25
2017-02-02,12.25
2017-02-03,12.3
2017-02-06,13.6
2017-02-07,14.15
2017-02-08,13.95
2017-02-09,13.75
2017-02-10,13.05
2017-02-13,12.4
2017-02-14,12.0
2017-02-15,11.4
2017-02-16,11.35
2017-02-17,11.95
2017-02-20,12.3
2017-02-21,14.75
2017-02-22,13.85
2017-02-23,13.1
2017-02-27,12.75
2017-02-28,13.1
2017-03-01,13.55
2017-03-02,12.8
2017-03-03,12.95
2017-03-06,13.75
2017-03-07,13.2
2017-03-08,12.95
2017-03-09,12.8
2017-03-10,12.75
2017-03-14,12.8
2017-03-15,12.6
2017-03-16,12.6
2017-03-17,12.3
2017-03-20,12.35
2017-03-21,12.3
2017-03-22,11.95
2017-03-23,12.3
2017-03-24,12.2
2017-03-27,12.2
2017-03-28,12.55
2017-03-29,12.45
2017-03-30,12.5
2017-03-31,12.5
2017-04-03,12.65
2017-04-05,13.35
2017-04-06,13.4
2017-04-07,13.35
2017-04-10,13.25
2017-04-11,13.4
2017-04-12,13.95
2017-04-13,15.55
2017-04-17,15.35
2017-04-18,14.05
2017-04-19,14.3
2017-04-20,14.35
2017-04-21,14.75
2017-04-24,14.35
2017-04-25,14.95
2017-04-26,14.1
2017-04-27,13.9
2017-04-28,13.9
2017-05-02,13.95
2017-05-03,13.8
2017-05-04,13.95
2017-05-05,13.75
2017-05-08,13.8
2017-05-09,13.7
2017-05-10,13.75
2017-05-11,13.5
2017-05-12,13.25
2017-05-15,13.2
2017-05-16,13.1
2017-05-17,13.05
2017-05-18,12.75
2017-05-19,12.8
2017-05-22,12.25
2017-05-23,11.85
2017-05-24,11.0
2017-05-25,11.05
2017-05-26,11.65
2017-05-29,12.6
2017-05-30,12.05
2017-05-31,11.65
2017-06-01,11.5
2017-06-02,11.55
2017-06-05,11.45
2017-06-06,11.45
2017-06-07,11.2
2017-06-08,11.25
2017-06-09,11.05
2017-06-12,10.85
2017-06-13,10.95
2017-06-14,10.85
2017-06-15,11.9
2017-06-16,12.65
2017-06-19,12.4
2017-06-20,12.2
2017-06-21,12.05
2017-06-22,11.8
2017-06-23,11.6
2017-06-27,11.25
2017-06-28,11.05
2017-06-29,11.95
2017-06-30,12.0
2017-07-03,11.95
2017-07-04,11.9
2017-07-05,11.9
2017-07-06,11.85
2017-07-07,11.95
2017-07-10,11.75
2017-07-11,11.5
2017-07-12,11.5
2017-07-13,11.55
2017-07-14,11.35
2017-07-17,11.2
2017-07-18,11.15
2017-07-19,11.1
2017-07-20,11.05
2017-07-21,10.9
2017-07-24,10.85
2017-07-25,10.8
2017-07-26,11.45
2017-07-27,11.25
2017-07-28,11.1
2017-07-31,11.2
2017-08-01,11.25
2017-08-02,11.55
2017-08-03,11.5
2017-08-04,11.5
2017-08-07,11.8
2017-08-08,11.3
2017-08-09,11.25
2017-08-10,10.9
2017-08-11,10.55
2017-08-14,11.35
2017-08-16,11.2
2017-08-17,10.7
2017-08-18,10.65
2017-08-21,10.6
2017-08-22,10.35
2017-08-23,10.3
2017-08-24,10.65
2017-08-28,10.3
2017-08-29,10.35
2017-08-30,10.3
2017-08-31,9.75
2017-09-01,10.15
2017-09-04,10.15
2017-09-05,10.15
2017-09-06,10.9
2017-09-07,10.95
2017-09-08,10.9
2017-09-11,11.5
2017-09-12,11.35
2017-09-13,11.4
2017-09-14,11.7
2017-09-15,11.35
2017-09-18,11.15
2017-09-19,11.2
2017-09-20,11.05
2017-09-21,10.9
2017-09-22,10.7
2017-09-25,10.5
2017-09-26,10.5
2017-09-27,10.2
2017-09-28,10.15
2017-09-29,10.2
2017-10-03,10.3
2017-10-04,10.1
2017-10-05,10.3
2017-10-06,10.3
2017-10-09,10.35
2017-10-10,10.6
2017-10-11,10.6
2017-10-12,10.55
2017-10-13,10.45
2017-10-16,10.35
2017-10-17,10.35
2017-10-18,10.45
2017-10-19,10.55
2017-10-23,10.55
2017-10-24,11.15
2017-10-25,11.3
2017-10-26,11.55
2017-10-27,11.0
2017-10-30,11.15
2017-10-31,11.45
2017-11-01,11.45
2017-11-02,12.15
2017-11-03,11.9
2017-11-06,11.75
2017-11-07,11.2
2017-11-08,11.3
2017-11-09,11.25
2017-11-10,11.45
2017-11-13,11.3
2017-11-14,11.15
2017-11-15,10.95
2017-11-16,11.4
2017-11-17,11.7
2017-11-20,11.75
2017-11-21,11.65
2017-11-22,11.9
2017-11-23,11.5
2017-11-24,11.8
2017-11-27,11.95
2017-11-28,13.15
2017-11-29,12.95
2017-11-30,13.3
2017-12-01,15.9
2017-12-04,18.95
2017-12-05,17.1
2017-12-06,15.4
