Date,IL&FSENGG
2017-01-02,45.4
2017-01-03,45.8
2017-01-04,44.95
2017-01-05,45.6
2017-01-06,45.8
2017-01-09,45.1
2017-01-10,45.6
2017-01-11,45.05
2017-01-12,45.7
2017-01-13,49.2
2017-01-16,49.2
2017-01-17,48.1
2017-01-18,48.7
2017-01-19,48.4
2017-01-20,47.25
2017-01-23,47.05
2017-01-24,46.55
2017-01-25,47.0
2017-01-27,49.75
2017-01-30,49.6
2017-01-31,49.15
2017-02-01,48.95
2017-02-02,51.85
2017-02-03,52.7
2017-02-06,51.4
2017-02-07,50.5
2017-02-08,51.8
2017-02-09,52.4
2017-02-10,51.75
2017-02-13,54.75
2017-02-14,53.9
2017-02-15,51.8
2017-02-16,55.0
2017-02-17,55.1
2017-02-20,64.1
2017-02-21,63.85
2017-02-22,61.8
2017-02-23,60.65
2017-02-27,59.7
2017-02-28,62.25
2017-03-01,62.1
2017-03-02,60.35
2017-03-03,59.75
2017-03-06,58.65
2017-03-07,57.75
2017-03-08,55.0
2017-03-09,55.15
2017-03-10,56.25
2017-03-14,56.05
2017-03-15,55.55
2017-03-16,57.3
2017-03-17,56.55
2017-03-20,55.7
2017-03-21,57.2
2017-03-22,55.6
2017-03-23,55.55
2017-03-24,56.15
2017-03-27,57.85
2017-03-28,55.7
2017-03-29,54.95
2017-03-30,54.2
2017-03-31,54.05
2017-04-03,54.95
2017-04-05,56.6
2017-04-06,55.95
2017-04-07,57.05
2017-04-10,58.0
2017-04-11,58.5
2017-04-12,56.45
2017-04-13,56.3
2017-04-17,56.05
2017-04-18,58.3
2017-04-19,59.1
2017-04-20,58.5
2017-04-21,57.75
2017-04-24,58.7
2017-04-25,58.35
2017-04-26,56.65
2017-04-27,56.35
2017-04-28,56.3
2017-05-02,56.1
2017-05-03,55.85
2017-05-04,55.65
2017-05-05,54.3
2017-05-08,54.65
2017-05-09,54.4
2017-05-10,54.45
2017-05-11,54.85
2017-05-12,56.35
2017-05-15,55.85
2017-05-16,56.0
2017-05-17,55.65
2017-05-18,53.6
2017-05-19,52.65
2017-05-22,51.3
2017-05-23,50.15
2017-05-24,46.65
2017-05-25,48.8
2017-05-26,50.3
2017-05-29,50.35
2017-05-30,53.15
2017-05-31,52.35
2017-06-01,52.95
2017-06-02,52.6
2017-06-05,51.9
2017-06-06,49.55
2017-06-07,49.8
2017-06-08,48.25
2017-06-09,49.0
2017-06-12,47.65
2017-06-13,47.6
2017-06-14,46.85
2017-06-15,46.8
2017-06-16,46.65
2017-06-19,46.95
2017-06-20,45.95
2017-06-21,44.45
2017-06-22,45.8
2017-06-23,44.45
2017-06-27,44.1
2017-06-28,43.2
2017-06-29,43.2
2017-06-30,42.25
2017-07-03,43.15
2017-07-04,43.15
2017-07-05,46.75
2017-07-06,45.4
2017-07-07,45.65
2017-07-10,46.2
2017-07-11,45.05
2017-07-12,45.25
2017-07-13,47.6
2017-07-14,46.65
2017-07-17,44.65
2017-07-18,45.4
2017-07-19,44.6
2017-07-20,45.45
2017-07-21,44.65
2017-07-24,45.15
2017-07-25,44.7
2017-07-26,45.35
2017-07-27,44.75
2017-07-28,45.0
2017-07-31,47.25
2017-08-01,46.35
2017-08-02,45.2
2017-08-03,44.55
2017-08-04,44.4
2017-08-07,44.4
2017-08-08,43.6
2017-08-09,42.2
2017-08-10,40.05
2017-08-11,39.55
2017-08-14,41.35
2017-08-16,41.3
2017-08-17,42.95
2017-08-18,41.8
2017-08-21,41.6
2017-08-22,40.05
2017-08-23,40.0
2017-08-24,41.35
2017-08-28,40.45
2017-08-29,39.0
2017-08-30,39.2
2017-08-31,39.2
2017-09-01,39.65
2017-09-04,38.55
2017-09-05,38.2
2017-09-06,37.75
2017-09-07,37.9
2017-09-08,37.55
2017-09-11,36.85
2017-09-12,37.3
2017-09-13,37.05
2017-09-14,37.25
2017-09-15,36.5
2017-09-18,35.65
2017-09-19,34.95
2017-09-20,34.75
2017-09-21,34.3
2017-09-22,33.65
2017-09-25,32.75
2017-09-26,32.75
2017-09-27,31.85
2017-09-28,31.55
2017-09-29,32.45
2017-10-03,32.15
2017-10-04,32.05
2017-10-05,32.15
2017-10-06,33.3
2017-10-09,33.1
2017-10-10,33.0
2017-10-11,36.3
2017-10-12,37.0
2017-10-13,35.75
2017-10-16,34.15
2017-10-17,34.35
2017-10-18,34.5
2017-10-19,34.7
2017-10-23,34.45
2017-10-24,36.9
2017-10-25,40.4
2017-10-26,39.7
2017-10-27,38.9
2017-10-30,38.1
2017-10-31,42.65
2017-11-01,48.2
2017-11-02,55.05
2017-11-03,53.75
2017-11-06,54.05
2017-11-07,49.65
2017-11-08,48.85
2017-11-09,47.95
2017-11-10,48.4
2017-11-13,43.75
