Date,IBVENTURES
2017-01-02,20.65
2017-01-03,21.65
2017-01-04,21.95
2017-01-05,22.05
2017-01-06,21.65
2017-01-09,21.9
2017-01-10,21.8
2017-01-11,22.05
2017-01-12,22.05
2017-01-13,22.0
2017-01-16,21.9
2017-01-17,22.05
2017-01-18,21.9
2017-01-19,21.95
2017-01-20,21.65
2017-01-23,21.6
2017-01-24,21.45
2017-01-25,21.35
2017-01-27,20.85
2017-01-30,20.7
2017-01-31,20.15
2017-02-01,20.75
2017-02-02,21.4
2017-02-03,21.85
2017-02-06,22.5
2017-02-07,23.9
2017-02-08,28.45
2017-02-09,28.15
2017-02-10,29.4
2017-02-13,29.8
2017-02-14,30.05
2017-02-15,31.8
2017-02-16,34.75
2017-02-17,35.35
2017-02-20,35.0
2017-02-21,36.75
2017-02-22,36.95
2017-02-23,39.9
2017-02-27,38.7
2017-02-28,37.05
2017-03-01,38.5
2017-03-02,36.85
2017-03-03,36.0
2017-03-06,36.15
2017-03-07,35.55
2017-03-08,36.1
2017-03-09,36.35
2017-03-10,36.35
2017-03-14,38.15
2017-03-15,41.95
2017-03-16,46.1
2017-03-17,48.3
2017-03-20,45.9
2017-03-21,47.75
2017-03-22,46.05
2017-03-23,45.6
2017-03-24,47.85
2017-03-27,49.15
2017-03-28,50.95
2017-03-29,53.0
2017-03-30,55.65
2017-03-31,58.4
2017-04-03,61.3
2017-04-05,64.35
2017-04-06,67.55
2017-04-07,70.8
2017-04-10,74.3
2017-04-11,78.0
2017-04-12,81.9
2017-04-13,85.95
2017-04-17,90.2
2017-04-18,93.95
2017-04-19,98.6
2017-04-20,103.5
2017-04-21,108.25
2017-04-24,113.65
2017-04-25,119.3
2017-04-26,114.0
2017-04-27,108.3
2017-04-28,110.6
2017-05-02,105.95
2017-05-03,106.95
2017-05-04,112.25
2017-05-05,117.85
2017-05-08,123.7
2017-05-09,129.85
2017-05-10,136.3
2017-05-11,143.1
2017-05-12,142.7
2017-05-15,146.4
2017-05-16,146.6
2017-05-17,143.4
2017-05-18,136.25
2017-05-19,131.1
2017-05-22,137.65
2017-05-23,140.35
2017-05-24,133.75
2017-05-25,135.95
2017-05-26,141.75
2017-05-29,145.65
2017-05-30,150.1
2017-05-31,156.6
2017-06-01,156.65
2017-06-02,152.8
2017-06-05,150.95
2017-06-06,148.65
2017-06-07,152.1
2017-06-08,150.45
2017-06-09,148.1
2017-06-12,148.4
2017-06-13,159.05
2017-06-14,163.5
2017-06-15,165.65
2017-06-16,166.7
2017-06-19,166.7
2017-06-20,177.65
2017-06-21,190.55
2017-06-22,186.1
2017-06-23,184.75
2017-06-27,175.0
2017-06-28,175.05
2017-06-29,173.8
2017-06-30,161.95
2017-07-03,171.9
2017-07-04,172.1
2017-07-05,175.05
2017-07-06,166.95
2017-07-07,173.7
2017-07-10,177.1
2017-07-11,172.75
2017-07-12,170.7
2017-07-13,181.5
2017-07-14,174.4
2017-07-17,176.2
2017-07-18,179.0
2017-07-19,180.0
2017-07-20,177.4
2017-07-21,180.75
2017-07-24,196.75
2017-07-25,191.7
2017-07-26,195.95
2017-07-27,197.75
2017-07-28,194.85
2017-07-31,191.2
2017-08-01,194.2
2017-08-02,195.95
2017-08-03,195.85
2017-08-04,196.55
2017-08-07,211.75
2017-08-08,208.7
2017-08-09,205.45
2017-08-10,184.35
2017-08-11,180.45
2017-08-14,187.85
2017-08-16,193.85
2017-08-17,203.0
2017-08-18,201.15
2017-08-21,198.45
2017-08-22,197.35
2017-08-23,202.45
2017-08-24,203.05
2017-08-28,211.85
2017-08-29,207.35
2017-08-30,217.75
2017-08-31,219.65
2017-09-01,229.5
2017-09-04,228.3
2017-09-05,227.9
2017-09-06,231.05
2017-09-07,238.1
2017-09-08,244.55
2017-09-11,251.75
2017-09-12,251.1
2017-09-13,265.3
2017-09-14,283.75
2017-09-15,279.6
2017-09-18,277.35
2017-09-19,268.15
2017-09-20,266.85
2017-09-21,253.65
2017-09-22,240.0
2017-09-25,220.85
2017-09-26,244.35
2017-09-27,235.8
2017-09-28,237.75
2017-09-29,255.45
2017-10-03,264.4
2017-10-04,266.2
2017-10-05,263.2
2017-10-06,265.05
2017-10-09,285.6
2017-10-10,288.9
2017-10-11,285.2
2017-10-12,290.5
2017-10-13,281.8
2017-10-16,292.0
2017-10-17,298.95
2017-10-18,296.35
2017-10-19,288.7
2017-10-23,281.65
2017-10-24,281.85
2017-10-25,275.1
2017-10-26,279.9
2017-10-27,282.25
2017-10-30,279.0
2017-10-31,285.9
2017-11-01,294.0
2017-11-02,297.25
2017-11-03,302.4
2017-11-06,296.15
2017-11-07,293.85
2017-11-08,294.4
2017-11-09,294.4
2017-11-10,294.8
2017-11-13,286.05
2017-11-14,277.9
2017-11-15,261.2
2017-11-16,264.5
2017-11-17,268.35
2017-11-20,264.1
2017-11-21,256.0
2017-11-22,246.45
2017-11-23,261.4
2017-11-24,260.4
2017-11-27,263.4
2017-11-28,266.9
2017-11-29,262.6
2017-11-30,272.3
2017-12-01,269.15
2017-12-04,262.6
2017-12-05,258.45
2017-12-06,255.6
2017-12-07,259.4
2017-12-08,259.3
2017-12-11,255.85
2017-12-12,251.65
2017-12-13,250.15
2017-12-14,248.55
2017-12-15,258.5
2017-12-18,253.7
2017-12-19,255.65
2017-12-20,260.05
2017-12-21,270.5
2017-12-22,269.6
2017-12-26,267.0
2017-12-27,262.55
2017-12-28,262.9
2017-12-29,265.45
