Date,ABFRL
2017-01-02,137.65
2017-01-03,139.55
2017-01-04,140.9
2017-01-05,140.0
2017-01-06,139.7
2017-01-09,139.35
2017-01-10,139.05
2017-01-11,141.15
2017-01-12,139.7
2017-01-13,139.85
2017-01-16,144.8
2017-01-17,144.7
2017-01-18,142.35
2017-01-19,145.95
2017-01-20,143.1
2017-01-23,142.15
2017-01-24,148.5
2017-01-25,149.0
2017-01-27,148.5
2017-01-30,149.45
2017-01-31,150.05
2017-02-01,149.05
2017-02-02,148.9
2017-02-03,145.2
2017-02-06,147.5
2017-02-07,151.25
2017-02-08,153.95
2017-02-09,152.2
2017-02-10,152.05
2017-02-13,151.05
2017-02-14,150.85
2017-02-15,149.95
2017-02-16,150.0
2017-02-17,156.45
2017-02-20,157.65
2017-02-21,157.45
2017-02-22,159.2
2017-02-23,156.85
2017-02-27,157.6
2017-02-28,157.95
2017-03-01,158.75
2017-03-02,155.6
2017-03-03,153.75
2017-03-06,150.8
2017-03-07,147.75
2017-03-08,146.25
2017-03-09,146.25
2017-03-10,145.35
2017-03-14,147.4
2017-03-15,148.75
2017-03-16,152.75
2017-03-17,155.9
2017-03-20,155.5
2017-03-21,150.2
2017-03-22,151.0
2017-03-23,154.1
2017-03-24,152.4
2017-03-27,154.25
2017-03-28,153.15
2017-03-29,152.25
2017-03-30,150.95
2017-03-31,153.85
2017-04-03,156.3
2017-04-05,161.15
2017-04-06,160.7
2017-04-07,160.05
2017-04-10,166.85
2017-04-11,171.15
2017-04-12,179.6
2017-04-13,179.0
2017-04-17,173.55
2017-04-18,174.45
2017-04-19,179.7
2017-04-20,178.0
2017-04-21,179.95
2017-04-24,176.95
2017-04-25,172.05
2017-04-26,169.7
2017-04-27,174.65
2017-04-28,172.7
2017-05-02,173.55
2017-05-03,169.85
2017-05-04,167.35
2017-05-05,165.05
2017-05-08,163.7
2017-05-09,158.8
2017-05-10,158.15
2017-05-11,164.15
2017-05-12,170.1
2017-05-15,176.5
2017-05-16,181.55
2017-05-17,179.1
2017-05-18,173.35
2017-05-19,167.45
2017-05-22,160.9
2017-05-23,163.15
2017-05-24,164.95
2017-05-25,166.3
2017-05-26,171.35
2017-05-29,168.35
2017-05-30,169.35
2017-05-31,175.5
2017-06-01,172.3
2017-06-02,170.95
2017-06-05,179.05
2017-06-06,180.75
2017-06-07,178.7
2017-06-08,182.5
2017-06-09,182.05
2017-06-12,185.8
2017-06-13,182.45
2017-06-14,183.05
2017-06-15,179.95
2017-06-16,178.8
2017-06-19,177.15
2017-06-20,175.55
2017-06-21,175.35
2017-06-22,174.9
2017-06-23,173.8
2017-06-27,169.95
2017-06-28,166.55
2017-06-29,172.4
2017-06-30,173.4
2017-07-03,171.9
2017-07-04,170.85
2017-07-05,170.65
2017-07-06,172.1
2017-07-07,175.75
2017-07-10,176.75
2017-07-11,174.75
2017-07-12,177.55
2017-07-13,177.15
2017-07-14,182.35
2017-07-17,180.75
2017-07-18,177.9
2017-07-19,181.85
2017-07-20,178.7
2017-07-21,176.5
2017-07-24,173.05
2017-07-25,177.3
2017-07-26,177.1
2017-07-27,169.7
2017-07-28,168.0
2017-07-31,172.5
2017-08-01,172.4
2017-08-02,177.55
2017-08-03,174.0
2017-08-04,171.8
2017-08-07,170.3
2017-08-08,167.25
2017-08-09,169.0
2017-08-10,168.2
2017-08-11,162.25
2017-08-14,164.15
2017-08-16,173.4
2017-08-17,170.25
2017-08-18,170.9
2017-08-21,170.0
2017-08-22,170.9
2017-08-23,169.45
2017-08-24,169.1
2017-08-28,169.95
2017-08-29,167.9
2017-08-30,169.5
2017-08-31,170.95
2017-09-01,171.3
2017-09-04,171.25
2017-09-05,174.2
2017-09-06,177.55
2017-09-07,178.3
2017-09-08,176.5
2017-09-11,174.2
2017-09-12,173.6
2017-09-13,169.6
2017-09-14,170.1
2017-09-15,171.65
2017-09-18,172.05
2017-09-19,169.2
2017-09-20,169.35
2017-09-21,167.45
2017-09-22,164.1
2017-09-25,158.2
2017-09-26,158.8
2017-09-27,153.05
2017-09-28,157.25
2017-09-29,163.0
2017-10-03,167.35
2017-10-04,164.2
2017-10-05,161.0
2017-10-06,162.55
2017-10-09,158.95
2017-10-10,161.15
2017-10-11,156.25
2017-10-12,158.3
2017-10-13,155.4
2017-10-16,152.0
2017-10-17,148.95
2017-10-18,144.9
2017-10-19,148.9
2017-10-23,147.15
2017-10-24,145.75
2017-10-25,150.45
2017-10-26,148.1
2017-10-27,148.7
2017-10-30,152.75
2017-10-31,156.9
2017-11-01,150.5
2017-11-02,152.2
2017-11-03,153.6
2017-11-06,154.05
2017-11-07,150.0
2017-11-08,150.35
2017-11-09,148.65
2017-11-10,149.75
2017-11-13,149.95
2017-11-14,150.05
2017-11-15,150.25
2017-11-16,154.55
2017-11-17,151.6
2017-11-20,155.55
2017-11-21,154.7
2017-11-22,154.3
2017-11-23,160.45
2017-11-24,165.6
2017-11-27,173.2
2017-11-28,165.5
2017-11-29,165.8
2017-11-30,167.55
2017-12-01,167.55
2017-12-04,166.2
2017-12-05,163.05
2017-12-06,165.1
2017-12-07,170.1
2017-12-08,170.9
2017-12-11,170.1
2017-12-12,170.75
2017-12-13,169.2
2017-12-14,170.2
2017-12-15,169.4
2017-12-18,168.8
2017-12-19,168.8
2017-12-20,169.7
2017-12-21,175.4
2017-12-22,177.05
2017-12-26,172.8
2017-12-27,169.5
2017-12-28,171.95
2017-12-29,172.45
