Date,BANKINDIA
2017-01-02,107.45
2017-01-03,108.35
2017-01-04,107.7
2017-01-05,109.55
2017-01-06,110.55
2017-01-09,111.2
2017-01-10,111.25
2017-01-11,114.25
2017-01-12,114.15
2017-01-13,114.0
2017-01-16,115.35
2017-01-17,115.05
2017-01-18,115.2
2017-01-19,115.6
2017-01-20,112.35
2017-01-23,114.15
2017-01-24,114.85
2017-01-25,115.05
2017-01-27,117.05
2017-01-30,120.3
2017-01-31,117.65
2017-02-01,121.15
2017-02-02,125.25
2017-02-03,132.95
2017-02-06,132.5
2017-02-07,133.25
2017-02-08,132.7
2017-02-09,136.85
2017-02-10,133.9
2017-02-13,128.75
2017-02-14,128.6
2017-02-15,123.75
2017-02-16,125.45
2017-02-17,124.5
2017-02-20,126.0
2017-02-21,128.1
2017-02-22,127.75
2017-02-23,127.5
2017-02-27,125.15
2017-02-28,128.8
2017-03-01,128.75
2017-03-02,125.95
2017-03-03,125.75
2017-03-06,128.35
2017-03-07,126.2
2017-03-08,125.1
2017-03-09,124.25
2017-03-10,123.45
2017-03-14,123.9
2017-03-15,126.25
2017-03-16,128.35
2017-03-17,126.95
2017-03-20,128.9
2017-03-21,128.6
2017-03-22,125.8
2017-03-23,126.5
2017-03-24,133.05
2017-03-27,135.9
2017-03-28,135.95
2017-03-29,138.4
2017-03-30,138.5
2017-03-31,139.25
2017-04-03,139.4
2017-04-05,143.0
2017-04-06,141.9
2017-04-07,141.1
2017-04-10,145.6
2017-04-11,149.65
2017-04-12,147.65
2017-04-13,149.35
2017-04-17,147.2
2017-04-18,151.4
2017-04-19,149.15
2017-04-20,151.85
2017-04-21,150.45
2017-04-24,153.35
2017-04-25,158.45
2017-04-26,163.7
2017-04-27,178.5
2017-04-28,186.8
2017-05-02,179.8
2017-05-03,185.25
2017-05-04,192.3
2017-05-05,183.6
2017-05-08,185.35
2017-05-09,181.1
2017-05-10,180.85
2017-05-11,182.4
2017-05-12,178.85
2017-05-15,181.1
2017-05-16,187.35
2017-05-17,184.85
2017-05-18,179.15
2017-05-19,178.3
2017-05-22,158.5
2017-05-23,146.45
2017-05-24,141.2
2017-05-25,148.95
2017-05-26,148.65
2017-05-29,142.85
2017-05-30,146.85
2017-05-31,141.35
2017-06-01,143.9
2017-06-02,145.85
2017-06-05,146.5
2017-06-06,142.55
2017-06-07,145.2
2017-06-08,143.65
2017-06-09,143.3
2017-06-12,137.8
2017-06-13,137.65
2017-06-14,139.85
2017-06-15,139.05
2017-06-16,138.35
2017-06-19,138.55
2017-06-20,137.25
2017-06-21,137.5
2017-06-22,136.35
2017-06-23,134.0
2017-06-27,133.55
2017-06-28,136.75
2017-06-29,138.45
2017-06-30,139.7
2017-07-03,139.7
2017-07-04,137.0
2017-07-05,137.65
2017-07-06,140.45
2017-07-07,141.2
2017-07-10,149.2
2017-07-11,144.4
2017-07-12,145.3
2017-07-13,144.35
2017-07-14,146.95
2017-07-17,148.1
2017-07-18,152.65
2017-07-19,155.95
2017-07-20,151.25
2017-07-21,154.9
2017-07-24,159.8
2017-07-25,163.95
2017-07-26,160.6
2017-07-27,154.9
2017-07-28,162.25
2017-07-31,166.0
2017-08-01,162.3
2017-08-02,161.55
2017-08-03,154.75
2017-08-04,158.45
2017-08-07,158.05
2017-08-08,152.55
2017-08-09,158.45
2017-08-10,148.15
2017-08-11,143.05
2017-08-14,144.95
2017-08-16,147.05
2017-08-17,145.75
2017-08-18,143.35
2017-08-21,139.5
2017-08-22,139.15
2017-08-23,143.8
2017-08-24,144.15
2017-08-28,143.75
2017-08-29,141.65
2017-08-30,143.0
2017-08-31,144.2
2017-09-01,143.9
2017-09-04,142.35
2017-09-05,144.1
2017-09-06,143.05
2017-09-07,143.85
2017-09-08,141.55
2017-09-11,143.15
2017-09-12,145.45
2017-09-13,148.95
2017-09-14,153.25
2017-09-15,154.7
2017-09-18,154.6
2017-09-19,154.85
2017-09-20,156.4
2017-09-21,151.5
2017-09-22,145.25
2017-09-25,143.1
2017-09-26,144.1
2017-09-27,138.25
2017-09-28,138.55
2017-09-29,137.55
2017-10-03,137.75
2017-10-04,138.0
2017-10-05,139.45
2017-10-06,141.65
2017-10-09,139.25
2017-10-10,139.6
2017-10-11,134.95
2017-10-12,132.4
2017-10-13,136.0
2017-10-16,137.25
2017-10-17,137.6
2017-10-18,136.65
2017-10-19,134.75
2017-10-23,134.9
2017-10-24,140.55
2017-10-25,188.5
2017-10-26,192.95
2017-10-27,181.05
2017-10-30,185.35
2017-10-31,191.1
2017-11-01,194.15
2017-11-02,194.25
2017-11-03,201.1
2017-11-06,205.65
2017-11-07,195.15
2017-11-08,193.9
2017-11-09,200.05
2017-11-10,196.35
2017-11-13,199.0
2017-11-14,195.6
2017-11-15,197.4
2017-11-16,207.5
2017-11-17,207.85
2017-11-20,205.3
2017-11-21,201.5
2017-11-22,202.65
2017-11-23,202.6
2017-11-24,200.4
2017-11-27,200.4
2017-11-28,199.15
2017-11-29,197.1
2017-11-30,195.65
2017-12-01,187.35
2017-12-04,185.3
2017-12-05,184.0
2017-12-06,182.3
2017-12-07,186.75
2017-12-08,185.25
2017-12-11,181.9
2017-12-12,179.4
2017-12-13,174.1
2017-12-14,174.95
2017-12-15,176.95
2017-12-18,181.05
2017-12-19,181.25
2017-12-20,174.1
2017-12-21,172.7
2017-12-22,171.15
2017-12-26,171.75
2017-12-27,171.85
2017-12-28,169.75
2017-12-29,169.75
