Date,TEAMLEASE
2017-01-02,870.85
2017-01-03,878.3
2017-01-04,885.3
2017-01-05,898.35
2017-01-06,902.95
2017-01-09,891.65
2017-01-10,886.5
2017-01-11,899.85
2017-01-12,892.95
2017-01-13,892.35
2017-01-16,879.4
2017-01-17,899.55
2017-01-18,883.9
2017-01-19,885.5
2017-01-20,870.95
2017-01-23,868.05
2017-01-24,886.4
2017-01-25,912.8
2017-01-27,906.9
2017-01-30,903.05
2017-01-31,900.95
2017-02-01,887.15
2017-02-02,973.8
2017-02-03,940.65
2017-02-06,926.95
2017-02-07,931.45
2017-02-08,907.85
2017-02-09,906.45
2017-02-10,902.4
2017-02-13,880.65
2017-02-14,864.8
2017-02-15,860.2
2017-02-16,873.6
2017-02-17,872.95
2017-02-20,865.65
2017-02-21,858.65
2017-02-22,861.95
2017-02-23,861.1
2017-02-27,858.15
2017-02-28,857.3
2017-03-01,862.1
2017-03-02,871.4
2017-03-03,870.05
2017-03-06,872.95
2017-03-07,909.9
2017-03-08,910.65
2017-03-09,902.3
2017-03-10,888.5
2017-03-14,881.25
2017-03-15,916.0
2017-03-16,930.9
2017-03-17,949.5
2017-03-20,970.6
2017-03-21,972.35
2017-03-22,964.3
2017-03-23,960.55
2017-03-24,954.55
2017-03-27,937.15
2017-03-28,952.8
2017-03-29,938.1
2017-03-30,957.7
2017-03-31,972.05
2017-04-03,1000.3
2017-04-05,1004.1
2017-04-06,1005.1
2017-04-07,1022.45
2017-04-10,1037.05
2017-04-11,1053.75
2017-04-12,1042.1
2017-04-13,1050.45
2017-04-17,1038.5
2017-04-18,1039.05
2017-04-19,1045.45
2017-04-20,1039.35
2017-04-21,1091.5
2017-04-24,1085.0
2017-04-25,1087.45
2017-04-26,1070.05
2017-04-27,1069.0
2017-04-28,1058.45
2017-05-02,1086.1
2017-05-03,1091.9
2017-05-04,1093.2
2017-05-05,1094.8
2017-05-08,1109.2
2017-05-09,1118.75
2017-05-10,1137.4
2017-05-11,1103.55
2017-05-12,1123.15
2017-05-15,1141.75
2017-05-16,1160.1
2017-05-17,1166.9
2017-05-18,1205.15
2017-05-19,1168.95
2017-05-22,1163.8
2017-05-23,1145.2
2017-05-24,1140.75
2017-05-25,1155.4
2017-05-26,1155.65
2017-05-29,1155.2
2017-05-30,1160.2
2017-05-31,1167.2
2017-06-01,1205.9
2017-06-02,1195.25
2017-06-05,1198.55
2017-06-06,1220.2
2017-06-07,1238.2
2017-06-08,1261.45
2017-06-09,1288.0
2017-06-12,1289.2
2017-06-13,1321.2
2017-06-14,1339.65
2017-06-15,1333.85
2017-06-16,1323.3
2017-06-19,1313.45
2017-06-20,1330.55
2017-06-21,1327.6
2017-06-22,1328.95
2017-06-23,1335.5
2017-06-27,1332.9
2017-06-28,1314.35
2017-06-29,1336.85
2017-06-30,1343.85
2017-07-03,1371.05
2017-07-04,1414.75
2017-07-05,1436.7
2017-07-06,1450.0
2017-07-07,1444.55
2017-07-10,1471.05
2017-07-11,1502.65
2017-07-12,1514.5
2017-07-13,1480.55
2017-07-14,1457.15
2017-07-17,1505.1
2017-07-18,1485.95
2017-07-19,1434.6
2017-07-20,1443.05
2017-07-21,1389.95
2017-07-24,1359.6
2017-07-25,1325.45
2017-07-26,1334.75
2017-07-27,1297.95
2017-07-28,1307.95
2017-07-31,1380.5
2017-08-01,1405.1
2017-08-02,1424.65
2017-08-03,1437.9
2017-08-04,1411.55
2017-08-07,1405.5
2017-08-08,1422.75
2017-08-09,1428.8
2017-08-10,1414.2
2017-08-11,1424.15
2017-08-14,1427.6
2017-08-16,1483.5
2017-08-17,1453.0
2017-08-18,1454.1
2017-08-21,1479.25
2017-08-22,1472.05
2017-08-23,1459.6
2017-08-24,1479.05
2017-08-28,1474.7
2017-08-29,1487.6
2017-08-30,1494.9
2017-08-31,1485.55
2017-09-01,1508.75
2017-09-04,1502.25
2017-09-05,1520.1
2017-09-06,1612.4
2017-09-07,1699.65
2017-09-08,1634.1
2017-09-11,1638.15
2017-09-12,1644.45
2017-09-13,1596.55
2017-09-14,1612.1
2017-09-15,1605.45
2017-09-18,1570.55
2017-09-19,1554.2
2017-09-20,1604.3
2017-09-21,1623.55
2017-09-22,1589.2
2017-09-25,1573.65
2017-09-26,1639.45
2017-09-27,1578.05
2017-09-28,1631.0
2017-09-29,1625.0
2017-10-03,1648.55
2017-10-04,1638.55
2017-10-05,1616.1
2017-10-06,1591.55
2017-10-09,1626.4
2017-10-10,1609.95
2017-10-11,1606.8
2017-10-12,1605.8
2017-10-13,1627.6
2017-10-16,1596.25
2017-10-17,1578.1
2017-10-18,1567.8
2017-10-19,1600.15
2017-10-23,1628.75
2017-10-24,1631.8
2017-10-25,1636.0
2017-10-26,1645.95
2017-10-27,1640.7
2017-10-30,1614.45
2017-10-31,1624.8
2017-11-01,1626.1
2017-11-02,1611.65
2017-11-03,1608.6
2017-11-06,1632.9
2017-11-07,1663.35
2017-11-08,1826.3
2017-11-09,1886.85
2017-11-10,1870.55
2017-11-13,1887.6
2017-11-14,1857.0
2017-11-15,1843.55
2017-11-16,1848.2
2017-11-17,1804.05
2017-11-20,1860.0
2017-11-21,1885.35
2017-11-22,2082.3
2017-11-23,2087.45
2017-11-24,1958.85
2017-11-27,2034.35
2017-11-28,2196.7
2017-11-29,2224.65
2017-11-30,2226.9
2017-12-01,2180.7
2017-12-04,2166.25
2017-12-05,2048.1
2017-12-06,2092.55
2017-12-07,2098.85
2017-12-08,2129.8
2017-12-11,2243.1
2017-12-12,2172.7
2017-12-13,2144.25
2017-12-14,2048.6
2017-12-15,2052.0
2017-12-18,2004.2
2017-12-19,2011.75
2017-12-20,2047.1
2017-12-21,2246.35
2017-12-22,2357.15
2017-12-26,2468.85
2017-12-27,2463.5
2017-12-28,2465.9
2017-12-29,2438.95
