Date,BLKASHYAP
2017-01-02,19.95
2017-01-03,21.45
2017-01-04,20.9
2017-01-05,20.85
2017-01-06,20.2
2017-01-09,19.95
2017-01-10,20.2
2017-01-11,21.45
2017-01-12,21.5
2017-01-13,21.3
2017-01-16,21.5
2017-01-17,21.45
2017-01-18,21.8
2017-01-19,21.0
2017-01-20,20.6
2017-01-23,20.6
2017-01-24,20.7
2017-01-25,21.15
2017-01-27,21.55
2017-01-30,21.8
2017-01-31,21.25
2017-02-01,21.95
2017-02-02,22.8
2017-02-03,22.85
2017-02-06,24.0
2017-02-07,23.05
2017-02-08,23.8
2017-02-09,24.0
2017-02-10,23.65
2017-02-13,22.05
2017-02-14,21.05
2017-02-15,20.65
2017-02-16,20.4
2017-02-17,22.75
2017-02-20,23.7
2017-02-21,22.7
2017-02-22,23.05
2017-02-23,23.1
2017-02-27,22.3
2017-02-28,22.4
2017-03-01,22.85
2017-03-02,23.65
2017-03-03,24.1
2017-03-06,23.45
2017-03-07,23.25
2017-03-08,23.0
2017-03-09,22.6
2017-03-10,22.65
2017-03-14,22.95
2017-03-15,22.6
2017-03-16,22.65
2017-03-17,22.2
2017-03-20,22.35
2017-03-21,22.45
2017-03-22,22.1
2017-03-23,23.1
2017-03-24,22.75
2017-03-27,22.4
2017-03-28,21.4
2017-03-29,20.75
2017-03-30,20.3
2017-03-31,21.35
2017-04-03,22.8
2017-04-05,22.95
2017-04-06,23.9
2017-04-07,24.05
2017-04-10,26.25
2017-04-11,26.8
2017-04-12,26.05
2017-04-13,26.2
2017-04-17,27.2
2017-04-18,27.7
2017-04-19,27.75
2017-04-20,28.75
2017-04-21,30.65
2017-04-24,31.95
2017-04-25,31.7
2017-04-26,30.05
2017-04-27,29.45
2017-04-28,30.75
2017-05-02,30.8
2017-05-03,30.1
2017-05-04,30.05
2017-05-05,29.55
2017-05-08,29.45
2017-05-09,32.7
2017-05-10,31.4
2017-05-11,32.9
2017-05-12,31.15
2017-05-15,32.4
2017-05-16,32.35
2017-05-17,32.8
2017-05-18,30.7
2017-05-19,29.85
2017-05-22,32.35
2017-05-23,31.15
2017-05-24,29.95
2017-05-25,30.8
2017-05-26,31.6
2017-05-29,30.65
2017-05-30,31.15
2017-05-31,30.9
2017-06-01,31.1
2017-06-02,31.35
2017-06-05,30.85
2017-06-06,31.2
2017-06-07,31.15
2017-06-08,30.8
2017-06-09,30.6
2017-06-12,30.8
2017-06-13,30.55
2017-06-14,30.7
2017-06-15,30.5
2017-06-16,32.8
2017-06-19,32.25
2017-06-20,36.3
2017-06-21,39.35
2017-06-22,37.1
2017-06-23,35.9
2017-06-27,35.95
2017-06-28,35.5
2017-06-29,36.8
2017-06-30,42.35
2017-07-03,42.75
2017-07-04,46.05
2017-07-05,49.75
2017-07-06,48.05
2017-07-07,47.8
2017-07-10,48.45
2017-07-11,50.2
2017-07-12,49.35
2017-07-13,47.8
2017-07-14,44.25
2017-07-17,44.5
2017-07-18,43.35
2017-07-19,44.85
2017-07-20,43.6
2017-07-21,43.85
2017-07-24,44.45
2017-07-25,44.1
2017-07-26,43.55
2017-07-27,42.7
2017-07-28,41.9
2017-07-31,41.15
2017-08-01,41.85
2017-08-02,39.65
2017-08-03,39.6
2017-08-04,39.95
2017-08-07,43.65
2017-08-08,41.8
2017-08-09,40.15
2017-08-10,37.35
2017-08-11,35.2
2017-08-14,36.65
2017-08-16,36.75
2017-08-17,39.55
2017-08-18,39.0
2017-08-21,38.3
2017-08-22,37.15
2017-08-23,38.15
2017-08-24,38.15
2017-08-28,39.05
2017-08-29,37.8
2017-08-30,38.55
2017-08-31,39.0
2017-09-01,39.55
2017-09-04,41.7
2017-09-05,43.15
2017-09-06,45.35
2017-09-07,46.7
2017-09-08,44.5
2017-09-11,44.1
2017-09-12,46.45
2017-09-13,45.45
2017-09-14,45.15
2017-09-15,44.9
2017-09-18,44.45
2017-09-19,43.85
2017-09-20,47.4
2017-09-21,46.95
2017-09-22,43.35
2017-09-25,43.2
2017-09-26,43.05
2017-09-27,40.8
2017-09-28,42.7
2017-09-29,42.9
2017-10-03,42.7
2017-10-04,43.45
2017-10-05,43.3
2017-10-06,43.35
2017-10-09,43.55
2017-10-10,43.5
2017-10-11,41.95
2017-10-12,42.0
2017-10-13,41.85
2017-10-16,42.25
2017-10-17,41.45
2017-10-18,42.1
2017-10-19,42.1
2017-10-23,43.65
2017-10-24,45.2
2017-10-25,44.7
2017-10-26,44.0
2017-10-27,42.75
2017-10-30,51.3
2017-10-31,56.45
2017-11-01,56.3
2017-11-02,57.4
2017-11-03,58.85
2017-11-06,65.45
2017-11-07,65.2
2017-11-08,60.3
2017-11-09,62.7
2017-11-10,65.0
2017-11-13,63.4
2017-11-14,62.3
2017-11-15,58.95
2017-11-16,61.05
2017-11-17,62.65
2017-11-20,66.0
2017-11-21,68.0
2017-11-22,67.5
2017-11-23,65.5
2017-11-24,64.6
2017-11-27,67.15
2017-11-28,65.5
2017-11-29,65.35
2017-11-30,63.65
2017-12-01,62.15
2017-12-04,61.4
2017-12-05,60.3
2017-12-06,61.45
2017-12-07,61.95
2017-12-08,61.05
2017-12-11,61.35
2017-12-12,59.95
2017-12-13,57.95
2017-12-14,61.75
2017-12-15,60.55
2017-12-18,58.1
2017-12-19,59.2
2017-12-20,60.75
2017-12-21,63.05
2017-12-22,62.8
2017-12-26,62.05
2017-12-27,62.7
2017-12-28,66.3
2017-12-29,65.75
