Date,KDDL
2017-01-02,196.95
2017-01-03,199.0
2017-01-04,196.3
2017-01-05,201.05
2017-01-06,198.5
2017-01-09,196.9
2017-01-10,199.3
2017-01-11,198.85
2017-01-12,199.95
2017-01-13,198.05
2017-01-16,195.05
2017-01-17,196.75
2017-01-18,197.4
2017-01-19,202.4
2017-01-20,198.15
2017-01-23,203.4
2017-01-24,197.35
2017-01-25,199.3
2017-01-27,199.0
2017-01-30,194.2
2017-01-31,194.2
2017-02-01,194.9
2017-02-02,198.6
2017-02-03,194.9
2017-02-06,190.95
2017-02-07,190.8
2017-02-08,185.9
2017-02-09,176.15
2017-02-10,184.75
2017-02-13,184.3
2017-02-14,179.55
2017-02-15,172.65
2017-02-16,184.35
2017-02-17,185.75
2017-02-20,183.05
2017-02-21,188.4
2017-02-22,185.8
2017-02-23,187.6
2017-02-27,187.05
2017-02-28,184.65
2017-03-01,183.45
2017-03-02,183.5
2017-03-03,180.45
2017-03-06,181.45
2017-03-07,189.6
2017-03-08,189.4
2017-03-09,188.0
2017-03-10,190.05
2017-03-14,189.55
2017-03-15,189.1
2017-03-16,189.25
2017-03-17,186.35
2017-03-20,184.85
2017-03-21,181.85
2017-03-22,185.05
2017-03-23,180.75
2017-03-24,174.45
2017-03-27,179.6
2017-03-28,172.35
2017-03-29,176.4
2017-03-30,189.45
2017-03-31,192.95
2017-04-03,194.25
2017-04-05,206.15
2017-04-06,205.5
2017-04-07,216.65
2017-04-10,220.6
2017-04-11,219.85
2017-04-12,221.0
2017-04-13,220.2
2017-04-17,214.75
2017-04-18,210.0
2017-04-19,209.0
2017-04-20,209.7
2017-04-21,208.35
2017-04-24,219.0
2017-04-25,224.55
2017-04-26,219.8
2017-04-27,221.6
2017-04-28,221.5
2017-05-02,223.7
2017-05-03,218.8
2017-05-04,214.7
2017-05-05,204.9
2017-05-08,199.95
2017-05-09,198.9
2017-05-10,197.7
2017-05-11,202.5
2017-05-12,194.0
2017-05-15,196.4
2017-05-16,191.55
2017-05-17,189.3
2017-05-18,192.45
2017-05-19,193.4
2017-05-22,194.55
2017-05-23,201.7
2017-05-24,202.95
2017-05-25,206.0
2017-05-26,207.0
2017-05-29,211.1
2017-05-30,204.65
2017-05-31,199.2
2017-06-01,201.6
2017-06-02,202.3
2017-06-05,199.65
2017-06-06,198.7
2017-06-07,200.65
2017-06-08,206.0
2017-06-09,200.75
2017-06-12,197.7
2017-06-13,200.1
2017-06-14,199.9
2017-06-15,201.5
2017-06-16,198.2
2017-06-19,197.85
2017-06-20,197.55
2017-06-21,196.15
2017-06-22,195.25
2017-06-23,193.0
2017-06-27,186.6
2017-06-28,189.8
2017-06-29,191.05
2017-06-30,191.1
2017-07-03,191.65
2017-07-04,189.8
2017-07-05,188.85
2017-07-06,191.55
2017-07-07,204.65
2017-07-10,204.45
2017-07-11,201.45
2017-07-12,201.05
2017-07-13,205.7
2017-07-14,206.05
2017-07-17,199.45
2017-07-18,198.2
2017-07-19,200.1
2017-07-20,202.2
2017-07-21,200.75
2017-07-24,201.55
2017-07-25,199.9
2017-07-26,199.5
2017-07-27,199.1
2017-07-28,199.65
2017-07-31,203.65
2017-08-01,203.0
2017-08-02,201.8
2017-08-03,202.9
2017-08-04,199.75
2017-08-07,201.2
2017-08-08,192.45
2017-08-09,192.95
2017-08-10,185.8
2017-08-11,183.45
2017-08-14,190.05
2017-08-16,189.25
2017-08-17,190.3
2017-08-18,192.45
2017-08-21,193.0
2017-08-22,191.95
2017-08-23,187.95
2017-08-24,191.0
2017-08-28,193.15
2017-08-29,187.65
2017-08-30,187.95
2017-08-31,188.25
2017-09-01,186.5
2017-09-04,189.8
2017-09-05,188.25
2017-09-06,189.6
2017-09-07,186.15
2017-09-08,184.9
2017-09-11,184.2
2017-09-12,189.9
2017-09-13,187.85
2017-09-14,190.0
2017-09-15,191.6
2017-09-18,192.9
2017-09-19,205.8
2017-09-20,208.0
2017-09-21,217.85
2017-09-22,208.2
2017-09-25,206.1
2017-09-26,205.1
2017-09-27,204.65
2017-09-28,209.95
2017-09-29,207.4
2017-10-03,204.05
2017-10-04,202.45
2017-10-05,205.25
2017-10-06,208.35
2017-10-09,211.55
2017-10-10,219.45
2017-10-11,231.2
2017-10-12,256.25
2017-10-13,260.05
2017-10-16,249.0
2017-10-17,239.9
2017-10-18,233.6
2017-10-19,238.0
2017-10-23,243.65
2017-10-24,244.05
2017-10-25,237.25
2017-10-26,247.8
2017-10-27,241.0
2017-10-30,236.55
2017-10-31,239.95
2017-11-01,236.2
2017-11-02,235.7
2017-11-03,235.85
2017-11-06,248.8
2017-11-07,235.2
2017-11-08,229.65
2017-11-09,233.35
2017-11-10,240.15
2017-11-13,259.3
2017-11-14,259.35
2017-11-15,242.5
2017-11-16,250.0
2017-11-17,251.0
2017-11-20,262.3
2017-11-21,253.6
2017-11-22,304.3
2017-11-23,327.05
2017-11-24,329.6
2017-11-27,336.0
2017-11-28,328.35
2017-11-29,325.7
2017-11-30,314.4
2017-12-01,310.0
2017-12-04,301.1
2017-12-05,300.85
2017-12-06,296.85
