Date,MAJESCO
2017-01-02,397.95
2017-01-03,402.9
2017-01-04,409.15
2017-01-05,409.0
2017-01-06,404.75
2017-01-09,401.5
2017-01-10,400.6
2017-01-11,407.75
2017-01-12,402.4
2017-01-13,401.8
2017-01-16,395.5
2017-01-17,406.85
2017-01-18,404.05
2017-01-19,404.55
2017-01-20,397.25
2017-01-23,392.0
2017-01-24,389.8
2017-01-25,388.1
2017-01-27,382.75
2017-01-30,375.4
2017-01-31,369.4
2017-02-01,369.75
2017-02-02,357.4
2017-02-03,361.6
2017-02-06,362.7
2017-02-07,364.85
2017-02-08,359.75
2017-02-09,354.25
2017-02-10,358.55
2017-02-13,353.55
2017-02-14,346.4
2017-02-15,332.35
2017-02-16,340.5
2017-02-17,340.2
2017-02-20,342.15
2017-02-21,345.9
2017-02-22,347.45
2017-02-23,347.85
2017-02-27,344.45
2017-02-28,344.15
2017-03-01,392.05
2017-03-02,371.85
2017-03-03,377.7
2017-03-06,370.8
2017-03-07,366.4
2017-03-08,361.8
2017-03-09,354.4
2017-03-10,352.85
2017-03-14,348.9
2017-03-15,345.9
2017-03-16,349.35
2017-03-17,342.2
2017-03-20,346.85
2017-03-21,342.1
2017-03-22,342.9
2017-03-23,341.75
2017-03-24,354.65
2017-03-27,352.15
2017-03-28,341.6
2017-03-29,333.9
2017-03-30,334.0
2017-03-31,332.6
2017-04-03,339.5
2017-04-05,352.3
2017-04-06,387.9
2017-04-07,383.55
2017-04-10,389.7
2017-04-11,395.3
2017-04-12,391.5
2017-04-13,393.55
2017-04-17,382.35
2017-04-18,373.05
2017-04-19,360.5
2017-04-20,368.85
2017-04-21,374.55
2017-04-24,368.85
2017-04-25,368.05
2017-04-26,358.35
2017-04-27,359.6
2017-04-28,360.1
2017-05-02,358.75
2017-05-03,371.35
2017-05-04,367.1
2017-05-05,361.65
2017-05-08,362.95
2017-05-09,368.85
2017-05-10,364.6
2017-05-11,373.4
2017-05-12,373.6
2017-05-15,365.7
2017-05-16,360.0
2017-05-17,349.85
2017-05-18,343.2
2017-05-19,335.35
2017-05-22,333.3
2017-05-23,324.3
2017-05-24,313.95
2017-05-25,319.8
2017-05-26,326.6
2017-05-29,316.05
2017-05-30,318.55
2017-05-31,318.0
2017-06-01,326.8
2017-06-02,327.95
2017-06-05,326.4
2017-06-06,332.95
2017-06-07,335.95
2017-06-08,335.0
2017-06-09,339.4
2017-06-12,335.5
2017-06-13,327.95
2017-06-14,322.85
2017-06-15,322.25
2017-06-16,322.7
2017-06-19,319.0
2017-06-20,319.15
2017-06-21,312.55
2017-06-22,312.35
2017-06-23,307.65
2017-06-27,308.6
2017-06-28,307.4
2017-06-29,308.45
2017-06-30,307.0
2017-07-03,308.4
2017-07-04,309.7
2017-07-05,306.4
2017-07-06,304.25
2017-07-07,304.15
2017-07-10,305.8
2017-07-11,315.55
2017-07-12,319.35
2017-07-13,367.0
2017-07-14,352.8
2017-07-17,351.1
2017-07-18,360.35
2017-07-19,385.9
2017-07-20,377.85
2017-07-21,370.55
2017-07-24,380.75
2017-07-25,376.6
2017-07-26,376.35
2017-07-27,363.05
2017-07-28,375.65
2017-07-31,372.3
2017-08-01,369.1
2017-08-02,380.95
2017-08-03,371.8
2017-08-04,348.35
2017-08-07,363.3
2017-08-08,362.6
2017-08-09,355.25
2017-08-10,339.45
2017-08-11,342.05
2017-08-14,349.6
2017-08-16,356.9
2017-08-17,363.1
2017-08-18,360.4
2017-08-21,355.45
2017-08-22,368.65
2017-08-23,373.95
2017-08-24,386.5
2017-08-28,393.75
2017-08-29,395.05
2017-08-30,420.55
2017-08-31,425.35
2017-09-01,430.3
2017-09-04,446.8
2017-09-05,440.7
2017-09-06,434.3
2017-09-07,430.35
2017-09-08,428.35
2017-09-11,429.7
2017-09-12,441.3
2017-09-13,454.85
2017-09-14,464.45
2017-09-15,452.45
2017-09-18,460.45
2017-09-19,451.9
2017-09-20,437.35
2017-09-21,431.7
2017-09-22,415.4
2017-09-25,405.75
2017-09-26,410.4
2017-09-27,396.15
2017-09-28,417.15
2017-09-29,427.95
2017-10-03,420.95
2017-10-04,428.0
2017-10-05,439.65
2017-10-06,446.0
2017-10-09,462.05
2017-10-10,460.15
2017-10-11,497.25
2017-10-12,528.65
2017-10-13,560.15
2017-10-16,560.5
2017-10-17,547.35
2017-10-18,546.25
2017-10-19,538.7
2017-10-23,545.9
2017-10-24,549.05
2017-10-25,542.1
2017-10-26,527.75
2017-10-27,522.1
2017-10-30,549.7
2017-10-31,544.2
2017-11-01,533.9
2017-11-02,526.15
2017-11-03,521.0
2017-11-06,522.95
2017-11-07,533.4
2017-11-08,522.5
2017-11-09,531.5
2017-11-10,520.75
2017-11-13,519.85
2017-11-14,514.15
2017-11-15,494.2
2017-11-16,496.8
2017-11-17,495.55
2017-11-20,493.6
2017-11-21,503.2
2017-11-22,526.0
2017-11-23,530.7
2017-11-24,524.5
2017-11-27,516.65
2017-11-28,519.65
2017-11-29,540.55
2017-11-30,537.7
2017-12-01,555.9
2017-12-04,542.95
2017-12-05,531.85
2017-12-06,515.25
2017-12-07,531.85
2017-12-08,523.6
2017-12-11,536.85
2017-12-12,518.35
2017-12-13,518.95
2017-12-14,499.95
2017-12-15,511.9
2017-12-18,515.85
2017-12-19,517.25
2017-12-20,515.8
2017-12-21,517.9
2017-12-22,517.75
2017-12-26,525.5
2017-12-27,516.35
2017-12-28,513.25
2017-12-29,514.35
