Date,DREDGECORP
2017-01-02,441.1
2017-01-03,431.4
2017-01-04,431.0
2017-01-05,443.45
2017-01-06,432.95
2017-01-09,453.4
2017-01-10,448.65
2017-01-11,445.25
2017-01-12,467.85
2017-01-13,463.2
2017-01-16,465.6
2017-01-17,457.35
2017-01-18,454.4
2017-01-19,453.15
2017-01-20,441.8
2017-01-23,440.4
2017-01-24,446.8
2017-01-25,480.75
2017-01-27,486.05
2017-01-30,476.35
2017-01-31,461.2
2017-02-01,481.15
2017-02-02,481.1
2017-02-03,472.55
2017-02-06,468.35
2017-02-07,465.05
2017-02-08,461.65
2017-02-09,459.95
2017-02-10,464.8
2017-02-13,454.55
2017-02-14,453.8
2017-02-15,443.4
2017-02-16,452.15
2017-02-17,448.55
2017-02-20,457.1
2017-02-21,460.25
2017-02-22,455.1
2017-02-23,450.6
2017-02-27,448.7
2017-02-28,449.9
2017-03-01,453.15
2017-03-02,444.65
2017-03-03,445.4
2017-03-06,504.25
2017-03-07,496.15
2017-03-08,483.05
2017-03-09,482.55
2017-03-10,475.25
2017-03-14,489.45
2017-03-15,523.5
2017-03-16,627.25
2017-03-17,680.8
2017-03-20,682.35
2017-03-21,693.4
2017-03-22,677.8
2017-03-23,694.7
2017-03-24,685.85
2017-03-27,672.55
2017-03-28,674.35
2017-03-29,673.45
2017-03-30,681.6
2017-03-31,686.8
2017-04-03,691.55
2017-04-05,685.5
2017-04-06,679.75
2017-04-07,673.45
2017-04-10,676.0
2017-04-11,684.05
2017-04-12,678.45
2017-04-13,673.45
2017-04-17,682.9
2017-04-18,671.5
2017-04-19,673.3
2017-04-20,673.8
2017-04-21,677.55
2017-04-24,674.25
2017-04-25,669.9
2017-04-26,661.75
2017-04-27,649.65
2017-04-28,636.3
2017-05-02,632.1
2017-05-03,661.25
2017-05-04,653.1
2017-05-05,638.35
2017-05-08,640.5
2017-05-09,645.7
2017-05-10,662.3
2017-05-11,666.45
2017-05-12,652.6
2017-05-15,663.45
2017-05-16,659.8
2017-05-17,654.2
2017-05-18,625.55
2017-05-19,623.3
2017-05-22,609.1
2017-05-23,584.2
2017-05-24,554.45
2017-05-25,583.75
2017-05-26,598.5
2017-05-29,593.15
2017-05-30,567.95
2017-05-31,579.65
2017-06-01,577.75
2017-06-02,579.85
2017-06-05,572.7
2017-06-06,575.8
2017-06-07,573.8
2017-06-08,609.95
2017-06-09,604.4
2017-06-12,591.7
2017-06-13,599.7
2017-06-14,606.5
2017-06-15,681.7
2017-06-16,692.25
2017-06-19,707.95
2017-06-20,684.85
2017-06-21,679.0
2017-06-22,668.9
2017-06-23,644.45
2017-06-27,609.05
2017-06-28,624.0
2017-06-29,623.35
2017-06-30,616.55
2017-07-03,606.65
2017-07-04,619.35
2017-07-05,622.85
2017-07-06,625.75
2017-07-07,623.65
2017-07-10,626.55
2017-07-11,627.15
2017-07-12,624.5
2017-07-13,624.4
2017-07-14,625.75
2017-07-17,618.6
2017-07-18,610.0
2017-07-19,619.4
2017-07-20,613.05
2017-07-21,609.65
2017-07-24,625.25
2017-07-25,618.1
2017-07-26,626.4
2017-07-27,654.3
2017-07-28,640.55
2017-07-31,626.7
2017-08-01,621.2
2017-08-02,618.95
2017-08-03,605.55
2017-08-04,626.55
2017-08-07,627.15
2017-08-08,616.0
2017-08-09,605.55
2017-08-10,568.2
2017-08-11,548.05
2017-08-14,575.95
2017-08-16,579.75
2017-08-17,605.85
2017-08-18,609.95
2017-08-21,599.75
2017-08-22,591.5
2017-08-23,596.85
2017-08-24,591.9
2017-08-28,594.25
2017-08-29,581.85
2017-08-30,582.5
2017-08-31,585.6
2017-09-01,593.7
2017-09-04,595.1
2017-09-05,613.15
2017-09-06,614.8
2017-09-07,610.0
2017-09-08,598.15
2017-09-11,592.85
2017-09-12,598.95
2017-09-13,584.85
2017-09-14,583.65
2017-09-15,576.5
2017-09-18,574.8
2017-09-19,586.15
2017-09-20,595.5
2017-09-21,599.7
2017-09-22,575.6
2017-09-25,558.15
2017-09-26,559.65
2017-09-27,543.8
2017-09-28,543.7
2017-09-29,550.95
2017-10-03,554.75
2017-10-04,560.5
2017-10-05,559.45
2017-10-06,568.3
2017-10-09,564.95
2017-10-10,568.25
2017-10-11,569.35
2017-10-12,569.05
2017-10-13,549.5
2017-10-16,546.45
2017-10-17,547.15
2017-10-18,541.6
2017-10-19,534.7
2017-10-23,527.55
2017-10-24,544.45
2017-10-25,540.8
2017-10-26,543.85
2017-10-27,552.95
2017-10-30,558.75
2017-10-31,558.85
2017-11-01,670.6
2017-11-02,738.95
2017-11-03,700.65
2017-11-06,736.25
2017-11-07,714.65
2017-11-08,705.15
2017-11-09,713.6
2017-11-10,741.35
2017-11-13,729.7
2017-11-14,718.85
2017-11-15,691.1
2017-11-16,708.45
2017-11-17,704.75
2017-11-20,696.75
2017-11-21,708.3
2017-11-22,702.5
2017-11-23,700.9
2017-11-24,700.45
2017-11-27,690.4
2017-11-28,680.5
2017-11-29,671.6
2017-11-30,661.6
2017-12-01,653.3
2017-12-04,636.5
2017-12-05,637.65
2017-12-06,626.65
2017-12-07,630.9
2017-12-08,646.95
2017-12-11,657.2
2017-12-12,649.85
2017-12-13,647.25
2017-12-14,650.3
2017-12-15,653.25
2017-12-18,647.5
2017-12-19,655.8
2017-12-20,700.05
2017-12-21,688.2
2017-12-22,686.4
2017-12-26,676.2
2017-12-27,679.15
2017-12-28,792.45
2017-12-29,853.7
