Date,RANASUG
2017-01-02,11.9
2017-01-03,11.1
2017-01-04,11.25
2017-01-05,11.55
2017-01-06,11.9
2017-01-09,11.55
2017-01-10,12.2
2017-01-11,12.0
2017-01-12,11.85
2017-01-13,12.0
2017-01-16,11.9
2017-01-17,11.75
2017-01-18,11.6
2017-01-19,11.65
2017-01-20,11.05
2017-01-23,11.05
2017-01-24,11.2
2017-01-25,11.1
2017-01-27,11.2
2017-01-30,11.3
2017-01-31,11.15
2017-02-01,11.15
2017-02-02,12.1
2017-02-03,12.45
2017-02-06,14.45
2017-02-07,14.4
2017-02-08,13.95
2017-02-09,13.5
2017-02-10,13.8
2017-02-13,13.75
2017-02-14,11.8
2017-02-15,9.8
2017-02-16,10.5
2017-02-17,10.6
2017-02-20,10.8
2017-02-21,10.8
2017-02-22,10.6
2017-02-23,10.6
2017-02-27,10.4
2017-02-28,10.1
2017-03-01,10.1
2017-03-02,9.9
2017-03-03,10.55
2017-03-06,10.65
2017-03-07,10.4
2017-03-08,10.1
2017-03-09,10.05
2017-03-10,10.35
2017-03-14,10.5
2017-03-15,10.35
2017-03-16,10.35
2017-03-17,10.5
2017-03-20,10.45
2017-03-21,10.35
2017-03-22,10.1
2017-03-23,10.1
2017-03-24,10.1
2017-03-27,9.95
2017-03-28,9.95
2017-03-29,9.65
2017-03-30,9.9
2017-03-31,9.95
2017-04-03,10.25
2017-04-05,10.2
2017-04-06,10.2
2017-04-07,10.0
2017-04-10,9.95
2017-04-11,9.95
2017-04-12,10.3
2017-04-13,9.95
2017-04-17,9.9
2017-04-18,9.85
2017-04-19,9.9
2017-04-20,10.05
2017-04-21,10.45
2017-04-24,10.2
2017-04-25,10.2
2017-04-26,10.1
2017-04-27,10.15
2017-04-28,10.15
2017-05-02,10.2
2017-05-03,10.05
2017-05-04,10.0
2017-05-05,10.0
2017-05-08,9.9
2017-05-09,9.95
2017-05-10,9.95
2017-05-11,9.95
2017-05-12,9.9
2017-05-15,9.9
2017-05-16,9.9
2017-05-17,9.9
2017-05-18,9.75
2017-05-19,9.8
2017-05-22,9.75
2017-05-23,9.25
2017-05-24,9.05
2017-05-25,9.25
2017-05-26,9.65
2017-05-29,9.25
2017-05-30,9.3
2017-05-31,9.15
2017-06-01,9.15
2017-06-02,9.1
2017-06-05,8.9
2017-06-06,8.55
2017-06-07,8.6
2017-06-08,8.7
2017-06-09,8.6
2017-06-12,8.45
2017-06-13,8.95
2017-06-14,8.7
2017-06-15,8.65
2017-06-16,8.65
2017-06-19,8.45
2017-06-20,8.5
2017-06-21,8.6
2017-06-22,8.5
2017-06-23,8.25
2017-06-27,8.0
2017-06-28,7.95
2017-06-29,8.1
2017-06-30,8.2
2017-07-03,8.8
2017-07-04,8.5
2017-07-05,8.5
2017-07-06,8.45
2017-07-07,9.25
2017-07-10,9.1
2017-07-11,9.35
2017-07-12,9.35
2017-07-13,9.15
2017-07-14,9.1
2017-07-17,9.0
2017-07-18,8.85
2017-07-19,8.9
2017-07-20,9.3
2017-07-21,9.5
2017-07-24,9.45
2017-07-25,9.75
2017-07-26,9.5
2017-07-27,9.15
2017-07-28,8.9
2017-07-31,9.1
2017-08-01,8.95
2017-08-02,9.1
2017-08-03,9.0
2017-08-04,8.8
2017-08-07,9.25
2017-08-08,8.7
2017-08-09,8.35
2017-08-10,7.6
2017-08-11,7.9
2017-08-14,8.1
2017-08-16,8.15
2017-08-17,8.15
2017-08-18,8.1
2017-08-21,8.0
2017-08-22,7.9
2017-08-23,7.85
2017-08-24,7.85
2017-08-28,7.9
2017-08-29,7.85
2017-08-30,7.95
2017-08-31,7.9
2017-09-01,8.05
2017-09-04,8.05
2017-09-05,8.15
2017-09-06,8.0
2017-09-07,8.1
2017-09-08,8.4
2017-09-11,8.3
2017-09-12,8.75
2017-09-13,8.65
2017-09-14,8.55
2017-09-15,8.2
2017-09-18,8.05
2017-09-19,8.05
2017-09-20,8.1
2017-09-21,7.95
2017-09-22,7.85
2017-09-25,7.7
2017-09-26,7.65
2017-09-27,7.65
2017-09-28,7.75
2017-09-29,7.7
2017-10-03,7.4
2017-10-04,7.35
2017-10-05,7.3
2017-10-06,7.4
2017-10-09,7.3
2017-10-10,7.6
2017-10-11,7.5
2017-10-12,7.45
2017-10-13,7.3
2017-10-16,7.25
2017-10-17,7.2
2017-10-18,7.1
2017-10-19,7.1
2017-10-23,7.25
2017-10-24,7.2
2017-10-25,7.2
2017-10-26,7.1
2017-10-27,7.15
2017-10-30,7.25
2017-10-31,7.2
2017-11-01,7.75
2017-11-02,7.65
2017-11-03,7.6
2017-11-06,7.5
2017-11-07,7.5
2017-11-08,7.4
2017-11-09,7.4
2017-11-10,7.35
2017-11-13,7.2
2017-11-14,7.3
2017-11-15,7.1
2017-11-16,7.0
2017-11-17,7.3
2017-11-20,7.3
2017-11-21,7.3
2017-11-22,7.2
2017-11-23,7.5
2017-11-24,7.4
2017-11-27,7.3
2017-11-28,7.25
2017-11-29,7.3
2017-11-30,7.2
2017-12-01,7.25
2017-12-04,7.15
2017-12-05,7.1
2017-12-06,7.15
2017-12-07,7.25
2017-12-08,7.15
2017-12-11,7.1
2017-12-12,7.15
2017-12-13,7.05
2017-12-14,6.95
2017-12-15,6.6
2017-12-18,6.35
2017-12-19,6.8
2017-12-20,6.85
2017-12-21,6.95
2017-12-22,6.95
2017-12-26,6.85
2017-12-27,6.7
2017-12-28,6.7
2017-12-29,6.85
