Date,HIRECT
2017-01-02,84.5
2017-01-03,90.0
2017-01-04,91.7
2017-01-05,92.05
2017-01-06,91.45
2017-01-09,91.6
2017-01-10,90.9
2017-01-11,97.75
2017-01-12,97.3
2017-01-13,97.2
2017-01-16,96.6
2017-01-17,94.3
2017-01-18,94.4
2017-01-19,93.2
2017-01-20,93.25
2017-01-23,93.5
2017-01-24,92.9
2017-01-25,93.55
2017-01-27,91.6
2017-01-30,90.1
2017-01-31,87.4
2017-02-01,88.6
2017-02-02,85.9
2017-02-03,86.6
2017-02-06,86.95
2017-02-07,86.5
2017-02-08,86.15
2017-02-09,85.7
2017-02-10,84.2
2017-02-13,83.2
2017-02-14,81.05
2017-02-15,78.35
2017-02-16,79.8
2017-02-17,79.65
2017-02-20,78.95
2017-02-21,79.35
2017-02-22,79.25
2017-02-23,77.8
2017-02-27,77.8
2017-02-28,77.75
2017-03-01,77.2
2017-03-02,77.05
2017-03-03,76.2
2017-03-06,77.8
2017-03-07,78.9
2017-03-08,77.25
2017-03-09,77.1
2017-03-10,77.45
2017-03-14,78.35
2017-03-15,79.05
2017-03-16,79.5
2017-03-17,78.4
2017-03-20,77.7
2017-03-21,77.9
2017-03-22,76.7
2017-03-23,79.55
2017-03-24,80.75
2017-03-27,80.65
2017-03-28,80.25
2017-03-29,78.9
2017-03-30,80.0
2017-03-31,77.75
2017-04-03,78.2
2017-04-05,80.05
2017-04-06,82.8
2017-04-07,84.7
2017-04-10,85.35
2017-04-11,89.05
2017-04-12,86.6
2017-04-13,86.0
2017-04-17,88.95
2017-04-18,89.2
2017-04-19,91.55
2017-04-20,92.45
2017-04-21,94.5
2017-04-24,100.45
2017-04-25,99.05
2017-04-26,99.35
2017-04-27,99.15
2017-04-28,99.85
2017-05-02,96.0
2017-05-03,93.15
2017-05-04,91.55
2017-05-05,90.0
2017-05-08,92.1
2017-05-09,90.4
2017-05-10,92.2
2017-05-11,92.8
2017-05-12,102.4
2017-05-15,100.8
2017-05-16,100.15
2017-05-17,98.95
2017-05-18,96.9
2017-05-19,98.55
2017-05-22,95.4
2017-05-23,97.25
2017-05-24,90.45
2017-05-25,90.75
2017-05-26,89.95
2017-05-29,91.9
2017-05-30,89.6
2017-05-31,87.35
2017-06-01,86.9
2017-06-02,85.9
2017-06-05,84.3
2017-06-06,83.65
2017-06-07,84.55
2017-06-08,84.15
2017-06-09,98.45
2017-06-12,95.05
2017-06-13,94.85
2017-06-14,93.75
2017-06-15,90.85
2017-06-16,94.6
2017-06-19,93.5
2017-06-20,94.4
2017-06-21,93.0
2017-06-22,91.1
2017-06-23,89.4
2017-06-27,91.35
2017-06-28,91.1
2017-06-29,90.6
2017-06-30,89.15
2017-07-03,90.55
2017-07-04,91.25
2017-07-05,90.8
2017-07-06,89.15
2017-07-07,88.6
2017-07-10,89.05
2017-07-11,86.95
2017-07-12,87.85
2017-07-13,87.65
2017-07-14,87.3
2017-07-17,87.2
2017-07-18,87.25
2017-07-19,87.3
2017-07-20,89.45
2017-07-21,89.8
2017-07-24,88.5
2017-07-25,87.35
2017-07-26,87.65
2017-07-27,87.3
2017-07-28,90.25
2017-07-31,90.6
2017-08-01,90.2
2017-08-02,90.9
2017-08-03,87.85
2017-08-04,87.9
2017-08-07,88.45
2017-08-08,86.25
2017-08-09,85.15
2017-08-10,82.7
2017-08-11,79.05
2017-08-14,81.75
2017-08-16,85.85
2017-08-17,88.45
2017-08-18,88.35
2017-08-21,86.85
2017-08-22,87.35
2017-08-23,89.4
2017-08-24,90.65
2017-08-28,89.7
2017-08-29,88.05
2017-08-30,92.3
2017-08-31,91.25
2017-09-01,92.85
2017-09-04,91.05
2017-09-05,100.65
2017-09-06,98.8
2017-09-07,96.55
2017-09-08,95.8
2017-09-11,92.95
2017-09-12,91.4
2017-09-13,90.1
2017-09-14,91.4
2017-09-15,92.1
2017-09-18,103.3
2017-09-19,123.95
2017-09-20,143.25
2017-09-21,130.55
2017-09-22,127.25
2017-09-25,118.4
2017-09-26,121.4
2017-09-27,112.85
2017-11-14,107.15
2017-11-15,106.2
2017-11-16,110.55
2017-11-17,109.8
2017-11-20,110.7
2017-11-21,112.4
2017-11-22,118.0
2017-11-23,123.9
2017-11-24,119.4
2017-11-27,121.25
2017-11-28,121.4
2017-11-29,121.0
2017-11-30,123.45
2017-12-01,121.35
2017-12-04,117.65
2017-12-05,118.9
2017-12-06,117.45
2017-12-07,117.7
2017-12-08,116.9
2017-12-11,116.4
2017-12-12,117.35
2017-12-13,115.35
2017-12-14,115.9
2017-12-15,116.9
2017-12-18,116.95
2017-12-19,117.3
2017-12-20,117.55
2017-12-21,121.45
2017-12-22,127.2
2017-12-26,139.9
2017-12-27,136.1
2017-12-28,134.65
2017-12-29,134.2
