Date,63MOONS
2017-01-02,71.8
2017-01-03,72.5
2017-01-04,72.65
2017-01-05,73.5
2017-01-06,72.65
2017-01-09,73.05
2017-01-10,76.75
2017-01-11,80.65
2017-01-12,80.85
2017-01-13,79.0
2017-01-16,81.5
2017-01-17,80.9
2017-01-18,78.95
2017-01-19,78.9
2017-01-20,80.55
2017-01-23,81.5
2017-01-24,81.2
2017-01-25,81.35
2017-01-27,82.9
2017-01-30,82.2
2017-01-31,80.4
2017-02-01,81.2
2017-02-02,81.75
2017-02-03,82.75
2017-02-06,84.3
2017-02-07,83.15
2017-02-08,85.1
2017-02-09,85.45
2017-02-10,82.65
2017-02-13,81.85
2017-02-14,81.95
2017-02-15,79.2
2017-02-16,79.15
2017-02-17,79.45
2017-02-20,81.45
2017-02-21,81.55
2017-02-22,80.3
2017-02-23,80.6
2017-02-27,79.7
2017-02-28,79.3
2017-03-01,80.55
2017-03-02,79.3
2017-03-03,78.95
2017-03-06,78.9
2017-03-07,78.7
2017-03-08,77.85
2017-03-09,77.65
2017-03-10,77.85
2017-03-14,77.45
2017-03-15,78.0
2017-03-16,78.1
2017-03-17,77.35
2017-03-20,77.15
2017-03-21,76.6
2017-03-22,77.3
2017-03-23,77.15
2017-03-24,76.7
2017-03-27,75.8
2017-03-28,75.05
2017-03-29,74.9
2017-03-30,75.55
2017-03-31,75.4
2017-04-03,77.5
2017-04-05,81.8
2017-04-06,80.85
2017-04-07,80.9
2017-04-10,79.7
2017-04-11,79.7
2017-04-12,78.55
2017-04-13,77.6
2017-04-17,77.95
2017-04-18,77.85
2017-04-19,76.75
2017-04-20,77.4
2017-04-21,77.7
2017-04-24,78.2
2017-04-25,77.95
2017-04-26,77.0
2017-04-27,76.45
2017-04-28,76.4
2017-05-02,76.75
2017-05-03,76.5
2017-05-04,76.3
2017-05-05,75.25
2017-05-08,75.35
2017-05-09,75.7
2017-05-10,75.6
2017-05-11,75.7
2017-05-12,76.95
2017-05-15,76.35
2017-05-16,76.3
2017-05-17,76.1
2017-05-18,75.3
2017-05-19,74.0
2017-05-22,72.6
2017-05-23,69.35
2017-05-24,68.2
2017-05-25,68.8
2017-05-26,69.85
2017-05-29,68.6
2017-05-30,67.35
2017-05-31,68.45
2017-06-01,69.65
2017-06-02,68.75
2017-06-05,68.3
2017-06-06,68.75
2017-06-07,68.35
2017-06-08,68.05
2017-06-09,68.1
2017-06-12,67.5
2017-06-13,67.2
2017-06-14,67.25
2017-06-15,66.7
2017-06-16,66.25
2017-06-19,65.9
2017-06-20,64.9
2017-06-21,64.4
2017-06-22,63.55
2017-06-23,62.05
2017-06-27,60.65
2017-06-28,61.0
2017-06-29,63.75
2017-06-30,62.7
2017-07-03,62.7
2017-07-04,64.1
2017-07-05,63.75
2017-07-06,63.8
2017-07-07,64.3
2017-07-10,64.1
2017-07-11,63.4
2017-07-12,63.75
2017-07-13,64.2
2017-07-14,62.65
2017-07-17,62.95
2017-07-18,62.5
2017-07-19,62.85
2017-07-20,62.9
2017-07-21,62.8
2017-07-24,62.55
2017-07-25,63.1
2017-07-26,64.45
2017-07-27,63.3
2017-07-28,63.3
2017-07-31,64.25
2017-08-01,63.1
2017-08-02,63.05
2017-08-03,61.6
2017-08-04,60.65
2017-08-07,61.15
2017-08-08,59.85
2017-08-09,58.0
2017-08-10,54.9
2017-08-11,64.3
2017-08-14,62.55
2017-08-16,63.85
2017-08-17,62.3
2017-08-18,59.95
2017-08-21,62.65
2017-08-22,60.75
2017-08-23,62.05
2017-08-24,61.15
2017-08-28,60.9
2017-08-29,60.1
2017-08-30,60.55
2017-08-31,60.1
2017-09-01,62.75
2017-09-04,62.45
2017-09-05,63.45
2017-09-06,63.6
2017-09-07,76.3
2017-09-08,72.6
2017-09-11,70.95
2017-09-12,83.2
2017-09-13,87.2
2017-09-14,87.8
2017-09-15,84.45
2017-09-18,85.3
2017-09-19,83.75
2017-09-20,85.25
2017-09-21,82.8
2017-09-22,78.5
2017-09-25,77.95
2017-09-26,78.85
2017-09-27,75.0
2017-09-28,77.8
2017-09-29,78.2
2017-10-03,77.3
2017-10-04,80.2
2017-10-05,80.55
2017-10-06,82.15
2017-10-09,84.05
2017-10-10,100.85
2017-10-11,113.1
2017-10-12,113.15
2017-10-13,115.95
2017-10-16,114.3
2017-10-17,125.7
2017-10-18,138.25
2017-10-19,152.05
2017-10-23,159.65
2017-10-24,152.1
2017-10-25,144.5
2017-10-26,137.3
2017-10-27,144.15
2017-10-30,140.6
2017-10-31,145.55
2017-11-01,140.8
2017-11-02,139.25
2017-11-03,137.95
2017-11-06,144.8
2017-11-07,139.2
2017-11-08,135.45
2017-11-09,134.95
2017-11-10,128.25
2017-11-13,121.85
2017-11-14,117.95
2017-11-15,117.45
2017-11-16,115.65
2017-11-17,112.8
2017-11-20,114.0
2017-11-21,114.85
2017-11-22,112.6
2017-11-23,111.3
2017-11-24,116.85
2017-11-27,122.65
2017-11-28,128.75
2017-11-29,127.75
2017-11-30,134.1
2017-12-01,138.1
2017-12-04,131.2
2017-12-05,124.65
2017-12-06,118.45
2017-12-07,94.8
2017-12-08,96.6
2017-12-11,96.3
2017-12-12,94.7
2017-12-13,94.4
2017-12-14,91.85
2017-12-15,96.1
2017-12-18,93.35
2017-12-19,94.45
2017-12-20,94.6
2017-12-21,94.7
2017-12-22,113.6
2017-12-26,125.9
2017-12-27,117.95
2017-12-28,121.05
2017-12-29,118.6
