Date,HINDNATGLS
2017-01-02,105.0
2017-01-03,106.95
2017-01-04,105.0
2017-01-05,103.8
2017-01-06,104.85
2017-01-09,105.0
2017-01-10,104.4
2017-01-11,105.0
2017-01-12,108.0
2017-01-13,103.9
2017-01-16,104.8
2017-01-17,104.0
2017-01-18,104.0
2017-01-19,104.85
2017-01-20,103.0
2017-01-23,113.9
2017-01-24,136.65
2017-01-25,131.5
2017-01-27,127.9
2017-01-30,124.15
2017-01-31,120.4
2017-02-01,119.1
2017-02-02,118.35
2017-02-03,122.75
2017-02-06,121.8
2017-02-07,124.7
2017-02-08,128.2
2017-02-10,124.55
2017-02-13,121.9
2017-02-14,120.0
2017-02-15,120.0
2017-02-16,122.6
2017-02-17,123.8
2017-02-20,121.1
2017-02-21,121.45
2017-02-22,121.0
2017-02-23,120.0
2017-02-27,120.0
2017-02-28,119.8
2017-03-01,124.8
2017-03-02,119.4
2017-03-03,119.8
2017-03-06,118.0
2017-03-07,118.0
2017-03-08,118.2
2017-03-09,117.7
2017-03-10,115.1
2017-03-14,115.1
2017-03-15,115.0
2017-03-16,112.1
2017-03-17,112.0
2017-03-20,108.45
2017-03-21,109.4
2017-03-22,110.55
2017-03-23,109.8
2017-03-24,109.15
2017-03-27,107.7
2017-03-28,105.65
2017-03-29,106.1
2017-03-30,107.35
2017-03-31,105.05
2017-04-03,107.25
2017-04-05,106.4
2017-04-06,111.0
2017-04-07,111.5
2017-04-10,108.5
2017-04-11,109.0
2017-04-12,110.7
2017-04-13,110.2
2017-04-17,108.8
2017-04-18,107.2
2017-04-19,106.4
2017-04-20,107.0
2017-04-21,106.5
2017-04-24,106.9
2017-04-25,108.2
2017-04-26,106.9
2017-04-27,106.8
2017-04-28,108.3
2017-05-02,111.0
2017-05-03,108.65
2017-05-04,108.7
2017-05-05,105.7
2017-05-08,103.5
2017-05-09,104.5
2017-05-10,102.3
2017-05-11,106.35
2017-05-12,104.5
2017-05-15,105.65
2017-05-16,104.15
2017-05-17,101.55
2017-05-18,102.95
2017-05-19,98.65
2017-05-22,98.8
2017-05-23,95.95
2017-05-24,89.25
2017-05-25,89.7
2017-05-26,90.0
2017-05-29,85.75
2017-05-30,86.6
2017-05-31,85.6
2017-06-01,86.1
2017-06-02,87.45
2017-06-05,87.15
2017-06-06,89.3
2017-06-07,85.8
2017-06-08,87.85
2017-06-09,87.9
2017-06-12,88.35
2017-06-13,88.05
2017-06-14,88.6
2017-06-15,86.0
2017-06-16,86.2
2017-06-19,90.8
2017-06-20,87.0
2017-06-21,87.05
2017-06-22,87.25
2017-06-23,85.95
2017-06-27,85.05
2017-06-28,88.95
2017-06-29,90.0
2017-06-30,88.85
2017-07-03,92.0
2017-07-04,92.5
2017-07-05,94.65
2017-07-06,96.0
2017-07-07,93.7
2017-07-10,97.95
2017-07-11,95.15
2017-07-12,94.8
2017-07-13,94.15
2017-07-14,94.9
2017-07-17,90.65
2017-07-18,90.0
2017-07-19,90.0
2017-07-20,90.5
2017-07-21,90.5
2017-07-24,91.5
2017-07-25,91.9
2017-07-26,90.2
2017-07-27,91.0
2017-07-28,91.5
2017-07-31,90.0
2017-08-01,92.95
2017-08-02,91.0
2017-08-03,88.9
2017-08-04,88.95
2017-08-07,86.4
2017-08-08,86.0
2017-08-09,84.0
2017-08-10,81.45
2017-08-11,81.85
2017-08-14,83.55
2017-08-16,79.65
2017-08-17,80.2
2017-08-18,82.85
2017-08-21,81.05
2017-08-22,80.0
2017-08-23,80.55
2017-08-24,79.35
2017-08-28,80.4
2017-08-29,76.85
2017-08-30,81.5
2017-08-31,82.0
2017-09-01,81.3
2017-09-04,81.3
2017-09-05,82.95
2017-09-06,81.7
2017-09-07,81.1
2017-09-08,82.9
2017-09-11,82.85
2017-09-12,82.0
2017-09-13,81.5
2017-09-14,85.15
2017-09-15,83.1
2017-09-18,84.0
2017-09-19,84.0
2017-09-20,87.0
2017-09-21,87.65
2017-09-22,87.55
2017-09-25,87.5
2017-09-26,87.9
2017-09-27,85.5
2017-09-28,82.4
2017-09-29,90.5
2017-10-03,96.4
2017-10-04,97.1
2017-10-05,96.25
2017-10-06,95.05
2017-10-09,95.8
2017-10-10,98.0
2017-10-11,100.2
2017-10-12,103.25
2017-10-13,107.7
2017-10-16,106.35
2017-10-17,107.75
2017-10-18,107.0
2017-10-19,104.9
2017-10-23,120.3
2017-10-24,129.05
2017-10-25,127.5
2017-10-26,117.05
2017-10-27,117.35
2017-10-30,116.9
2017-10-31,122.65
2017-11-01,118.9
2017-11-02,123.95
2017-11-03,120.3
2017-11-06,132.85
2017-11-07,138.9
2017-11-08,133.2
2017-11-09,126.75
2017-11-10,129.25
2017-11-13,125.2
2017-11-14,124.2
2017-11-15,124.05
2017-11-16,121.55
2017-11-17,122.2
2017-11-20,123.6
2017-11-21,127.0
2017-11-22,120.05
2017-11-23,118.25
2017-11-24,120.05
2017-11-27,126.4
2017-11-28,125.05
2017-11-29,130.85
2017-11-30,130.0
2017-12-01,131.25
2017-12-04,130.0
2017-12-05,131.55
2017-12-06,140.55
2017-12-07,142.55
2017-12-08,169.15
2017-12-11,175.55
2017-12-12,167.75
2017-12-13,158.65
2017-12-14,160.1
2017-12-15,156.3
2017-12-18,159.65
2017-12-19,156.45
2017-12-20,153.0
2017-12-21,156.55
2017-12-22,153.5
2017-12-26,153.95
2017-12-27,154.7
2017-12-28,152.95
2017-12-29,150.35
