Date,BEL
2017-01-02,1365.5
2017-01-03,1423.15
2017-01-04,1432.2
2017-01-05,1431.75
2017-01-06,1411.65
2017-01-09,1454.2
2017-01-10,1511.7
2017-01-11,1527.65
2017-01-12,1550.9
2017-01-13,1528.65
2017-01-16,1529.6
2017-01-17,1514.7
2017-01-18,1511.95
2017-01-19,1490.0
2017-01-20,1474.9
2017-01-23,1514.3
2017-01-24,1519.95
2017-01-25,1514.45
2017-01-27,1540.85
2017-01-30,1584.9
2017-01-31,1540.0
2017-02-01,1568.4
2017-02-02,1545.7
2017-02-03,1544.35
2017-02-06,1536.95
2017-02-07,1565.05
2017-02-08,1565.45
2017-02-09,1564.35
2017-02-10,1543.9
2017-02-13,1526.6
2017-02-14,1509.9
2017-02-15,1524.55
2017-02-16,1526.4
2017-02-17,1527.7
2017-02-20,1535.85
2017-02-21,1560.1
2017-02-22,1510.55
2017-02-23,1505.45
2017-02-27,1508.05
2017-02-28,1515.6
2017-03-01,1521.15
2017-03-02,1503.4
2017-03-03,1494.8
2017-03-06,1530.1
2017-03-07,1530.5
2017-03-08,1521.35
2017-03-09,1554.45
2017-03-10,1567.65
2017-03-14,1571.9
2017-03-15,1569.65
2017-03-16,165.15
2017-03-17,161.6
2017-03-20,162.5
2017-03-21,159.5
2017-03-22,153.8
2017-03-23,157.2
2017-03-24,155.55
2017-03-27,158.8
2017-03-28,158.4
2017-03-29,155.65
2017-03-30,153.45
2017-03-31,156.75
2017-04-03,159.9
2017-04-05,161.35
2017-04-06,165.5
2017-04-07,167.65
2017-04-10,171.9
2017-04-11,176.6
2017-04-12,174.65
2017-04-13,169.95
2017-04-17,171.1
2017-04-18,171.9
2017-04-19,178.7
2017-04-20,178.1
2017-04-21,180.5
2017-04-24,181.75
2017-04-25,180.25
2017-04-26,179.8
2017-04-27,179.55
2017-04-28,182.95
2017-05-02,183.1
2017-05-03,178.85
2017-05-04,181.75
2017-05-05,179.5
2017-05-08,180.85
2017-05-09,181.25
2017-05-10,183.95
2017-05-11,181.75
2017-05-12,179.4
2017-05-15,179.95
2017-05-16,182.6
2017-05-17,180.05
2017-05-18,174.95
2017-05-19,174.1
2017-05-22,175.65
2017-05-23,172.05
2017-05-24,166.8
2017-05-25,172.0
2017-05-26,174.95
2017-05-29,172.55
2017-05-30,170.15
2017-05-31,172.65
2017-06-01,172.7
2017-06-02,172.1
2017-06-05,170.05
2017-06-06,169.15
2017-06-07,171.55
2017-06-08,169.35
2017-06-09,168.25
2017-06-12,165.6
2017-06-13,165.05
2017-06-14,166.0
2017-06-15,166.95
2017-06-16,169.75
2017-06-19,168.65
2017-06-20,167.85
2017-06-21,169.3
2017-06-22,166.4
2017-06-23,165.3
2017-06-27,160.55
2017-06-28,159.75
2017-06-29,160.0
2017-06-30,161.55
2017-07-03,162.4
2017-07-04,163.4
2017-07-05,169.6
2017-07-06,172.0
2017-07-07,170.2
2017-07-10,172.7
2017-07-11,171.1
2017-07-12,170.45
2017-07-13,173.1
2017-07-14,173.25
2017-07-17,174.9
2017-07-18,173.7
2017-07-19,173.65
2017-07-20,172.55
2017-07-21,171.5
2017-07-24,172.65
2017-07-25,172.65
2017-07-26,175.5
2017-07-27,177.45
2017-07-28,177.9
2017-07-31,178.75
2017-08-01,180.95
2017-08-02,182.05
2017-08-03,180.6
2017-08-04,178.95
2017-08-07,181.8
2017-08-08,181.85
2017-08-09,179.25
2017-08-10,170.75
2017-08-11,171.15
2017-08-14,176.25
2017-08-16,175.3
2017-08-17,183.15
2017-08-18,182.5
2017-08-21,179.1
2017-08-22,178.2
2017-08-23,183.05
2017-08-24,187.95
2017-08-28,188.85
2017-08-29,185.15
2017-08-30,191.85
2017-08-31,190.0
2017-09-01,193.95
2017-09-04,191.7
2017-09-05,192.4
2017-09-06,193.5
2017-09-07,194.05
2017-09-08,188.15
2017-09-11,192.0
2017-09-12,197.55
2017-09-13,194.85
2017-09-14,190.2
2017-09-15,190.1
2017-09-18,192.85
2017-09-19,190.85
2017-09-20,191.45
2017-09-21,188.2
2017-09-22,180.9
2017-09-25,181.0
2017-09-26,182.55
2017-09-27,176.85
2017-09-28,163.55
2017-09-29,162.8
2017-10-03,163.5
2017-10-04,164.5
2017-10-05,163.75
2017-10-06,166.2
2017-10-09,166.3
2017-10-10,165.25
2017-10-11,165.9
2017-10-12,169.35
2017-10-13,171.0
2017-10-16,171.7
2017-10-17,170.85
2017-10-18,172.65
2017-10-19,172.3
2017-10-23,174.3
2017-10-24,175.0
2017-10-25,171.4
2017-10-26,169.85
2017-10-27,172.35
2017-10-30,175.5
2017-10-31,184.6
2017-11-01,185.8
2017-11-02,185.25
2017-11-03,183.0
2017-11-06,184.65
2017-11-07,180.55
2017-11-08,178.75
2017-11-09,184.3
2017-11-10,181.95
2017-11-13,178.95
2017-11-14,175.45
2017-11-15,176.45
2017-11-16,179.75
2017-11-17,178.7
2017-11-20,179.75
2017-11-21,177.45
2017-11-22,180.35
2017-11-23,187.1
2017-11-24,184.65
2017-11-27,186.3
2017-11-28,186.55
2017-11-29,189.0
2017-11-30,185.8
2017-12-01,184.5
2017-12-04,180.25
2017-12-05,182.1
2017-12-06,179.15
2017-12-07,183.3
2017-12-08,185.1
2017-12-11,183.4
2017-12-12,181.35
2017-12-13,180.65
2017-12-14,180.7
2017-12-15,179.95
2017-12-18,182.45
2017-12-19,184.1
2017-12-20,185.7
2017-12-21,184.5
2017-12-22,188.5
2017-12-26,186.55
2017-12-27,184.25
2017-12-28,181.55
2017-12-29,182.15
