Date,SAREGAMA
2017-01-02,217.75
2017-01-03,224.8
2017-01-04,232.9
2017-01-05,232.25
2017-01-06,228.45
2017-01-09,223.35
2017-01-10,225.95
2017-01-11,228.8
2017-01-12,225.75
2017-01-13,236.9
2017-01-16,234.75
2017-01-17,231.1
2017-01-18,231.05
2017-01-19,238.2
2017-01-20,237.45
2017-01-23,238.25
2017-01-24,239.45
2017-01-25,236.65
2017-01-27,227.9
2017-01-30,229.15
2017-01-31,222.05
2017-02-01,221.75
2017-02-02,221.4
2017-02-03,222.8
2017-02-06,222.2
2017-02-07,219.75
2017-02-08,221.5
2017-02-09,225.05
2017-02-10,222.35
2017-02-13,219.45
2017-02-14,216.4
2017-02-15,213.75
2017-02-16,211.25
2017-02-17,205.15
2017-02-20,209.35
2017-02-21,212.4
2017-02-22,211.95
2017-02-23,212.55
2017-02-27,209.95
2017-02-28,207.7
2017-03-01,210.6
2017-03-02,206.3
2017-03-03,209.35
2017-03-06,210.4
2017-03-07,206.5
2017-03-08,206.5
2017-03-09,205.8
2017-03-10,206.95
2017-03-14,206.15
2017-03-15,205.85
2017-03-16,212.15
2017-03-17,209.0
2017-03-20,212.4
2017-03-21,210.45
2017-03-22,206.5
2017-03-23,209.25
2017-03-24,209.85
2017-03-27,209.1
2017-03-28,220.4
2017-03-29,242.7
2017-03-30,233.75
2017-03-31,233.65
2017-04-03,236.95
2017-04-05,239.5
2017-04-06,237.5
2017-04-07,241.55
2017-04-10,237.4
2017-04-11,256.9
2017-04-12,254.15
2017-04-13,253.05
2017-04-17,246.25
2017-04-18,246.35
2017-04-19,245.05
2017-04-20,244.6
2017-04-21,241.7
2017-04-24,243.4
2017-04-25,249.0
2017-04-26,241.75
2017-04-27,239.35
2017-04-28,239.15
2017-05-02,240.6
2017-05-03,261.85
2017-05-04,254.25
2017-05-05,244.6
2017-05-08,246.0
2017-05-09,251.85
2017-05-10,251.3
2017-05-11,248.9
2017-05-12,249.5
2017-05-15,248.3
2017-05-16,246.75
2017-05-17,246.7
2017-05-18,241.65
2017-05-19,236.3
2017-05-22,238.3
2017-05-23,234.9
2017-05-24,225.55
2017-05-25,229.05
2017-05-26,238.0
2017-05-29,230.55
2017-05-30,231.35
2017-05-31,232.1
2017-06-01,230.0
2017-06-02,231.65
2017-06-05,230.7
2017-06-06,226.1
2017-06-07,221.85
2017-06-08,220.05
2017-06-09,228.45
2017-06-12,228.6
2017-06-13,253.05
2017-06-14,260.75
2017-06-15,275.85
2017-06-16,262.55
2017-06-19,275.25
2017-06-20,271.6
2017-06-21,273.5
2017-06-22,262.65
2017-06-23,253.25
2017-06-27,265.95
2017-06-28,283.1
2017-06-29,285.85
2017-06-30,282.55
2017-07-03,281.05
2017-07-04,272.2
2017-07-05,272.8
2017-07-06,267.85
2017-07-07,300.0
2017-07-10,321.95
2017-07-11,318.85
2017-07-12,332.25
2017-07-13,335.45
2017-07-14,327.4
2017-07-17,321.9
2017-07-18,321.25
2017-07-19,338.35
2017-07-20,360.75
2017-07-21,366.85
2017-07-24,414.6
2017-07-25,416.4
2017-07-26,404.95
2017-07-27,396.0
2017-07-28,410.6
2017-07-31,402.15
2017-08-01,402.95
2017-08-02,411.7
2017-08-03,406.9
2017-08-04,409.95
2017-08-07,411.4
2017-08-08,379.1
2017-08-09,365.9
2017-08-10,358.85
2017-08-11,371.25
2017-08-14,375.6
2017-08-16,374.4
2017-08-17,403.55
2017-08-18,394.25
2017-08-21,394.75
2017-08-22,390.3
2017-08-23,396.55
2017-08-24,395.55
2017-08-28,426.3
2017-08-29,416.5
2017-08-30,425.45
2017-08-31,443.8
2017-09-01,448.3
2017-09-04,470.3
2017-09-05,491.9
2017-09-06,501.0
2017-09-07,512.6
2017-09-08,501.5
2017-09-11,495.25
2017-09-12,483.55
2017-09-13,473.4
2017-09-14,500.55
2017-09-15,484.05
2017-09-18,478.1
2017-09-19,465.45
2017-09-20,468.55
2017-09-21,456.4
2017-09-22,426.95
2017-09-25,427.7
2017-09-26,431.3
2017-09-27,422.05
2017-09-28,423.1
2017-09-29,418.35
2017-10-03,419.85
2017-10-04,490.35
2017-10-05,479.2
2017-10-06,500.0
2017-10-09,493.9
2017-10-10,557.1
2017-10-11,540.05
2017-10-12,567.15
2017-10-13,568.2
2017-10-16,562.15
2017-10-17,598.7
2017-10-18,584.75
2017-10-19,575.35
2017-10-23,601.6
2017-10-24,608.35
2017-10-25,612.4
2017-10-26,646.25
2017-10-27,656.25
2017-10-30,679.4
2017-10-31,676.35
2017-11-01,677.6
2017-11-02,712.55
2017-11-03,687.25
2017-11-06,704.55
2017-11-07,674.45
2017-11-08,634.9
2017-11-09,742.1
2017-11-10,838.35
2017-11-13,868.75
2017-11-14,839.4
2017-11-15,791.45
2017-11-16,916.45
2017-11-17,878.7
2017-11-20,902.85
2017-11-21,884.85
2017-11-22,886.25
2017-11-23,870.3
2017-11-24,853.85
2017-11-27,880.7
2017-11-28,894.0
2017-11-29,883.8
2017-11-30,860.6
2017-12-01,873.3
2017-12-04,851.7
2017-12-05,843.8
2017-12-06,785.45
2017-12-07,815.4
2017-12-08,828.7
2017-12-11,825.25
2017-12-12,810.1
2017-12-13,786.0
2017-12-14,800.35
2017-12-15,796.1
2017-12-18,784.45
2017-12-19,802.35
2017-12-20,809.85
2017-12-21,880.65
2017-12-22,889.25
2017-12-26,874.9
2017-12-27,860.5
2017-12-28,848.7
2017-12-29,829.75
