Date,AXISCADES
2017-01-02,182.4
2017-01-03,184.65
2017-01-04,188.75
2017-01-05,194.2
2017-01-06,191.5
2017-01-09,193.25
2017-01-10,195.25
2017-01-11,194.0
2017-01-12,191.25
2017-01-13,190.55
2017-01-16,195.65
2017-01-17,195.45
2017-01-18,194.3
2017-01-19,193.55
2017-01-20,187.15
2017-01-23,188.3
2017-01-24,188.85
2017-01-25,187.1
2017-01-27,184.3
2017-01-30,184.35
2017-01-31,182.5
2017-02-01,185.65
2017-02-02,188.05
2017-02-03,188.7
2017-02-06,187.75
2017-02-07,184.1
2017-02-08,183.8
2017-02-09,182.1
2017-02-10,177.65
2017-02-13,173.95
2017-02-14,161.1
2017-02-15,159.6
2017-02-16,163.35
2017-02-17,164.3
2017-02-20,167.95
2017-02-21,164.25
2017-02-22,164.75
2017-02-23,165.25
2017-02-27,162.05
2017-02-28,163.45
2017-03-01,174.2
2017-03-02,166.95
2017-03-03,168.55
2017-03-06,165.25
2017-03-07,163.7
2017-03-08,161.1
2017-03-09,161.2
2017-03-10,158.85
2017-03-14,160.0
2017-03-15,160.7
2017-03-16,162.25
2017-03-17,161.05
2017-03-20,159.9
2017-03-21,155.25
2017-03-22,151.4
2017-03-23,154.9
2017-03-24,152.7
2017-03-27,150.65
2017-03-28,157.15
2017-03-29,162.85
2017-03-30,163.0
2017-03-31,161.3
2017-04-03,164.05
2017-04-05,166.5
2017-04-06,172.0
2017-04-07,169.55
2017-04-10,168.1
2017-04-11,165.95
2017-04-12,162.8
2017-04-13,167.55
2017-04-17,169.95
2017-04-18,163.6
2017-04-19,163.8
2017-04-20,165.05
2017-04-21,162.95
2017-04-24,164.05
2017-04-25,169.45
2017-04-26,167.45
2017-04-27,164.8
2017-04-28,161.25
2017-05-02,159.95
2017-05-03,158.8
2017-05-04,163.85
2017-05-05,160.4
2017-05-08,160.05
2017-05-09,162.7
2017-05-10,162.65
2017-05-11,161.9
2017-05-12,160.95
2017-05-15,159.2
2017-05-16,158.0
2017-05-17,156.75
2017-05-18,153.95
2017-05-19,151.15
2017-05-22,145.9
2017-05-23,141.85
2017-05-24,137.5
2017-05-25,139.75
2017-05-26,146.25
2017-05-29,140.3
2017-05-30,138.5
2017-05-31,129.6
2017-06-01,131.8
2017-06-02,138.45
2017-06-05,138.65
2017-06-06,142.85
2017-06-07,146.3
2017-06-08,144.75
2017-06-09,144.0
2017-06-12,143.3
2017-06-13,141.7
2017-06-14,138.4
2017-06-15,142.1
2017-06-16,143.7
2017-06-19,149.5
2017-06-20,152.15
2017-06-21,150.25
2017-06-22,147.7
2017-06-23,147.4
2017-06-27,141.65
2017-06-28,142.2
2017-06-29,143.15
2017-06-30,144.9
2017-07-03,143.1
2017-07-04,147.4
2017-07-05,150.3
2017-07-06,149.65
2017-07-07,148.85
2017-07-10,147.5
2017-07-11,148.0
2017-07-12,146.15
2017-07-13,145.85
2017-07-14,146.9
2017-07-17,148.25
2017-07-18,145.2
2017-07-19,143.5
2017-07-20,145.6
2017-07-21,145.55
2017-07-24,147.7
2017-07-25,155.8
2017-07-26,153.0
2017-07-27,151.25
2017-07-28,154.5
2017-07-31,152.45
2017-08-01,151.15
2017-08-02,148.4
2017-08-03,146.25
2017-08-04,144.65
2017-08-07,146.1
2017-08-08,143.7
2017-08-09,141.5
2017-08-10,133.8
2017-08-11,133.75
2017-08-14,140.2
2017-08-16,141.3
2017-08-17,145.25
2017-08-18,146.5
2017-08-21,140.95
2017-08-22,143.65
2017-08-23,143.85
2017-08-24,141.35
2017-08-28,138.95
2017-08-29,138.4
2017-08-30,139.15
2017-08-31,140.8
2017-09-01,141.4
2017-09-04,141.95
2017-09-05,139.65
2017-09-06,141.65
2017-09-07,143.75
2017-09-08,146.35
2017-09-11,148.05
2017-09-12,148.85
2017-09-13,143.85
2017-09-14,137.3
2017-09-15,140.1
2017-09-18,135.55
2017-09-19,134.95
2017-09-20,133.75
2017-09-21,133.05
2017-09-22,125.1
2017-09-25,119.8
2017-09-26,125.35
2017-09-27,119.7
2017-09-28,117.65
2017-09-29,116.75
2017-10-03,116.3
2017-10-04,115.75
2017-10-05,117.1
2017-10-06,116.8
2017-10-09,116.55
2017-10-10,118.6
2017-10-11,115.5
2017-10-12,117.2
2017-10-13,115.7
2017-10-16,113.2
2017-10-17,112.0
2017-10-18,116.3
2017-10-19,115.05
2017-10-23,115.65
2017-10-24,117.05
2017-10-25,116.35
2017-10-26,116.8
2017-10-27,122.05
2017-10-30,127.0
2017-10-31,123.7
2017-11-01,130.45
2017-11-02,130.35
2017-11-03,128.2
2017-11-06,132.0
2017-11-07,133.5
2017-11-08,127.45
2017-11-09,126.5
2017-11-10,128.35
2017-11-13,124.45
2017-11-14,130.75
2017-11-15,127.35
2017-11-16,129.7
2017-11-17,129.0
2017-11-20,129.85
2017-11-21,128.95
2017-11-22,131.5
2017-11-23,144.95
2017-11-24,159.05
2017-11-27,162.95
2017-11-28,153.8
2017-11-29,156.15
2017-11-30,157.5
2017-12-01,154.05
2017-12-04,149.8
2017-12-05,144.5
2017-12-06,140.65
2017-12-07,164.0
2017-12-08,170.4
2017-12-11,173.95
2017-12-12,173.1
2017-12-13,171.8
2017-12-14,168.5
2017-12-15,167.0
2017-12-18,190.8
2017-12-19,199.55
2017-12-20,209.9
2017-12-21,205.9
2017-12-22,198.3
2017-12-26,194.65
2017-12-27,205.25
2017-12-28,205.55
2017-12-29,200.45
