Date,GTLINFRA
2017-01-02,4.45
2017-01-03,4.55
2017-01-04,4.5
2017-01-05,4.55
2017-01-06,4.45
2017-01-09,4.3
2017-01-10,4.3
2017-01-11,4.25
2017-01-12,4.25
2017-01-13,4.1
2017-01-16,4.5
2017-01-17,4.4
2017-01-18,4.55
2017-01-19,4.45
2017-01-20,4.35
2017-01-23,4.45
2017-01-24,4.15
2017-01-25,3.95
2017-01-27,4.15
2017-01-30,4.45
2017-01-31,4.3
2017-02-01,4.25
2017-02-02,4.2
2017-02-03,4.3
2017-02-06,4.4
2017-02-07,4.45
2017-02-08,4.5
2017-02-09,4.3
2017-02-10,4.25
2017-02-13,4.1
2017-02-14,4.1
2017-02-15,4.1
2017-02-16,4.15
2017-02-17,4.1
2017-02-20,4.35
2017-02-21,4.35
2017-02-22,4.25
2017-02-23,4.95
2017-02-27,5.25
2017-02-28,5.25
2017-03-01,5.4
2017-03-02,5.25
2017-03-03,5.35
2017-03-06,5.5
2017-03-07,5.3
2017-03-08,5.2
2017-03-09,5.35
2017-03-10,5.35
2017-03-14,5.4
2017-03-15,6.15
2017-03-16,5.7
2017-03-17,5.6
2017-03-20,5.8
2017-03-21,5.8
2017-03-22,5.8
2017-03-23,5.8
2017-03-24,5.7
2017-03-27,5.45
2017-03-28,5.6
2017-03-29,5.45
2017-03-30,5.85
2017-03-31,5.75
2017-04-03,5.7
2017-04-05,5.75
2017-04-06,6.1
2017-04-07,6.05
2017-04-10,6.1
2017-04-11,6.35
2017-04-12,6.0
2017-04-13,5.95
2017-04-17,6.0
2017-04-18,5.75
2017-04-19,5.7
2017-04-20,5.8
2017-04-21,5.75
2017-04-24,5.75
2017-04-25,5.65
2017-04-26,5.5
2017-04-27,5.75
2017-04-28,5.9
2017-05-02,5.75
2017-05-03,5.75
2017-05-04,5.65
2017-05-05,5.6
2017-05-08,5.55
2017-05-09,5.5
2017-05-10,5.4
2017-05-11,5.25
2017-05-12,5.0
2017-05-15,5.65
2017-05-16,5.45
2017-05-17,5.5
2017-05-18,5.45
2017-05-19,5.3
2017-05-22,5.2
2017-05-23,5.0
2017-05-24,4.9
2017-05-25,5.05
2017-05-26,5.0
2017-05-29,4.85
2017-05-30,4.9
2017-05-31,4.85
2017-06-01,4.8
2017-06-02,5.15
2017-06-05,5.15
2017-06-06,5.0
2017-06-07,5.0
2017-06-08,4.9
2017-06-09,4.9
2017-06-12,4.95
2017-06-13,4.85
2017-06-14,4.85
2017-06-15,4.85
2017-06-16,4.85
2017-06-19,4.8
2017-06-20,4.75
2017-06-21,4.9
2017-06-22,4.85
2017-06-23,4.85
2017-06-27,4.9
2017-06-28,4.75
2017-06-29,4.75
2017-06-30,4.7
2017-07-03,4.7
2017-07-04,4.75
2017-07-05,4.75
2017-07-06,4.8
2017-07-07,5.15
2017-07-10,5.0
2017-07-11,5.85
2017-07-12,5.65
2017-07-13,5.65
2017-07-14,5.55
2017-07-17,6.3
2017-07-18,6.15
2017-07-19,6.15
2017-07-20,6.15
2017-07-21,6.05
2017-07-24,6.3
2017-07-25,6.4
2017-07-26,7.6
2017-07-27,7.75
2017-07-28,7.75
2017-07-31,7.4
2017-08-01,7.0
2017-08-02,7.1
2017-08-03,6.9
2017-08-04,6.9
2017-08-07,7.35
2017-08-08,7.15
2017-08-09,7.05
2017-08-10,6.15
2017-08-11,6.2
2017-08-14,7.2
2017-08-16,6.95
2017-08-17,6.8
2017-08-18,6.75
2017-08-21,6.5
2017-08-22,6.7
2017-08-23,6.8
2017-08-24,6.85
2017-08-28,6.75
2017-08-29,6.4
2017-08-30,6.55
2017-08-31,6.5
2017-09-01,6.6
2017-09-04,6.6
2017-09-05,6.75
2017-09-06,7.0
2017-09-07,6.85
2017-09-08,6.7
2017-09-11,6.75
2017-09-12,6.65
2017-09-13,6.55
2017-09-14,6.75
2017-09-15,6.65
2017-09-18,6.75
2017-09-19,6.85
2017-09-20,6.9
2017-09-21,6.6
2017-09-22,6.3
2017-09-25,6.2
2017-09-26,6.2
2017-09-27,6.15
2017-09-28,6.25
2017-09-29,6.2
2017-10-03,6.1
2017-10-04,5.95
2017-10-05,5.9
2017-10-06,5.95
2017-10-09,6.0
2017-10-10,5.9
2017-10-11,5.8
2017-10-12,5.8
2017-10-13,5.7
2017-10-16,5.75
2017-10-17,6.15
2017-10-18,5.9
2017-10-19,5.95
2017-10-23,6.25
2017-10-24,6.1
2017-10-25,6.3
2017-10-26,6.75
2017-10-27,6.75
2017-10-30,7.05
2017-10-31,6.95
2017-11-01,6.85
2017-11-02,6.75
2017-11-03,7.0
2017-11-06,6.95
2017-11-07,6.7
2017-11-08,6.5
2017-11-09,6.45
2017-11-10,6.3
2017-11-13,6.2
2017-11-14,6.1
2017-11-15,5.9
2017-11-16,6.25
2017-11-17,6.6
2017-11-20,6.5
2017-11-21,6.3
2017-11-22,6.2
2017-11-23,6.2
2017-11-24,6.25
2017-11-27,6.2
2017-11-28,6.15
2017-11-29,6.1
2017-11-30,6.2
2017-12-01,6.15
2017-12-04,6.0
2017-12-05,6.05
2017-12-06,6.0
2017-12-07,6.0
2017-12-08,6.15
2017-12-11,6.35
2017-12-12,6.2
2017-12-13,6.15
2017-12-14,6.15
2017-12-15,6.2
2017-12-18,6.15
2017-12-19,6.2
2017-12-20,6.35
2017-12-21,6.4
2017-12-22,6.4
2017-12-26,6.5
2017-12-27,6.35
2017-12-28,6.4
2017-12-29,6.95
