Date,CTE
2017-01-02,92.4
2017-01-03,94.2
2017-01-04,96.05
2017-01-05,97.95
2017-01-06,99.9
2017-01-09,97.95
2017-01-10,99.25
2017-01-11,97.55
2017-01-12,99.0
2017-01-13,97.6
2017-01-16,98.8
2017-01-17,97.0
2017-01-18,95.1
2017-01-19,94.55
2017-01-20,94.1
2017-01-23,93.25
2017-01-24,93.55
2017-01-25,92.6
2017-01-27,91.2
2017-01-30,91.0
2017-01-31,90.2
2017-02-01,88.55
2017-02-02,87.7
2017-02-03,89.3
2017-02-06,91.05
2017-02-07,92.85
2017-02-08,94.7
2017-02-09,96.55
2017-02-10,98.45
2017-02-13,100.4
2017-02-14,102.4
2017-02-15,100.5
2017-02-16,98.5
2017-02-17,97.5
2017-02-20,96.4
2017-02-21,95.5
2017-02-22,97.1
2017-02-23,95.5
2017-02-27,93.65
2017-02-28,92.75
2017-03-01,91.0
2017-03-02,91.55
2017-03-03,92.1
2017-03-06,90.35
2017-03-07,88.55
2017-03-08,87.0
2017-03-09,88.0
2017-03-10,87.6
2017-03-14,87.7
2017-03-15,88.0
2017-03-16,87.25
2017-03-17,85.75
2017-03-20,85.95
2017-03-21,85.2
2017-03-22,86.9
2017-03-23,88.6
2017-03-24,90.35
2017-03-27,92.15
2017-03-28,93.95
2017-03-29,93.55
2017-03-30,94.55
2017-03-31,92.85
2017-04-03,92.95
2017-04-05,94.8
2017-04-06,96.65
2017-04-07,98.0
2017-04-10,96.05
2017-04-11,94.15
2017-04-12,93.85
2017-04-13,93.1
2017-04-17,91.45
2017-04-18,90.0
2017-04-19,89.5
2017-04-20,91.2
2017-04-21,91.45
2017-04-24,89.9
2017-04-25,89.45
2017-04-26,88.95
2017-04-27,88.55
2017-04-28,88.15
2017-05-02,87.1
2017-05-03,86.6
2017-05-04,86.45
2017-05-05,86.35
2017-05-08,86.45
2017-05-09,87.0
2017-05-10,87.0
2017-05-11,86.7
2017-05-12,86.7
2017-05-15,86.25
2017-05-16,86.25
2017-05-17,87.95
2017-05-18,89.7
2017-05-19,91.45
2017-05-22,91.0
2017-05-23,89.2
2017-05-24,87.45
2017-05-25,85.75
2017-05-26,87.45
2017-05-29,88.85
2017-05-30,89.0
2017-05-31,90.0
2017-06-01,88.8
2017-06-02,89.25
2017-06-05,88.0
2017-06-06,88.1
2017-06-07,87.85
2017-06-08,87.25
2017-06-09,87.7
2017-06-12,87.65
2017-06-13,86.1
2017-06-14,87.8
2017-06-15,87.9
2017-06-16,89.65
2017-06-19,91.4
2017-06-20,93.2
2017-06-21,95.05
2017-06-22,94.95
2017-06-23,93.1
2017-06-27,91.25
2017-06-28,89.85
2017-06-29,90.5
2017-06-30,91.75
2017-07-03,91.6
2017-07-04,91.45
2017-07-05,91.65
2017-07-06,92.55
2017-07-07,91.65
2017-07-10,90.45
2017-07-11,88.65
2017-07-12,86.9
2017-07-13,87.2
2017-07-14,85.8
2017-07-17,84.35
2017-07-18,82.7
2017-07-19,81.05
2017-07-20,80.2
2017-07-21,79.3
2017-07-24,80.2
2017-07-25,79.25
2017-07-26,80.3
2017-07-27,78.85
2017-07-28,78.4
2017-07-31,77.45
2017-08-01,76.15
2017-08-02,75.05
2017-08-03,73.55
2017-08-04,72.1
2017-08-07,72.0
2017-08-08,70.6
2017-08-09,69.2
2017-08-10,67.85
2017-08-11,66.5
2017-08-14,66.9
2017-08-16,66.55
2017-08-17,67.85
2017-08-18,69.2
2017-08-21,70.55
2017-08-22,71.95
2017-08-23,73.35
2017-08-24,74.8
2017-08-28,76.25
2017-08-29,77.15
2017-08-30,78.55
2017-08-31,79.95
2017-09-01,79.65
2017-09-04,81.2
2017-09-05,82.8
2017-09-06,84.45
2017-09-07,86.1
2017-09-08,87.8
2017-09-11,89.55
2017-09-12,91.3
2017-09-13,89.5
2017-09-14,87.75
2017-09-15,86.0
2017-09-18,84.3
2017-09-19,82.65
2017-09-20,83.65
2017-09-21,82.3
2017-09-22,80.7
2017-09-25,79.1
2017-09-26,77.55
2017-09-27,76.0
2017-09-28,74.5
2017-09-29,74.0
2017-10-03,72.55
2017-10-04,71.1
2017-10-05,69.7
2017-10-06,70.3
2017-10-09,69.0
2017-10-10,68.8
2017-10-11,68.5
2017-10-12,68.4
2017-10-13,68.25
2017-10-16,67.85
2017-10-17,67.0
2017-10-18,68.3
2017-10-19,69.65
2017-10-23,71.0
2017-10-24,72.2
2017-10-25,71.2
2017-10-26,70.35
2017-10-27,69.0
2017-10-30,69.05
2017-10-31,68.5
2017-11-01,68.0
2017-11-02,67.05
2017-11-03,67.3
2017-11-06,66.0
2017-11-07,64.7
2017-11-08,63.85
2017-11-09,62.6
2017-11-10,61.35
2017-11-13,60.15
2017-11-14,61.3
2017-11-15,62.5
2017-11-16,63.75
2017-11-17,65.0
2017-11-20,66.3
2017-11-21,67.6
2017-11-22,68.95
2017-11-23,70.3
2017-11-24,71.7
2017-11-27,73.1
2017-11-28,74.55
2017-11-29,73.1
2017-11-30,74.0
2017-12-01,74.25
2017-12-04,73.5
2017-12-05,73.6
2017-12-06,72.55
2017-12-07,74.0
2017-12-08,72.55
2017-12-11,73.7
2017-12-12,73.7
2017-12-13,74.0
2017-12-14,74.45
2017-12-15,74.25
2017-12-18,74.4
2017-12-19,75.25
2017-12-20,74.35
2017-12-21,75.65
2017-12-22,76.9
2017-12-26,75.9
2017-12-27,76.1
2017-12-28,77.35
2017-12-29,78.85
