Date,MOIL
2017-01-02,368.6
2017-01-03,367.05
2017-01-04,378.1
2017-01-05,397.2
2017-01-06,401.25
2017-01-09,419.2
2017-01-10,418.1
2017-01-11,417.45
2017-01-12,417.45
2017-01-13,417.85
2017-01-16,409.2
2017-01-17,396.5
2017-01-18,396.6
2017-01-19,385.6
2017-01-20,379.1
2017-01-23,382.75
2017-01-24,368.1
2017-01-25,372.1
2017-01-27,371.1
2017-01-30,368.5
2017-01-31,351.75
2017-02-01,362.45
2017-02-02,356.7
2017-02-03,356.75
2017-02-06,357.65
2017-02-07,365.8
2017-02-08,366.3
2017-02-09,365.75
2017-02-10,364.9
2017-02-13,366.9
2017-02-14,360.4
2017-02-15,356.35
2017-02-16,359.75
2017-02-17,365.85
2017-02-20,366.9
2017-02-21,365.05
2017-02-22,358.1
2017-02-23,359.05
2017-02-27,353.15
2017-02-28,354.95
2017-03-01,342.6
2017-03-02,329.9
2017-03-03,324.75
2017-03-06,322.85
2017-03-07,316.4
2017-03-08,313.4
2017-03-09,306.8
2017-03-10,317.9
2017-03-14,323.0
2017-03-15,316.6
2017-03-16,320.85
2017-03-17,318.4
2017-03-20,323.55
2017-03-21,319.9
2017-03-22,315.55
2017-03-23,317.15
2017-03-24,315.0
2017-03-27,312.55
2017-03-28,310.5
2017-03-29,311.05
2017-03-30,315.95
2017-03-31,313.75
2017-04-03,313.65
2017-04-05,325.6
2017-04-06,324.65
2017-04-07,325.3
2017-04-10,335.35
2017-04-11,344.55
2017-04-12,336.45
2017-04-13,337.75
2017-04-17,334.85
2017-04-18,326.2
2017-04-19,322.15
2017-04-20,318.0
2017-04-21,315.6
2017-04-24,314.85
2017-04-25,318.5
2017-04-26,315.55
2017-04-27,314.05
2017-04-28,315.25
2017-05-02,319.7
2017-05-03,328.85
2017-05-04,328.7
2017-05-05,322.35
2017-05-08,328.1
2017-05-09,334.7
2017-05-10,333.45
2017-05-11,329.35
2017-05-12,327.7
2017-05-15,327.7
2017-05-16,329.9
2017-05-17,328.8
2017-05-18,322.15
2017-05-19,315.0
2017-05-22,312.8
2017-05-23,307.3
2017-05-24,296.65
2017-05-25,307.25
2017-05-26,310.95
2017-05-29,320.3
2017-05-30,321.6
2017-05-31,330.35
2017-06-01,334.7
2017-06-02,336.45
2017-06-05,334.0
2017-06-06,330.45
2017-06-07,328.75
2017-06-08,328.2
2017-06-09,333.5
2017-06-12,339.0
2017-06-13,346.2
2017-06-14,347.1
2017-06-15,345.7
2017-06-16,343.4
2017-06-19,335.75
2017-06-20,337.45
2017-06-21,334.4
2017-06-22,327.65
2017-06-23,323.65
2017-06-27,318.4
2017-06-28,319.3
2017-06-29,321.15
2017-06-30,319.2
2017-07-03,325.7
2017-07-04,325.1
2017-07-05,326.15
2017-07-06,326.6
2017-07-07,320.65
2017-07-10,320.8
2017-07-11,320.7
2017-07-12,319.9
2017-07-13,319.95
2017-07-14,319.9
2017-07-17,319.7
2017-07-18,322.05
2017-07-19,329.95
2017-07-20,332.0
2017-07-21,331.2
2017-07-24,334.5
2017-07-25,332.7
2017-07-26,338.3
2017-07-27,336.65
2017-07-28,331.0
2017-07-31,353.95
2017-08-01,340.75
2017-08-02,340.15
2017-08-03,333.2
2017-08-04,335.5
2017-08-07,343.85
2017-08-08,341.05
2017-08-09,335.95
2017-08-10,327.65
2017-08-11,340.55
2017-08-14,355.15
2017-08-16,362.8
2017-08-17,363.3
2017-08-18,359.1
2017-08-21,358.05
2017-08-22,351.9
2017-08-23,353.25
2017-08-24,359.55
2017-08-28,364.75
2017-08-29,358.75
2017-08-30,362.0
2017-08-31,361.2
2017-09-01,373.85
2017-09-04,377.55
2017-09-05,383.6
2017-09-06,384.35
2017-09-07,383.85
2017-09-08,389.7
2017-09-11,397.95
2017-09-12,397.55
2017-09-13,413.15
2017-09-14,406.5
2017-09-15,400.9
2017-09-18,419.4
2017-09-19,411.8
2017-09-20,413.55
2017-09-21,406.95
2017-09-22,398.35
2017-09-25,385.85
2017-09-26,390.4
2017-09-27,181.55
2017-09-28,181.55
2017-09-29,190.8
2017-10-03,196.3
2017-10-04,195.85
2017-10-05,197.6
2017-10-06,197.5
2017-10-09,203.85
2017-10-10,204.0
2017-10-11,195.35
2017-10-12,202.3
2017-10-13,207.45
2017-10-16,207.3
2017-10-17,205.85
2017-10-18,231.15
2017-10-19,246.95
2017-10-23,271.5
2017-10-24,262.9
2017-10-25,258.35
2017-10-26,264.3
2017-10-27,269.05
2017-10-30,271.15
2017-10-31,264.4
2017-11-01,263.75
2017-11-02,272.15
2017-11-03,268.6
2017-11-06,261.5
2017-11-07,260.3
2017-11-08,251.75
2017-11-09,253.2
2017-11-10,250.1
2017-11-13,244.95
2017-11-14,247.9
2017-11-15,249.3
2017-11-16,245.4
2017-11-17,245.6
2017-11-20,245.9
2017-11-21,251.15
2017-11-22,252.05
2017-11-23,252.85
2017-11-24,252.25
2017-11-27,247.9
2017-11-28,248.6
2017-11-29,249.05
2017-11-30,246.1
2017-12-01,233.85
2017-12-04,228.4
2017-12-05,224.55
2017-12-06,216.8
2017-12-07,217.45
2017-12-08,225.75
2017-12-11,232.75
2017-12-12,229.0
2017-12-13,224.75
2017-12-14,227.25
2017-12-15,235.75
2017-12-18,240.9
2017-12-19,243.4
2017-12-20,239.75
2017-12-21,241.55
2017-12-22,238.1
2017-12-26,240.1
2017-12-27,234.1
2017-12-28,237.9
2017-12-29,242.5
