Date,WELENT
2017-01-02,60.65
2017-01-03,60.65
2017-01-04,60.8
2017-01-05,60.6
2017-01-06,60.25
2017-01-09,60.1
2017-01-10,61.05
2017-01-11,61.15
2017-01-12,61.15
2017-01-13,60.6
2017-01-16,60.65
2017-01-17,60.75
2017-01-18,61.1
2017-01-19,60.95
2017-01-20,60.7
2017-01-23,62.0
2017-01-24,62.0
2017-01-25,63.0
2017-01-27,62.4
2017-01-30,62.45
2017-01-31,62.2
2017-02-01,62.1
2017-02-02,62.2
2017-02-03,61.85
2017-02-06,62.65
2017-02-07,62.95
2017-02-08,63.5
2017-02-09,63.95
2017-02-10,63.95
2017-02-13,63.8
2017-02-14,63.8
2017-02-15,63.0
2017-02-16,67.65
2017-02-17,67.3
2017-02-20,70.35
2017-02-21,72.85
2017-02-22,70.05
2017-02-23,68.25
2017-02-27,66.25
2017-02-28,65.55
2017-03-01,65.1
2017-03-02,64.4
2017-03-03,65.15
2017-03-06,67.15
2017-03-07,67.55
2017-03-08,69.25
2017-03-09,68.2
2017-03-10,67.75
2017-03-14,67.9
2017-03-15,66.95
2017-03-16,67.05
2017-03-17,69.55
2017-03-20,71.2
2017-03-21,69.7
2017-03-22,69.85
2017-03-23,70.9
2017-03-24,75.85
2017-03-27,81.35
2017-03-28,86.0
2017-03-29,81.5
2017-03-30,82.3
2017-03-31,83.5
2017-04-03,87.45
2017-04-05,88.95
2017-04-06,87.15
2017-04-07,82.85
2017-04-10,87.95
2017-04-11,90.3
2017-04-12,88.1
2017-04-13,95.4
2017-04-17,98.6
2017-04-18,94.7
2017-04-19,95.95
2017-04-20,96.3
2017-04-21,97.45
2017-04-24,95.4
2017-04-25,93.95
2017-04-26,93.4
2017-04-27,94.25
2017-04-28,93.2
2017-05-02,90.7
2017-05-03,92.1
2017-05-04,91.55
2017-05-05,88.4
2017-05-08,90.7
2017-05-09,95.15
2017-05-10,95.1
2017-05-11,92.9
2017-05-12,92.1
2017-05-15,95.1
2017-05-16,93.35
2017-05-17,92.7
2017-05-18,89.15
2017-05-19,89.1
2017-05-22,88.2
2017-05-23,85.2
2017-05-24,84.9
2017-05-25,87.0
2017-05-26,90.0
2017-05-29,86.85
2017-05-30,91.25
2017-05-31,92.4
2017-06-01,91.8
2017-06-02,94.0
2017-06-05,94.3
2017-06-06,91.35
2017-06-07,92.3
2017-06-08,93.8
2017-06-09,95.85
2017-06-12,108.4
2017-06-13,105.95
2017-06-14,102.15
2017-06-15,103.15
2017-06-16,105.4
2017-06-19,105.8
2017-06-20,103.55
2017-06-21,106.3
2017-06-22,105.15
2017-06-23,101.5
2017-06-27,106.8
2017-06-28,114.75
2017-06-29,117.75
2017-06-30,110.35
2017-07-03,108.9
2017-07-04,114.75
2017-07-05,119.75
2017-07-06,123.8
2017-07-07,126.95
2017-07-10,128.25
2017-07-11,123.5
2017-07-12,126.6
2017-07-13,127.6
2017-07-14,124.8
2017-07-17,127.1
2017-07-18,127.25
2017-07-19,125.05
2017-07-20,128.1
2017-07-21,142.8
2017-07-24,140.5
2017-07-25,138.1
2017-07-26,140.5
2017-07-27,133.15
2017-07-28,136.0
2017-07-31,136.0
2017-08-01,133.2
2017-08-02,133.6
2017-08-03,128.2
2017-08-04,130.25
2017-08-07,128.65
2017-08-08,125.95
2017-08-09,121.2
2017-08-10,112.15
2017-08-11,116.25
2017-08-14,125.9
2017-08-16,133.1
2017-08-17,132.25
2017-08-18,129.55
2017-08-21,127.6
2017-08-22,125.65
2017-08-23,128.0
2017-08-24,131.75
2017-08-28,133.25
2017-08-29,129.85
2017-08-30,131.25
2017-08-31,135.85
2017-09-01,139.6
2017-09-04,135.35
2017-09-05,138.8
2017-09-06,140.9
2017-09-07,143.25
2017-09-08,140.6
2017-09-11,138.4
2017-09-12,141.75
2017-09-13,138.45
2017-09-14,141.65
2017-09-15,140.85
2017-09-18,140.45
2017-09-19,140.05
2017-09-20,147.45
2017-09-21,145.4
2017-09-22,143.8
2017-09-25,138.55
2017-09-26,145.8
2017-09-27,141.8
2017-09-28,141.5
2017-09-29,143.1
2017-10-03,141.5
2017-10-04,146.55
2017-10-05,146.5
2017-10-06,149.5
2017-10-09,149.65
2017-10-10,152.2
2017-10-11,155.15
2017-10-12,156.15
2017-10-13,156.45
2017-10-16,153.75
2017-10-17,153.55
2017-10-18,155.85
2017-10-19,156.85
2017-10-23,155.9
2017-10-24,158.5
2017-10-25,158.85
2017-10-26,163.25
2017-10-27,162.15
2017-10-30,165.6
2017-10-31,163.5
2017-11-01,159.15
2017-11-02,157.75
2017-11-03,155.85
2017-11-06,152.55
2017-11-07,149.15
2017-11-08,145.75
2017-11-09,145.0
2017-11-10,147.3
2017-11-13,147.4
2017-11-14,146.0
2017-11-15,146.4
2017-11-16,145.25
2017-11-17,149.4
2017-11-20,147.9
2017-11-21,151.0
2017-11-22,147.85
2017-11-23,148.25
2017-11-24,150.05
2017-11-27,148.8
2017-11-28,147.35
2017-11-29,146.95
2017-11-30,152.65
2017-12-01,151.8
2017-12-04,156.75
2017-12-05,160.0
2017-12-06,156.1
2017-12-07,156.85
2017-12-08,155.15
2017-12-11,149.75
2017-12-12,149.35
2017-12-13,146.85
2017-12-14,153.25
2017-12-15,163.05
2017-12-18,160.35
2017-12-19,166.6
2017-12-20,175.25
2017-12-21,179.7
2017-12-22,180.3
2017-12-26,175.85
2017-12-27,165.35
2017-12-28,177.15
2017-12-29,176.0
