Date,THEMISMED
2017-01-02,556.8
2017-01-03,554.9
2017-01-04,576.2
2017-01-05,592.35
2017-01-06,580.05
2017-01-09,576.05
2017-01-10,582.0
2017-01-11,603.0
2017-01-12,600.35
2017-01-13,594.95
2017-01-16,604.0
2017-01-17,595.0
2017-01-18,604.0
2017-01-19,604.05
2017-01-20,591.95
2017-01-23,600.0
2017-01-25,580.0
2017-01-27,573.75
2017-01-30,580.0
2017-01-31,579.0
2017-02-01,578.0
2017-02-02,580.25
2017-02-03,586.35
2017-02-06,594.0
2017-02-07,582.95
2017-02-08,583.0
2017-02-09,583.25
2017-02-10,598.2
2017-02-13,584.15
2017-02-14,573.75
2017-02-15,571.65
2017-02-16,583.0
2017-02-17,582.05
2017-02-20,582.7
2017-02-21,604.8
2017-02-22,604.6
2017-02-23,591.0
2017-02-27,602.65
2017-02-28,593.35
2017-03-01,598.25
2017-03-02,597.85
2017-03-03,596.05
2017-03-06,599.6
2017-03-07,600.0
2017-03-08,600.0
2017-03-09,598.6
2017-03-10,606.0
2017-03-14,608.65
2017-03-15,594.0
2017-03-16,595.0
2017-03-20,583.3
2017-03-21,595.7
2017-03-22,592.8
2017-03-23,614.75
2017-03-24,597.3
2017-03-27,592.0
2017-03-28,612.8
2017-03-29,603.9
2017-03-30,620.0
2017-03-31,612.65
2017-04-03,616.1
2017-04-05,606.85
2017-04-06,610.05
2017-04-07,600.8
2017-04-10,598.85
2017-04-11,600.2
2017-04-12,603.95
2017-04-13,601.35
2017-04-17,614.8
2017-04-18,612.0
2017-04-19,605.8
2017-04-20,616.4
2017-04-21,619.4
2017-04-24,609.9
2017-04-25,608.1
2017-04-26,605.25
2017-04-27,600.95
2017-04-28,601.05
2017-05-02,600.0
2017-05-03,600.0
2017-05-04,605.0
2017-05-05,577.45
2017-05-08,594.7
2017-05-09,597.25
2017-05-10,596.45
2017-05-11,578.45
2017-05-12,574.6
2017-05-15,580.0
2017-05-16,565.3
2017-05-17,571.05
2017-05-18,570.45
2017-05-19,566.6
2017-05-22,555.8
2017-05-23,543.05
2017-05-24,524.75
2017-05-25,530.0
2017-05-26,539.25
2017-05-29,540.0
2017-05-30,530.9
2017-05-31,548.65
2017-06-01,540.0
2017-06-02,543.3
2017-06-05,535.15
2017-06-06,541.0
2017-06-07,551.2
2017-06-08,543.95
2017-06-09,547.0
2017-06-12,532.2
2017-06-13,533.45
2017-06-14,531.1
2017-06-15,533.65
2017-06-16,515.35
2017-06-19,525.25
2017-06-20,524.95
2017-06-21,511.4
2017-06-22,521.4
2017-06-23,518.05
2017-06-27,509.3
2017-06-28,515.0
2017-06-29,515.0
2017-06-30,526.1
2017-07-03,525.0
2017-07-04,526.65
2017-07-05,533.0
2017-07-06,539.05
2017-07-07,528.7
2017-07-10,540.1
2017-07-11,532.0
2017-07-12,530.0
2017-07-13,530.45
2017-07-14,528.3
2017-07-17,520.1
2017-07-18,515.0
2017-07-19,517.25
2017-07-20,532.9
2017-07-21,530.0
2017-07-24,525.65
2017-07-25,525.95
2017-07-26,530.0
2017-07-27,534.9
2017-07-28,520.45
2017-07-31,518.9
2017-08-01,515.55
2017-08-02,513.9
2017-08-03,512.15
2017-08-04,507.05
2017-08-07,513.75
2017-08-08,485.75
2017-08-09,498.25
2017-08-10,482.6
2017-08-11,484.45
2017-08-14,457.8
2017-08-16,454.05
2017-08-17,456.55
2017-08-18,450.0
2017-08-21,446.05
2017-08-22,434.3
2017-08-23,464.9
2017-08-24,455.95
2017-08-28,455.0
2017-08-29,434.85
2017-08-30,434.5
2017-08-31,444.0
2017-09-01,442.75
2017-09-04,433.15
2017-09-05,449.6
2017-09-06,440.7
2017-09-07,448.25
2017-09-08,443.8
2017-09-11,448.0
2017-09-12,430.15
2017-09-13,447.8
2017-09-14,441.4
2017-09-15,440.4
2017-09-18,443.0
2017-09-19,443.45
2017-09-20,438.0
2017-09-21,452.4
2017-09-22,456.25
2017-09-25,452.3
2017-09-26,456.0
2017-09-27,443.75
2017-09-28,459.85
2017-09-29,450.0
2017-10-03,455.7
2017-10-04,450.6
2017-10-05,444.5
2017-10-06,459.0
2017-10-09,455.55
2017-10-10,450.3
2017-10-11,461.1
2017-10-12,501.75
2017-10-13,499.85
2017-10-16,499.5
2017-10-17,496.0
2017-10-18,499.0
2017-10-19,512.55
2017-10-23,501.0
2017-10-24,493.6
2017-10-25,493.85
2017-10-26,495.0
2017-10-27,484.85
2017-10-30,485.0
2017-10-31,499.3
2017-11-01,495.0
2017-11-02,495.0
2017-11-03,491.9
2017-11-06,500.0
2017-11-07,480.4
2017-11-08,480.75
2017-11-09,475.2
2017-11-10,479.95
2017-11-13,476.8
2017-11-14,472.0
2017-11-15,471.75
2017-11-16,469.75
2017-11-17,469.75
2017-11-20,475.4
2017-11-21,492.45
2017-11-22,517.6
2017-11-23,534.95
2017-11-24,531.1
2017-11-27,540.0
2017-11-28,530.0
2017-11-29,529.6
2017-11-30,541.75
2017-12-01,552.7
2017-12-04,574.5
2017-12-05,541.15
2017-12-06,526.1
2017-12-07,533.25
2017-12-08,542.0
2017-12-11,601.0
2017-12-12,608.3
2017-12-13,605.3
2017-12-14,590.35
2017-12-15,587.3
2017-12-18,584.55
2017-12-19,575.6
2017-12-20,593.2
2017-12-21,583.45
2017-12-22,584.85
2017-12-26,601.0
2017-12-27,593.2
2017-12-28,590.2
2017-12-29,586.75
