Date,TCIEXP
2017-01-02,295.35
2017-01-03,296.05
2017-01-04,292.45
2017-01-05,293.0
2017-01-06,293.1
2017-01-09,290.7
2017-01-10,290.45
2017-01-11,287.7
2017-01-12,286.7
2017-01-13,291.75
2017-01-16,302.15
2017-01-17,304.25
2017-01-18,304.7
2017-01-19,299.4
2017-01-20,295.3
2017-01-23,296.0
2017-01-24,298.65
2017-01-25,300.95
2017-01-27,298.9
2017-01-30,294.8
2017-01-31,304.6
2017-02-01,299.95
2017-02-02,298.9
2017-02-03,301.45
2017-02-06,310.95
2017-02-07,312.75
2017-02-08,311.65
2017-02-09,307.7
2017-02-10,307.55
2017-02-13,302.55
2017-02-14,300.35
2017-02-15,294.65
2017-02-16,296.75
2017-02-17,295.9
2017-02-20,295.05
2017-02-21,294.95
2017-02-22,292.0
2017-02-23,292.5
2017-02-27,291.85
2017-02-28,296.65
2017-03-01,307.55
2017-03-02,301.35
2017-03-03,305.8
2017-03-06,305.45
2017-03-07,299.3
2017-03-08,304.4
2017-03-09,301.3
2017-03-10,302.4
2017-03-14,310.75
2017-03-15,372.9
2017-03-16,405.4
2017-03-17,388.35
2017-03-20,413.2
2017-03-21,405.25
2017-03-22,407.15
2017-03-23,409.6
2017-03-24,406.05
2017-03-27,398.85
2017-03-28,401.4
2017-03-29,396.65
2017-03-30,398.1
2017-03-31,397.9
2017-04-03,402.9
2017-04-05,402.75
2017-04-06,397.85
2017-04-07,397.3
2017-04-10,395.2
2017-04-11,394.45
2017-04-12,394.65
2017-04-13,396.55
2017-04-17,391.5
2017-04-18,420.35
2017-04-19,437.1
2017-04-20,426.8
2017-04-21,424.2
2017-04-24,460.7
2017-04-25,489.0
2017-04-26,471.5
2017-04-27,480.9
2017-04-28,463.5
2017-05-02,465.15
2017-05-03,461.85
2017-05-04,462.0
2017-05-05,450.95
2017-05-08,434.85
2017-05-09,451.2
2017-05-10,452.65
2017-05-11,443.5
2017-05-12,445.4
2017-05-15,445.05
2017-05-16,448.35
2017-05-17,445.3
2017-05-18,434.15
2017-05-19,440.05
2017-05-22,440.85
2017-05-23,434.15
2017-05-24,431.35
2017-05-25,447.05
2017-05-26,460.15
2017-05-29,455.0
2017-05-30,460.0
2017-05-31,469.75
2017-06-01,476.6
2017-06-02,477.0
2017-06-05,481.25
2017-06-06,463.35
2017-06-07,468.2
2017-06-08,456.15
2017-06-09,456.8
2017-06-12,453.9
2017-06-13,454.55
2017-06-14,460.95
2017-06-15,484.2
2017-06-16,481.4
2017-06-19,484.15
2017-06-20,483.05
2017-06-21,486.55
2017-06-22,474.3
2017-06-23,458.4
2017-06-27,444.9
2017-06-28,474.25
2017-06-29,472.25
2017-06-30,492.85
2017-07-03,495.5
2017-07-04,563.0
2017-07-05,577.05
2017-07-06,561.3
2017-07-07,565.25
2017-07-10,563.35
2017-07-11,550.8
2017-07-12,583.55
2017-07-13,583.65
2017-07-14,563.4
2017-07-17,548.85
2017-07-18,543.5
2017-07-19,544.65
2017-07-20,550.1
2017-07-21,555.5
2017-07-24,545.5
2017-07-25,551.25
2017-07-26,548.25
2017-07-27,534.8
2017-07-28,545.2
2017-07-31,550.0
2017-08-01,550.05
2017-08-02,565.85
2017-08-03,577.25
2017-08-04,568.6
2017-08-07,573.8
2017-08-08,574.75
2017-08-09,535.55
2017-08-10,521.75
2017-08-11,509.95
2017-08-14,531.3
2017-08-16,526.45
2017-08-17,528.95
2017-08-18,515.35
2017-08-21,500.95
2017-08-22,504.05
2017-08-23,511.55
2017-08-24,502.05
2017-08-28,517.9
2017-08-29,520.85
2017-08-30,524.45
2017-08-31,530.0
2017-09-01,545.3
2017-09-04,523.25
2017-09-05,546.3
2017-09-06,541.95
2017-09-07,532.45
2017-09-08,529.9
2017-09-11,526.65
2017-09-12,532.1
2017-09-13,523.85
2017-09-14,526.8
2017-09-15,537.85
2017-09-18,535.7
2017-09-19,528.65
2017-09-20,522.4
2017-09-21,520.2
2017-09-22,500.45
2017-09-25,492.9
2017-09-26,503.0
2017-09-27,489.9
2017-09-28,481.35
2017-09-29,510.5
2017-10-03,501.45
2017-10-04,496.65
2017-10-05,493.55
2017-10-06,496.45
2017-10-09,509.6
2017-10-10,507.35
2017-10-11,498.55
2017-10-12,511.3
2017-10-13,562.4
2017-10-16,537.0
2017-10-17,575.45
2017-10-18,564.9
2017-10-19,583.75
2017-10-23,564.9
2017-10-24,568.65
2017-10-25,563.7
2017-10-26,564.9
2017-10-27,562.05
2017-10-30,561.45
2017-10-31,564.05
2017-11-01,566.3
2017-11-02,555.65
2017-11-03,553.5
2017-11-06,569.3
2017-11-07,557.0
2017-11-08,557.2
2017-11-09,553.35
2017-11-10,547.75
2017-11-13,536.5
2017-11-14,540.3
2017-11-15,535.3
2017-11-16,529.75
2017-11-17,568.0
2017-11-20,584.6
2017-11-21,585.4
2017-11-22,588.1
2017-11-23,583.8
2017-11-24,581.95
2017-11-27,577.75
2017-11-28,572.05
2017-11-29,570.65
2017-11-30,569.15
2017-12-01,552.65
2017-12-04,545.8
2017-12-05,549.35
2017-12-06,538.35
2017-12-07,560.35
2017-12-08,562.45
2017-12-11,560.35
2017-12-12,551.6
2017-12-13,545.25
2017-12-14,545.9
2017-12-15,552.9
2017-12-18,560.15
2017-12-19,567.05
2017-12-20,575.15
2017-12-21,570.65
2017-12-22,558.25
2017-12-26,564.45
2017-12-27,561.55
2017-12-28,561.3
2017-12-29,566.15
