Date,MALUPAPER
2017-01-02,25.9
2017-01-03,26.15
2017-01-04,26.95
2017-01-05,26.85
2017-01-06,26.85
2017-01-09,27.8
2017-01-10,28.65
2017-01-11,30.05
2017-01-12,28.95
2017-01-13,28.65
2017-01-16,28.4
2017-01-17,27.85
2017-01-18,29.2
2017-01-19,30.65
2017-01-20,29.15
2017-01-23,29.5
2017-01-24,29.35
2017-01-25,29.0
2017-01-27,28.25
2017-01-30,28.0
2017-01-31,27.75
2017-02-01,27.7
2017-02-02,27.8
2017-02-03,28.2
2017-02-06,29.6
2017-02-07,28.55
2017-02-08,28.95
2017-02-09,29.6
2017-02-10,29.2
2017-02-13,27.5
2017-02-14,27.2
2017-02-15,26.2
2017-02-16,26.55
2017-02-17,26.8
2017-02-20,27.0
2017-02-21,26.8
2017-02-22,26.6
2017-02-23,26.25
2017-02-27,25.95
2017-02-28,26.0
2017-03-01,26.25
2017-03-02,25.35
2017-03-03,25.75
2017-03-06,25.85
2017-03-07,26.05
2017-03-08,25.75
2017-03-09,25.65
2017-03-10,25.65
2017-03-14,24.85
2017-03-15,25.15
2017-03-16,26.05
2017-03-17,25.85
2017-03-20,25.8
2017-03-21,25.7
2017-03-22,25.55
2017-03-23,25.95
2017-03-24,28.5
2017-03-27,31.35
2017-03-28,34.45
2017-03-29,32.75
2017-03-30,31.2
2017-03-31,32.55
2017-04-03,31.15
2017-04-05,31.05
2017-04-06,30.45
2017-04-07,30.15
2017-04-10,31.65
2017-04-11,33.2
2017-04-12,34.85
2017-04-13,34.65
2017-04-17,34.25
2017-04-18,33.1
2017-04-19,34.75
2017-04-20,34.6
2017-04-21,34.1
2017-04-24,33.85
2017-04-25,33.8
2017-04-26,32.95
2017-04-27,34.25
2017-04-28,33.85
2017-05-02,33.6
2017-05-03,33.45
2017-05-04,33.0
2017-05-05,33.0
2017-05-08,32.6
2017-05-09,32.3
2017-05-10,33.9
2017-05-11,33.15
2017-05-12,32.8
2017-05-15,32.25
2017-05-16,31.75
2017-05-17,32.6
2017-05-18,32.0
2017-05-19,32.05
2017-05-22,31.4
2017-05-23,29.85
2017-05-24,28.4
2017-05-25,27.25
2017-05-26,26.45
2017-05-29,25.7
2017-05-30,25.5
2017-05-31,25.55
2017-06-01,26.8
2017-06-02,27.2
2017-06-05,26.6
2017-06-06,26.25
2017-06-07,26.35
2017-06-08,26.15
2017-06-09,26.0
2017-06-12,26.7
2017-06-13,25.95
2017-06-14,25.7
2017-06-15,25.6
2017-06-16,25.2
2017-06-19,24.8
2017-06-20,24.0
2017-06-21,23.7
2017-06-22,23.85
2017-06-23,23.95
2017-06-27,22.9
2017-06-28,22.85
2017-06-29,23.4
2017-06-30,23.9
2017-07-03,25.05
2017-07-04,26.3
2017-07-05,26.25
2017-07-06,26.0
2017-07-07,25.55
2017-07-10,25.65
2017-07-11,25.9
2017-07-12,25.6
2017-07-13,25.2
2017-07-14,24.8
2017-07-17,25.4
2017-07-18,24.7
2017-07-19,24.7
2017-07-20,24.75
2017-07-21,24.6
2017-07-24,24.35
2017-07-25,24.45
2017-07-26,24.45
2017-07-27,24.3
2017-07-28,24.65
2017-07-31,24.3
2017-08-01,24.25
2017-08-02,24.1
2017-08-03,24.25
2017-08-04,24.3
2017-08-07,24.45
2017-08-08,23.9
2017-08-09,23.6
2017-08-10,22.4
2017-08-11,22.65
2017-08-14,22.85
2017-08-16,23.15
2017-08-17,23.15
2017-08-18,22.75
2017-08-21,23.4
2017-08-22,22.6
2017-08-23,22.0
2017-08-24,22.45
2017-08-28,22.0
2017-08-29,21.6
2017-08-30,22.5
2017-08-31,22.15
2017-09-01,22.4
2017-09-04,22.75
2017-09-05,22.55
2017-09-06,22.6
2017-09-07,22.9
2017-09-08,23.55
2017-09-11,24.95
2017-09-12,24.6
2017-09-13,24.25
2017-09-14,23.95
2017-09-15,22.05
2017-09-18,22.75
2017-09-19,22.8
2017-09-20,23.05
2017-09-21,22.75
2017-09-22,22.0
2017-09-25,21.05
2017-09-26,21.9
2017-09-27,20.8
2017-09-28,21.2
2017-09-29,21.65
2017-10-03,21.5
2017-10-04,21.3
2017-10-05,23.4
2017-10-06,25.7
2017-10-09,28.55
2017-10-10,32.3
2017-10-11,27.9
2017-10-12,32.2
2017-10-13,31.55
2017-10-16,31.55
2017-10-17,30.55
2017-10-18,31.3
2017-10-19,31.45
2017-10-23,31.2
2017-10-24,30.65
2017-10-25,29.4
2017-10-26,29.45
2017-10-27,29.5
2017-10-30,30.15
2017-10-31,29.45
2017-11-01,30.05
2017-11-02,29.6
2017-11-03,31.4
2017-11-06,31.9
2017-11-07,31.6
2017-11-08,32.05
2017-11-09,33.85
2017-11-10,32.65
2017-11-13,32.25
2017-11-14,31.6
2017-11-15,30.15
2017-11-16,30.4
2017-11-17,32.15
2017-11-20,32.85
2017-11-21,32.5
2017-11-22,32.85
2017-11-23,32.9
2017-11-24,32.7
2017-11-27,32.35
2017-11-28,38.8
2017-11-29,36.7
2017-11-30,35.55
2017-12-01,37.0
2017-12-04,37.2
2017-12-05,36.05
2017-12-06,41.15
2017-12-07,40.1
2017-12-08,44.5
2017-12-11,49.4
2017-12-12,49.95
2017-12-13,48.85
2017-12-14,44.05
2017-12-15,44.45
2017-12-18,42.9
2017-12-19,44.9
2017-12-20,44.5
2017-12-21,45.55
2017-12-22,45.05
2017-12-26,44.2
2017-12-27,44.55
2017-12-28,45.0
2017-12-29,45.1
