Date,NBVENTURES
2017-01-02,111.4
2017-01-03,113.5
2017-01-04,113.45
2017-01-05,113.6
2017-01-06,117.8
2017-01-09,117.5
2017-01-10,120.3
2017-01-11,121.9
2017-01-12,119.4
2017-01-13,118.25
2017-01-16,119.25
2017-01-17,117.85
2017-01-18,121.4
2017-01-19,122.4
2017-01-20,117.65
2017-01-23,120.25
2017-01-24,120.6
2017-01-25,120.9
2017-01-27,118.55
2017-01-30,117.85
2017-01-31,113.4
2017-02-01,113.8
2017-02-02,114.5
2017-02-03,115.4
2017-02-06,113.35
2017-02-07,112.15
2017-02-08,112.75
2017-02-09,111.4
2017-02-10,114.55
2017-02-13,112.4
2017-02-14,115.6
2017-02-15,112.05
2017-02-16,112.3
2017-02-17,111.5
2017-02-20,113.35
2017-02-21,113.75
2017-02-22,112.45
2017-02-23,112.25
2017-02-27,112.75
2017-02-28,112.6
2017-03-01,118.6
2017-03-02,115.4
2017-03-03,118.3
2017-03-06,116.65
2017-03-07,115.35
2017-03-08,117.05
2017-03-09,113.85
2017-03-10,113.9
2017-03-14,113.65
2017-03-15,114.4
2017-03-16,120.4
2017-03-17,117.2
2017-03-20,117.0
2017-03-21,115.2
2017-03-22,114.05
2017-03-23,115.3
2017-03-24,118.95
2017-03-27,118.4
2017-03-28,127.95
2017-03-29,123.6
2017-03-30,125.1
2017-03-31,125.25
2017-04-03,130.55
2017-04-05,136.6
2017-04-06,132.45
2017-04-07,128.75
2017-04-10,129.75
2017-04-11,132.6
2017-04-12,133.35
2017-04-13,134.1
2017-04-17,135.1
2017-04-18,138.55
2017-04-19,142.4
2017-04-20,145.4
2017-04-21,146.5
2017-04-24,147.2
2017-04-25,149.0
2017-04-26,152.5
2017-04-27,152.1
2017-04-28,150.25
2017-05-02,149.05
2017-05-03,146.85
2017-05-04,146.1
2017-05-05,145.4
2017-05-08,149.0
2017-05-09,146.55
2017-05-10,147.9
2017-05-11,144.85
2017-05-12,146.15
2017-05-15,144.15
2017-05-16,142.25
2017-05-17,141.05
2017-05-18,140.45
2017-05-19,138.75
2017-05-22,141.0
2017-05-23,138.7
2017-05-24,135.15
2017-05-25,136.65
2017-05-26,137.85
2017-05-29,143.9
2017-05-30,143.45
2017-05-31,145.7
2017-06-01,142.3
2017-06-02,142.1
2017-06-05,142.25
2017-06-06,141.1
2017-06-07,139.85
2017-06-08,140.85
2017-06-09,139.55
2017-06-12,138.7
2017-06-13,139.05
2017-06-14,143.15
2017-06-15,141.7
2017-06-16,140.75
2017-06-19,138.75
2017-06-20,138.7
2017-06-21,136.6
2017-06-22,133.85
2017-06-23,131.75
2017-06-27,127.5
2017-06-28,125.8
2017-06-29,131.35
2017-06-30,133.75
2017-07-03,134.65
2017-07-04,131.85
2017-07-05,130.3
2017-07-06,129.1
2017-07-07,127.35
2017-07-10,127.65
2017-07-11,127.35
2017-07-12,127.3
2017-07-13,134.3
2017-07-14,136.8
2017-07-17,135.2
2017-07-18,134.2
2017-07-19,132.55
2017-07-20,132.85
2017-07-21,137.85
2017-07-24,136.9
2017-07-25,138.6
2017-07-26,139.5
2017-07-27,134.85
2017-07-28,141.4
2017-07-31,137.5
2017-08-01,135.0
2017-08-02,133.3
2017-08-03,132.2
2017-08-04,132.0
2017-08-07,133.65
2017-08-08,129.2
2017-08-09,125.35
2017-08-10,121.0
2017-08-11,125.55
2017-08-14,128.25
2017-08-16,127.3
2017-08-17,129.25
2017-08-18,128.05
2017-08-21,124.2
2017-08-22,120.35
2017-08-23,122.8
2017-08-24,121.7
2017-08-28,121.6
2017-08-29,120.85
2017-08-30,121.2
2017-08-31,121.55
2017-09-01,121.95
2017-09-04,120.8
2017-09-05,121.7
2017-09-06,121.25
2017-09-07,121.6
2017-09-08,121.0
2017-09-11,130.65
2017-09-12,126.65
2017-09-13,131.1
2017-09-14,134.2
2017-09-15,136.95
2017-09-18,132.6
2017-09-19,131.5
2017-09-20,130.85
2017-09-21,127.55
2017-09-22,122.1
2017-09-25,120.85
2017-09-26,120.7
2017-09-27,118.7
2017-09-28,124.45
2017-09-29,124.05
2017-10-03,125.0
2017-10-04,125.3
2017-10-05,125.95
2017-10-06,126.85
2017-10-09,129.05
2017-10-10,130.5
2017-10-11,128.6
2017-10-12,127.4
2017-10-13,125.05
2017-10-16,125.6
2017-10-17,132.0
2017-10-18,130.8
2017-10-19,131.7
2017-10-23,131.6
2017-10-24,138.55
2017-10-25,134.5
2017-10-26,134.6
2017-10-27,136.65
2017-10-30,140.3
2017-10-31,141.1
2017-11-01,142.0
2017-11-02,140.8
2017-11-03,138.05
2017-11-06,137.1
2017-11-07,131.8
2017-11-08,126.95
2017-11-09,130.1
2017-11-10,130.1
2017-11-13,129.25
2017-11-14,131.95
2017-11-15,128.8
2017-11-16,132.75
2017-11-17,131.75
2017-11-20,132.5
2017-11-21,132.15
2017-11-22,133.7
2017-11-23,135.4
2017-11-24,141.25
2017-11-27,143.3
2017-11-28,146.15
2017-11-29,141.85
2017-11-30,139.0
2017-12-01,137.9
2017-12-04,136.2
2017-12-05,134.3
2017-12-06,132.4
2017-12-07,134.2
2017-12-08,138.8
2017-12-11,140.2
2017-12-12,138.55
2017-12-13,135.55
2017-12-14,134.8
2017-12-15,136.95
2017-12-18,137.55
2017-12-19,138.3
2017-12-20,147.75
2017-12-21,149.85
2017-12-22,149.35
2017-12-26,149.05
2017-12-27,147.3
2017-12-28,148.9
2017-12-29,146.55
