Date,MAWANASUG
2017-01-02,53.1
2017-01-03,52.2
2017-01-04,51.2
2017-01-05,50.5
2017-01-06,51.45
2017-01-09,53.9
2017-01-10,57.7
2017-01-11,56.0
2017-01-12,54.8
2017-01-13,57.4
2017-01-16,58.35
2017-01-17,59.45
2017-01-18,58.1
2017-01-19,57.6
2017-01-20,55.55
2017-01-23,58.8
2017-01-24,60.55
2017-01-25,59.9
2017-01-27,59.0
2017-01-30,58.2
2017-01-31,56.85
2017-02-01,57.35
2017-02-02,61.7
2017-02-03,64.0
2017-02-06,66.55
2017-02-07,67.35
2017-02-08,65.75
2017-02-09,63.9
2017-02-10,64.2
2017-02-13,64.8
2017-02-14,70.05
2017-02-15,75.4
2017-02-16,78.4
2017-02-17,78.7
2017-02-20,77.8
2017-02-21,74.95
2017-02-22,77.1
2017-02-23,77.95
2017-02-27,75.75
2017-02-28,76.7
2017-03-01,78.1
2017-03-02,76.9
2017-03-03,80.15
2017-03-06,84.7
2017-03-07,85.3
2017-03-08,83.1
2017-03-09,86.9
2017-03-10,89.05
2017-03-14,87.1
2017-03-15,87.9
2017-03-16,86.65
2017-03-17,89.05
2017-03-20,89.5
2017-03-21,87.3
2017-03-22,89.7
2017-03-23,88.85
2017-03-24,86.1
2017-03-27,84.0
2017-03-28,84.05
2017-03-29,80.6
2017-03-30,85.0
2017-03-31,82.95
2017-04-03,85.2
2017-04-05,84.5
2017-04-06,84.8
2017-04-07,83.85
2017-04-10,84.85
2017-04-11,82.7
2017-04-12,83.5
2017-04-13,81.85
2017-04-17,82.05
2017-04-18,79.5
2017-04-19,84.7
2017-04-20,86.6
2017-04-21,89.65
2017-04-24,90.45
2017-04-25,91.5
2017-04-26,88.3
2017-04-27,92.85
2017-04-28,89.6
2017-05-02,90.9
2017-05-03,88.85
2017-05-04,88.05
2017-05-05,86.95
2017-05-08,85.6
2017-05-09,89.75
2017-05-10,91.85
2017-05-11,90.15
2017-05-12,90.05
2017-05-15,92.55
2017-05-16,92.45
2017-05-17,93.45
2017-05-18,91.3
2017-05-19,90.4
2017-05-22,86.55
2017-05-23,86.0
2017-05-24,82.15
2017-05-25,83.15
2017-05-26,85.6
2017-05-29,80.2
2017-05-30,76.15
2017-05-31,75.75
2017-06-01,78.6
2017-06-02,79.15
2017-06-05,77.6
2017-06-06,75.2
2017-06-07,76.7
2017-06-08,77.15
2017-06-09,77.2
2017-06-12,81.85
2017-06-13,81.2
2017-06-14,79.7
2017-06-15,78.6
2017-06-16,77.4
2017-06-19,73.75
2017-06-20,75.95
2017-06-21,81.15
2017-06-22,78.55
2017-06-23,76.25
2017-06-27,73.7
2017-06-28,76.2
2017-06-29,77.3
2017-06-30,77.35
2017-07-03,78.35
2017-07-04,77.55
2017-07-05,78.35
2017-07-06,78.3
2017-07-07,80.65
2017-07-10,80.8
2017-07-11,80.9
2017-07-12,78.1
2017-07-13,76.75
2017-07-14,75.45
2017-07-17,73.15
2017-07-18,73.75
2017-07-19,74.7
2017-07-20,76.25
2017-07-21,78.15
2017-07-24,76.45
2017-07-25,78.1
2017-07-26,77.65
2017-07-27,74.55
2017-07-28,73.8
2017-07-31,76.05
2017-08-01,75.6
2017-08-02,78.25
2017-08-03,78.6
2017-08-04,79.95
2017-08-07,95.9
2017-08-08,96.1
2017-08-09,97.4
2017-08-10,88.55
2017-08-11,89.9
2017-08-14,90.2
2017-08-16,90.15
2017-08-17,89.9
2017-08-18,88.95
2017-08-21,88.7
2017-08-22,85.45
2017-08-23,85.6
2017-08-24,90.4
2017-08-28,98.05
2017-08-29,100.25
2017-08-30,115.4
2017-08-31,128.35
2017-09-01,131.6
2017-09-04,129.35
2017-09-05,132.75
2017-09-06,130.35
2017-09-07,134.05
2017-09-08,139.55
2017-09-11,136.6
2017-09-12,138.2
2017-09-13,132.8
2017-09-14,130.15
2017-09-15,120.85
2017-09-18,125.65
2017-09-19,130.0
2017-09-20,132.8
2017-09-21,127.95
2017-09-22,122.05
2017-09-25,114.4
2017-09-26,116.6
2017-09-27,114.75
2017-09-28,117.95
2017-09-29,117.85
2017-10-03,118.0
2017-10-04,118.85
2017-10-05,116.5
2017-10-06,122.35
2017-10-09,126.4
2017-10-10,133.25
2017-10-11,128.85
2017-10-12,132.2
2017-10-13,127.25
2017-10-16,125.0
2017-10-17,121.95
2017-10-18,120.45
2017-10-19,119.05
2017-10-23,122.0
2017-10-24,118.95
2017-10-25,117.85
2017-10-26,120.3
2017-10-27,118.25
2017-10-30,120.2
2017-10-31,123.65
2017-11-01,124.35
2017-11-02,126.7
2017-11-03,123.3
2017-11-06,117.6
2017-11-07,113.25
2017-11-08,107.9
2017-11-09,109.85
2017-11-10,110.0
2017-11-13,102.95
2017-11-14,100.4
2017-11-15,93.15
2017-11-16,93.1
2017-11-17,100.1
2017-11-20,100.45
2017-11-21,95.9
2017-11-22,93.6
2017-11-23,97.0
2017-11-24,98.75
2017-11-27,100.6
2017-11-28,98.2
2017-11-29,98.6
2017-11-30,96.1
2017-12-01,93.0
2017-12-04,95.45
2017-12-05,100.8
2017-12-06,101.5
2017-12-07,100.5
2017-12-08,99.9
2017-12-11,96.0
2017-12-12,87.95
2017-12-13,86.0
2017-12-14,83.6
2017-12-15,80.15
2017-12-18,79.65
2017-12-19,90.15
2017-12-20,88.25
2017-12-21,87.45
2017-12-22,87.4
2017-12-26,87.45
2017-12-27,84.65
2017-12-28,82.05
2017-12-29,81.25
