Date,SFL
2017-01-02,949.8
2017-01-03,941.25
2017-01-04,935.85
2017-01-05,928.8
2017-01-06,966.0
2017-01-09,950.7
2017-01-10,966.8
2017-01-11,977.05
2017-01-12,992.35
2017-01-13,990.4
2017-01-16,968.4
2017-01-17,977.85
2017-01-18,964.8
2017-01-19,969.95
2017-01-20,953.65
2017-01-23,955.65
2017-01-24,952.4
2017-01-25,942.85
2017-01-27,957.45
2017-01-30,962.2
2017-01-31,973.7
2017-02-01,960.95
2017-02-02,979.4
2017-02-03,991.8
2017-02-06,1001.6
2017-02-07,993.15
2017-02-08,995.9
2017-02-09,992.1
2017-02-10,1007.75
2017-02-13,1049.65
2017-02-14,1064.0
2017-02-15,1049.95
2017-02-16,1059.35
2017-02-17,1053.7
2017-02-20,1046.65
2017-02-21,1045.25
2017-02-22,1054.0
2017-02-23,1074.25
2017-02-27,1070.1
2017-02-28,1069.1
2017-03-01,1066.85
2017-03-02,1067.35
2017-03-03,1056.5
2017-03-06,1063.2
2017-03-07,1060.0
2017-03-08,1083.25
2017-03-09,1098.5
2017-03-10,1081.3
2017-03-14,1089.65
2017-03-15,1089.8
2017-03-16,1095.0
2017-03-17,1073.2
2017-03-20,1083.35
2017-03-21,1085.25
2017-03-22,1089.75
2017-03-23,1085.65
2017-03-24,1114.15
2017-03-27,1103.4
2017-03-28,1089.2
2017-03-29,1073.3
2017-03-30,1089.2
2017-03-31,1125.2
2017-04-03,1114.8
2017-04-05,1116.05
2017-04-06,1105.5
2017-04-07,1093.95
2017-04-10,1079.25
2017-04-11,1138.65
2017-04-12,1115.45
2017-04-13,1147.4
2017-04-17,1147.8
2017-04-18,1200.25
2017-04-19,1217.05
2017-04-20,1241.8
2017-04-21,1230.55
2017-04-24,1266.1
2017-04-25,1270.25
2017-04-26,1237.4
2017-04-27,1239.7
2017-04-28,1284.35
2017-05-02,1300.2
2017-05-03,1317.6
2017-05-04,1319.85
2017-05-05,1379.15
2017-05-08,1414.95
2017-05-09,1350.7
2017-05-10,1364.5
2017-05-11,1348.85
2017-05-12,1330.65
2017-05-15,1348.25
2017-05-16,1347.25
2017-05-17,1330.55
2017-05-18,1348.45
2017-05-19,1336.4
2017-05-22,1338.4
2017-05-23,1298.95
2017-05-24,1285.5
2017-05-25,1295.65
2017-05-26,1323.5
2017-05-29,1290.9
2017-05-30,1285.75
2017-05-31,1293.0
2017-06-01,1322.0
2017-06-02,1341.35
2017-06-05,1354.5
2017-06-06,1362.55
2017-06-07,1372.05
2017-06-08,1379.9
2017-06-09,1345.4
2017-06-12,1339.65
2017-06-13,1348.1
2017-06-14,1343.2
2017-06-15,1352.45
2017-06-16,1331.85
2017-06-19,1330.45
2017-06-20,1319.9
2017-06-21,1302.75
2017-06-22,1330.55
2017-06-23,1318.85
2017-06-27,1291.95
2017-06-28,1298.6
2017-06-29,1309.7
2017-06-30,1300.0
2017-07-03,1296.1
2017-07-04,1284.8
2017-07-05,1281.35
2017-07-06,1259.2
2017-07-07,1253.65
2017-07-10,1260.45
2017-07-11,1200.4
2017-07-12,1271.15
2017-07-13,1292.8
2017-07-14,1278.05
2017-07-17,1277.75
2017-07-18,1262.2
2017-07-19,1244.2
2017-07-20,1240.4
2017-07-21,1242.05
2017-07-24,1266.9
2017-07-25,1273.75
2017-07-26,1289.05
2017-07-27,1278.75
2017-07-28,1283.0
2017-07-31,1339.45
2017-08-01,1305.65
2017-08-02,1314.6
2017-08-03,1279.25
2017-08-04,1261.45
2017-08-07,1273.2
2017-08-08,1257.35
2017-08-09,1255.05
2017-08-10,1255.65
2017-08-11,1267.6
2017-08-14,1249.95
2017-08-16,1263.5
2017-08-17,1260.05
2017-08-18,1297.5
2017-08-21,1290.1
2017-08-22,1294.05
2017-08-23,1249.95
2017-08-24,1280.35
2017-08-28,1296.65
2017-08-29,1293.55
2017-08-30,1284.85
2017-08-31,1337.4
2017-09-01,1316.95
2017-09-04,1334.95
2017-09-05,1329.75
2017-09-06,1341.35
2017-09-07,1389.7
2017-09-08,1379.75
2017-09-11,1371.6
2017-09-12,1373.8
2017-09-13,1370.65
2017-09-14,1392.5
2017-09-15,1376.5
2017-09-18,1394.9
2017-09-19,1536.7
2017-09-20,1468.9
2017-09-21,1451.85
2017-09-22,1400.85
2017-09-25,1431.1
2017-09-26,1431.65
2017-09-27,1411.8
2017-09-28,1467.0
2017-09-29,1498.3
2017-10-03,1467.1
2017-10-04,1475.3
2017-10-05,1485.65
2017-10-06,1471.55
2017-10-09,1469.1
2017-10-10,1480.95
2017-10-11,1449.95
2017-10-12,1468.75
2017-10-13,1441.0
2017-10-16,1409.85
2017-10-17,1443.65
2017-10-18,1419.05
2017-10-19,1394.6
2017-10-23,1402.8
2017-10-24,1421.2
2017-10-25,1393.0
2017-10-26,1401.15
2017-10-27,1369.45
2017-10-30,1355.55
2017-10-31,1389.3
2017-11-01,1403.45
2017-11-02,1403.7
2017-11-03,1430.05
2017-11-06,1416.65
2017-11-07,1432.05
2017-11-08,1446.4
2017-11-09,1493.25
2017-11-10,1537.0
2017-11-13,1520.55
2017-11-14,1508.15
2017-11-15,1510.05
2017-11-16,1505.25
2017-11-17,1557.15
2017-11-20,1707.35
2017-11-21,1703.25
2017-11-22,1680.0
2017-11-23,1646.25
2017-11-24,1731.85
2017-11-27,1775.55
2017-11-28,1759.75
2017-11-29,1794.45
2017-11-30,1786.4
2017-12-01,1756.5
2017-12-04,1714.85
2017-12-05,1768.65
2017-12-06,1764.4
2017-12-07,1749.55
2017-12-08,1753.65
2017-12-11,1752.3
2017-12-12,1744.75
2017-12-13,1724.7
2017-12-14,1720.1
2017-12-15,1704.0
2017-12-18,1696.25
2017-12-19,1699.65
2017-12-20,1691.65
2017-12-21,1682.5
2017-12-22,1670.45
2017-12-26,1735.55
2017-12-27,1711.3
2017-12-28,1691.7
2017-12-29,1737.3
