Date,KESORAMIND
2017-01-02,130.8
2017-01-03,137.7
2017-01-04,140.8
2017-01-05,140.65
2017-01-06,137.95
2017-01-09,134.4
2017-01-10,142.4
2017-01-11,143.95
2017-01-12,143.65
2017-01-13,140.9
2017-01-16,141.8
2017-01-17,142.35
2017-01-18,144.55
2017-01-19,143.1
2017-01-20,138.5
2017-01-23,139.05
2017-01-24,140.95
2017-01-25,140.35
2017-01-27,140.55
2017-01-30,140.75
2017-01-31,137.25
2017-02-01,145.7
2017-02-02,145.1
2017-02-03,142.25
2017-02-06,147.45
2017-02-07,154.0
2017-02-08,156.55
2017-02-09,145.2
2017-02-10,146.95
2017-02-13,142.05
2017-02-14,139.55
2017-02-15,135.45
2017-02-16,136.85
2017-02-17,139.8
2017-02-20,137.45
2017-02-21,139.45
2017-02-22,138.85
2017-02-23,137.4
2017-02-27,138.15
2017-02-28,137.4
2017-03-01,144.0
2017-03-02,143.1
2017-03-03,143.05
2017-03-06,142.1
2017-03-07,140.15
2017-03-08,137.1
2017-03-09,137.15
2017-03-10,137.1
2017-03-14,139.1
2017-03-15,140.8
2017-03-16,141.65
2017-03-17,146.1
2017-03-20,149.25
2017-03-21,148.85
2017-03-22,148.4
2017-03-23,148.1
2017-03-24,145.7
2017-03-27,143.45
2017-03-28,143.25
2017-03-29,142.2
2017-03-30,142.8
2017-03-31,142.85
2017-04-03,147.25
2017-04-05,153.95
2017-04-06,149.2
2017-04-07,149.65
2017-04-10,148.05
2017-04-11,153.8
2017-04-12,150.1
2017-04-13,150.45
2017-04-17,152.2
2017-04-18,158.15
2017-04-19,165.75
2017-04-20,169.4
2017-04-21,166.4
2017-04-24,171.6
2017-04-25,167.75
2017-04-26,165.55
2017-04-27,165.75
2017-04-28,166.95
2017-05-02,149.6
2017-05-03,150.45
2017-05-04,149.05
2017-05-05,145.7
2017-05-08,146.65
2017-05-09,145.7
2017-05-10,144.65
2017-05-11,145.25
2017-05-12,143.3
2017-05-15,150.0
2017-05-16,152.2
2017-05-17,153.55
2017-05-18,147.25
2017-05-19,147.1
2017-05-22,144.95
2017-05-23,140.3
2017-05-24,136.6
2017-05-25,140.9
2017-05-26,143.7
2017-05-29,139.4
2017-05-30,140.0
2017-05-31,141.85
2017-06-01,143.25
2017-06-02,143.6
2017-06-05,143.0
2017-06-06,141.4
2017-06-07,142.45
2017-06-08,143.55
2017-06-09,148.15
2017-06-12,144.0
2017-06-13,144.3
2017-06-14,143.5
2017-06-15,142.65
2017-06-16,146.75
2017-06-19,146.5
2017-06-20,146.75
2017-06-21,147.55
2017-06-22,145.9
2017-06-23,142.9
2017-06-27,138.6
2017-06-28,135.35
2017-06-29,136.75
2017-06-30,147.55
2017-07-03,144.9
2017-07-04,146.2
2017-07-05,151.05
2017-07-06,147.95
2017-07-07,150.75
2017-07-10,150.25
2017-07-11,147.25
2017-07-12,147.85
2017-07-13,147.45
2017-07-14,144.5
2017-07-17,145.55
2017-07-18,143.7
2017-07-19,145.35
2017-07-20,142.8
2017-07-21,141.85
2017-07-24,141.35
2017-07-25,142.45
2017-07-26,143.25
2017-07-27,141.2
2017-07-28,141.1
2017-07-31,141.1
2017-08-01,140.15
2017-08-02,140.2
2017-08-03,137.95
2017-08-04,136.75
2017-08-07,137.0
2017-08-08,136.3
2017-08-09,131.0
2017-08-10,125.35
2017-08-11,128.05
2017-08-14,127.85
2017-08-16,130.15
2017-08-17,129.3
2017-08-18,130.0
2017-08-21,128.55
2017-08-22,126.4
2017-08-23,132.15
2017-08-24,129.85
2017-08-28,134.15
2017-08-29,136.95
2017-08-30,139.3
2017-08-31,139.8
2017-09-01,142.85
2017-09-04,138.35
2017-09-05,140.5
2017-09-06,142.05
2017-09-07,142.65
2017-09-08,142.5
2017-09-11,143.1
2017-09-12,144.75
2017-09-13,146.1
2017-09-14,142.8
2017-09-15,134.2
2017-09-18,132.35
2017-09-19,132.15
2017-09-20,133.5
2017-09-21,131.75
2017-09-22,128.7
2017-09-25,126.9
2017-09-26,129.5
2017-09-27,124.05
2017-09-28,125.15
2017-09-29,124.95
2017-10-03,125.05
2017-10-04,126.8
2017-10-05,127.2
2017-10-06,128.55
2017-10-09,128.45
2017-10-10,127.25
2017-10-11,125.55
2017-10-12,126.7
2017-10-13,125.5
2017-10-16,131.3
2017-10-17,132.45
2017-10-18,131.4
2017-10-19,132.4
2017-10-23,133.05
2017-10-24,134.15
2017-10-25,132.45
2017-10-26,135.6
2017-10-27,135.25
2017-10-30,136.05
2017-10-31,140.55
2017-11-01,138.95
2017-11-02,137.15
2017-11-03,138.95
2017-11-06,137.8
2017-11-07,133.8
2017-11-08,131.15
2017-11-09,128.6
2017-11-10,128.65
2017-11-13,122.7
2017-11-14,121.8
2017-11-15,119.75
2017-11-16,121.3
2017-11-17,121.95
2017-11-20,121.4
2017-11-21,128.65
2017-11-22,127.9
2017-11-23,129.25
2017-11-24,127.45
2017-11-27,127.9
2017-11-28,130.3
2017-11-29,127.0
2017-11-30,131.2
2017-12-01,131.15
2017-12-04,141.75
2017-12-05,147.45
2017-12-06,148.3
2017-12-07,151.7
2017-12-08,148.35
2017-12-11,153.3
2017-12-12,148.2
2017-12-13,148.9
2017-12-14,147.7
2017-12-15,148.55
2017-12-18,140.1
2017-12-19,142.9
2017-12-20,141.4
2017-12-21,137.6
2017-12-22,140.05
2017-12-26,138.7
2017-12-27,138.8
2017-12-28,136.85
2017-12-29,138.05
