Date,UJAAS
2017-01-02,46.4
2017-01-03,49.85
2017-01-04,50.1
2017-01-05,49.8
2017-01-06,48.8
2017-01-09,48.35
2017-01-10,47.9
2017-01-11,46.95
2017-01-12,46.5
2017-01-13,45.65
2017-01-16,43.25
2017-01-17,43.85
2017-01-18,43.7
2017-01-19,44.45
2017-01-20,43.5
2017-01-23,45.75
2017-01-24,45.5
2017-01-25,45.45
2017-01-27,44.8
2017-01-30,44.5
2017-01-31,43.35
2017-02-01,46.3
2017-02-02,45.2
2017-02-03,44.5
2017-02-06,44.65
2017-02-07,42.85
2017-02-08,44.8
2017-02-09,45.4
2017-02-10,46.0
2017-02-13,46.7
2017-02-14,45.4
2017-02-15,43.4
2017-02-16,45.35
2017-02-17,45.2
2017-02-20,41.45
2017-02-21,36.3
2017-02-22,37.25
2017-02-23,35.1
2017-02-27,36.15
2017-02-28,36.1
2017-03-01,35.4
2017-03-02,34.15
2017-03-03,34.15
2017-03-06,35.3
2017-03-07,34.65
2017-03-08,34.3
2017-03-09,34.55
2017-03-10,34.9
2017-03-14,35.2
2017-03-15,34.9
2017-03-16,35.05
2017-03-17,34.4
2017-03-20,33.45
2017-03-21,33.3
2017-03-22,33.3
2017-03-23,33.55
2017-03-24,35.6
2017-03-27,35.4
2017-03-28,35.15
2017-03-29,34.6
2017-03-30,34.4
2017-03-31,33.75
2017-04-03,35.35
2017-04-05,38.7
2017-04-06,38.85
2017-04-07,38.85
2017-04-10,39.0
2017-04-11,38.85
2017-04-12,38.3
2017-04-13,38.05
2017-04-17,37.05
2017-04-18,36.9
2017-04-19,36.55
2017-04-20,37.1
2017-04-21,37.85
2017-04-24,38.3
2017-04-25,37.0
2017-04-26,36.35
2017-04-27,36.45
2017-04-28,36.05
2017-05-02,36.3
2017-05-03,34.95
2017-05-04,34.95
2017-05-05,34.65
2017-05-08,35.05
2017-05-09,37.05
2017-05-10,36.75
2017-05-11,36.3
2017-05-12,36.65
2017-05-15,36.65
2017-05-16,36.75
2017-05-17,36.85
2017-05-18,35.9
2017-05-19,35.0
2017-05-22,34.6
2017-05-23,33.75
2017-05-24,33.2
2017-05-25,33.65
2017-05-26,35.2
2017-05-29,35.9
2017-05-30,32.8
2017-05-31,32.8
2017-06-01,32.15
2017-06-02,31.2
2017-06-05,33.15
2017-06-06,32.75
2017-06-07,32.5
2017-06-08,31.95
2017-06-09,32.55
2017-06-12,32.1
2017-06-13,32.15
2017-06-14,31.6
2017-06-15,31.8
2017-06-16,31.5
2017-06-19,30.15
2017-06-20,28.95
2017-06-21,29.1
2017-06-22,28.1
2017-06-23,26.75
2017-06-27,25.55
2017-06-28,25.2
2017-06-29,27.55
2017-06-30,27.8
2017-07-03,27.8
2017-07-04,27.5
2017-07-05,28.0
2017-07-06,28.05
2017-07-07,27.9
2017-07-10,27.65
2017-07-11,27.4
2017-07-12,27.5
2017-07-13,26.95
2017-07-14,26.65
2017-07-17,26.2
2017-07-18,27.7
2017-07-19,28.1
2017-07-20,27.8
2017-07-21,26.85
2017-07-24,27.5
2017-07-25,26.8
2017-07-26,27.0
2017-07-27,26.6
2017-07-28,26.8
2017-07-31,26.7
2017-08-01,26.0
2017-08-02,26.1
2017-08-03,25.7
2017-08-04,25.15
2017-08-07,25.55
2017-08-08,25.3
2017-08-09,24.45
2017-08-10,23.25
2017-08-11,22.7
2017-08-14,24.35
2017-08-16,23.45
2017-08-17,23.2
2017-08-18,22.55
2017-08-21,22.1
2017-08-22,21.1
2017-08-23,21.05
2017-08-24,21.0
2017-08-28,21.1
2017-08-29,20.7
2017-08-30,21.0
2017-08-31,21.0
2017-09-01,22.95
2017-09-04,22.0
2017-09-05,21.65
2017-09-06,21.75
2017-09-07,22.0
2017-09-08,23.3
2017-09-11,23.0
2017-09-12,22.8
2017-09-13,22.65
2017-09-14,24.45
2017-09-15,25.95
2017-09-18,25.45
2017-09-19,25.15
2017-09-20,25.8
2017-09-21,25.65
2017-09-22,24.2
2017-09-25,23.8
2017-09-26,23.6
2017-09-27,23.0
2017-09-28,23.05
2017-09-29,23.1
2017-10-03,23.5
2017-10-04,23.9
2017-10-05,23.7
2017-10-06,23.4
2017-10-09,23.15
2017-10-10,24.7
2017-10-11,23.8
2017-10-12,23.7
2017-10-13,23.75
2017-10-16,23.35
2017-10-17,23.15
2017-10-18,22.9
2017-10-19,23.0
2017-10-23,22.8
2017-10-24,23.45
2017-10-25,23.15
2017-10-26,22.8
2017-10-27,22.85
2017-10-30,23.25
2017-10-31,22.9
2017-11-01,22.85
2017-11-02,25.3
2017-11-03,26.8
2017-11-06,26.6
2017-11-07,26.9
2017-11-08,26.15
2017-11-09,26.2
2017-11-10,25.85
2017-11-13,22.55
2017-11-14,22.75
2017-11-15,21.8
2017-11-16,21.75
2017-11-17,21.9
2017-11-20,22.15
2017-11-21,22.75
2017-11-22,22.65
2017-11-23,22.5
2017-11-24,22.85
2017-11-27,23.35
2017-11-28,23.05
2017-11-29,22.8
2017-11-30,22.85
2017-12-01,22.4
2017-12-04,22.35
2017-12-05,22.05
2017-12-06,21.95
2017-12-07,22.15
2017-12-08,22.5
2017-12-11,22.65
2017-12-12,22.05
2017-12-13,21.7
2017-12-14,21.75
2017-12-15,21.85
2017-12-18,22.05
2017-12-19,22.0
2017-12-20,23.15
2017-12-21,23.55
2017-12-22,23.7
2017-12-26,24.7
2017-12-27,25.25
2017-12-28,24.7
2017-12-29,25.2
