Date,NIITTECH
2017-01-02,426.35
2017-01-03,430.9
2017-01-04,436.85
2017-01-05,430.55
2017-01-06,422.65
2017-01-09,430.2
2017-01-10,431.05
2017-01-11,429.6
2017-01-12,429.9
2017-01-13,425.4
2017-01-16,426.3
2017-01-17,415.65
2017-01-18,433.85
2017-01-19,440.45
2017-01-20,443.55
2017-01-23,442.0
2017-01-24,434.35
2017-01-25,436.15
2017-01-27,428.35
2017-01-30,423.1
2017-01-31,410.1
2017-02-01,408.65
2017-02-02,417.0
2017-02-03,423.75
2017-02-06,423.4
2017-02-07,422.05
2017-02-08,428.5
2017-02-09,423.45
2017-02-10,424.75
2017-02-13,427.8
2017-02-14,426.95
2017-02-15,418.15
2017-02-16,423.7
2017-02-17,425.05
2017-02-20,423.55
2017-02-21,418.95
2017-02-22,417.7
2017-02-23,422.9
2017-02-27,416.25
2017-02-28,416.2
2017-03-01,416.9
2017-03-02,408.6
2017-03-03,416.95
2017-03-06,416.9
2017-03-07,418.6
2017-03-08,417.6
2017-03-09,418.55
2017-03-10,417.55
2017-03-14,423.0
2017-03-15,417.2
2017-03-16,416.5
2017-03-17,424.7
2017-03-20,421.8
2017-03-21,417.5
2017-03-22,409.4
2017-03-23,412.85
2017-03-24,423.3
2017-03-27,425.1
2017-03-28,425.0
2017-03-29,425.55
2017-03-30,420.05
2017-03-31,435.6
2017-04-03,434.95
2017-04-05,433.15
2017-04-06,423.95
2017-04-07,442.8
2017-04-10,428.95
2017-04-11,426.45
2017-04-12,426.6
2017-04-13,426.3
2017-04-17,431.35
2017-04-18,430.25
2017-04-19,422.05
2017-04-20,426.25
2017-04-21,424.55
2017-04-24,429.1
2017-04-25,436.45
2017-04-26,458.55
2017-04-27,463.1
2017-04-28,458.85
2017-05-02,463.2
2017-05-03,470.6
2017-05-04,478.95
2017-05-05,471.55
2017-05-08,489.05
2017-05-09,496.45
2017-05-10,527.3
2017-05-11,509.75
2017-05-12,527.4
2017-05-15,522.7
2017-05-16,529.15
2017-05-17,523.05
2017-05-18,513.5
2017-05-19,499.55
2017-05-22,487.15
2017-05-23,490.95
2017-05-24,481.9
2017-05-25,492.35
2017-05-26,500.25
2017-05-29,514.8
2017-05-30,524.1
2017-05-31,522.55
2017-06-01,536.8
2017-06-02,540.55
2017-06-05,555.95
2017-06-06,548.65
2017-06-07,535.6
2017-06-08,564.9
2017-06-09,573.5
2017-06-12,555.4
2017-06-13,553.1
2017-06-14,565.7
2017-06-15,566.3
2017-06-16,568.35
2017-06-19,570.8
2017-06-20,576.6
2017-06-21,581.35
2017-06-22,572.9
2017-06-23,563.6
2017-06-27,558.55
2017-06-28,577.3
2017-06-29,572.1
2017-06-30,577.45
2017-07-03,565.55
2017-07-04,565.2
2017-07-05,567.7
2017-07-06,555.65
2017-07-07,557.25
2017-07-10,565.9
2017-07-11,588.7
2017-07-12,578.7
2017-07-13,571.0
2017-07-14,562.9
2017-07-17,554.4
2017-07-18,548.35
2017-07-19,550.05
2017-07-20,545.3
2017-07-21,543.65
2017-07-24,537.05
2017-07-25,528.7
2017-07-26,521.95
2017-07-27,524.15
2017-07-28,517.9
2017-07-31,515.5
2017-08-01,505.65
2017-08-02,510.6
2017-08-03,502.05
2017-08-04,502.8
2017-08-07,499.6
2017-08-08,489.2
2017-08-09,482.45
2017-08-10,475.35
2017-08-11,479.6
2017-08-14,485.7
2017-08-16,490.85
2017-08-17,499.1
2017-08-18,496.65
2017-08-21,483.55
2017-08-22,484.2
2017-08-23,495.95
2017-08-24,497.1
2017-08-28,495.1
2017-08-29,498.25
2017-08-30,502.25
2017-08-31,498.55
2017-09-01,513.25
2017-09-04,510.4
2017-09-05,514.85
2017-09-06,512.35
2017-09-07,505.55
2017-09-08,495.35
2017-09-11,498.7
2017-09-12,504.95
2017-09-13,500.7
2017-09-14,494.7
2017-09-15,499.6
2017-09-18,502.3
2017-09-19,506.25
2017-09-20,532.45
2017-09-21,538.75
2017-09-22,519.4
2017-09-25,505.05
2017-09-26,514.25
2017-09-27,524.4
2017-09-28,547.85
2017-09-29,542.55
2017-10-03,549.9
2017-10-04,547.2
2017-10-05,562.15
2017-10-06,565.6
2017-10-09,568.35
2017-10-10,604.45
2017-10-11,593.7
2017-10-12,612.75
2017-10-13,623.45
2017-10-16,625.8
2017-10-17,633.55
2017-10-18,613.6
2017-10-19,611.85
2017-10-23,612.35
2017-10-24,608.3
2017-10-25,612.8
2017-10-26,609.1
2017-10-27,641.2
2017-10-30,642.3
2017-10-31,676.95
2017-11-01,654.1
2017-11-02,642.75
2017-11-03,648.85
2017-11-06,635.9
2017-11-07,639.25
2017-11-08,642.6
2017-11-09,660.05
2017-11-10,625.2
2017-11-13,635.2
2017-11-14,650.55
2017-11-15,631.5
2017-11-16,637.7
2017-11-17,642.2
2017-11-20,641.9
2017-11-21,637.15
2017-11-22,639.8
2017-11-23,656.05
2017-11-24,658.95
2017-11-27,640.05
2017-11-28,639.05
2017-11-29,632.6
2017-11-30,639.0
2017-12-01,631.35
2017-12-04,623.7
2017-12-05,638.35
2017-12-06,634.35
2017-12-07,628.4
2017-12-08,630.5
2017-12-11,642.7
2017-12-12,631.1
2017-12-13,613.25
2017-12-14,618.1
2017-12-15,613.9
2017-12-18,617.3
2017-12-19,622.3
2017-12-20,639.9
2017-12-21,650.25
2017-12-22,644.05
2017-12-26,635.7
2017-12-27,640.2
2017-12-28,649.55
2017-12-29,645.05
