Date,ASIANTILES
2017-01-02,218.4
2017-01-03,229.2
2017-01-04,237.05
2017-01-05,242.3
2017-01-06,235.85
2017-01-09,232.8
2017-01-10,235.85
2017-01-11,242.2
2017-01-12,252.2
2017-01-13,249.35
2017-01-16,258.55
2017-01-17,255.15
2017-01-18,256.5
2017-01-19,257.75
2017-01-20,252.8
2017-01-23,255.2
2017-01-24,274.45
2017-01-25,273.45
2017-01-27,269.5
2017-01-30,275.15
2017-01-31,274.15
2017-02-01,272.6
2017-02-02,272.7
2017-02-03,270.9
2017-02-06,271.05
2017-02-07,273.45
2017-02-08,271.3
2017-02-09,268.95
2017-02-10,276.25
2017-02-13,274.7
2017-02-14,276.9
2017-02-15,267.4
2017-02-16,270.55
2017-02-17,271.45
2017-02-20,272.7
2017-02-21,282.4
2017-02-22,280.5
2017-02-23,282.25
2017-02-27,280.55
2017-02-28,284.15
2017-03-01,281.25
2017-03-02,278.9
2017-03-03,279.6
2017-03-06,279.6
2017-03-07,286.75
2017-03-08,281.2
2017-03-09,279.7
2017-03-10,285.6
2017-03-14,301.35
2017-03-15,304.25
2017-03-16,324.35
2017-03-17,325.85
2017-03-20,343.95
2017-03-21,335.55
2017-03-22,330.3
2017-03-23,348.95
2017-03-24,356.7
2017-03-27,351.4
2017-03-28,356.25
2017-03-29,362.05
2017-03-30,364.75
2017-03-31,368.15
2017-04-03,368.2
2017-04-05,369.65
2017-04-06,371.85
2017-04-07,377.75
2017-04-10,385.75
2017-04-11,385.7
2017-04-12,376.7
2017-04-13,375.35
2017-04-17,372.3
2017-04-18,376.2
2017-04-19,373.85
2017-04-20,379.15
2017-04-21,382.6
2017-04-24,390.15
2017-04-25,386.1
2017-04-26,382.95
2017-04-27,378.05
2017-04-28,382.7
2017-05-02,383.6
2017-05-03,386.9
2017-05-04,382.8
2017-05-05,380.2
2017-05-08,384.75
2017-05-09,386.75
2017-05-10,387.9
2017-05-11,386.05
2017-05-12,382.2
2017-05-15,386.0
2017-05-16,383.8
2017-05-17,386.05
2017-05-18,377.9
2017-05-19,372.2
2017-05-22,362.65
2017-05-23,345.7
2017-05-24,337.7
2017-05-25,343.85
2017-05-26,354.7
2017-05-29,364.5
2017-05-30,362.75
2017-05-31,374.45
2017-06-01,380.45
2017-06-02,384.45
2017-06-05,400.35
2017-06-06,400.55
2017-06-07,395.65
2017-06-08,393.95
2017-06-09,393.9
2017-06-12,392.9
2017-06-13,394.65
2017-06-14,398.4
2017-06-15,408.55
2017-06-16,415.15
2017-06-19,416.1
2017-06-20,417.1
2017-06-21,413.8
2017-06-22,407.6
2017-06-23,411.6
2017-06-27,418.45
2017-06-28,423.55
2017-06-29,424.2
2017-06-30,430.8
2017-07-03,454.75
2017-07-04,449.3
2017-07-05,445.65
2017-07-06,454.95
2017-07-07,449.7
2017-07-10,453.45
2017-07-11,453.2
2017-07-12,446.5
2017-07-13,447.15
2017-07-14,447.1
2017-07-17,436.75
2017-07-18,421.8
2017-07-19,428.7
2017-07-20,431.7
2017-07-21,427.7
2017-07-24,426.5
2017-07-25,417.85
2017-07-26,417.2
2017-07-27,414.9
2017-07-28,419.75
2017-07-31,416.1
2017-08-01,416.0
2017-08-02,408.1
2017-08-03,407.55
2017-08-04,423.85
2017-08-07,420.1
2017-08-08,408.85
2017-08-09,409.2
2017-08-10,400.6
2017-08-11,399.8
2017-08-14,399.2
2017-08-16,402.9
2017-08-17,411.35
2017-08-18,409.1
2017-08-21,404.6
2017-08-22,408.25
2017-08-23,416.05
2017-08-24,434.75
2017-08-28,444.45
2017-08-29,432.9
2017-08-30,439.9
2017-08-31,457.0
2017-09-01,464.05
2017-09-04,455.2
2017-09-05,460.05
2017-09-06,458.15
2017-09-07,455.1
2017-09-08,452.0
2017-09-11,447.85
2017-09-12,453.45
2017-09-13,451.2
2017-09-14,456.8
2017-09-15,467.65
2017-09-18,469.55
2017-09-19,491.85
2017-09-20,503.55
2017-09-21,496.05
2017-09-22,491.95
2017-09-25,477.65
2017-09-26,476.1
2017-09-27,473.4
2017-09-28,467.8
2017-09-29,472.4
2017-10-03,466.0
2017-10-04,466.7
2017-10-05,472.6
2017-10-06,487.05
2017-10-09,494.15
2017-10-10,495.85
2017-10-11,486.05
2017-10-12,491.35
2017-10-13,487.2
2017-10-16,490.45
2017-10-17,488.9
2017-10-18,503.5
2017-10-19,502.9
2017-10-23,499.35
2017-10-24,492.3
2017-10-25,490.75
2017-10-26,484.4
2017-10-27,484.75
2017-10-30,494.5
2017-10-31,496.65
2017-11-01,501.1
2017-11-02,502.05
2017-11-03,494.6
2017-11-06,492.65
2017-11-07,483.0
2017-11-08,485.5
2017-11-09,493.95
2017-11-10,490.55
2017-11-13,485.35
2017-11-14,491.15
2017-11-15,480.75
2017-11-16,479.55
2017-11-17,489.55
2017-11-20,493.8
2017-11-21,493.95
2017-11-22,489.2
2017-11-23,488.4
2017-11-24,492.5
2017-11-27,503.15
2017-11-28,505.65
2017-11-29,505.0
2017-11-30,508.75
2017-12-01,505.45
2017-12-04,496.3
2017-12-05,502.3
2017-12-06,490.9
2017-12-07,495.55
2017-12-08,512.35
2017-12-11,508.65
2017-12-12,512.5
2017-12-13,508.95
2017-12-14,502.35
2017-12-15,526.9
2017-12-18,517.3
2017-12-19,525.9
2017-12-20,530.15
2017-12-21,539.3
2017-12-22,539.65
2017-12-26,543.85
2017-12-27,538.75
2017-12-28,558.45
2017-12-29,576.35
