Date,A2ZINFRA
2017-01-02,42.15
2017-01-03,45.65
2017-01-04,45.35
2017-01-05,46.45
2017-01-06,44.65
2017-01-09,45.1
2017-01-10,44.85
2017-01-11,44.85
2017-01-12,43.55
2017-01-13,43.2
2017-01-16,43.7
2017-01-17,44.35
2017-01-18,43.95
2017-01-19,43.65
2017-01-20,42.8
2017-01-23,43.2
2017-01-24,42.95
2017-01-25,43.0
2017-01-27,42.7
2017-01-30,42.85
2017-01-31,41.55
2017-02-01,42.1
2017-02-02,42.55
2017-02-03,42.3
2017-02-06,43.35
2017-02-07,45.05
2017-02-08,44.2
2017-02-09,43.25
2017-02-10,42.65
2017-02-13,42.0
2017-02-14,40.85
2017-02-15,39.7
2017-02-16,39.75
2017-02-17,40.0
2017-02-20,40.9
2017-02-21,41.2
2017-02-22,40.95
2017-02-23,40.55
2017-02-27,40.6
2017-02-28,40.5
2017-03-01,40.55
2017-03-02,39.9
2017-03-03,41.7
2017-03-06,40.9
2017-03-07,40.45
2017-03-08,39.6
2017-03-09,41.35
2017-03-10,40.75
2017-03-14,40.6
2017-03-15,41.7
2017-03-16,42.6
2017-03-17,45.5
2017-03-20,47.8
2017-03-21,46.45
2017-03-22,44.05
2017-03-23,45.1
2017-03-24,45.15
2017-03-27,43.5
2017-03-28,42.55
2017-03-29,41.7
2017-03-30,43.3
2017-03-31,43.4
2017-04-03,45.35
2017-04-05,45.75
2017-04-06,44.1
2017-04-07,43.4
2017-04-10,43.35
2017-04-11,43.15
2017-04-12,42.0
2017-04-13,42.0
2017-04-17,42.45
2017-04-18,43.15
2017-04-19,47.7
2017-04-20,48.7
2017-04-21,46.85
2017-04-24,49.0
2017-04-25,51.7
2017-04-26,49.25
2017-04-27,48.45
2017-04-28,48.1
2017-05-02,47.6
2017-05-03,47.75
2017-05-04,47.75
2017-05-05,45.85
2017-05-08,47.05
2017-05-09,48.5
2017-05-10,47.85
2017-05-11,48.9
2017-05-12,47.6
2017-05-15,47.9
2017-05-16,47.4
2017-05-17,47.1
2017-05-18,44.5
2017-05-19,43.1
2017-05-22,42.0
2017-05-23,41.85
2017-05-24,41.0
2017-05-25,42.05
2017-05-26,42.55
2017-05-29,41.5
2017-05-30,40.2
2017-05-31,40.45
2017-06-01,40.9
2017-06-02,41.75
2017-06-05,42.35
2017-06-06,41.35
2017-06-07,41.25
2017-06-08,42.15
2017-06-09,42.5
2017-06-12,41.75
2017-06-13,41.75
2017-06-14,41.4
2017-06-15,41.4
2017-06-16,41.25
2017-06-19,41.45
2017-06-20,41.9
2017-06-21,45.65
2017-06-22,44.6
2017-06-23,43.15
2017-06-27,41.5
2017-06-28,42.0
2017-06-29,42.7
2017-06-30,41.75
2017-07-03,44.2
2017-07-04,43.15
2017-07-05,43.8
2017-07-06,43.85
2017-07-07,43.7
2017-07-10,42.6
2017-07-11,43.4
2017-07-12,43.3
2017-07-13,43.6
2017-07-14,43.1
2017-07-17,43.1
2017-07-18,42.55
2017-07-19,42.8
2017-07-20,43.3
2017-07-21,45.0
2017-07-24,43.85
2017-07-25,43.25
2017-07-26,43.05
2017-07-27,41.15
2017-07-28,41.35
2017-07-31,40.65
2017-08-01,40.25
2017-08-02,40.3
2017-08-03,39.45
2017-08-04,39.2
2017-08-07,38.9
2017-08-08,36.1
2017-08-09,37.1
2017-08-10,35.3
2017-08-11,35.45
2017-08-14,37.45
2017-08-16,36.9
2017-08-17,39.5
2017-08-18,38.7
2017-08-21,37.7
2017-08-22,36.5
2017-08-23,36.55
2017-08-24,37.75
2017-08-28,37.95
2017-08-29,36.85
2017-08-30,37.3
2017-08-31,36.95
2017-09-01,37.15
2017-09-04,37.6
2017-09-05,37.2
2017-09-06,37.85
2017-09-07,37.75
2017-09-08,37.1
2017-09-11,36.65
2017-09-12,37.55
2017-09-13,35.7
2017-09-14,37.35
2017-09-15,36.65
2017-09-18,36.9
2017-09-19,37.5
2017-09-20,36.65
2017-09-21,42.8
2017-09-22,37.45
2017-09-25,36.45
2017-09-26,37.6
2017-09-27,36.0
2017-09-28,36.2
2017-09-29,36.4
2017-10-03,36.25
2017-10-04,36.7
2017-10-05,37.55
2017-10-06,37.45
2017-10-09,37.75
2017-10-10,37.3
2017-10-11,36.3
2017-10-12,36.55
2017-10-13,36.2
2017-10-16,35.95
2017-10-17,35.75
2017-10-18,37.2
2017-10-19,36.6
2017-10-23,37.7
2017-10-24,37.1
2017-10-25,37.0
2017-10-26,37.65
2017-10-27,37.1
2017-10-30,36.7
2017-10-31,36.85
2017-11-01,37.4
2017-11-02,41.95
2017-11-03,39.75
2017-11-06,40.85
2017-11-07,38.75
2017-11-08,38.05
2017-11-09,37.55
2017-11-10,37.4
2017-11-13,37.6
2017-11-14,37.05
2017-11-15,35.95
2017-11-16,36.4
2017-11-17,36.45
2017-11-20,37.0
2017-11-21,37.5
2017-11-22,37.0
2017-11-23,39.1
2017-11-24,43.2
2017-11-27,42.25
2017-11-28,42.15
2017-11-29,42.4
2017-11-30,41.0
2017-12-01,40.95
2017-12-04,40.75
2017-12-05,39.85
2017-12-06,38.65
2017-12-07,39.5
2017-12-08,39.0
2017-12-11,37.95
2017-12-12,37.3
2017-12-13,37.75
2017-12-14,37.65
2017-12-15,38.0
2017-12-18,37.6
2017-12-19,38.0
2017-12-20,40.5
2017-12-21,41.7
2017-12-22,41.3
2017-12-26,42.45
2017-12-27,41.1
2017-12-28,40.9
2017-12-29,40.75
