Date,PRESSMN
2017-01-02,42.95
2017-01-03,43.0
2017-01-04,43.0
2017-01-05,44.25
2017-01-06,43.8
2017-01-09,44.95
2017-01-10,44.55
2017-01-11,45.15
2017-01-12,44.45
2017-01-13,46.75
2017-01-16,46.15
2017-01-17,46.05
2017-01-18,45.5
2017-01-19,45.05
2017-01-20,44.45
2017-01-23,44.4
2017-01-24,53.25
2017-01-25,54.85
2017-01-27,58.65
2017-01-30,58.3
2017-01-31,56.6
2017-02-01,59.0
2017-02-02,58.05
2017-02-03,56.7
2017-02-06,57.25
2017-02-07,57.0
2017-02-08,56.95
2017-02-09,59.45
2017-02-10,63.95
2017-02-13,62.95
2017-02-14,64.5
2017-02-15,60.4
2017-02-16,62.1
2017-02-17,64.4
2017-02-20,64.8
2017-02-21,62.85
2017-02-22,61.8
2017-02-23,61.4
2017-02-27,61.2
2017-02-28,61.45
2017-03-01,62.05
2017-03-02,59.95
2017-03-03,60.1
2017-03-06,60.0
2017-03-07,58.5
2017-03-08,58.2
2017-03-09,59.05
2017-03-10,59.05
2017-03-14,58.75
2017-03-15,58.15
2017-03-16,63.85
2017-03-17,62.95
2017-03-20,63.8
2017-03-21,62.15
2017-03-22,60.55
2017-03-23,60.6
2017-03-24,61.7
2017-03-27,61.95
2017-03-28,63.1
2017-03-29,61.35
2017-03-30,62.95
2017-03-31,63.3
2017-04-03,62.6
2017-04-05,62.65
2017-04-06,62.95
2017-04-07,62.2
2017-04-10,62.5
2017-04-11,66.1
2017-04-12,67.75
2017-04-13,69.2
2017-04-17,67.75
2017-04-18,67.25
2017-04-19,67.3
2017-04-20,68.0
2017-04-21,66.95
2017-04-24,74.5
2017-04-25,72.05
2017-04-26,69.75
2017-04-27,70.25
2017-04-28,68.8
2017-05-02,69.35
2017-05-03,68.0
2017-05-04,67.55
2017-05-05,67.4
2017-05-08,68.7
2017-05-09,69.7
2017-05-10,71.1
2017-05-11,70.9
2017-05-12,74.45
2017-05-15,72.75
2017-05-16,73.7
2017-05-17,66.55
2017-05-18,64.9
2017-05-19,65.15
2017-05-22,67.4
2017-05-23,64.85
2017-05-24,64.55
2017-05-25,65.0
2017-05-26,66.1
2017-05-29,64.35
2017-05-30,66.4
2017-05-31,69.0
2017-06-01,70.7
2017-06-02,69.1
2017-06-05,68.95
2017-06-06,69.75
2017-06-07,68.8
2017-06-08,68.55
2017-06-09,68.9
2017-06-12,68.2
2017-06-13,67.6
2017-06-14,67.55
2017-06-15,67.95
2017-06-16,67.2
2017-06-19,67.2
2017-06-20,66.0
2017-06-21,64.45
2017-06-22,65.55
2017-06-23,64.85
2017-06-27,62.45
2017-06-28,62.15
2017-06-29,62.2
2017-06-30,62.6
2017-07-03,64.1
2017-07-04,65.45
2017-07-05,64.9
2017-07-06,66.1
2017-07-07,66.3
2017-07-10,69.2
2017-07-11,67.25
2017-07-12,67.2
2017-07-13,66.55
2017-07-14,66.0
2017-07-17,66.35
2017-07-18,65.05
2017-07-19,64.95
2017-07-20,66.75
2017-07-21,69.85
2017-07-24,66.45
2017-07-25,66.75
2017-07-26,68.65
2017-07-27,67.1
2017-07-28,67.35
2017-07-31,67.45
2017-08-01,66.65
2017-08-02,63.8
2017-08-03,63.95
2017-08-04,66.75
2017-08-07,66.7
2017-08-08,64.9
2017-08-09,63.95
2017-08-10,61.8
2017-08-11,61.35
2017-08-14,58.95
2017-08-16,59.4
2017-08-17,59.7
2017-08-18,58.65
2017-08-21,57.1
2017-08-22,55.7
2017-08-23,56.4
2017-08-24,59.0
2017-08-28,60.05
2017-08-29,60.65
2017-08-30,61.6
2017-08-31,62.65
2017-09-01,62.75
2017-09-04,59.6
2017-09-05,60.25
2017-09-06,60.15
2017-09-07,62.5
2017-09-08,60.25
2017-09-11,59.4
2017-09-12,61.6
2017-09-13,62.75
2017-09-14,61.5
2017-09-15,60.0
2017-09-18,60.4
2017-09-19,59.6
2017-09-20,62.0
2017-09-21,62.9
2017-09-22,59.75
2017-09-25,58.25
2017-09-26,59.15
2017-09-27,57.65
2017-09-28,57.8
2017-09-29,58.9
2017-10-03,59.45
2017-10-04,58.8
2017-10-05,58.4
2017-10-06,58.85
2017-10-09,60.6
2017-10-10,62.9
2017-10-11,61.0
2017-10-12,61.6
2017-10-13,60.45
2017-10-16,60.9
2017-10-17,61.65
2017-10-18,63.3
2017-10-19,62.55
2017-10-23,62.35
2017-10-24,63.7
2017-10-25,63.2
2017-10-26,64.7
2017-10-27,66.4
2017-10-30,64.95
2017-10-31,62.9
2017-11-01,63.1
2017-11-02,62.85
2017-11-03,63.95
2017-11-06,67.4
2017-11-07,66.65
2017-11-08,70.5
2017-11-09,72.55
2017-11-10,76.2
2017-11-13,74.95
2017-11-14,71.9
2017-11-15,69.15
2017-11-16,72.1
2017-11-17,71.1
2017-11-20,72.6
2017-11-21,71.85
2017-11-22,70.3
2017-11-23,76.1
2017-11-24,82.95
2017-11-27,83.2
2017-11-28,80.45
2017-11-29,79.55
2017-11-30,78.35
2017-12-01,74.95
2017-12-04,75.4
2017-12-05,73.95
2017-12-06,72.6
2017-12-07,75.85
2017-12-08,74.6
2017-12-11,78.1
2017-12-12,74.75
2017-12-13,74.25
2017-12-14,73.15
2017-12-15,73.7
2017-12-18,73.1
2017-12-19,73.05
2017-12-20,74.2
2017-12-21,78.8
2017-12-22,82.3
2017-12-26,82.85
2017-12-27,79.6
2017-12-28,79.05
2017-12-29,79.3
