Date,ITDC
2017-01-02,217.2
2017-01-03,213.95
2017-01-04,210.95
2017-01-05,211.25
2017-01-06,214.8
2017-01-09,215.85
2017-01-10,218.65
2017-01-11,217.6
2017-01-12,214.85
2017-01-13,257.8
2017-01-16,301.95
2017-01-17,313.45
2017-01-18,296.3
2017-01-19,279.5
2017-01-20,278.55
2017-01-23,276.55
2017-01-24,271.85
2017-01-25,280.5
2017-01-27,278.9
2017-01-30,278.1
2017-01-31,275.1
2017-02-01,272.65
2017-02-02,264.9
2017-02-03,286.0
2017-02-06,298.45
2017-02-07,309.0
2017-02-08,315.8
2017-02-09,348.6
2017-02-10,352.85
2017-02-13,423.4
2017-02-14,421.9
2017-02-15,386.7
2017-02-16,409.15
2017-02-17,407.95
2017-02-20,415.5
2017-02-21,414.4
2017-02-22,403.3
2017-02-23,408.2
2017-02-27,392.75
2017-02-28,398.65
2017-03-01,395.2
2017-03-02,384.3
2017-03-03,383.8
2017-03-06,392.8
2017-03-07,390.15
2017-03-08,384.75
2017-03-09,379.55
2017-03-10,379.55
2017-03-14,381.15
2017-03-15,398.35
2017-03-16,418.4
2017-03-17,417.7
2017-03-20,415.3
2017-03-21,416.95
2017-03-22,413.05
2017-03-23,410.6
2017-03-24,408.95
2017-03-27,395.6
2017-03-28,402.3
2017-03-29,390.35
2017-03-30,390.05
2017-03-31,411.95
2017-04-03,408.1
2017-04-05,405.5
2017-04-06,408.5
2017-04-07,401.9
2017-04-10,469.6
2017-04-11,466.7
2017-04-12,468.5
2017-04-13,466.9
2017-04-17,470.0
2017-04-18,450.05
2017-04-19,481.95
2017-04-20,525.1
2017-04-21,630.1
2017-04-24,715.2
2017-04-25,677.75
2017-04-26,685.55
2017-04-27,668.0
2017-04-28,701.65
2017-05-02,672.6
2017-05-03,689.8
2017-05-04,681.8
2017-05-05,663.05
2017-05-08,663.6
2017-05-09,646.6
2017-05-10,648.3
2017-05-11,634.0
2017-05-12,611.35
2017-05-15,650.15
2017-05-16,636.7
2017-05-17,626.75
2017-05-18,604.65
2017-05-19,594.3
2017-05-22,574.65
2017-05-23,553.8
2017-05-24,516.15
2017-05-25,508.15
2017-05-26,511.05
2017-05-29,511.85
2017-05-30,504.7
2017-05-31,520.65
2017-06-01,519.15
2017-06-02,498.4
2017-06-05,539.1
2017-06-06,539.2
2017-06-07,614.1
2017-06-08,609.95
2017-06-09,608.4
2017-06-12,593.2
2017-06-13,608.0
2017-06-14,604.3
2017-06-15,606.85
2017-06-16,595.6
2017-06-19,594.5
2017-06-20,569.1
2017-06-21,571.55
2017-06-22,564.55
2017-06-23,549.7
2017-06-27,535.4
2017-06-28,529.85
2017-06-29,538.85
2017-06-30,539.95
2017-07-03,545.05
2017-07-04,532.65
2017-07-05,531.05
2017-07-06,604.45
2017-07-07,589.7
2017-07-10,575.45
2017-07-11,564.5
2017-07-12,600.4
2017-07-13,581.55
2017-07-14,585.75
2017-07-17,582.5
2017-07-18,574.55
2017-07-19,583.75
2017-07-20,572.55
2017-07-21,568.95
2017-07-24,571.2
2017-07-25,565.8
2017-07-26,560.8
2017-07-27,563.15
2017-07-28,562.3
2017-07-31,540.85
2017-08-01,534.9
2017-08-02,531.6
2017-08-03,522.45
2017-08-04,515.8
2017-08-07,518.4
2017-08-08,510.4
2017-08-09,483.05
2017-08-10,446.55
2017-08-11,443.4
2017-08-14,477.6
2017-08-16,501.0
2017-08-17,523.95
2017-08-18,513.25
2017-08-21,495.15
2017-08-22,489.6
2017-08-23,500.45
2017-08-24,493.75
2017-08-28,515.2
2017-08-29,494.0
2017-08-30,499.9
2017-08-31,502.05
2017-09-01,505.25
2017-09-04,493.55
2017-09-05,509.75
2017-09-06,507.8
2017-09-07,505.35
2017-09-08,509.1
2017-09-11,508.1
2017-09-12,504.6
2017-09-13,497.35
2017-09-14,498.2
2017-09-15,498.4
2017-09-18,497.8
2017-09-19,497.65
2017-09-20,580.5
2017-09-21,615.5
2017-09-22,554.85
2017-09-25,527.5
2017-09-26,548.7
2017-09-27,517.3
2017-09-28,520.05
2017-09-29,520.0
2017-10-03,527.35
2017-10-04,532.65
2017-10-05,530.95
2017-10-06,536.6
2017-10-09,527.3
2017-10-10,520.9
2017-10-11,531.25
2017-10-12,533.1
2017-10-13,535.55
2017-10-16,529.65
2017-10-17,531.5
2017-10-18,527.6
2017-10-19,521.05
2017-10-23,521.6
2017-10-24,521.6
2017-10-25,517.1
2017-10-26,518.55
2017-10-27,518.3
2017-10-30,520.35
2017-10-31,520.85
2017-11-01,549.2
2017-11-02,571.0
2017-11-03,576.6
2017-11-06,567.7
2017-11-07,555.65
2017-11-08,531.5
2017-11-09,538.1
2017-11-10,529.4
2017-11-13,529.2
2017-11-14,523.9
2017-11-15,506.25
2017-11-16,510.75
2017-11-17,513.75
2017-11-20,515.55
2017-11-21,521.7
2017-11-22,526.25
2017-11-23,526.05
2017-11-24,520.4
2017-11-27,529.95
2017-11-28,519.2
2017-11-29,515.45
2017-11-30,512.4
2017-12-01,511.45
2017-12-04,508.7
2017-12-05,498.6
2017-12-06,500.7
2017-12-07,505.35
2017-12-08,515.8
2017-12-11,511.15
2017-12-12,510.85
2017-12-13,504.45
2017-12-14,499.25
2017-12-15,510.9
2017-12-18,515.95
2017-12-19,518.35
2017-12-20,527.2
2017-12-21,533.2
2017-12-22,530.65
2017-12-26,522.8
2017-12-27,511.65
2017-12-28,517.0
2017-12-29,515.55
